question,subject,choices,answer,qa
खुदरा व्यवसायों की क्रेडिट रेटिंग के बारे में जानकारी का एक महत्वपूर्ण स्रोत है,miscellaneous,"['खुदरा व्यापारी संघ', 'स्थानीय चैंबर ऑफ कॉमर्स', 'डन एंड ब्रैडस्ट्रीट, इंक।', 'यूनाइटेड स्टेट्स रिटेल क्रेडिट एसोसिएशन']",2,"प्रश्न: खुदरा व्यवसायों की क्रेडिट रेटिंग के बारे में जानकारी का एक महत्वपूर्ण स्रोत है

उत्तर विकल्प: ['खुदरा व्यापारी संघ', 'स्थानीय चैंबर ऑफ कॉमर्स', 'डन एंड ब्रैडस्ट्रीट, इंक।', 'यूनाइटेड स्टेट्स रिटेल क्रेडिट एसोसिएशन']

उत्तर: डन एंड ब्रैडस्ट्रीट, इंक।"
लघु कथाओं पर लेखन इकाई की तैयारी में एक शिक्षक छात्रों को लघु कथाओं के कई उदाहरण प्रस्तुत करता है और शैली की परिभाषित विशेषताओं की पहचान करने के लिए उनके साथ काम करता है निम्नलिखित में से कौन-सा इस शिक्षण पद्धति का सबसे अच्छा वर्णन करता है?,miscellaneous,"['सम्मेलन', 'अनुशासन आधारित जांच', 'स्व-विनियमित रणनीति विकास', 'परिचय-शरीर-निष्कर्ष रणनीति']",1,"प्रश्न: लघु कथाओं पर लेखन इकाई की तैयारी में एक शिक्षक छात्रों को लघु कथाओं के कई उदाहरण प्रस्तुत करता है और शैली की परिभाषित विशेषताओं की पहचान करने के लिए उनके साथ काम करता है निम्नलिखित में से कौन-सा इस शिक्षण पद्धति का सबसे अच्छा वर्णन करता है?

उत्तर विकल्प: ['सम्मेलन', 'अनुशासन आधारित जांच', 'स्व-विनियमित रणनीति विकास', 'परिचय-शरीर-निष्कर्ष रणनीति']

उत्तर: अनुशासन आधारित जांच"
फारेनहाइट में कागज लगभग किस तापमान पर जलता है?,miscellaneous,"['986 डिग्री', '2125 डिग्री', '3985 डिग्री', '451 डिग्री']",3,"प्रश्न: फारेनहाइट में कागज लगभग किस तापमान पर जलता है?

उत्तर विकल्प: ['986 डिग्री', '2125 डिग्री', '3985 डिग्री', '451 डिग्री']

उत्तर: 451 डिग्री"
एप्पल आईमैक कंप्यूटर निम्नलिखित सभी रंगों में उपलब्ध है सिवाय किसके?,miscellaneous,"['टेंडरिन', 'स्ट्रॉबेरी', 'किवी', 'अंगूर']",2,"प्रश्न: एप्पल आईमैक कंप्यूटर निम्नलिखित सभी रंगों में उपलब्ध है सिवाय किसके?

उत्तर विकल्प: ['टेंडरिन', 'स्ट्रॉबेरी', 'किवी', 'अंगूर']

उत्तर: किवी"
प्रारंभिक अमेरिकी खोजकर्ताओं लुईस और क्लार्क के प्रथम नाम क्या थे?,miscellaneous,"['मॉर्गन और मेसन', 'मेरिवेदर और विलियम', 'काबोट और जोसेफ', 'मेरिडिथ और जॉर्ज']",1,"प्रश्न: प्रारंभिक अमेरिकी खोजकर्ताओं लुईस और क्लार्क के प्रथम नाम क्या थे?

उत्तर विकल्प: ['मॉर्गन और मेसन', 'मेरिवेदर और विलियम', 'काबोट और जोसेफ', 'मेरिडिथ और जॉर्ज']

उत्तर: मेरिवेदर और विलियम"
"एक शिक्षक शुरुआती पाठकों के छोटे, लचीले समूहों को सहायता प्रदान करता है जैसे-जैसे छात्र कोई ऐसा पाठ या किताब पढ़ते हैं जो उनके लिए अपरिचित है, शिक्षक छात्रों के साथ काम करता है ताकि उन्हें पढ़ने की विभिन्न रणनीतियों का उपयोग करना सिखाया जा सके निम्नलिखित में से किस पढ़ने के दृष्टिकोण का वर्णन किया गया है?",miscellaneous,"['प्रत्यक्ष निर्देश', 'साहित्य मंडल', 'निर्देशित पठन', 'ज़ोर से पढ़ना']",2,"प्रश्न: एक शिक्षक शुरुआती पाठकों के छोटे, लचीले समूहों को सहायता प्रदान करता है जैसे-जैसे छात्र कोई ऐसा पाठ या किताब पढ़ते हैं जो उनके लिए अपरिचित है, शिक्षक छात्रों के साथ काम करता है ताकि उन्हें पढ़ने की विभिन्न रणनीतियों का उपयोग करना सिखाया जा सके निम्नलिखित में से किस पढ़ने के दृष्टिकोण का वर्णन किया गया है?

उत्तर विकल्प: ['प्रत्यक्ष निर्देश', 'साहित्य मंडल', 'निर्देशित पठन', 'ज़ोर से पढ़ना']

उत्तर: निर्देशित पठन"
वैरिसेला क्या है?,miscellaneous,"['फैंसी पास्ता', 'ओपेरा का एक प्रकार', 'चिकन पॉक्स वायरस', 'प्राचीन रोमन काव्य']",2,"प्रश्न: वैरिसेला क्या है?

उत्तर विकल्प: ['फैंसी पास्ता', 'ओपेरा का एक प्रकार', 'चिकन पॉक्स वायरस', 'प्राचीन रोमन काव्य']

उत्तर: चिकन पॉक्स वायरस"
निम्नलिखित में से किस सामग्री का प्रतिरोध तापमान परिवर्तनों से सबसे कम प्रभावित होता है?,miscellaneous,"['तांबा', 'कार्बन', 'जर्मेनियम', 'सिलिकॉन']",0,"प्रश्न: निम्नलिखित में से किस सामग्री का प्रतिरोध तापमान परिवर्तनों से सबसे कम प्रभावित होता है?

उत्तर विकल्प: ['तांबा', 'कार्बन', 'जर्मेनियम', 'सिलिकॉन']

उत्तर: तांबा"
एक दूसरे वर्ष के कॉलेज के छात्र आमतौर पर एक क्या कहा जाता है?,miscellaneous,"['द्वितीयक', 'वरिष्ठ', 'नौसिखिया', 'कनिष्ठ']",0,"प्रश्न: एक दूसरे वर्ष के कॉलेज के छात्र आमतौर पर एक क्या कहा जाता है?

उत्तर विकल्प: ['द्वितीयक', 'वरिष्ठ', 'नौसिखिया', 'कनिष्ठ']

उत्तर: द्वितीयक"
फिल्म 'द टैलेंटेड मिस्टर रिपले' में मिस्टर रिपले का किरदार कौन निभाता है?,miscellaneous,"['जूड लॉ', 'मैट डेमन', 'डस्टिन हॉफमैन', 'बेन एफ्लेक']",1,"प्रश्न: फिल्म 'द टैलेंटेड मिस्टर रिपले' में मिस्टर रिपले का किरदार कौन निभाता है?

उत्तर विकल्प: ['जूड लॉ', 'मैट डेमन', 'डस्टिन हॉफमैन', 'बेन एफ्लेक']

उत्तर: मैट डेमन"
