question,subject,choices,answer,qa
Un syllogisme disjonctif valide a une prémisse majeure qui:,logical_fallacies,"['comprend deux ou plusieurs alternatives', 'classifie les sujets', 'affirme l' antécédent ou nie la conséquence', 'conduit à une conclusion valable']",0,"Question: Un syllogisme disjonctif valide a une prémisse majeure qui:

Choix: ['comprend deux ou plusieurs alternatives', 'classifie les sujets', 'affirme l' antécédent ou nie la conséquence', 'conduit à une conclusion valable']

Réponse: comprend deux ou plusieurs alternatives"
Laquelle des affirmations suivantes décrit le mieux l'erreur selon laquelle le style est plus important que le contenu?,logical_fallacies,"['Changer le sens d'un mot ou d'une phrase d'une partie de l'argument à une autre.', 'Confondre le langage figuré avec le langage littéral.', 'Raisonner que les idées présentées d'une manière attrayante sont correctes, quel que soit le contenu du message.', 'Utiliser un langage chargé d'émotion pour créer une impression sur le sujet d'une revendication, sans faire valoir que le langage correspond au sujet.']",2,"Question: Laquelle des affirmations suivantes décrit le mieux l'erreur selon laquelle le style est plus important que le contenu?

Choix: ['Changer le sens d'un mot ou d'une phrase d'une partie de l'argument à une autre.', 'Confondre le langage figuré avec le langage littéral.', 'Raisonner que les idées présentées d'une manière attrayante sont correctes, quel que soit le contenu du message.', 'Utiliser un langage chargé d'émotion pour créer une impression sur le sujet d'une revendication, sans faire valoir que le langage correspond au sujet.']

Réponse: Raisonner que les idées présentées d'une manière attrayante sont correctes, quel que soit le contenu du message."
Laquelle des erreurs suivantes est une façon de supprimer des preuves qui élimine une source de preuves de la considération en affirmant que la source est défectueuse lorsqu'il n'existe pas de lien réel entre le défaut allégué et la fiabilité de la source?,logical_fallacies,"['l'importance', 'l'attrait du snobisme', 'empoisonner le puits', 'faire appel à une autorité anonyme']",2,"Question: Laquelle des erreurs suivantes est une façon de supprimer des preuves qui élimine une source de preuves de la considération en affirmant que la source est défectueuse lorsqu'il n'existe pas de lien réel entre le défaut allégué et la fiabilité de la source?

Choix: ['l'importance', 'l'attrait du snobisme', 'empoisonner le puits', 'faire appel à une autorité anonyme']

Réponse: empoisonner le puits"
L'erreur de la fausse analogie est,logical_fallacies,"['un type spécifique de fausse erreur de cause qui soutient que puisque deux événements se sont produits en même temps, un événement doit avoir causé l'autre', 'argumentant qu'un événement qui a précédé un autre événement est nécessairement la cause du second événement', 'en faisant valoir que, puisque quelque chose est nouveau, il est nécessairement bon', 'tirer une conclusion sur la base d'une comparaison lorsque les éléments comparés ne sont pas suffisamment similaires pour étayer la conclusion.']",3,"Question: L'erreur de la fausse analogie est

Choix: ['un type spécifique de fausse erreur de cause qui soutient que puisque deux événements se sont produits en même temps, un événement doit avoir causé l'autre', 'argumentant qu'un événement qui a précédé un autre événement est nécessairement la cause du second événement', 'en faisant valoir que, puisque quelque chose est nouveau, il est nécessairement bon', 'tirer une conclusion sur la base d'une comparaison lorsque les éléments comparés ne sont pas suffisamment similaires pour étayer la conclusion.']

Réponse: tirer une conclusion sur la base d'une comparaison lorsque les éléments comparés ne sont pas suffisamment similaires pour étayer la conclusion."
L'erreur _ad nauseam_ est,logical_fallacies,"['argumentant que quelque chose devrait être fait parce que c'est la façon dont il a été fait dans le passé.', 'argumentant qu'un acte devrait être accompli parce qu'il n'aura pas de conséquences significatives, alors qu'il n'existe aucune preuve des effets', 'raisonnant qu'une conclusion est vraie parce qu'elle a été revendiquée si souvent', 'raisonner qu'une affirmation est vraie parce que tant de gens croient qu'elle est vraie']",2,"Question: L'erreur _ad nauseam_ est

Choix: ['argumentant que quelque chose devrait être fait parce que c'est la façon dont il a été fait dans le passé.', 'argumentant qu'un acte devrait être accompli parce qu'il n'aura pas de conséquences significatives, alors qu'il n'existe aucune preuve des effets', 'raisonnant qu'une conclusion est vraie parce qu'elle a été revendiquée si souvent', 'raisonner qu'une affirmation est vraie parce que tant de gens croient qu'elle est vraie']

Réponse: raisonnant qu'une conclusion est vraie parce qu'elle a été revendiquée si souvent"
Argumenter que ce qui est vrai d'un objet entier est également vrai de chaque partie de cet objet est l'erreur de,logical_fallacies,"['critères erronés', 'généralisation précipitée', 'Nom de l'établissement', 'département']",3,"Question: Argumenter que ce qui est vrai d'un objet entier est également vrai de chaque partie de cet objet est l'erreur de

Choix: ['critères erronés', 'généralisation précipitée', 'Nom de l'établissement', 'département']

Réponse: département"
Laquelle des affirmations suivantes décrit l'erreur du rire du cheval ?,logical_fallacies,"['répondre à un argument avec une expression de dérision au lieu d'un contre-argument', 'tentatives d'obtenir un accord fondé uniquement sur les sentiments suscités par le message', 'caractériser la position d'un adversaire de telle manière qu'elle ou ses conséquences semblent ridicules', 'l'argumentation selon laquelle des mesures devraient être prises pour éviter des résultats négatifs, lorsque ces résultats sont exagérés, peu probables ou non pertinents;']",0,"Question: Laquelle des affirmations suivantes décrit l'erreur du rire du cheval ?

Choix: ['répondre à un argument avec une expression de dérision au lieu d'un contre-argument', 'tentatives d'obtenir un accord fondé uniquement sur les sentiments suscités par le message', 'caractériser la position d'un adversaire de telle manière qu'elle ou ses conséquences semblent ridicules', 'l'argumentation selon laquelle des mesures devraient être prises pour éviter des résultats négatifs, lorsque ces résultats sont exagérés, peu probables ou non pertinents;']

Réponse: répondre à un argument avec une expression de dérision au lieu d'un contre-argument"
Argumenter qu'un manque de preuves prouve quelque chose est la fausseté de...,logical_fallacies,"['Un appel à l'ignorance', 'Double négatif', 'Équivoque', 'Charge de la preuve']",0,"Question: Argumenter qu'un manque de preuves prouve quelque chose est la fausseté de...

Choix: ['Un appel à l'ignorance', 'Double négatif', 'Équivoque', 'Charge de la preuve']

Réponse: Un appel à l'ignorance"
L'argument contre la personne est le suivant:,logical_fallacies,"['ignorer les arguments d'une autre personne et attaquer son personnage à la place', 'affirmant qu'un argumentateur adverse a pris une position facilement vaincue, ce qu'elle n'a pas vraiment pris', 'causer de la confusion lors d'une dispute par un manque de capacité à s'engager dans la réfutation', 'utiliser des menaces de faire du mal au lieu de raisonner pour obtenir un accord']",0,"Question: L'argument contre la personne est le suivant:

Choix: ['ignorer les arguments d'une autre personne et attaquer son personnage à la place', 'affirmant qu'un argumentateur adverse a pris une position facilement vaincue, ce qu'elle n'a pas vraiment pris', 'causer de la confusion lors d'une dispute par un manque de capacité à s'engager dans la réfutation', 'utiliser des menaces de faire du mal au lieu de raisonner pour obtenir un accord']

Réponse: ignorer les arguments d'une autre personne et attaquer son personnage à la place"
Laquelle des idées fausses suivantes se produit quand quelqu'un conclut que quelqu'un doit être honnête parce que les gens avec qui il traîne sont honnêtes?,logical_fallacies,"['Personnalité élogieuse', 'La culpabilité par association', 'Personnalité répréhensible', 'Le raisonnement circulaire']",1,"Question: Laquelle des idées fausses suivantes se produit quand quelqu'un conclut que quelqu'un doit être honnête parce que les gens avec qui il traîne sont honnêtes?

Choix: ['Personnalité élogieuse', 'La culpabilité par association', 'Personnalité répréhensible', 'Le raisonnement circulaire']

Réponse: La culpabilité par association"
"Si vous posez une question qui inclut une hypothèse non étayée, quelle erreur risquez- vous de commettre?",logical_fallacies,"['Un appel à l'ignorance', 'Prolongation du délai', 'à priori', 'Une question complexe']",3,"Question: Si vous posez une question qui inclut une hypothèse non étayée, quelle erreur risquez- vous de commettre?

Choix: ['Un appel à l'ignorance', 'Prolongation du délai', 'à priori', 'Une question complexe']

Réponse: Une question complexe"
"Polonius dans Hamlet de William Shakespeare: ""Votre noble fils est fou: Je l'appelle fou, car pour définir la vraie folie, qu'est-ce que c'est d'être rien d'autre que fou?""",logical_fallacies,"['Attaquer la personne (ad hominem)', 'Équivoque', 'La question est posée', 'Un appel à la pitié']",2,"Question: Polonius dans Hamlet de William Shakespeare: ""Votre noble fils est fou: Je l'appelle fou, car pour définir la vraie folie, qu'est-ce que c'est d'être rien d'autre que fou?""

Choix: ['Attaquer la personne (ad hominem)', 'Équivoque', 'La question est posée', 'Un appel à la pitié']

Réponse: La question est posée"
L'hôtel Hyatt Regency à la Nouvelle-Orléans est heureux de confirmer votre réservation.,logical_fallacies,"['Équivoque', 'L'affirmation de la conséquence', 'L'erreur du joueur', 'Incohérence']",3,"Question: L'hôtel Hyatt Regency à la Nouvelle-Orléans est heureux de confirmer votre réservation.

Choix: ['Équivoque', 'L'affirmation de la conséquence', 'L'erreur du joueur', 'Incohérence']

Réponse: Incohérence"
L'erreur de la loi naturelle est,logical_fallacies,"['argumentant que quelque chose est nécessairement mauvais parce qu'il ne coûte pas très cher', 'substituer des histoires individuelles à un échantillon plus large pour soutenir une généralisation', 'en faisant valoir que ce qui est vrai dans la nature doit être vrai sur les humains', 'la même chose que l'erreur post hoc']",2,"Question: L'erreur de la loi naturelle est

Choix: ['argumentant que quelque chose est nécessairement mauvais parce qu'il ne coûte pas très cher', 'substituer des histoires individuelles à un échantillon plus large pour soutenir une généralisation', 'en faisant valoir que ce qui est vrai dans la nature doit être vrai sur les humains', 'la même chose que l'erreur post hoc']

Réponse: en faisant valoir que ce qui est vrai dans la nature doit être vrai sur les humains"
"Si quelqu'un utilise une réaffirmation émotionnellement chargée d'une affirmation au lieu de la soutenir, quelle des erreurs suivantes a-t-il pu commettre ?",logical_fallacies,"['Le style avant la substance', 'Des épithètes qui suscitent des interrogations', 'L'hypostatisation', 'Amphibole']",1,"Question: Si quelqu'un utilise une réaffirmation émotionnellement chargée d'une affirmation au lieu de la soutenir, quelle des erreurs suivantes a-t-il pu commettre ?

Choix: ['Le style avant la substance', 'Des épithètes qui suscitent des interrogations', 'L'hypostatisation', 'Amphibole']

Réponse: Des épithètes qui suscitent des interrogations"
