question,subject,choices,answer,qa
"Der Grenzertrag entspricht den Grenzkosten an dem Punkt, an dem",high_school_microeconomics,"['Gesamtumsatz größer als Gesamtkosten in der größten Entfernung', 'Gesamtumsatz ist gleich Gesamtkosten', 'Marginalprodukt ist am höchsten Punkt', 'Gesamtprodukt ist am höchsten']",0,"Frage: Der Grenzertrag entspricht den Grenzkosten an dem Punkt, an dem

Antwortoptionen: ['Gesamtumsatz größer als Gesamtkosten in der größten Entfernung', 'Gesamtumsatz ist gleich Gesamtkosten', 'Marginalprodukt ist am höchsten Punkt', 'Gesamtprodukt ist am höchsten']

Antwort: Gesamtumsatz größer als Gesamtkosten in der größten Entfernung"
"Der Preis der Arbeit ist $2, und der Preis des Kapitals ist $1. Das Grenzprodukt der Arbeit ist 200, und das Grenzprodukt des Kapitals ist 50. Was sollte das Unternehmen tun?",high_school_microeconomics,"['Kapital erhöhen und Arbeit verringern, so dass das Grenzprodukt des Kapitals fällt und das Grenzprodukt der Arbeit steigt.', 'Erhöhen Sie das Kapital und verringern Sie die Arbeit, so dass das Grenzprodukt des Kapitals steigt und das Grenzprodukt der Arbeit fällt.', 'Verringern Sie das Kapital und erhöhen Sie die Arbeit, so dass das Grenzprodukt des Kapitals steigt und das Grenzprodukt der Arbeit fällt.', 'Verringern Sie das Kapital und erhöhen Sie die Arbeit, so dass das Grenzprodukt des Kapitals fällt und das Grenzprodukt der Arbeit steigt.']",2,"Frage: Der Preis der Arbeit ist $2, und der Preis des Kapitals ist $1. Das Grenzprodukt der Arbeit ist 200, und das Grenzprodukt des Kapitals ist 50. Was sollte das Unternehmen tun?

Antwortoptionen: ['Kapital erhöhen und Arbeit verringern, so dass das Grenzprodukt des Kapitals fällt und das Grenzprodukt der Arbeit steigt.', 'Erhöhen Sie das Kapital und verringern Sie die Arbeit, so dass das Grenzprodukt des Kapitals steigt und das Grenzprodukt der Arbeit fällt.', 'Verringern Sie das Kapital und erhöhen Sie die Arbeit, so dass das Grenzprodukt des Kapitals steigt und das Grenzprodukt der Arbeit fällt.', 'Verringern Sie das Kapital und erhöhen Sie die Arbeit, so dass das Grenzprodukt des Kapitals fällt und das Grenzprodukt der Arbeit steigt.']

Antwort: Verringern Sie das Kapital und erhöhen Sie die Arbeit, so dass das Grenzprodukt des Kapitals steigt und das Grenzprodukt der Arbeit fällt."
Bei einem Nash-Gleichgewicht,high_school_microeconomics,"['Die Angebotskurve schneidet die Nachfragekurve.', 'keine Partei hat einen Anreiz, von ihrer Strategie abzuweichen', 'die Grenzertragskurve schneidet die Grenzkostenkurve', 'Das Gleichgewicht ist instabil und jede Partei möchte ihre Strategie wechseln.']",1,"Frage: Bei einem Nash-Gleichgewicht

Antwortoptionen: ['Die Angebotskurve schneidet die Nachfragekurve.', 'keine Partei hat einen Anreiz, von ihrer Strategie abzuweichen', 'die Grenzertragskurve schneidet die Grenzkostenkurve', 'Das Gleichgewicht ist instabil und jede Partei möchte ihre Strategie wechseln.']

Antwort: keine Partei hat einen Anreiz, von ihrer Strategie abzuweichen"
"Ihnen wird gesagt, dass die Kreuzpreiselastizität zwischen Gütern X und Y +2,0 ist.",high_school_microeconomics,"['Waren X und Y sind normale Waren.', 'Waren X und Y sind minderwertige Waren.', 'Waren X und Y sind ergänzende Waren.', 'Waren X und Y sind Ersatzwaren.']",3,"Frage: Ihnen wird gesagt, dass die Kreuzpreiselastizität zwischen Gütern X und Y +2,0 ist.

Antwortoptionen: ['Waren X und Y sind normale Waren.', 'Waren X und Y sind minderwertige Waren.', 'Waren X und Y sind ergänzende Waren.', 'Waren X und Y sind Ersatzwaren.']

Antwort: Waren X und Y sind Ersatzwaren."
Eine Externalität,high_school_microeconomics,"['führt dazu, dass der Gleichgewichtspreis künstlich hoch ist', 'führt dazu, dass der Gleichgewichtspreis künstlich niedrig ist', 'existiert, wenn die Märkte kein Gleichgewicht erreichen können', 'Das Ergebnis ist ein Gleichgewicht, das nicht den Gesamtnutzen für die Gesellschaft maximiert.']",3,"Frage: Eine Externalität

Antwortoptionen: ['führt dazu, dass der Gleichgewichtspreis künstlich hoch ist', 'führt dazu, dass der Gleichgewichtspreis künstlich niedrig ist', 'existiert, wenn die Märkte kein Gleichgewicht erreichen können', 'Das Ergebnis ist ein Gleichgewicht, das nicht den Gesamtnutzen für die Gesellschaft maximiert.']

Antwort: Das Ergebnis ist ein Gleichgewicht, das nicht den Gesamtnutzen für die Gesellschaft maximiert."
"Was ist einer der Gründe, warum die Regierung Absprachen zwischen großen Firmen in derselben Branche abschreckt?",high_school_microeconomics,"['Kollaborative Produktionsniveaus neigen dazu, zu steigen und den Preis über das Wettbewerbsniveau zu treiben.', 'Der Verbraucherüberschuss sinkt, wenn der Preis nach unten getrieben wird.', 'Kollaborative Produktionsniveaus neigen dazu, zu sinken und den Preis auf ein wettbewerbsfähiges Niveau zu senken.', 'Die gemeinsame Gewinnmaximierung kostet die Gesellschaft den Verbraucherüberschuss, wenn der Preis über das Wettbewerbsniveau steigt.']",3,"Frage: Was ist einer der Gründe, warum die Regierung Absprachen zwischen großen Firmen in derselben Branche abschreckt?

Antwortoptionen: ['Kollaborative Produktionsniveaus neigen dazu, zu steigen und den Preis über das Wettbewerbsniveau zu treiben.', 'Der Verbraucherüberschuss sinkt, wenn der Preis nach unten getrieben wird.', 'Kollaborative Produktionsniveaus neigen dazu, zu sinken und den Preis auf ein wettbewerbsfähiges Niveau zu senken.', 'Die gemeinsame Gewinnmaximierung kostet die Gesellschaft den Verbraucherüberschuss, wenn der Preis über das Wettbewerbsniveau steigt.']

Antwort: Die gemeinsame Gewinnmaximierung kostet die Gesellschaft den Verbraucherüberschuss, wenn der Preis über das Wettbewerbsniveau steigt."
"Welches der folgenden Beispiele veranschaulicht die Nachfragekurve, mit der ein Oligopolist konfrontiert ist, wenn konkurrierende Unternehmen einem Preisrückgang, aber nicht einem Preisanstieg folgen?",high_school_microeconomics,"['Perfekt horizontale Nachfragekurve.', 'Sehr unelastische Nachfragekurve.', 'Sehr elastische Nachfragekurve.', 'Eine Nachfragekurve, die aus zwei diskontinuierlichen Segmenten besteht.']",3,"Frage: Welches der folgenden Beispiele veranschaulicht die Nachfragekurve, mit der ein Oligopolist konfrontiert ist, wenn konkurrierende Unternehmen einem Preisrückgang, aber nicht einem Preisanstieg folgen?

Antwortoptionen: ['Perfekt horizontale Nachfragekurve.', 'Sehr unelastische Nachfragekurve.', 'Sehr elastische Nachfragekurve.', 'Eine Nachfragekurve, die aus zwei diskontinuierlichen Segmenten besteht.']

Antwort: Eine Nachfragekurve, die aus zwei diskontinuierlichen Segmenten besteht."
Welches der folgenden Faktoren ist nicht die Grundlage für eine Lohndifferenz?,high_school_microeconomics,"['Ein riskanter Job.', 'Investitionen in Humankapital.', 'Steigerung der Produktion von Geländewagen.', 'Rassistische Diskriminierung.']",2,"Frage: Welches der folgenden Faktoren ist nicht die Grundlage für eine Lohndifferenz?

Antwortoptionen: ['Ein riskanter Job.', 'Investitionen in Humankapital.', 'Steigerung der Produktion von Geländewagen.', 'Rassistische Diskriminierung.']

Antwort: Steigerung der Produktion von Geländewagen."
"Patente, Kontrolle der Ressourcen, Skaleneffekte und ausschließliche Lizenzen sind",high_school_microeconomics,"['alle Anforderungen an die Preisdiskriminierung', 'erforderlich, damit ein Unternehmen kurzfristige Gewinne erzielen kann', 'alle Quellen der elastischen Nachfrage', 'alle Eintrittsbarrieren']",3,"Frage: Patente, Kontrolle der Ressourcen, Skaleneffekte und ausschließliche Lizenzen sind

Antwortoptionen: ['alle Anforderungen an die Preisdiskriminierung', 'erforderlich, damit ein Unternehmen kurzfristige Gewinne erzielen kann', 'alle Quellen der elastischen Nachfrage', 'alle Eintrittsbarrieren']

Antwort: alle Eintrittsbarrieren"
"Die Industrie, die Plastikarmeefiguren herstellt, verbraucht nur einen kleinen Bruchteil des für alle Zwecke benötigten Kunststoffs Auf dieser Grundlage können wir schließen, dass die Armee-Figuren-Industrie höchstwahrscheinlich",high_school_microeconomics,"['Industrie mit steigenden Kosten', 'Industrie mit konstanten Kosten', 'Industrie mit sinkenden Kosten', 'gewinnorientierte Industrie']",1,"Frage: Die Industrie, die Plastikarmeefiguren herstellt, verbraucht nur einen kleinen Bruchteil des für alle Zwecke benötigten Kunststoffs Auf dieser Grundlage können wir schließen, dass die Armee-Figuren-Industrie höchstwahrscheinlich

Antwortoptionen: ['Industrie mit steigenden Kosten', 'Industrie mit konstanten Kosten', 'Industrie mit sinkenden Kosten', 'gewinnorientierte Industrie']

Antwort: Industrie mit konstanten Kosten"
