question,subject,choices,answer,qa
Quels aliments ont tendance à être consommés en quantités inférieures au Pays de Galles et en Écosse (à partir de 2020)?,nutrition,"['La viande', 'Produits de confiserie', 'Fruits et légumes', 'Les pommes de terre']",2,"Question: Quels aliments ont tendance à être consommés en quantités inférieures au Pays de Galles et en Écosse (à partir de 2020)?

Choix: ['La viande', 'Produits de confiserie', 'Fruits et légumes', 'Les pommes de terre']

Réponse: Fruits et légumes"
"Dans laquelle des circonstances suivantes la prévalence d'une maladie dans la population augmentera-t-elle, toutes les autres étant constantes?",nutrition,"['Si le taux d'incidence de la maladie diminue.', 'Si le temps de survie avec la maladie augmente.', 'Si la guérison de la maladie est plus rapide.', 'Si la population dans laquelle la maladie est mesurée augmente.']",1,"Question: Dans laquelle des circonstances suivantes la prévalence d'une maladie dans la population augmentera-t-elle, toutes les autres étant constantes?

Choix: ['Si le taux d'incidence de la maladie diminue.', 'Si le temps de survie avec la maladie augmente.', 'Si la guérison de la maladie est plus rapide.', 'Si la population dans laquelle la maladie est mesurée augmente.']

Réponse: Si le temps de survie avec la maladie augmente."
Laquelle des affirmations suivantes est correcte ?,nutrition,"['La classe des flavonoïdes comprend les flavonoïdes et les isoflavonoïdes.', 'La digestibilité et la biodisponibilité des isoflavones dans les produits alimentaires à base de soja ne sont pas modifiées par la transformation.', 'Le ß-carotène et le lycopène peuvent tous deux agir comme provitamine A.', 'Les caroténoïdes et les flavonoïdes appartiennent tous deux à la classe des polyphénols.']",0,"Question: Laquelle des affirmations suivantes est correcte ?

Choix: ['La classe des flavonoïdes comprend les flavonoïdes et les isoflavonoïdes.', 'La digestibilité et la biodisponibilité des isoflavones dans les produits alimentaires à base de soja ne sont pas modifiées par la transformation.', 'Le ß-carotène et le lycopène peuvent tous deux agir comme provitamine A.', 'Les caroténoïdes et les flavonoïdes appartiennent tous deux à la classe des polyphénols.']

Réponse: La classe des flavonoïdes comprend les flavonoïdes et les isoflavonoïdes."
Quelles sont les principales causes de l'épidémie d'obésité?,nutrition,"['Augmentation de la quantité/densité d'énergie et mode de vie plus sédentaire', 'Diminution de l'activité de loisirs', 'Changements dans les profils génétiques', 'Aucune des options données n'est correcte']",0,"Question: Quelles sont les principales causes de l'épidémie d'obésité?

Choix: ['Augmentation de la quantité/densité d'énergie et mode de vie plus sédentaire', 'Diminution de l'activité de loisirs', 'Changements dans les profils génétiques', 'Aucune des options données n'est correcte']

Réponse: Augmentation de la quantité/densité d'énergie et mode de vie plus sédentaire"
Quelle vitamine est le principal antioxydant liposoluble dans les membranes cellulaires ?,nutrition,"['Vitamine A', 'Vitamine D', 'Vitamine E', 'Vitamine K']",2,"Question: Quelle vitamine est le principal antioxydant liposoluble dans les membranes cellulaires ?

Choix: ['Vitamine A', 'Vitamine D', 'Vitamine E', 'Vitamine K']

Réponse: Vitamine E"
Lequel des facteurs suivants contribue à la carence en vitamine B12 chez les personnes âgées?,nutrition,"['Réduction de la sécrétion du facteur intrinsèque', 'Gastrite atrophique', 'Infection à Helicobacter pylori', 'Tout ce qui précède']",3,"Question: Lequel des facteurs suivants contribue à la carence en vitamine B12 chez les personnes âgées?

Choix: ['Réduction de la sécrétion du facteur intrinsèque', 'Gastrite atrophique', 'Infection à Helicobacter pylori', 'Tout ce qui précède']

Réponse: Tout ce qui précède"
L'obésité augmente le risque de cancer de l'endomètre.,nutrition,"['Testostérone', 'Oestrogène', 'Facteur de croissance analogue à l'insuline-1', 'Thyroxine']",1,"Question: L'obésité augmente le risque de cancer de l'endomètre.

Choix: ['Testostérone', 'Oestrogène', 'Facteur de croissance analogue à l'insuline-1', 'Thyroxine']

Réponse: Oestrogène"
Quelle vitamine est nécessaire à l'absorption du calcium par l'intestin grêle ?,nutrition,"['Vitamine A', 'Vitamine D', 'Vitamine E', 'Vitamine K']",1,"Question: Quelle vitamine est nécessaire à l'absorption du calcium par l'intestin grêle ?

Choix: ['Vitamine A', 'Vitamine D', 'Vitamine E', 'Vitamine K']

Réponse: Vitamine D"
Laquelle des affirmations suivantes concernant la demande métabolique en acides aminés est correcte?,nutrition,"['Les besoins métaboliques ne sont satisfaits que par l'alimentation,', 'La demande métabolique est de maintenir le chiffre d'affaires des protéines.', 'La demande métabolique implique la consommation d'acides aminés par un certain nombre de voies irréversibles qui sont soit obligatoires, soit adaptatives.', 'La demande métabolique est une quantité fixe']",2,"Question: Laquelle des affirmations suivantes concernant la demande métabolique en acides aminés est correcte?

Choix: ['Les besoins métaboliques ne sont satisfaits que par l'alimentation,', 'La demande métabolique est de maintenir le chiffre d'affaires des protéines.', 'La demande métabolique implique la consommation d'acides aminés par un certain nombre de voies irréversibles qui sont soit obligatoires, soit adaptatives.', 'La demande métabolique est une quantité fixe']

Réponse: La demande métabolique implique la consommation d'acides aminés par un certain nombre de voies irréversibles qui sont soit obligatoires, soit adaptatives."
Laquelle des affirmations suivantes concernant les besoins en acides aminés humains dans l'alimentation humaine est correcte?,nutrition,"['Les besoins en acides aminés déterminés pour les adultes sont supposés être le modèle de besoins pour tous les âges.', 'Les besoins en acides aminés déterminés pour les adultes sont supposés correspondre aux besoins d'entretien pour tous les âges.', 'Le modèle d'acides aminés du lait maternel est supposé être le modèle requis pour tous les enfants.', 'Le schéma d'acides aminés des protéines des tissus humains est supposé être le schéma requis pour les nourrissons et les jeunes enfants.']",1,"Question: Laquelle des affirmations suivantes concernant les besoins en acides aminés humains dans l'alimentation humaine est correcte?

Choix: ['Les besoins en acides aminés déterminés pour les adultes sont supposés être le modèle de besoins pour tous les âges.', 'Les besoins en acides aminés déterminés pour les adultes sont supposés correspondre aux besoins d'entretien pour tous les âges.', 'Le modèle d'acides aminés du lait maternel est supposé être le modèle requis pour tous les enfants.', 'Le schéma d'acides aminés des protéines des tissus humains est supposé être le schéma requis pour les nourrissons et les jeunes enfants.']

Réponse: Les besoins en acides aminés déterminés pour les adultes sont supposés correspondre aux besoins d'entretien pour tous les âges."
