question,subject,choices,answer,qa
Supposons qu'une politique budgétaire expansionniste conduise à une forte augmentation de la production réelle et à une légère augmentation du niveau des prix.,high_school_macroeconomics,"['L'inflation avait déjà eu un impact sur l'économie avant la relance budgétaire.', 'l'économie avait initialement quelques ressources sans emploi.', 'l'offre globale a diminué.', 'La demande globale est en forte baisse.']",1,"Question: Supposons qu'une politique budgétaire expansionniste conduise à une forte augmentation de la production réelle et à une légère augmentation du niveau des prix.

Choix: ['L'inflation avait déjà eu un impact sur l'économie avant la relance budgétaire.', 'l'économie avait initialement quelques ressources sans emploi.', 'l'offre globale a diminué.', 'La demande globale est en forte baisse.']

Réponse: l'économie avait initialement quelques ressources sans emploi."
Lequel des éléments suivants est inclus dans U.S. Le PIB ? La valeur marchande des films réalisés en Afrique par les États-Unis Les citoyens II La valeur marchande de l'huile d'olive produite en Italie et vendue aux États-Unis Nom de l'entreprise La valeur marchande des jeans fabriqués aux États-Unis et vendus au Japon IV La valeur marchande du vin produit aux États-Unis par des citoyens canadiens,high_school_macroeconomics,"['II III et IV uniquement', 'I et III uniquement', 'II et IV uniquement', 'III et IV uniquement']",3,"Question: Lequel des éléments suivants est inclus dans U.S. Le PIB ? La valeur marchande des films réalisés en Afrique par les États-Unis Les citoyens II La valeur marchande de l'huile d'olive produite en Italie et vendue aux États-Unis Nom de l'entreprise La valeur marchande des jeans fabriqués aux États-Unis et vendus au Japon IV La valeur marchande du vin produit aux États-Unis par des citoyens canadiens

Choix: ['II III et IV uniquement', 'I et III uniquement', 'II et IV uniquement', 'III et IV uniquement']

Réponse: III et IV uniquement"
"Lorsque l'offre agrégée à court terme et la demande agrégée augmentent, lequel des éléments suivants peut être dit avec certitude?",high_school_macroeconomics,"['Le niveau des prix augmente mais le PIB réel diminue.', 'Le niveau des prix et le PIB réel augmentent.', 'Le niveau des prix augmente, mais l'évolution du PIB réel est incertaine.', 'Le PIB réel augmente mais la variation du niveau des prix est incertaine.']",3,"Question: Lorsque l'offre agrégée à court terme et la demande agrégée augmentent, lequel des éléments suivants peut être dit avec certitude?

Choix: ['Le niveau des prix augmente mais le PIB réel diminue.', 'Le niveau des prix et le PIB réel augmentent.', 'Le niveau des prix augmente, mais l'évolution du PIB réel est incertaine.', 'Le PIB réel augmente mais la variation du niveau des prix est incertaine.']

Réponse: Le PIB réel augmente mais la variation du niveau des prix est incertaine."
Tarifs douaniers et contingents,high_school_macroeconomics,"['Il en résulte une baisse des prix intérieurs.', 'Parfois, il augmente et parfois il diminue la quantité du produit vendue sur le marché intérieur.', 'réduire la quantité du produit vendue sur le marché intérieur.', 'augmenter la quantité du produit vendue sur le marché intérieur.']",2,"Question: Tarifs douaniers et contingents

Choix: ['Il en résulte une baisse des prix intérieurs.', 'Parfois, il augmente et parfois il diminue la quantité du produit vendue sur le marché intérieur.', 'réduire la quantité du produit vendue sur le marché intérieur.', 'augmenter la quantité du produit vendue sur le marché intérieur.']

Réponse: réduire la quantité du produit vendue sur le marché intérieur."
Une cause probable de la baisse des prix des obligations du Trésor pourrait être,high_school_macroeconomics,"['politique monétaire expansionniste.', 'politique monétaire de contraction.', 'un dollar qui se déprécie.', 'politique budgétaire visant à réduire le déficit budgétaire.']",1,"Question: Une cause probable de la baisse des prix des obligations du Trésor pourrait être

Choix: ['politique monétaire expansionniste.', 'politique monétaire de contraction.', 'un dollar qui se déprécie.', 'politique budgétaire visant à réduire le déficit budgétaire.']

Réponse: politique monétaire de contraction."
Les ménages demandent plus d'argent en tant qu'actif lorsque,high_school_macroeconomics,"['Le PIB nominal est en baisse.', 'le taux d'intérêt nominal diminue.', 'les prix des obligations baissent.', 'l'offre de monnaie diminue.']",1,"Question: Les ménages demandent plus d'argent en tant qu'actif lorsque

Choix: ['Le PIB nominal est en baisse.', 'le taux d'intérêt nominal diminue.', 'les prix des obligations baissent.', 'l'offre de monnaie diminue.']

Réponse: le taux d'intérêt nominal diminue."
Efficacité d'allocation,high_school_macroeconomics,"['Cela signifie qu'aucun produit de qualité inférieure ne sera produit.', 'implique que la production de l'économie est répartie uniformément.', 'signifie que ceux qui travaillent le plus dur recevront plus.', 'implique que les ressources sont utilisées pour produire les biens et les services que la société désire en quantités justes.']",3,"Question: Efficacité d'allocation

Choix: ['Cela signifie qu'aucun produit de qualité inférieure ne sera produit.', 'implique que la production de l'économie est répartie uniformément.', 'signifie que ceux qui travaillent le plus dur recevront plus.', 'implique que les ressources sont utilisées pour produire les biens et les services que la société désire en quantités justes.']

Réponse: implique que les ressources sont utilisées pour produire les biens et les services que la société désire en quantités justes."
Mesures du PIB,high_school_macroeconomics,"['production à l'intérieur des frontières d'un pays.', 'production par les citoyens d'une nation où qu'ils se trouvent.', 'les revenus générés par les facteurs de production, majorés des amortissements et des impôts indirects sur les entreprises.', '(A) et (C)']",3,"Question: Mesures du PIB

Choix: ['production à l'intérieur des frontières d'un pays.', 'production par les citoyens d'une nation où qu'ils se trouvent.', 'les revenus générés par les facteurs de production, majorés des amortissements et des impôts indirects sur les entreprises.', '(A) et (C)']

Réponse: (A) et (C)"
Chaque choix se traduit par une meilleure alternative prédéterminée que les économistes appellent,high_school_macroeconomics,"['coût comptable', 'coût de la commutation', 'coût inférieur', 'coût d'opportunité']",3,"Question: Chaque choix se traduit par une meilleure alternative prédéterminée que les économistes appellent

Choix: ['coût comptable', 'coût de la commutation', 'coût inférieur', 'coût d'opportunité']

Réponse: coût d'opportunité"
Quand une nation fonctionne au taux naturel de chômage,high_school_macroeconomics,"['Il n'y a pas de chômage cyclique.', 'le taux d'inflation est égal à zéro.', 'Il n'y a pas de chômage structurel.', 'La nation connaît une récession.']",0,"Question: Quand une nation fonctionne au taux naturel de chômage

Choix: ['Il n'y a pas de chômage cyclique.', 'le taux d'inflation est égal à zéro.', 'Il n'y a pas de chômage structurel.', 'La nation connaît une récession.']

Réponse: Il n'y a pas de chômage cyclique."
"Si un pays a une valeur négative sur sa balance courante, il doit",high_school_macroeconomics,"['verser ce montant à ses partenaires commerciaux.', 'ont une valeur positive de même ampleur sur son compte de capital.', 'déprécie sa monnaie.', 'apprécier sa monnaie.']",1,"Question: Si un pays a une valeur négative sur sa balance courante, il doit

Choix: ['verser ce montant à ses partenaires commerciaux.', 'ont une valeur positive de même ampleur sur son compte de capital.', 'déprécie sa monnaie.', 'apprécier sa monnaie.']

Réponse: ont une valeur positive de même ampleur sur son compte de capital."
