question,subject,choices,answer,qa
Die Studie über ältere Erwachsene und das Altern wird als,human_aging,"['Gerontologie', 'Geropsychiatrie', 'Geriatrie', 'Geroherziehung']",0,"Frage: Die Studie über ältere Erwachsene und das Altern wird als

Antwortoptionen: ['Gerontologie', 'Geropsychiatrie', 'Geriatrie', 'Geroherziehung']

Antwort: Gerontologie"
Welcher der folgenden Faktoren ist mit einem verringerten Risiko für Alzheimer verbunden?,human_aging,"['Afroamerikaner oder Hispanoamerikaner zu sein', 'Verzehr von Fisch', 'Niedrigere Bildungsstufe', 'Verheiratet sein']",1,"Frage: Welcher der folgenden Faktoren ist mit einem verringerten Risiko für Alzheimer verbunden?

Antwortoptionen: ['Afroamerikaner oder Hispanoamerikaner zu sein', 'Verzehr von Fisch', 'Niedrigere Bildungsstufe', 'Verheiratet sein']

Antwort: Verzehr von Fisch"
"Die Gehorsamshypothese ist, dass",human_aging,"['Diejenigen mit geringen Kapazitäten sind anfälliger für Umweltanforderungen', 'Diejenigen, die eine hohe Umweltbelastung erfahren, werden fügsamer.', 'Diejenigen, die mit hohen Umweltanforderungen konfrontiert sind, werden weniger fügsam.', 'Diejenigen mit geringeren Fähigkeiten sind weniger anfällig für Umweltanforderungen']",0,"Frage: Die Gehorsamshypothese ist, dass

Antwortoptionen: ['Diejenigen mit geringen Kapazitäten sind anfälliger für Umweltanforderungen', 'Diejenigen, die eine hohe Umweltbelastung erfahren, werden fügsamer.', 'Diejenigen, die mit hohen Umweltanforderungen konfrontiert sind, werden weniger fügsam.', 'Diejenigen mit geringeren Fähigkeiten sind weniger anfällig für Umweltanforderungen']

Antwort: Diejenigen mit geringen Kapazitäten sind anfälliger für Umweltanforderungen"
Das normale Gedächtnis scheint durch,human_aging,"['Aerobic-Übungen', 'Einnahme von Acetylcholin', 'Die Einnahme von Gingko', 'Verstärkte soziale Kontakte']",0,"Frage: Das normale Gedächtnis scheint durch

Antwortoptionen: ['Aerobic-Übungen', 'Einnahme von Acetylcholin', 'Die Einnahme von Gingko', 'Verstärkte soziale Kontakte']

Antwort: Aerobic-Übungen"
"Die Perspektive, dass Entwicklung in die Geschichte eingebettet ist, bedeutet, dass",human_aging,"['Veränderungen können immer auftreten, unabhängig vom Alter.', 'Soziokulturelle Bedingungen müssen stets berücksichtigt werden', 'Die Entwicklung in einem bestimmten Bereich (z. B. sozial) ist mit der Entwicklung in anderen Bereichen (z. B. kognitiven) verbunden.', 'Einige Merkmale ändern sich mit dem Alter, andere nicht']",1,"Frage: Die Perspektive, dass Entwicklung in die Geschichte eingebettet ist, bedeutet, dass

Antwortoptionen: ['Veränderungen können immer auftreten, unabhängig vom Alter.', 'Soziokulturelle Bedingungen müssen stets berücksichtigt werden', 'Die Entwicklung in einem bestimmten Bereich (z. B. sozial) ist mit der Entwicklung in anderen Bereichen (z. B. kognitiven) verbunden.', 'Einige Merkmale ändern sich mit dem Alter, andere nicht']

Antwort: Soziokulturelle Bedingungen müssen stets berücksichtigt werden"
"Die Antwort ""beide spielen eine wichtige Rolle"" ist eindeutig auf die",human_aging,"['Natur gegen Erziehung', 'Mechanische und organische', 'Kontinuität vs. Diskontinuität', 'All diese Fragen']",3,"Frage: Die Antwort ""beide spielen eine wichtige Rolle"" ist eindeutig auf die

Antwortoptionen: ['Natur gegen Erziehung', 'Mechanische und organische', 'Kontinuität vs. Diskontinuität', 'All diese Fragen']

Antwort: All diese Fragen"
"Welches der folgenden Symptome tritt normalerweise NICHT in der Augenlinse auf, wenn man älter wird?",human_aging,"['Es wird dicker .', 'Es wird gelb .', 'Es wird trübe', 'Es füllt sich mit Flüssigkeit.']",3,"Frage: Welches der folgenden Symptome tritt normalerweise NICHT in der Augenlinse auf, wenn man älter wird?

Antwortoptionen: ['Es wird dicker .', 'Es wird gelb .', 'Es wird trübe', 'Es füllt sich mit Flüssigkeit.']

Antwort: Es füllt sich mit Flüssigkeit."
"Die Häuser der Zukunft ermöglichen es Ihnen, praktisch alles im Haus von einem zentralen Terminal aus zu steuern; ein solches Haus ist bereits in Produktion und wird als",human_aging,"['Technohouse', 'Kompuhaus', 'Zukunftshaus', 'Smarthäuschen']",3,"Frage: Die Häuser der Zukunft ermöglichen es Ihnen, praktisch alles im Haus von einem zentralen Terminal aus zu steuern; ein solches Haus ist bereits in Produktion und wird als

Antwortoptionen: ['Technohouse', 'Kompuhaus', 'Zukunftshaus', 'Smarthäuschen']

Antwort: Smarthäuschen"
"Der Reaktionszeitunterschied zwischen jüngeren und älteren Erwachsenen wird verringert, wenn ältere Erwachsene",human_aging,"['Regelmäßige Aerobic-Übungen', 'Regelmäßig Gewichte heben', 'Verzehren Sie große Mengen an Vitaminen', 'Praktizieren Sie Tai Chi']",0,"Frage: Der Reaktionszeitunterschied zwischen jüngeren und älteren Erwachsenen wird verringert, wenn ältere Erwachsene

Antwortoptionen: ['Regelmäßige Aerobic-Übungen', 'Regelmäßig Gewichte heben', 'Verzehren Sie große Mengen an Vitaminen', 'Praktizieren Sie Tai Chi']

Antwort: Regelmäßige Aerobic-Übungen"
"Ein Hauptunterschied zwischen programmierten und unprogrammierten Theorien der Alterung ist, dass programmierte Theorien",human_aging,"['Alterung nur auf Umweltfaktoren zurückzuführen', 'Sind viel zu schwierig zu testen', 'Die Behauptung, dass die Alterung einem vorbestimmten Plan folgt', 'Zu stark auf Computermodelle angewiesen']",2,"Frage: Ein Hauptunterschied zwischen programmierten und unprogrammierten Theorien der Alterung ist, dass programmierte Theorien

Antwortoptionen: ['Alterung nur auf Umweltfaktoren zurückzuführen', 'Sind viel zu schwierig zu testen', 'Die Behauptung, dass die Alterung einem vorbestimmten Plan folgt', 'Zu stark auf Computermodelle angewiesen']

Antwort: Die Behauptung, dass die Alterung einem vorbestimmten Plan folgt"
