question,subject,choices,answer,qa
Welcher dieser Grundsätze ist nicht Bestandteil der Schutzverantwortung?,security_studies,"['Die Verantwortung zu verhindern.', 'Die Verantwortung zu reagieren.', 'Die Verantwortung, souverän zu bleiben.', 'Die Verantwortung für den Wiederaufbau.']",2,"Frage: Welcher dieser Grundsätze ist nicht Bestandteil der Schutzverantwortung?

Antwortoptionen: ['Die Verantwortung zu verhindern.', 'Die Verantwortung zu reagieren.', 'Die Verantwortung, souverän zu bleiben.', 'Die Verantwortung für den Wiederaufbau.']

Antwort: Die Verantwortung, souverän zu bleiben."
Können Umweltveränderungen mit nationalen Sicherheitsinteressen in Einklang gebracht werden?,security_studies,"['Umweltprobleme für das Wirtschaftswachstum wie die Bewirtschaftung natürlicher Ressourcen und die Beschäftigung Der Präsident. - Die Aussprache ist geschlossen. Die Aussprache ist geschlossen.', 'Umweltveränderungen können die nationale Sicherheit in vielerlei Hinsicht untergraben, einschließlich der Schwächung der wirtschaftlichen Basis, die die militärische Kapazität bestimmt Wenn also die natürliche Kapitalbasis einer Wirtschaft erodiert, dann erodiert auch die langfristige Kapazität ihrer Streitkräfte. Jede Entwicklung wird jedoch 'menschliche' Auswirkungen haben.', 'Die Umweltprobleme, mit denen Länder konfrontiert sind, sind hauptsächlich interner Natur. Externe Bedrohungen bleiben unter der Kontrolle eines Landes: Externe militärische Bedrohungen bleiben unverändert und stellen ein vorrangiges Anliegen dar.', 'All diese Möglichkeiten.']",1,"Frage: Können Umweltveränderungen mit nationalen Sicherheitsinteressen in Einklang gebracht werden?

Antwortoptionen: ['Umweltprobleme für das Wirtschaftswachstum wie die Bewirtschaftung natürlicher Ressourcen und die Beschäftigung Der Präsident. - Die Aussprache ist geschlossen. Die Aussprache ist geschlossen.', 'Umweltveränderungen können die nationale Sicherheit in vielerlei Hinsicht untergraben, einschließlich der Schwächung der wirtschaftlichen Basis, die die militärische Kapazität bestimmt Wenn also die natürliche Kapitalbasis einer Wirtschaft erodiert, dann erodiert auch die langfristige Kapazität ihrer Streitkräfte. Jede Entwicklung wird jedoch 'menschliche' Auswirkungen haben.', 'Die Umweltprobleme, mit denen Länder konfrontiert sind, sind hauptsächlich interner Natur. Externe Bedrohungen bleiben unter der Kontrolle eines Landes: Externe militärische Bedrohungen bleiben unverändert und stellen ein vorrangiges Anliegen dar.', 'All diese Möglichkeiten.']

Antwort: Umweltveränderungen können die nationale Sicherheit in vielerlei Hinsicht untergraben, einschließlich der Schwächung der wirtschaftlichen Basis, die die militärische Kapazität bestimmt Wenn also die natürliche Kapitalbasis einer Wirtschaft erodiert, dann erodiert auch die langfristige Kapazität ihrer Streitkräfte. Jede Entwicklung wird jedoch ""menschliche"" Auswirkungen haben."
Welche der folgenden Aussagen könnte man als eine liberale Perspektive auf die künftige Energiesicherheit bezeichnen?,security_studies,"['Die globale Wirtschaft ist miteinander verbunden, wodurch sichergestellt wird, dass die Energieversorgungssicherheit für einen von der Energieversorgungssicherheit für alle abhängt. Daher haben alle Kernmächte das gleiche Interesse an der Aufrechterhaltung und Erweiterung der Bedingungen, unter denen dieser Markt funktioniert. Solange diese wirtschaftliche Ordnung besteht, ist ein Konflikt zwischen Großmächten über die Energiereserven höchst unwahrscheinlich.', 'Die Energieknappheit wird wahrscheinlich zu künftigen Störungen des globalen Systems und der Entstehung einer 'neuen internationalen Energieordnung' führen. In diesem Zusammenhang möchte ich nochmals darauf hinweisen, daß es sich um eine Politik handelt, die weniger durch den liberalen freien Markt als durch den Staatismus und den Neo-Merkantilismus gekennzeichnet ist.', 'Öl bleibt das Lebensnerv der gegenwärtigen Ordnung - eine Ordnung, die auf einer ungleichen (und zutiefst ungerechten) Verteilung von Reichtum und Macht zugunsten der kapitalistischen ökonomischen Eliten basiert Diejenigen, die am meisten von der herrschenden Ordnung profitieren, werden dafür sorgen, dass der Energiefluss unter günstigen Bedingungen ihre Position im globalen System weiterhin untermauert.', 'Die Energieknappheit wird eine Rückkehr zu einer Ära größerer geopolitischer Konfrontationen bedeuten. 'Ressourcenkriege' vor allem über Energiequellen Es besteht eine klare Möglichkeit für einen Zusammenbruch der internationalen Zusammenarbeit. Da die Staaten anfangen, um die Kontrolle über wichtige Reserven zu konkurrieren (und schließlich in Konflikt zu geraten).']",0,"Frage: Welche der folgenden Aussagen könnte man als eine liberale Perspektive auf die künftige Energiesicherheit bezeichnen?

Antwortoptionen: ['Die globale Wirtschaft ist miteinander verbunden, wodurch sichergestellt wird, dass die Energieversorgungssicherheit für einen von der Energieversorgungssicherheit für alle abhängt. Daher haben alle Kernmächte das gleiche Interesse an der Aufrechterhaltung und Erweiterung der Bedingungen, unter denen dieser Markt funktioniert. Solange diese wirtschaftliche Ordnung besteht, ist ein Konflikt zwischen Großmächten über die Energiereserven höchst unwahrscheinlich.', 'Die Energieknappheit wird wahrscheinlich zu künftigen Störungen des globalen Systems und der Entstehung einer 'neuen internationalen Energieordnung' führen. In diesem Zusammenhang möchte ich nochmals darauf hinweisen, daß es sich um eine Politik handelt, die weniger durch den liberalen freien Markt als durch den Staatismus und den Neo-Merkantilismus gekennzeichnet ist.', 'Öl bleibt das Lebensnerv der gegenwärtigen Ordnung - eine Ordnung, die auf einer ungleichen (und zutiefst ungerechten) Verteilung von Reichtum und Macht zugunsten der kapitalistischen ökonomischen Eliten basiert Diejenigen, die am meisten von der herrschenden Ordnung profitieren, werden dafür sorgen, dass der Energiefluss unter günstigen Bedingungen ihre Position im globalen System weiterhin untermauert.', 'Die Energieknappheit wird eine Rückkehr zu einer Ära größerer geopolitischer Konfrontationen bedeuten. 'Ressourcenkriege' vor allem über Energiequellen Es besteht eine klare Möglichkeit für einen Zusammenbruch der internationalen Zusammenarbeit. Da die Staaten anfangen, um die Kontrolle über wichtige Reserven zu konkurrieren (und schließlich in Konflikt zu geraten).']

Antwort: Die globale Wirtschaft ist miteinander verbunden, wodurch sichergestellt wird, dass die Energieversorgungssicherheit für einen von der Energieversorgungssicherheit für alle abhängt. Daher haben alle Kernmächte das gleiche Interesse an der Aufrechterhaltung und Erweiterung der Bedingungen, unter denen dieser Markt funktioniert. Solange diese wirtschaftliche Ordnung besteht, ist ein Konflikt zwischen Großmächten über die Energiereserven höchst unwahrscheinlich."
Welche Kritik wird häufig gegen das Konzept der menschlichen Sicherheit geäußert?,security_studies,"['Die menschliche Sicherheit ist neokolonial.', 'Die menschliche Sicherheit fördert den globalen Kapitalismus.', 'Die menschliche Sicherheit ist zu umfangreich.', 'All diese Möglichkeiten.']",3,"Frage: Welche Kritik wird häufig gegen das Konzept der menschlichen Sicherheit geäußert?

Antwortoptionen: ['Die menschliche Sicherheit ist neokolonial.', 'Die menschliche Sicherheit fördert den globalen Kapitalismus.', 'Die menschliche Sicherheit ist zu umfangreich.', 'All diese Möglichkeiten.']

Antwort: All diese Möglichkeiten."
Wie haben die Regierungen auf die Bedrohung durch TNC nach dem Kalten Krieg reagiert?,security_studies,"['Die staatlichen Reaktionen auf die grenzüberschreitende Kriminalität haben sich im Zusammenhang mit der zunehmenden Bedrohung der Integrität des Staates entwickelt. Die organisierte Kriminalität wurde in erster Linie als eine Bedrohung der nationalen Sicherheit angesehen, die im Inland angegangen werden sollte. Die institutionalisierten internationalen Ansätze für den Austausch von Informationen waren überwiegend bilateral in dem Maße, dass Straftäter, die sich der Justiz entziehen wollen, zur Rechenschaft gezogen werden.', 'Mit der Expansion der transnationalen Konzerne in den 90er Jahren Die Mitgliedstaaten waren zunehmend bereit, Maßnahmen zu ergreifen, um die Asymmetrien zwischen den Ländern durch die Harmonisierung der Rechtsvorschriften und die Erhöhung der Polizeikapazitäten und der Vernetzung zu verringern. Die Reaktion der Regierung auf die grenzüberschreitende Kriminalität konzentriert sich auf die Personen und Organisationen, die die Kriminalität begehen, und nicht auf die kriminellen Märkte selbst.', 'Der US-Krieg gegen die Drogen hat stark beeinflusst die Konstruktion der Regierung Reaktion auf die wachsende Wahrnehmung, dass das Phänomen der TNC stellt eine Bedrohung der nationalen Sicherheit Der Ansatz legt den Schwerpunkt auf die bilaterale und multilaterale Zusammenarbeit bei der Strafverfolgung, kombiniert mit bilateralen Maßnahmen, um die Staaten dazu zu bewegen, die Regulierung und die Strafverfolgung gegenüber transnationalen Unternehmen zu verstärken.', 'Die Entstehung von Normen, die die Reaktion auf das Gespenst des organisierten Verbrechens und die Harmonisierung der Gesetzgebung regeln, erfolgte mit dem sich entwickelnden globalen Krieg gegen den Terror, in dem der Terrorismus-organisierte Verbrechensverbund zur Militarisierung der Strafverfolgung führte: der Einsatz militärischer Technologie und Geheimdienst im Gegensatz zur Bewältigung der zugrunde liegenden Bedingungen, die den illegalen Handel durch eine internationale institutionelle Reaktion erleichtern.']",1,"Frage: Wie haben die Regierungen auf die Bedrohung durch TNC nach dem Kalten Krieg reagiert?

Antwortoptionen: ['Die staatlichen Reaktionen auf die grenzüberschreitende Kriminalität haben sich im Zusammenhang mit der zunehmenden Bedrohung der Integrität des Staates entwickelt. Die organisierte Kriminalität wurde in erster Linie als eine Bedrohung der nationalen Sicherheit angesehen, die im Inland angegangen werden sollte. Die institutionalisierten internationalen Ansätze für den Austausch von Informationen waren überwiegend bilateral in dem Maße, dass Straftäter, die sich der Justiz entziehen wollen, zur Rechenschaft gezogen werden.', 'Mit der Expansion der transnationalen Konzerne in den 90er Jahren Die Mitgliedstaaten waren zunehmend bereit, Maßnahmen zu ergreifen, um die Asymmetrien zwischen den Ländern durch die Harmonisierung der Rechtsvorschriften und die Erhöhung der Polizeikapazitäten und der Vernetzung zu verringern. Die Reaktion der Regierung auf die grenzüberschreitende Kriminalität konzentriert sich auf die Personen und Organisationen, die die Kriminalität begehen, und nicht auf die kriminellen Märkte selbst.', 'Der US-Krieg gegen die Drogen hat stark beeinflusst die Konstruktion der Regierung Reaktion auf die wachsende Wahrnehmung, dass das Phänomen der TNC stellt eine Bedrohung der nationalen Sicherheit Der Ansatz legt den Schwerpunkt auf die bilaterale und multilaterale Zusammenarbeit bei der Strafverfolgung, kombiniert mit bilateralen Maßnahmen, um die Staaten dazu zu bewegen, die Regulierung und die Strafverfolgung gegenüber transnationalen Unternehmen zu verstärken.', 'Die Entstehung von Normen, die die Reaktion auf das Gespenst des organisierten Verbrechens und die Harmonisierung der Gesetzgebung regeln, erfolgte mit dem sich entwickelnden globalen Krieg gegen den Terror, in dem der Terrorismus-organisierte Verbrechensverbund zur Militarisierung der Strafverfolgung führte: der Einsatz militärischer Technologie und Geheimdienst im Gegensatz zur Bewältigung der zugrunde liegenden Bedingungen, die den illegalen Handel durch eine internationale institutionelle Reaktion erleichtern.']

Antwort: Mit der Expansion der transnationalen Konzerne in den 90er Jahren Die Mitgliedstaaten waren zunehmend bereit, Maßnahmen zu ergreifen, um die Asymmetrien zwischen den Ländern durch die Harmonisierung der Rechtsvorschriften und die Erhöhung der Polizeikapazitäten und der Vernetzung zu verringern. Die Reaktion der Regierung auf die grenzüberschreitende Kriminalität konzentriert sich auf die Personen und Organisationen, die die Kriminalität begehen, und nicht auf die kriminellen Märkte selbst."
Welches potenzielle Problem für die Politik bei der Institutionalisierung der wissenschaftlich-politischen Interaktion ist aufgetreten?,security_studies,"['Der wichtigste disziplinarische Kontext für die Theoretisierung von Sicherheitsstudien war eine Abkehr von der disziplinarischen Dominanz der Politikwissenschaft hin zu einer multi-akademischen Interaktion aus der Soziologie. Mathematik Psychologie Natur- und Politikwissenschaften und Wirtschaft.', 'Politisch-akademische Entwicklungen haben dazu geführt, dass sich die Rolle der Think Tanks von der Politik hin zur politisierungsresistenten Theorie verändert hat.', 'Die Sicherheitsstudien zeichnen sich durch die allmähliche 'IR-ifizierung' der Disziplin aus. Die Sicherheitsstudien wurden zu einer der beiden Säulen der Internationalen Beziehungen (IR), die zweite ist die Internationale Politische Ökonomie (IPE). Von nun an wurde die IR zum wichtigsten disziplinarischen Kontext, in dem über Sicherheitsstudien beraten wurde.', 'Die institutionelle Verwischung zwischen Universitäten, Think Tanks und Politik hat zu politischen Fusionen auf allen Ebenen geführt.']",2,"Frage: Welches potenzielle Problem für die Politik bei der Institutionalisierung der wissenschaftlich-politischen Interaktion ist aufgetreten?

Antwortoptionen: ['Der wichtigste disziplinarische Kontext für die Theoretisierung von Sicherheitsstudien war eine Abkehr von der disziplinarischen Dominanz der Politikwissenschaft hin zu einer multi-akademischen Interaktion aus der Soziologie. Mathematik Psychologie Natur- und Politikwissenschaften und Wirtschaft.', 'Politisch-akademische Entwicklungen haben dazu geführt, dass sich die Rolle der Think Tanks von der Politik hin zur politisierungsresistenten Theorie verändert hat.', 'Die Sicherheitsstudien zeichnen sich durch die allmähliche 'IR-ifizierung' der Disziplin aus. Die Sicherheitsstudien wurden zu einer der beiden Säulen der Internationalen Beziehungen (IR), die zweite ist die Internationale Politische Ökonomie (IPE). Von nun an wurde die IR zum wichtigsten disziplinarischen Kontext, in dem über Sicherheitsstudien beraten wurde.', 'Die institutionelle Verwischung zwischen Universitäten, Think Tanks und Politik hat zu politischen Fusionen auf allen Ebenen geführt.']

Antwort: Die Sicherheitsstudien zeichnen sich durch die allmähliche ""IR-ifizierung"" der Disziplin aus. Die Sicherheitsstudien wurden zu einer der beiden Säulen der Internationalen Beziehungen (IR), die zweite ist die Internationale Politische Ökonomie (IPE). Von nun an wurde die IR zum wichtigsten disziplinarischen Kontext, in dem über Sicherheitsstudien beraten wurde."
Welcher der folgenden Punkte gehört nicht zu den 10 Schritten des Washington Consensus?,security_studies,"['Haushaltsdisziplin: Haushaltsdefizite von höchstens 2% des Bruttoinlandsprodukts (BIP).', 'Steuerreform: Erweiterung der Steuerbemessungsgrundlage, Senkung der Grenzsteuersätze, Verbesserung der Steuerverwaltung.', 'Eigentumsrechte: Rechtsreformen zur Sicherung von Eigentumsrechten ohne übermäßige Kosten und zur Regulierung des informellen Sektors.', 'Verstaatlichung: staatliche Unternehmen sollten geschützt werden.']",3,"Frage: Welcher der folgenden Punkte gehört nicht zu den 10 Schritten des Washington Consensus?

Antwortoptionen: ['Haushaltsdisziplin: Haushaltsdefizite von höchstens 2% des Bruttoinlandsprodukts (BIP).', 'Steuerreform: Erweiterung der Steuerbemessungsgrundlage, Senkung der Grenzsteuersätze, Verbesserung der Steuerverwaltung.', 'Eigentumsrechte: Rechtsreformen zur Sicherung von Eigentumsrechten ohne übermäßige Kosten und zur Regulierung des informellen Sektors.', 'Verstaatlichung: staatliche Unternehmen sollten geschützt werden.']

Antwort: Verstaatlichung: staatliche Unternehmen sollten geschützt werden."
Welcher der folgenden Begriffe ist NICHT Teil des technischen Diskurses über Cybersicherheit?,security_studies,"['Unternehmensnetzwerke', 'Informatiker', 'Antiviren-Industrie', 'Computernetzwerke']",0,"Frage: Welcher der folgenden Begriffe ist NICHT Teil des technischen Diskurses über Cybersicherheit?

Antwortoptionen: ['Unternehmensnetzwerke', 'Informatiker', 'Antiviren-Industrie', 'Computernetzwerke']

Antwort: Unternehmensnetzwerke"
Was sind die Merkmale und Ausprägungen der Strategie der Vereinigten Staaten zur Erreichung der Energieversorgungssicherheit?,security_studies,"['Der Einsatz von Truppen im Persischen Golf ist Teil des Versuchs der USA, ihre Vorherrschaft in der ölreichen Region zu sichern.', 'All diese Möglichkeiten.', 'Die USA haben versucht, ihren Vorrang gegenüber befreundeten und rivalisierenden Mächten durch den Einsatz von Truppen und andere Eingriffe zu behaupten.', 'Die USA haben sich aktiv bemüht, die befreundeten, ölreichen politischen Akteure zu stabilisieren und den wirtschaftlichen und politischen Status quo zu sichern.']",1,"Frage: Was sind die Merkmale und Ausprägungen der Strategie der Vereinigten Staaten zur Erreichung der Energieversorgungssicherheit?

Antwortoptionen: ['Der Einsatz von Truppen im Persischen Golf ist Teil des Versuchs der USA, ihre Vorherrschaft in der ölreichen Region zu sichern.', 'All diese Möglichkeiten.', 'Die USA haben versucht, ihren Vorrang gegenüber befreundeten und rivalisierenden Mächten durch den Einsatz von Truppen und andere Eingriffe zu behaupten.', 'Die USA haben sich aktiv bemüht, die befreundeten, ölreichen politischen Akteure zu stabilisieren und den wirtschaftlichen und politischen Status quo zu sichern.']

Antwort: All diese Möglichkeiten."
Inwiefern unterscheiden sich die Theorien des konventionellen und des kritischen sozialen Konstruktivismus?,security_studies,"['Konventionelle Konstruktivisten betrachten den Konstruktivismus als eine Brücke zwischen rationalistischen und reflektivistischen Ansätzen, die es beiden ermöglichen, von den Erkenntnissen des anderen zu profitieren. Umgekehrt argumentieren kritische Konstruktivisten, dass dieser Ansatz einfach die binären Unterschiede reproduziert, die die positivistische Methodik charakterisieren.', 'Der kritische Konstruktivismus betrachtet die Stärke des sozialen Konstruktivismus als seine Fähigkeit, rationalistische und reflektierende Ansätze zu überbrücken. Umgekehrt betrachten soziale Konstruktivisten dies als eine nicht hilfreiche Regression zu positivistischen binären Analysenrahmen.', 'Der konventionelle Konstruktivismus bezieht sich auf die früheren Arbeiten soziokonstruktivistischer Theoretiker, die durch eine Ablehnung der positivistischen Methodik gekennzeichnet sind. Kritische Konstruktivisten stellen diese Theorien in Frage und nehmen positivistische Methoden in ihrer Arbeit an.', 'Der soziale Konstruktivismus wird am besten als ein einheitlicher Ansatz für den Aufbau sozialer Identitäten und Sicherheit verstanden. Diese sind nicht leicht als eigenständige, getrennte Ansätze zu definieren.']",0,"Frage: Inwiefern unterscheiden sich die Theorien des konventionellen und des kritischen sozialen Konstruktivismus?

Antwortoptionen: ['Konventionelle Konstruktivisten betrachten den Konstruktivismus als eine Brücke zwischen rationalistischen und reflektivistischen Ansätzen, die es beiden ermöglichen, von den Erkenntnissen des anderen zu profitieren. Umgekehrt argumentieren kritische Konstruktivisten, dass dieser Ansatz einfach die binären Unterschiede reproduziert, die die positivistische Methodik charakterisieren.', 'Der kritische Konstruktivismus betrachtet die Stärke des sozialen Konstruktivismus als seine Fähigkeit, rationalistische und reflektierende Ansätze zu überbrücken. Umgekehrt betrachten soziale Konstruktivisten dies als eine nicht hilfreiche Regression zu positivistischen binären Analysenrahmen.', 'Der konventionelle Konstruktivismus bezieht sich auf die früheren Arbeiten soziokonstruktivistischer Theoretiker, die durch eine Ablehnung der positivistischen Methodik gekennzeichnet sind. Kritische Konstruktivisten stellen diese Theorien in Frage und nehmen positivistische Methoden in ihrer Arbeit an.', 'Der soziale Konstruktivismus wird am besten als ein einheitlicher Ansatz für den Aufbau sozialer Identitäten und Sicherheit verstanden. Diese sind nicht leicht als eigenständige, getrennte Ansätze zu definieren.']

Antwort: Konventionelle Konstruktivisten betrachten den Konstruktivismus als eine Brücke zwischen rationalistischen und reflektivistischen Ansätzen, die es beiden ermöglichen, von den Erkenntnissen des anderen zu profitieren. Umgekehrt argumentieren kritische Konstruktivisten, dass dieser Ansatz einfach die binären Unterschiede reproduziert, die die positivistische Methodik charakterisieren."
