question,subject,choices,answer,qa
पक्षों के बीच बातचीत के उप-उत्तम लेकिन स्वीकार्य परिणाम के लिए क्या शब्द है?,management,"['सौदेबाजी', 'संतोषजनक', 'स्वीकार करना', 'समझौता करना']",1,"प्रश्न: पक्षों के बीच बातचीत के उप-उत्तम लेकिन स्वीकार्य परिणाम के लिए क्या शब्द है?

उत्तर विकल्प: ['सौदेबाजी', 'संतोषजनक', 'स्वीकार करना', 'समझौता करना']

उत्तर: संतोषजनक"
निर्णय लेने में 'अंगूठे के नियम' प्रकार के पूर्वाग्रह के लिए क्या शब्द है?,management,"['फ्रेमिंग पूर्वाग्रह', 'पछतावा पूर्वाग्रह', 'अति आत्मविश्वास पूर्वाग्रह', 'ह्यूरिस्टिक्स']",3,"प्रश्न: निर्णय लेने में 'अंगूठे के नियम' प्रकार के पूर्वाग्रह के लिए क्या शब्द है?

उत्तर विकल्प: ['फ्रेमिंग पूर्वाग्रह', 'पछतावा पूर्वाग्रह', 'अति आत्मविश्वास पूर्वाग्रह', 'ह्यूरिस्टिक्स']

उत्तर: ह्यूरिस्टिक्स"
एक नियामक परिप्रेक्ष्य क्या है?,management,"['जिस तरह से चीजें हैं.', 'जिस तरह से चीजें होने जा रही हैं।', 'जिस तरह से चीजों को होना चाहिए.', 'जिस तरह से चीजें थीं.']",2,"प्रश्न: एक नियामक परिप्रेक्ष्य क्या है?

उत्तर विकल्प: ['जिस तरह से चीजें हैं.', 'जिस तरह से चीजें होने जा रही हैं।', 'जिस तरह से चीजों को होना चाहिए.', 'जिस तरह से चीजें थीं.']

उत्तर: जिस तरह से चीजों को होना चाहिए."
'पांच शक्तियों के मॉडल' में संगठनों के बीच किस प्रकार की प्रतिस्पर्धी गतिविधि होती है?,management,"['उद्योग में प्रवेश की संभावना', 'प्रतिस्थापन उत्पादों का खतरा', 'ग्राहकों की शक्ति', 'प्रतिद्वंद्विता का स्तर']",3,"प्रश्न: 'पांच शक्तियों के मॉडल' में संगठनों के बीच किस प्रकार की प्रतिस्पर्धी गतिविधि होती है?

उत्तर विकल्प: ['उद्योग में प्रवेश की संभावना', 'प्रतिस्थापन उत्पादों का खतरा', 'ग्राहकों की शक्ति', 'प्रतिद्वंद्विता का स्तर']

उत्तर: प्रतिद्वंद्विता का स्तर"
निम्नलिखित में से किस राजनीतिक नेता को 'परिवर्तनकारी' नेता नहीं कहा जा सकता है?,management,"['मार्गरेट थैचर', 'मिखाइल गोर्बाचोव', 'नेल्सन मंडेला', 'बिल क्लिंटन']",3,"प्रश्न: निम्नलिखित में से किस राजनीतिक नेता को 'परिवर्तनकारी' नेता नहीं कहा जा सकता है?

उत्तर विकल्प: ['मार्गरेट थैचर', 'मिखाइल गोर्बाचोव', 'नेल्सन मंडेला', 'बिल क्लिंटन']

उत्तर: बिल क्लिंटन"
गैंट चार्ट किस प्रकार का होता है?,management,"['कार्यप्रवाह डिजाइन', 'कार्य अनुसूची डिजाइन', 'कार्य दर डिजाइन', 'कार्य आउटपुट डिजाइन']",1,"प्रश्न: गैंट चार्ट किस प्रकार का होता है?

उत्तर विकल्प: ['कार्यप्रवाह डिजाइन', 'कार्य अनुसूची डिजाइन', 'कार्य दर डिजाइन', 'कार्य आउटपुट डिजाइन']

उत्तर: कार्य अनुसूची डिजाइन"
निम्नलिखित में से कौन-सा मैकग्रेगर की थ्योरी एक्स की विशेषता है?,management,"['श्रमिकों को जिम्मेदारी का आनंद मिलता है।', 'श्रमिक शारीरिक और मानसिक परिश्रम को काम का स्वाभाविक हिस्सा मानते हैं।', 'श्रमिकों को पहल दिखाना अच्छा लगता है।', 'श्रमिक निर्देशित होना पसंद करते हैं।']",3,"प्रश्न: निम्नलिखित में से कौन-सा मैकग्रेगर की थ्योरी एक्स की विशेषता है?

उत्तर विकल्प: ['श्रमिकों को जिम्मेदारी का आनंद मिलता है।', 'श्रमिक शारीरिक और मानसिक परिश्रम को काम का स्वाभाविक हिस्सा मानते हैं।', 'श्रमिकों को पहल दिखाना अच्छा लगता है।', 'श्रमिक निर्देशित होना पसंद करते हैं।']

उत्तर: श्रमिक निर्देशित होना पसंद करते हैं।"
किसी संगठन में स्थिति या पद से प्राप्त शक्ति को क्या कहा जाता है?,management,"['रेफरेंट', 'विशेषज्ञ', 'इनाम', 'वैध']",3,"प्रश्न: किसी संगठन में स्थिति या पद से प्राप्त शक्ति को क्या कहा जाता है?

उत्तर विकल्प: ['रेफरेंट', 'विशेषज्ञ', 'इनाम', 'वैध']

उत्तर: वैध"
कौन सा लेखक अधिकतर नौकरशाही संरचनाओं से जुड़ा हुआ है?,management,"['हेनरी फायोल', 'मैक्स वेबर', 'एडम स्मिथ', 'मैरी पार्कर फोलेट']",1,"प्रश्न: कौन सा लेखक अधिकतर नौकरशाही संरचनाओं से जुड़ा हुआ है?

उत्तर विकल्प: ['हेनरी फायोल', 'मैक्स वेबर', 'एडम स्मिथ', 'मैरी पार्कर फोलेट']

उत्तर: मैक्स वेबर"
निम्नलिखित में से कौन औद्योगिक परोपकारी है?,management,"['फ्रेडरिक टेलर', 'Seebohm रोवनट्री', 'हेनरी फोर्ड', 'मैक्स वेबर']",1,"प्रश्न: निम्नलिखित में से कौन औद्योगिक परोपकारी है?

उत्तर विकल्प: ['फ्रेडरिक टेलर', 'Seebohm रोवनट्री', 'हेनरी फोर्ड', 'मैक्स वेबर']

उत्तर: Seebohm रोवनट्री"
