question,subject,choices,answer,qa
"Was ist der Begriff für ein suboptimales, aber akzeptables Ergebnis von Verhandlungen zwischen den Parteien?",management,"['Verhandlungen', 'Befriedigend', 'Akzeptieren', 'Kompromisse eingehen']",1,"Frage: Was ist der Begriff für ein suboptimales, aber akzeptables Ergebnis von Verhandlungen zwischen den Parteien?

Antwortoptionen: ['Verhandlungen', 'Befriedigend', 'Akzeptieren', 'Kompromisse eingehen']

Antwort: Befriedigend"
"Was ist der Begriff für die ""Daumenregel"" der Voreingenommenheit bei der Entscheidungsfindung?",management,"['Rahmenverzerrung', 'Rückblickende Voreingenommenheit', 'Übermäßiges Selbstvertrauen', 'Heuristik']",3,"Frage: Was ist der Begriff für die ""Daumenregel"" der Voreingenommenheit bei der Entscheidungsfindung?

Antwortoptionen: ['Rahmenverzerrung', 'Rückblickende Voreingenommenheit', 'Übermäßiges Selbstvertrauen', 'Heuristik']

Antwort: Heuristik"
Was ist eine normative Perspektive?,management,"['So wie die Dinge sind.', 'Wie die Dinge laufen werden.', 'So wie es sein sollte.', 'Wie die Dinge waren.']",2,"Frage: Was ist eine normative Perspektive?

Antwortoptionen: ['So wie die Dinge sind.', 'Wie die Dinge laufen werden.', 'So wie es sein sollte.', 'Wie die Dinge waren.']

Antwort: So wie es sein sollte."
"Was ist im ""Fünfkräfte-Modell"" die Art der wettbewerbsorientierten Tätigkeit zwischen Organisationen?",management,"['Das Potenzial für den Eintritt in die Branche', 'Die Bedrohung durch Ersatzprodukte', 'Die Macht der Kunden', 'Das Ausmaß der Rivalität']",3,"Frage: Was ist im ""Fünfkräfte-Modell"" die Art der wettbewerbsorientierten Tätigkeit zwischen Organisationen?

Antwortoptionen: ['Das Potenzial für den Eintritt in die Branche', 'Die Bedrohung durch Ersatzprodukte', 'Die Macht der Kunden', 'Das Ausmaß der Rivalität']

Antwort: Das Ausmaß der Rivalität"
"Welcher der folgenden politischen Führer könnte nicht als ""transformativer"" Führer bezeichnet werden?",management,"['Margaret Thatcher', 'Michail Gorbatschow', 'Nelson Mandela', 'Das ist Bill Clinton.']",3,"Frage: Welcher der folgenden politischen Führer könnte nicht als ""transformativer"" Führer bezeichnet werden?

Antwortoptionen: ['Margaret Thatcher', 'Michail Gorbatschow', 'Nelson Mandela', 'Das ist Bill Clinton.']

Antwort: Das ist Bill Clinton."
Was ist ein Gantt-Diagramm?,management,"['Entwurf des Arbeitsablaufs', 'Gestaltung des Arbeitsplans', 'Entwurf der Arbeitsgeschwindigkeit', 'Entwurf des Arbeitsergebnisses']",1,"Frage: Was ist ein Gantt-Diagramm?

Antwortoptionen: ['Entwurf des Arbeitsablaufs', 'Gestaltung des Arbeitsplans', 'Entwurf der Arbeitsgeschwindigkeit', 'Entwurf des Arbeitsergebnisses']

Antwort: Gestaltung des Arbeitsplans"
Welches der folgenden ist ein Merkmal von McGregors Theorie X?,management,"['Arbeiter genießen Verantwortung.', 'Arbeiter betrachten körperliche und geistige Anstrengungen als einen natürlichen Bestandteil der Arbeit.', 'Arbeiter zeigen gerne Initiative.', 'Arbeiter lassen sich gerne leiten.']",3,"Frage: Welches der folgenden ist ein Merkmal von McGregors Theorie X?

Antwortoptionen: ['Arbeiter genießen Verantwortung.', 'Arbeiter betrachten körperliche und geistige Anstrengungen als einen natürlichen Bestandteil der Arbeit.', 'Arbeiter zeigen gerne Initiative.', 'Arbeiter lassen sich gerne leiten.']

Antwort: Arbeiter lassen sich gerne leiten."
"Wie bezeichnet man Macht, die sich aus einem Status oder einer Position in einer Organisation ergibt?",management,"['Referenzmitglied', 'Sachverständiger', 'Belohnung', 'Legitimiert']",3,"Frage: Wie bezeichnet man Macht, die sich aus einem Status oder einer Position in einer Organisation ergibt?

Antwortoptionen: ['Referenzmitglied', 'Sachverständiger', 'Belohnung', 'Legitimiert']

Antwort: Legitimiert"
Welcher Schriftsteller ist am meisten mit bürokratischen Strukturen verbunden?,management,"['Henry Fayol', 'Max Weber', 'Adam Smith', 'Mary Parker Follett']",1,"Frage: Welcher Schriftsteller ist am meisten mit bürokratischen Strukturen verbunden?

Antwortoptionen: ['Henry Fayol', 'Max Weber', 'Adam Smith', 'Mary Parker Follett']

Antwort: Max Weber"
Welcher der folgenden ist der industrielle Philanthrop?,management,"['Frederick Taylor', 'Seebohm Rowntree', 'Henry Ford', 'Max Weber']",1,"Frage: Welcher der folgenden ist der industrielle Philanthrop?

Antwortoptionen: ['Frederick Taylor', 'Seebohm Rowntree', 'Henry Ford', 'Max Weber']

Antwort: Seebohm Rowntree"
Welcher Ökonom befürwortete den Individualismus als leitende moralische Philosophie?,management,"['John Kenneth Galbraith', 'John Maynard Keynes', 'Milton Friedman', 'Alfred Marshall']",2,"Frage: Welcher Ökonom befürwortete den Individualismus als leitende moralische Philosophie?

Antwortoptionen: ['John Kenneth Galbraith', 'John Maynard Keynes', 'Milton Friedman', 'Alfred Marshall']

Antwort: Milton Friedman"
Mit welchem Autor werden die Hawthorn-Studien am häufigsten in Verbindung gebracht?,management,"['Mary Parker Follett', 'Das ist Elton Mayo.', 'Lillian Gilbreth', 'Frederick Taylor']",1,"Frage: Mit welchem Autor werden die Hawthorn-Studien am häufigsten in Verbindung gebracht?

Antwortoptionen: ['Mary Parker Follett', 'Das ist Elton Mayo.', 'Lillian Gilbreth', 'Frederick Taylor']

Antwort: Das ist Elton Mayo."
Wie können Sie das Denken und die Einstellung von Transformationsführern beschreiben?,management,"['Strategische', 'Betriebsbereit', 'Funktionale', 'Entwicklungshilfe']",0,"Frage: Wie können Sie das Denken und die Einstellung von Transformationsführern beschreiben?

Antwortoptionen: ['Strategische', 'Betriebsbereit', 'Funktionale', 'Entwicklungshilfe']

Antwort: Strategische"
