question,subject,choices,answer,qa
"_______ जैसे बिटकॉइन तेजी से मुख्यधारा बन रहे हैं और संबंधित नैतिक निहितार्थों की एक पूरी मेजबानी है, उदाहरण के लिए, वे _______ और अधिक ______ हैं हालाँकि, इनका उपयोग _______ में संलग्न होने के लिए भी किया गया है।",business_ethics,"['क्रिप्टोकरेंसी, महंगी, सुरक्षित, वित्तीय अपराध', 'पारंपरिक मुद्रा, सस्ता, असुरक्षित, दान देना', 'क्रिप्टोकरेंसी, सस्ता, सुरक्षित, वित्तीय अपराध', 'पारंपरिक मुद्रा, महंगी, असुरक्षित, दान देना']",2,"प्रश्न: _______ जैसे बिटकॉइन तेजी से मुख्यधारा बन रहे हैं और संबंधित नैतिक निहितार्थों की एक पूरी मेजबानी है, उदाहरण के लिए, वे _______ और अधिक ______ हैं हालाँकि, इनका उपयोग _______ में संलग्न होने के लिए भी किया गया है।

उत्तर विकल्प: ['क्रिप्टोकरेंसी, महंगी, सुरक्षित, वित्तीय अपराध', 'पारंपरिक मुद्रा, सस्ता, असुरक्षित, दान देना', 'क्रिप्टोकरेंसी, सस्ता, सुरक्षित, वित्तीय अपराध', 'पारंपरिक मुद्रा, महंगी, असुरक्षित, दान देना']

उत्तर: क्रिप्टोकरेंसी, सस्ता, सुरक्षित, वित्तीय अपराध"
"विशिष्ट विज्ञापन नियामक निकायों का सुझाव है, उदाहरण के लिए कि विज्ञापनों को _________ को प्रोत्साहित नहीं करना चाहिए, अनावश्यक ________ या _____ का कारण नहीं होना चाहिए, और _______ अपराध का कारण नहीं होना चाहिए।",business_ethics,"['असुरक्षित प्रथाएं, इच्छाएं, भय, तुच्छता', 'असुरक्षित व्यवहार, संकट, भय, गंभीर', 'सुरक्षित प्रथाएं, इच्छाएं, ईर्ष्या, तुच्छता', 'सुरक्षित प्रथाएं, संकट, ईर्ष्या, गंभीरता']",1,"प्रश्न: विशिष्ट विज्ञापन नियामक निकायों का सुझाव है, उदाहरण के लिए कि विज्ञापनों को _________ को प्रोत्साहित नहीं करना चाहिए, अनावश्यक ________ या _____ का कारण नहीं होना चाहिए, और _______ अपराध का कारण नहीं होना चाहिए।

उत्तर विकल्प: ['असुरक्षित प्रथाएं, इच्छाएं, भय, तुच्छता', 'असुरक्षित व्यवहार, संकट, भय, गंभीर', 'सुरक्षित प्रथाएं, इच्छाएं, ईर्ष्या, तुच्छता', 'सुरक्षित प्रथाएं, संकट, ईर्ष्या, गंभीरता']

उत्तर: असुरक्षित व्यवहार, संकट, भय, गंभीर"
______ व्यक्तिगत अनुबंधों और व्यापक श्रम कानूनों के आधार पर अपने नियोक्ता के प्रति श्रमिकों के दायित्व हैं।,business_ethics,"['कर्मचारी अधिकार', 'कर्मचारी अधिकार', 'नियोक्ता के कर्तव्य', 'कर्मचारी के कर्तव्य']",3,"प्रश्न: ______ व्यक्तिगत अनुबंधों और व्यापक श्रम कानूनों के आधार पर अपने नियोक्ता के प्रति श्रमिकों के दायित्व हैं।

उत्तर विकल्प: ['कर्मचारी अधिकार', 'कर्मचारी अधिकार', 'नियोक्ता के कर्तव्य', 'कर्मचारी के कर्तव्य']

उत्तर: कर्मचारी के कर्तव्य"
______ काम से संबंधित और गैर-काम से संबंधित गतिविधियों के बीच एक कर्मचारी का पसंदीदा अनुपात है जो कार्य तीव्रता और तकनीकी बदलावों के कारण हाल के वर्षों में एक बहुत ही विवादास्पद मुद्दा बन गया है।,business_ethics,"['उपस्थितिवाद', 'अनुपस्थिति', 'कार्य-मनोरंजन संतुलन', 'कार्य-जीवन संतुलन']",3,"प्रश्न: ______ काम से संबंधित और गैर-काम से संबंधित गतिविधियों के बीच एक कर्मचारी का पसंदीदा अनुपात है जो कार्य तीव्रता और तकनीकी बदलावों के कारण हाल के वर्षों में एक बहुत ही विवादास्पद मुद्दा बन गया है।

उत्तर विकल्प: ['उपस्थितिवाद', 'अनुपस्थिति', 'कार्य-मनोरंजन संतुलन', 'कार्य-जीवन संतुलन']

उत्तर: कार्य-जीवन संतुलन"
"_______ की तुलना उनके प्राकृतिक समकक्षों से की जा सकती है जिसमें परस्पर निर्भर जीवों और उनके वातावरणों का एक संतुलित नेटवर्क शामिल है, इस प्रकार कंपनियों और उद्योगों को एक साथ बंधे होने के रूप में विचार करने के कारण स्थिरता सोच में मूल्य जोड़ना और सभी प्रकार के संसाधनों और अपशिष्टों के कारण परस्पर निर्भर हैं।",business_ethics,"['औद्योगिक आपूर्ति लूप', 'औद्योगिक पारिस्थितिकी तंत्र', 'पारिस्थितिक पारिस्थितिकी तंत्र', 'कॉर्पोरेट पारिस्थितिकी तंत्र']",1,"प्रश्न: _______ की तुलना उनके प्राकृतिक समकक्षों से की जा सकती है जिसमें परस्पर निर्भर जीवों और उनके वातावरणों का एक संतुलित नेटवर्क शामिल है, इस प्रकार कंपनियों और उद्योगों को एक साथ बंधे होने के रूप में विचार करने के कारण स्थिरता सोच में मूल्य जोड़ना और सभी प्रकार के संसाधनों और अपशिष्टों के कारण परस्पर निर्भर हैं।

उत्तर विकल्प: ['औद्योगिक आपूर्ति लूप', 'औद्योगिक पारिस्थितिकी तंत्र', 'पारिस्थितिक पारिस्थितिकी तंत्र', 'कॉर्पोरेट पारिस्थितिकी तंत्र']

उत्तर: औद्योगिक पारिस्थितिकी तंत्र"
. . . . . . . . . . . . . के बारे में जहां उदाहरण के लिए एक पक्ष के पास अधिक संसाधन हैं ________ का अनुचित वितरण जहां एक पक्ष को रिश्ते से अधिक लाभ होता है और सीएसओ के रूप में ________ व्यवसाय-सीएसओ सहयोग की सभी सीमाएं और जोखिम हैं।,business_ethics,"['शक्ति असंतुलन, लाभ, छलावा', 'शक्ति असंतुलन, संसाधन, को-ऑप्टेड', 'सूचनात्मक विषमताएं, लाभ, छलावा', 'सूचनात्मक विषमताएं, संसाधन, सह-विकसित']",1,"प्रश्न: . . . . . . . . . . . . . के बारे में जहां उदाहरण के लिए एक पक्ष के पास अधिक संसाधन हैं ________ का अनुचित वितरण जहां एक पक्ष को रिश्ते से अधिक लाभ होता है और सीएसओ के रूप में ________ व्यवसाय-सीएसओ सहयोग की सभी सीमाएं और जोखिम हैं।

उत्तर विकल्प: ['शक्ति असंतुलन, लाभ, छलावा', 'शक्ति असंतुलन, संसाधन, को-ऑप्टेड', 'सूचनात्मक विषमताएं, लाभ, छलावा', 'सूचनात्मक विषमताएं, संसाधन, सह-विकसित']

उत्तर: शक्ति असंतुलन, संसाधन, को-ऑप्टेड"
"यद्यपि कॉर्पोरेट लाभ अधिकतमकरण सीधे तौर पर प्रमुख नियामक सिद्धांतों द्वारा निर्धारित नहीं किया जाता है, लेकिन यह किस नियामक सिद्धांत के समान है?",business_ethics,"['आनंदवादी उपयोगितावाद', 'वरीयता उपयोगितावाद', 'निर्णायक अनिवार्यता', 'देखभाल की नैतिकता']",1,"प्रश्न: यद्यपि कॉर्पोरेट लाभ अधिकतमकरण सीधे तौर पर प्रमुख नियामक सिद्धांतों द्वारा निर्धारित नहीं किया जाता है, लेकिन यह किस नियामक सिद्धांत के समान है?

उत्तर विकल्प: ['आनंदवादी उपयोगितावाद', 'वरीयता उपयोगितावाद', 'निर्णायक अनिवार्यता', 'देखभाल की नैतिकता']

उत्तर: वरीयता उपयोगितावाद"
मिल्टन फ्राइडमैन का मानना है कि व्यापार की एकमात्र जिम्मेदारी क्या है?,business_ethics,"['व्यवसाय की एकमात्र सामाजिक जिम्मेदारी उसके शेयरधारकों के प्रति है', 'प्रबंधकों को समाज और शेयरधारकों के हितों को संतुलित करने के तरीके से कार्य करना चाहिए', 'संगठनों की प्राथमिक जिम्मेदारी अपने कर्मचारियों के प्रति है', 'संगठनों की प्राथमिक जिम्मेदारी अपने हितधारकों के प्रति है']",0,"प्रश्न: मिल्टन फ्राइडमैन का मानना है कि व्यापार की एकमात्र जिम्मेदारी क्या है?

उत्तर विकल्प: ['व्यवसाय की एकमात्र सामाजिक जिम्मेदारी उसके शेयरधारकों के प्रति है', 'प्रबंधकों को समाज और शेयरधारकों के हितों को संतुलित करने के तरीके से कार्य करना चाहिए', 'संगठनों की प्राथमिक जिम्मेदारी अपने कर्मचारियों के प्रति है', 'संगठनों की प्राथमिक जिम्मेदारी अपने हितधारकों के प्रति है']

उत्तर: व्यवसाय की एकमात्र सामाजिक जिम्मेदारी उसके शेयरधारकों के प्रति है"
• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •,business_ethics,"['कानूनी, इंटरैक्शन, मैकेनिक्स', 'सिविल, संबंध, परिणाम', 'राजनीति, परस्पर क्रिया, परिणाम', 'पर्यावरण, संबंध, यांत्रिकी']",1,"प्रश्न: • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •

उत्तर विकल्प: ['कानूनी, इंटरैक्शन, मैकेनिक्स', 'सिविल, संबंध, परिणाम', 'राजनीति, परस्पर क्रिया, परिणाम', 'पर्यावरण, संबंध, यांत्रिकी']

उत्तर: सिविल, संबंध, परिणाम"
"_______ कार्य प्रथाएं उन कार्य पैटर्न को संदर्भित करती हैं जिनमें सामयिक, स्थानिक और कार्य से संबंधित तरलता शामिल होती है।",business_ethics,"['गतिशील', 'द्रव', 'लचीला', 'आधुनिक']",2,"प्रश्न: _______ कार्य प्रथाएं उन कार्य पैटर्न को संदर्भित करती हैं जिनमें सामयिक, स्थानिक और कार्य से संबंधित तरलता शामिल होती है।

उत्तर विकल्प: ['गतिशील', 'द्रव', 'लचीला', 'आधुनिक']

उत्तर: लचीला"
