Unnamed: 0.1,Unnamed: 0,instruct,qa,_doc_id
1,1,"F: Weng verdient 12 Dollar pro Stunde als Babysitterin. Gestern hat sie gerade 50 Minuten als Babysitterin gearbeitet. Wie viel hat sie verdient? A: Denken wir Schritt für Schritt. Weng verdient 12/60 = $ <<12/60=0.2>> 0,2 pro Minute. Sie arbeitete 50 Minuten und verdiente 0,2 x 50 = $ <<0.2*50=10>> 10. #### 10","F: Weng verdient 12 Dollar pro Stunde als Babysitterin. Gestern hat sie gerade 50 Minuten als Babysitterin gearbeitet. Wie viel hat sie verdient? A: Denken wir Schritt für Schritt. Weng verdient 12/60 = $ <<12/60=0.2>> 0,2 pro Minute. Sie arbeitete 50 Minuten und verdiente 0,2 x 50 = $ <<0.2*50=10>> 10. Die Antwort ist 10.",1
2,2,"F: Betty spart Geld für eine neue Brieftasche, die 100 Dollar kostet. Betty hat nur die Hälfte des Geldes, das sie braucht. Ihre Eltern beschlossen, ihr dafür 15 Dollar zu geben, und ihre Großeltern doppelt so viel wie ihre Eltern. Wie viel Geld braucht Betty noch, um die Brieftasche zu kaufen? A: Denken wir Schritt für Schritt. Am Anfang hat Betty nur 100 / 2 = $ <<100/2=50>> 50. Bettys Großeltern gaben ihr 15 * 2 = $ <<15*2=30>> 30. Das bedeutet, Betty braucht 100 - 50 - 30 - 15 = $ <<100-50-30-15=5>> 5 mehr. #### 5","F: Betty spart Geld für eine neue Brieftasche, die 100 Dollar kostet. Betty hat nur die Hälfte des Geldes, das sie braucht. Ihre Eltern beschlossen, ihr dafür 15 Dollar zu geben, und ihre Großeltern doppelt so viel wie ihre Eltern. Wie viel Geld braucht Betty noch, um die Brieftasche zu kaufen? A: Denken wir Schritt für Schritt. Am Anfang hat Betty nur 100 / 2 = $ <<100/2=50>> 50. Bettys Großeltern gaben ihr 15 * 2 = $ <<15*2=30>> 30. Das bedeutet, Betty braucht 100 - 50 - 30 - 15 = $ <<100-50-30-15=5>> 5 mehr. Die Antwort ist 5.",2
12,12,F: Randy hat 60 Mangobäume auf seiner Farm. Er hat auch 5 weniger als die Hälfte so viele Kokosnussbäume wie Mangobäume. Wie viele Bäume hat Randy auf seiner Farm? A: Denken wir Schritt für Schritt. Die Hälfte der Anzahl von Randys Mangobäumen ist 60/2 = <<60/2=30>> 30 Bäume. Also hat Randy 30 - 5 = <<30-5=25>> 25 Kokosnussbäume. Randy hat also 60 + 25 = <<60+25=85>> 85 Bäume auf seiner Farm. #### 85,F: Randy hat 60 Mangobäume auf seiner Farm. Er hat auch 5 weniger als die Hälfte so viele Kokosnussbäume wie Mangobäume. Wie viele Bäume hat Randy auf seiner Farm? A: Denken wir Schritt für Schritt. Die Hälfte der Anzahl von Randys Mangobäumen ist 60/2 = <<60/2=30>> 30 Bäume. Also hat Randy 30 - 5 = <<30-5=25>> 25 Kokosnussbäume. Randy hat also 60 + 25 = <<60+25=85>> 85 Bäume auf seiner Farm. Die Antwort ist 85.,12
16,16,"F: Der Gewinn aus einer Geschäftstransaktion wird zwischen zwei Geschäftspartnern, Mike und Johnson, im Verhältnis 2:5 aufgeteilt. Wenn Johnson 2.500 Dollar erhielt, wie viel wird Mike haben, nachdem er einen Teil seines Anteils für ein Hemd ausgegeben hat, das 200 Dollar kostet? A: Denken wir Schritt für Schritt. Nach dem Verhältnis, für alle 5 Teile, die Johnson bekommt, erhält Mike 2 Teile Da Johnson $ 2500 erhielt, ist jeder Teil daher $ 2500/5 = $ <<2500/5=500>> 500 Mike wird 2 * $ 500 = $ <<2*500=1000>> 1000 nach dem Kauf des Hemdes erhält er $ 1000- $ 200 = $ <<1000-200=800>> 800 links #### 800","F: Der Gewinn aus einer Geschäftstransaktion wird zwischen zwei Geschäftspartnern, Mike und Johnson, im Verhältnis 2:5 aufgeteilt. Wenn Johnson 2.500 Dollar erhielt, wie viel wird Mike haben, nachdem er einen Teil seines Anteils für ein Hemd ausgegeben hat, das 200 Dollar kostet? A: Denken wir Schritt für Schritt. Nach dem Verhältnis, für alle 5 Teile, die Johnson bekommt, erhält Mike 2 Teile Da Johnson $ 2500 erhielt, ist jeder Teil daher $ 2500/5 = $ <<2500/5=500>> 500 Mike wird 2 * $ 500 = $ <<2*500=1000>> 1000 nach dem Kauf des Hemdes erhält er $ 1000- $ 200 = $ <<1000-200=800>> 800 links Die Antwort ist 800",16
23,23,"F: Anns Lieblingsgeschäft hatte eine Sommerfreigabe. Für 75 Dollar kaufte sie 5 Shorts für 7 Dollar und 2 Paar Schuhe für 10 Dollar. Sie hat auch 4 Tops gekauft, alle zum gleichen Preis. Wie viel hat jeder Top gekostet? A: Denken wir Schritt für Schritt. Sie kaufte 5 Shorts für $7 pro Stück also 5*7=$ <<5*7=35>> 35 Sie kaufte 2 Paar Schuhe für $10 pro Stück also 2*10=$ <<2*10=20>> 20 Die Shorts und Schuhe kosteten sie 35+20 = $ <<35+20=55>> 55 Wir wissen, dass sie insgesamt 75 ausgegeben hat und die Shorts und Schuhe kosteten $55 was eine Differenz von 75-55 = $ <<75-55=20>> 20 hinterließ Sie kaufte 4 Tops für insgesamt $20 also 20/4 = $5 #### 5","F: Anns Lieblingsgeschäft hatte eine Sommerfreigabe. Für 75 Dollar kaufte sie 5 Shorts für 7 Dollar und 2 Paar Schuhe für 10 Dollar. Sie hat auch 4 Tops gekauft, alle zum gleichen Preis. Wie viel hat jeder Top gekostet? A: Denken wir Schritt für Schritt. Sie kaufte 5 Shorts für $7 pro Stück also 5*7=$ <<5*7=35>> 35 Sie kaufte 2 Paar Schuhe für $10 pro Stück also 2*10=$ <<2*10=20>> 20 Die Shorts und Schuhe kosteten sie 35+20 = $ <<35+20=55>> 55 Wir wissen, dass sie insgesamt 75 ausgegeben hat und die Shorts und Schuhe kosteten $55 was eine Differenz von 75-55 = $ <<75-55=20>> 20 hinterließ Sie kaufte 4 Tops für insgesamt $20 also 20/4 = $5 Die Antwort ist 5",23
32,32,"F: Ein Auto fährt durch einen Tunnel mit vielen Kurven. Nach einer Weile muss das Auto durch einen Ring fahren, der insgesamt 4 Rechtskurven erfordert. Nach der ersten Kurve fährt er 5 Meter. Nach der 2. Kurve fährt er 8 Meter. Nach der dritten Kurve fährt er etwas weiter und bei der vierten Kurve verlässt er sofort den Tunnel. Wenn das Auto insgesamt 23 Meter um den Ring gefahren ist, wie weit musste es nach der 3. Kurve fahren? A: Denken wir Schritt für Schritt. Aus den angegebenen Details hat das Auto 5 Meter in der 1. Kurve + 8 Meter nach der 2. Kurve + 0 Meter nach der 4. Kurve = <<5+8+0=13>> 13 Meter um den Ring gereist. Es muss also insgesamt 23 Meter 13 berechnete Meter = 10 Meter nach der 3. Kurve gefahren sein. #### 10","F: Ein Auto fährt durch einen Tunnel mit vielen Kurven. Nach einer Weile muss das Auto durch einen Ring fahren, der insgesamt 4 Rechtskurven erfordert. Nach der ersten Kurve fährt er 5 Meter. Nach der 2. Kurve fährt er 8 Meter. Nach der dritten Kurve fährt er etwas weiter und bei der vierten Kurve verlässt er sofort den Tunnel. Wenn das Auto insgesamt 23 Meter um den Ring gefahren ist, wie weit musste es nach der 3. Kurve fahren? A: Denken wir Schritt für Schritt. Aus den angegebenen Details hat das Auto 5 Meter in der 1. Kurve + 8 Meter nach der 2. Kurve + 0 Meter nach der 4. Kurve = <<5+8+0=13>> 13 Meter um den Ring gereist. Es muss also insgesamt 23 Meter 13 berechnete Meter = 10 Meter nach der 3. Kurve gefahren sein. Die Antwort ist 10.",32
45,45,"Es ist Avas Geburtstagsfeier. Ihre Eltern kauften eine Einhorn-Piñata für 13 Dollar und füllten sie mit all ihren Lieblings-Leckereien. Sie kauften 4 Tüten Reese's für 9 Dollar pro Tüte, 3 Tüten Snickers für 5 Dollar pro Tüte und 5 Tüten Skittles für 7 Dollar pro Tüte. Wie viel hat die Einhorn-Piñata und die Leckereien zusammen gekostet? A: Denken wir Schritt für Schritt. Die vier Tüten Reese's kosteten $9 x 4 = $<<9*4=36>> 36. Die drei Tüten Snickers kosten 5 x 3 = $ <<5*3=15>> 15. Die fünf Säcke Skittles kosteten $ 7 x 5 = $ <<7*5=35>> 35. Daher kostet die Einhorn-Pinata und die Leckereien $13 + $36 + $15 + $35 = $<<13+36+15+35=99>> 99. #### 99","Es ist Avas Geburtstagsfeier. Ihre Eltern kauften eine Einhorn-Piñata für 13 Dollar und füllten sie mit all ihren Lieblings-Leckereien. Sie kauften 4 Tüten Reese's für 9 Dollar pro Tüte, 3 Tüten Snickers für 5 Dollar pro Tüte und 5 Tüten Skittles für 7 Dollar pro Tüte. Wie viel hat die Einhorn-Piñata und die Leckereien zusammen gekostet? A: Denken wir Schritt für Schritt. Die vier Tüten Reese's kosteten $9 x 4 = $<<9*4=36>> 36. Die drei Tüten Snickers kosten 5 x 3 = $ <<5*3=15>> 15. Die fünf Säcke Skittles kosteten $ 7 x 5 = $ <<7*5=35>> 35. Daher kostet die Einhorn-Pinata und die Leckereien $13 + $36 + $15 + $35 = $<<13+36+15+35=99>> 99. Die Antwort ist 99.",45
49,49,"F: Bei einem Ausflug der Schule zum Meer sammelten Alan und seine Freunde Muscheln. Alan hat viermal so viele Granaten gesammelt wie Ben. Ben fing spät an und sammelte nur ein Drittel von dem, was Laurie sammelte. Wenn Laurie 36 Granaten gesammelt hat, wie viele hat Alan gesammelt? A: Denken wir Schritt für Schritt. Ben sammelte 36/3= <<36/3=12>> 12 Muscheln Alan sammelte 12*4= <<12*4=48>> 48 Muscheln #### 48","F: Bei einem Ausflug der Schule zum Meer sammelten Alan und seine Freunde Muscheln. Alan hat viermal so viele Granaten gesammelt wie Ben. Ben fing spät an und sammelte nur ein Drittel von dem, was Laurie sammelte. Wenn Laurie 36 Granaten gesammelt hat, wie viele hat Alan gesammelt? A: Denken wir Schritt für Schritt. Ben hat 36/3 = <<36/3=12>> 12 Granaten gesammelt Alan hat 12*4 = <<12*4=48>> 48 Granaten gesammelt Die Antwort ist 48",49
51,51,"F: Ann schneidet Stoff für Vorhänge. Sie schneidet ein 4 Fuß x 6 Fuß Rechteck für das Wohnzimmer und ein 2 Fuß x 4 Fuß Rechteck für das Schlafzimmer. Wenn der Stoff 16 mal 12 Fuß groß ist, wie viel Stoff ist in Quadratfuß übrig? A: Denken wir Schritt für Schritt. Finden Sie zunächst heraus, wie viele Quadratfuß der ursprüngliche Stoffbolzen war: 16 Fuß * 12 Fuß = <<16*12=192>> 192 Quadratfuß Dann finden Sie heraus, wie viel Stoff Ann für das Wohnzimmer Vorhänge genommen hat: 4 Fuß * 6 Fuß = <<4*6=24>> 24 Quadratfuß Dann finden Sie heraus, wie viel Stoff Ann für die Badezimmervorhänge genommen hat: 2 Fuß * 4 Fuß = <<2*4=8>> 8 Quadratfuß Schließlich subtrahieren Sie die Quadratmeterfläche beider Vorhänge aus der Gesamtquadratmeterfläche: 192 - 24 - 8 = <<192-24-8=160>> 160 Quadratfuß #### 160","F: Ann schneidet Stoff für Vorhänge. Sie schneidet ein 4 Fuß x 6 Fuß Rechteck für das Wohnzimmer und ein 2 Fuß x 4 Fuß Rechteck für das Schlafzimmer. Wenn der Stoff 16 mal 12 Fuß groß ist, wie viel Stoff ist in Quadratfuß übrig? A: Denken wir Schritt für Schritt. Finden Sie zunächst heraus, wie viele Quadratfuß der ursprüngliche Stoffbolzen war: 16 Fuß * 12 Fuß = <<16*12=192>> 192 Quadratfuß Dann finden Sie heraus, wie viel Stoff Ann für die Wohnzimmervorhänge genommen hat: 4 Fuß * 6 Fuß = <<4*6=24>> 24 Quadratfuß Dann finden Sie heraus, wie viel Stoff Ann für die Badezimmervorhänge genommen hat: 2 Fuß * 4 Fuß = <<2*4=8>> 8 Quadratfuß Schließlich subtrahieren Sie die Quadratmeterfläche beider Vorhänge aus der Gesamtquadratmeterfläche: 192 - 24 - 8 = <<192-24-8=160>> 160 Quadratfuß Die Antwort ist 160",51
52,52,"F: Arnel hatte zehn Kisten mit Bleistiften mit der gleichen Anzahl von Bleistiften in jeder Kiste. Er behielt zehn Bleistifte und teilte die übrigen Bleistifte gleichmäßig mit seinen fünf Freunden. Wenn seine Freunde jeweils acht Bleistifte bekommen haben, wie viele Bleistifte sind in jeder Schachtel? A: Denken wir Schritt für Schritt. Arnel teilte 5 x 8 = <<5*8=40>> 40 Bleistifte mit seinen Freunden. Also hatte er 10 + 40 = <<10+40=50>> 50 Bleistifte insgesamt. Daher befanden sich in jeder Schachtel 50/10 = <<50/10=5>> 5 Bleistifte. #### 5","F: Arnel hatte zehn Kisten mit Bleistiften mit der gleichen Anzahl von Bleistiften in jeder Kiste. Er behielt zehn Bleistifte und teilte die übrigen Bleistifte gleichmäßig mit seinen fünf Freunden. Wenn seine Freunde jeweils acht Bleistifte bekommen haben, wie viele Bleistifte sind in jeder Schachtel? A: Denken wir Schritt für Schritt. Arnel teilte 5 x 8 = <<5*8=40>> 40 Bleistifte mit seinen Freunden. Also hatte er 10 + 40 = <<10+40=50>> 50 Bleistifte insgesamt. Daher befanden sich in jeder Schachtel 50/10 = <<50/10=5>> 5 Bleistifte. Die Antwort ist 5.",52
