question,subject,choices,answer,qa
"Aussage 1: Der lineare Regressionsschätzer hat die kleinste Varianz unter allen unvoreingenommenen Schätzern Die Koeffizienten α, die den von AdaBoost zusammengestellten Klassifikatoren zugeordnet werden, sind immer nicht-negativ.",machine_learning,"['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']",3,"Frage: Aussage 1: Der lineare Regressionsschätzer hat die kleinste Varianz unter allen unvoreingenommenen Schätzern Die Koeffizienten α, die den von AdaBoost zusammengestellten Klassifikatoren zugeordnet werden, sind immer nicht-negativ.

Antwortoptionen: ['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']

Antwort: Falsch, wahr"
"Aussage 1 RÖBERTA prätrainiert auf einem Korpus, der ungefähr 10x größer ist als der Korpus, auf dem BERT prätrainiert wurde. Aussage 2 RÖBERTA ResNeXts im Jahr 2018 verwendeten in der Regel Tanh-Aktivierungsfunktionen.",machine_learning,"['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']",2,"Frage: Aussage 1 RÖBERTA prätrainiert auf einem Korpus, der ungefähr 10x größer ist als der Korpus, auf dem BERT prätrainiert wurde. Aussage 2 RÖBERTA ResNeXts im Jahr 2018 verwendeten in der Regel Tanh-Aktivierungsfunktionen.

Antwortoptionen: ['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']

Antwort: Wahre und Falsche"
"Aussage 1Support-Vektor-Maschinen, wie logistische Regressionsmodelle, geben eine Wahrscheinlichkeitsverteilung über die möglichen Etiketten bei einem Eingabebebeispiel Anweisung 2 Wir würden erwarten, dass die Unterstützungsvektoren im Allgemeinen gleich bleiben, wenn wir uns von einem linearen Kern zu polynomischen Kernen höherer Ordnung bewegen.",machine_learning,"['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']",1,"Frage: Aussage 1Support-Vektor-Maschinen, wie logistische Regressionsmodelle, geben eine Wahrscheinlichkeitsverteilung über die möglichen Etiketten bei einem Eingabebebeispiel Anweisung 2 Wir würden erwarten, dass die Unterstützungsvektoren im Allgemeinen gleich bleiben, wenn wir uns von einem linearen Kern zu polynomischen Kernen höherer Ordnung bewegen.

Antwortoptionen: ['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']

Antwort: Falsch, Falsch"
"Ein maschinelles Lernproblem beinhaltet vier Attribute plus eine Klasse Die Attribute haben jeweils 3, 2, 2 und 2 mögliche Werte Die Klasse hat 3 mögliche Werte Wie viele maximal mögliche verschiedene Beispiele gibt es?",machine_learning,"['12 Jahre', '24 und', '48 und', 'Siebenundsechzig']",3,"Frage: Ein maschinelles Lernproblem beinhaltet vier Attribute plus eine Klasse Die Attribute haben jeweils 3, 2, 2 und 2 mögliche Werte Die Klasse hat 3 mögliche Werte Wie viele maximal mögliche verschiedene Beispiele gibt es?

Antwortoptionen: ['12 Jahre', '24 und', '48 und', 'Siebenundsechzig']

Antwort: Siebenundsechzig"
Welche Architektur ist ab 2020 für die Klassifizierung von hochauflösenden Bildern am besten geeignet?,machine_learning,"['Konvolutionsnetze', 'Graphische Netze', 'vollständig angeschlossene Netze', 'RBF-Netzwerke']",0,"Frage: Welche Architektur ist ab 2020 für die Klassifizierung von hochauflösenden Bildern am besten geeignet?

Antwortoptionen: ['Konvolutionsnetze', 'Graphische Netze', 'vollständig angeschlossene Netze', 'RBF-Netzwerke']

Antwort: Konvolutionsnetze"
"Anweisung 1: Die Log-Wahrscheinlichkeit der Daten wird durch aufeinanderfolgende Iterationen des Algorithmus der Erwartungsmaximierung stets zunehmen Ein Nachteil von Q-Learning besteht darin, dass es nur verwendet werden kann, wenn der Lernende vorher Kenntnisse darüber hat, wie seine Handlungen seine Umgebung beeinflussen.",machine_learning,"['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']",1,"Frage: Anweisung 1: Die Log-Wahrscheinlichkeit der Daten wird durch aufeinanderfolgende Iterationen des Algorithmus der Erwartungsmaximierung stets zunehmen Ein Nachteil von Q-Learning besteht darin, dass es nur verwendet werden kann, wenn der Lernende vorher Kenntnisse darüber hat, wie seine Handlungen seine Umgebung beeinflussen.

Antwortoptionen: ['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']

Antwort: Falsch, Falsch"
"Angenommen, wir haben den Gradienten unserer Kostenfunktion berechnet und ihn in einem Vektor g gespeichert. Was sind die Kosten für eine Gradienten-Abstiegs-Aktualisierung angesichts des Gradienten?",machine_learning,"['O ((D)', 'O ((N)', 'O ((ND)', 'O ((ND^2)']",0,"Frage: Angenommen, wir haben den Gradienten unserer Kostenfunktion berechnet und ihn in einem Vektor g gespeichert. Was sind die Kosten für eine Gradienten-Abstiegs-Aktualisierung angesichts des Gradienten?

Antwortoptionen: ['O ((D)', 'O ((N)', 'O ((ND)', 'O ((ND^2)']

Antwort: O ((D)"
"Anweisung 1: Für eine kontinuierliche Zufallsvariable x und ihre Wahrscheinlichkeitsverteilungsfunktion p (x) gilt, dass 0 ≤ p (x) ≤ 1 für alle x Aussage 2 Das Entscheidungsbaum wird durch Minimierung des Informationsgewinns erlernt.",machine_learning,"['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']",1,"Frage: Anweisung 1: Für eine kontinuierliche Zufallsvariable x und ihre Wahrscheinlichkeitsverteilungsfunktion p (x) gilt, dass 0 ≤ p (x) ≤ 1 für alle x Aussage 2 Das Entscheidungsbaum wird durch Minimierung des Informationsgewinns erlernt.

Antwortoptionen: ['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']

Antwort: Falsch, Falsch"
Wie viele unabhängige Parameter werden für dieses bayesische Netzwerk benötigt H -> U <- P <- W?,machine_learning,"['1 und 2', '4 und 5', '8 und 9', '15 und 16']",2,"Frage: Wie viele unabhängige Parameter werden für dieses bayesische Netzwerk benötigt H -> U <- P <- W?

Antwortoptionen: ['1 und 2', '4 und 5', '8 und 9', '15 und 16']

Antwort: 8 und 9"
"Da die Anzahl der Trainingsbeispiele unendlich ist, wird Ihr auf diesen Daten trainiertes Modell:",machine_learning,"['Niedrigere Varianz', 'Höhere Varianz', 'Gleiche Abweichung', 'Keine der oben genannten']",0,"Frage: Da die Anzahl der Trainingsbeispiele unendlich ist, wird Ihr auf diesen Daten trainiertes Modell:

Antwortoptionen: ['Niedrigere Varianz', 'Höhere Varianz', 'Gleiche Abweichung', 'Keine der oben genannten']

Antwort: Niedrigere Varianz"
