Unnamed: 0.1,Unnamed: 0,instruct,qa,_doc_id
11,11,"F: Tobias kauft ein neues Paar Schuhe, die 95 Dollar kosten. Er hat in den letzten drei Monaten jeden Monat sein Geld gespart. Er bekommt ein Taschengeld von 5 Dollar im Monat. Er mäht auch Rasen und schaufelt Einfahrten. Er verlangt 15 Dollar für den Rasenmäher und 7 Dollar für die Schaufel. Nachdem er die Schuhe gekauft hat, hat er 15 Dollar Kleingeld. Wenn er 4 Rasen mäht, wie viele Auffahrten hat er dann gespalten? A: Denken wir Schritt für Schritt. Er hat insgesamt 110 $ gespart, weil 95 + 15 = <<95+15=110>> 110 Er hat 15 $ aus seinem Taschengeld gespart, weil 3 x 5 = <<3*5=15>> 15 Er hat 60 $ beim Rasenmähen verdient, weil 4 x 15 = <<4*15=60>> 60 Er hat 35 $ beim Schaufeln von Einfahrten verdient, weil 110 - 60 - 15 = <<110-60-15=35>> 35 Er hat 5 Einfahrten geschaufelt, weil 35 / 7 = <<35/7=5>> 5 #### 5","F: Tobias kauft ein neues Paar Schuhe, die 95 Dollar kosten. Er hat in den letzten drei Monaten jeden Monat sein Geld gespart. Er bekommt ein Taschengeld von 5 Dollar im Monat. Er mäht auch Rasen und schaufelt Einfahrten. Er verlangt 15 Dollar für den Rasenmäher und 7 Dollar für die Schaufel. Nachdem er die Schuhe gekauft hat, hat er 15 Dollar Kleingeld. Wenn er 4 Rasen mäht, wie viele Auffahrten hat er dann gespalten? A: Denken wir Schritt für Schritt. Er hat insgesamt 110 $ gespart, weil 95 + 15 = <<95+15=110>> 110 Er hat 15 $ aus seinem Taschengeld gespart, weil 3 x 5 = <<3*5=15>> 15 Er hat 60 $ beim Rasenmähen verdient, weil 4 x 15 = <<4*15=60>> 60 Er hat 35 $ beim Schaufeln von Einfahrten verdient, weil 110 - 60 - 15 = <<110-60-15=35>> 35 Er hat 5 Einfahrten geschaufelt, weil 35 / 7 = <<35/7=5>> 5 Die Antwort ist 5",11
21,21,"F: Jeder Vogel frisst 12 Käfer pro Tag, jede Schlange frisst 3 Vögel pro Tag und jeder Jaguar frisst 5 Schlangen pro Tag. Wenn es 6 Jaguare in einem Wald gibt, wie viele Käfer werden täglich gefressen? A: Denken wir Schritt für Schritt. Finden Sie zunächst die Gesamtzahl der gefressenen Schlangen: 5 Schlangen/Jaguar * 6 Jaguare = <<5*6=30>> 30 Schlangen Dann finden Sie die Gesamtzahl der am Tag gefressenen Vögel: 30 Schlangen * 3 Vögel/Schlange = <<30*3=90>> 90 Schlangen Dann multiplizieren Sie die Anzahl der Schlangen mit der Anzahl der Käfer pro Schlange, um die Gesamtzahl der am Tag gefressenen Käfer zu finden: 90 Schlangen * 12 Käfer/Schlange = <<90*12=1080>> 1080 Käfer #### 1080","F: Jeder Vogel frisst 12 Käfer pro Tag, jede Schlange frisst 3 Vögel pro Tag und jeder Jaguar frisst 5 Schlangen pro Tag. Wenn es 6 Jaguare in einem Wald gibt, wie viele Käfer werden täglich gefressen? A: Denken wir Schritt für Schritt. Finden Sie zunächst die Gesamtzahl der gefressenen Schlangen: 5 Schlangen/Jaguar * 6 Jaguare = <<5*6=30>> 30 Schlangen Dann finden Sie die Gesamtzahl der am Tag gefressenen Vögel: 30 Schlangen * 3 Vögel/Schlange = <<30*3=90>> 90 Schlangen Dann multiplizieren Sie die Anzahl der Schlangen mit der Anzahl der Käfer pro Schlange, um die Gesamtzahl der am Tag gefressenen Käfer zu finden: 90 Schlangen * 12 Käfer/Schlange = <<90*12=1080>> 1080 Käfer Die Antwort ist 1080",21
27,27,"F: Brennan recherchierte für sein Schulprojekt und musste Dateien aus dem Internet auf seinen Computer herunterladen, um sie als Referenz zu verwenden. Nachdem er 800 Dateien heruntergeladen hatte, löschte er 70% von ihnen, weil sie nicht hilfreich waren. Er heruntergeladen 400 weitere Dateien, aber wieder erkannte, dass 3/5 von ihnen waren irrelevant. Wie viele wertvolle Dateien blieben ihm übrig, nachdem er die nicht zusammenhängenden Dateien gelöscht hatte, die er in der zweiten Runde heruntergeladen hatte? A: Denken wir Schritt für Schritt. Die Anzahl der nicht wertvollen Dateien, die Brennan in der ersten Runde heruntergeladen hat, beträgt 70/100*800 = <<70/100*800=560>> 560 Dateien. Die Anzahl der wertvollen Dateien, die Brennan in der ersten Runde heruntergeladen hat, beträgt 800-560 = <<800-560=240>> 240 Als er 400 neue Dateien heruntergeladen hat, gab es 3/5 * 400 = <<3/5*400=240>> 240 nicht nützliche Dateien, die er erneut gelöscht hat. Die Gesamtzahl der wertvollen Dateien, die er in der zweiten Runde heruntergeladen hat, beträgt 400-240 = <<400-240=160>> 160 Um seine Forschung zu schreiben, hatte Brennan 160+240 = <<160+240=400>> 400 nützliche Dateien, auf die er sich beziehen konnte, um seine Forschung zu schreiben. #### 400","F: Brennan recherchierte für sein Schulprojekt und musste Dateien aus dem Internet auf seinen Computer herunterladen, um sie als Referenz zu verwenden. Nachdem er 800 Dateien heruntergeladen hatte, löschte er 70% von ihnen, weil sie nicht hilfreich waren. Er heruntergeladen 400 weitere Dateien, aber wieder erkannte, dass 3/5 von ihnen waren irrelevant. Wie viele wertvolle Dateien blieben ihm übrig, nachdem er die nicht zusammenhängenden Dateien gelöscht hatte, die er in der zweiten Runde heruntergeladen hatte? A: Denken wir Schritt für Schritt. Die Anzahl der nicht wertvollen Dateien, die Brennan in der ersten Runde heruntergeladen hat, beträgt 70/100*800 = <<70/100*800=560>> 560 Dateien. Die Anzahl der wertvollen Dateien, die Brennan in der ersten Runde heruntergeladen hat, beträgt 800-560 = <<800-560=240>> 240 Als er 400 neue Dateien heruntergeladen hat, gab es 3/5 * 400 = <<3/5*400=240>> 240 nicht nützliche Dateien, die er erneut gelöscht hat. Die Gesamtzahl der wertvollen Dateien, die er in der zweiten Runde heruntergeladen hat, beträgt 400-240 = <<400-240=160>> 160 Um seine Forschung zu schreiben, hatte Brennan 160+240 = <<160+240=400>> 400 nützliche Dateien, auf die er sich beziehen konnte, um seine Forschung zu schreiben. Die Antwort ist 400.",27
33,33,"Um Pizza zusammen mit anderen Zutaten zu machen, braucht Kimber 10 Tassen Wasser, 16 Tassen Mehl, und 1/2 mal so viele Teelöffel Salz wie die Anzahl Tassen Mehl. Berechne die Gesamtzahl von Tassen Wasser, Mehl und Teelöffel Salz, die sie für die Pizza braucht. A: Denken wir Schritt für Schritt. Um die Pizza zu machen, benötigt Kimber halb so viele Teelöffel Salz wie die Anzahl der Tassen Mehl, was bedeutet, dass sie 1/2*16 = <<16*1/2=8>> 8 Teelöffel Salz benötigt. Die Gesamtzahl der Tassen Mehl und Teelöffel Salz, die sie benötigt, ist 8+16 = <<8+16=24>> 24 Sie benötigt auch 10 Tassen Wasser, was bedeutet, dass die Gesamtzahl der Tassen Wasser und Mehl und Teelöffel Salz, die sie benötigt, 24+10 = <<24+10=34>> 34 #### 34","Um Pizza zusammen mit anderen Zutaten zu machen, braucht Kimber 10 Tassen Wasser, 16 Tassen Mehl, und 1/2 mal so viele Teelöffel Salz wie die Anzahl Tassen Mehl. Berechne die Gesamtzahl von Tassen Wasser, Mehl und Teelöffel Salz, die sie für die Pizza braucht. A: Denken wir Schritt für Schritt. Um die Pizza zu machen, benötigt Kimber halb so viele Teelöffel Salz wie die Anzahl der Tassen Mehl, was bedeutet, dass sie 1/2*16 = <<16*1/2=8>> 8 Teelöffel Salz benötigt. Die Gesamtzahl der Tassen Mehl und Teelöffel Salz, die sie braucht, ist 8+16 = <<8+16=24>> 24 Sie braucht auch 10 Tassen Wasser, was bedeutet, dass die Gesamtzahl der Tassen Wasser und Mehl und Teelöffel Salz, die sie braucht, 24+10 = <<24+10=34>> 34 Die Antwort ist 34",33
36,36,"F: Lisa, Jack und Tommy haben 60 Dollar verdient, indem sie die ganze Woche Autos gewaschen haben. Doch die Hälfte der 60 Dollar verdiente Lisa. Tommy verdiente die Hälfte von dem, was Lisa verdiente. Wie viel mehr verdiente Lisa als Tommy? A: Denken wir Schritt für Schritt. Lisa hat $ 60 * 1/2 = $ <<60*1/2=30>> 30 verdient. Tommy verdiente $ 30 * 1/2 = $ <<30*1/2=15>> 15. Lisa verdiente $ 30 - $ 15 = $ <<30-15=15>> 15 mehr als Tommy. #### 15","F: Lisa, Jack und Tommy haben 60 Dollar verdient, indem sie die ganze Woche Autos gewaschen haben. Doch die Hälfte der 60 Dollar verdiente Lisa. Tommy verdiente die Hälfte von dem, was Lisa verdiente. Wie viel mehr verdiente Lisa als Tommy? A: Denken wir Schritt für Schritt. Lisa hat $ 60 * 1/2 = $ <<60*1/2=30>> 30 verdient. Tommy verdiente $ 30 * 1/2 = $ <<30*1/2=15>> 15. Lisa verdiente $ 30 - $ 15 = $ <<30-15=15>> 15 mehr als Tommy. Die Antwort ist 15.",36
62,62,"F: Es gibt 290 Liter Öl in 24 Dosen. Wenn 10 der Dosen jeweils 8 Liter Fassungsvermögen haben, wie viel Fassungsvermögen hat dann jede der verbleibenden Dosen? A: Denken wir Schritt für Schritt. Es sind 290 - 80 = <<290-80=210>> 210 Liter übrig 24 - 10 = <<24-10=14>> 14 Dosen übrig Jede der verbleibenden Dosen hat 210 / 14 = <<210/14=15>> 15 Liter pro #### 15","F: Es gibt 290 Liter Öl in 24 Dosen. Wenn 10 der Dosen jeweils 8 Liter Fassungsvermögen haben, wie viel Fassungsvermögen hat dann jede der verbleibenden Dosen? A: Denken wir Schritt für Schritt. 10 Dosen enthalten jeweils 8 Liter für insgesamt 10 * 8 = <<10*8=80>> 80 Liter Es sind 290 - 80 = <<290-80=210>> 210 Liter übrig Es sind 24 - 10 = <<24-10=14>> 14 Dosen übrig Jede der verbleibenden Dosen enthält 210 / 14 = <<210/14=15>> jeweils 15 Liter Die Antwort ist 15",62
94,94,"F: John schreibt 20 Seiten am Tag. Wie lange braucht er, um 3 Bücher mit je 400 Seiten zu schreiben? A: Denken wir Schritt für Schritt. Er will schreiben 3*400= <<3*400=1200>> 1200 Seiten also wird es ihn 1200/20= <<1200/20=60>> 60 Tage #### 60","F: John schreibt 20 Seiten am Tag. Wie lange braucht er, um 3 Bücher mit je 400 Seiten zu schreiben? A: Denken wir Schritt für Schritt. Er will schreiben 3*400= <<3*400=1200>> 1200 Seiten also dauert es ihn 1200/20= <<1200/20=60>> 60 Tage Die Antwort ist 60",94
118,118,"F: Jeanette übt ihr Jonglieren. Jede Woche kann sie 2 Objekte mehr jonglieren als die Woche zuvor. Wenn sie anfängt mit 3 Objekten zu jonglieren und 5 Wochen lang übt, wie viele Objekte kann sie dann jonglieren? A: Denken wir Schritt für Schritt. Finden Sie zunächst die Gesamtzahl der zusätzlichen Objekte, mit denen sie jonglieren lernt: 2 Objekte/Woche * 5 Wochen = <<2*5=10>> 10 Objekte Dann addieren Sie die anfängliche Anzahl der Objekte, mit denen sie jonglieren konnte, um die Gesamtzahl zu finden: 10 Objekte + 3 Objekte = <<10+3=13>> 13 Objekte #### 13","F: Jeanette übt ihr Jonglieren. Jede Woche kann sie 2 Objekte mehr jonglieren als die Woche zuvor. Wenn sie anfängt mit 3 Objekten zu jonglieren und 5 Wochen lang übt, wie viele Objekte kann sie dann jonglieren? A: Denken wir Schritt für Schritt. Finden Sie zunächst die Gesamtzahl der zusätzlichen Objekte, mit denen sie jonglieren lernt: 2 Objekte/Woche * 5 Wochen = <<2*5=10>> 10 Objekte Dann addieren Sie die anfängliche Anzahl der Objekte, mit denen sie jonglieren konnte, um die Gesamtzahl zu finden: 10 Objekte + 3 Objekte = <<10+3=13>> 13 Objekte Die Antwort ist 13",118
179,179,F: Colton hatte 72 Delfin-Aufkleber. Er gab jeweils 4 Aufkleber an 3 Freunde. Er gab auch seiner Freundin Mandy 2 mehr als er seinen drei Freunden insgesamt gab. Und er gab Justin 10 weniger als Mandy. Wie viele Aufkleber hat Colton noch? A: Denken wir Schritt für Schritt. Colton gab 4 Aufkleber weg * 3 Freunde = <<4*3=12>> 12 Aufkleber. Colton gab Mandy 2 + 12 Aufkleber = <<2+12=14>> 14 Aufkleber. Colton gab Justin 14 Aufkleber - 10 = <<14-10=4>> 4 Aufkleber. Insgesamt verschenkte Colton 12 + 14 + 4 Aufkleber = <<12+14+4=30>> 30 Aufkleber. Coltons Gesamtzahl an Aufklebern am Ende ist 72 - 30 = <<72-30=42>> 42 Aufkleber. #### 42,F: Colton hatte 72 Delfin-Aufkleber. Er gab jeweils 4 Aufkleber an 3 Freunde. Er gab auch seiner Freundin Mandy 2 mehr als er seinen drei Freunden insgesamt gab. Und er gab Justin 10 weniger als Mandy. Wie viele Aufkleber hat Colton noch? A: Denken wir Schritt für Schritt. Colton gab 4 Aufkleber weg * 3 Freunde = <<4*3=12>> 12 Aufkleber. Colton gab Mandy 2 + 12 Aufkleber = <<2+12=14>> 14 Aufkleber. Colton gab Justin 14 Aufkleber - 10 = <<14-10=4>> 4 Aufkleber. Insgesamt verschenkte Colton 12 + 14 + 4 Aufkleber = <<12+14+4=30>> 30 Aufkleber. Coltons Gesamtzahl an Aufklebern am Ende ist 72 - 30 = <<72-30=42>> 42 Aufkleber. Die Antwort ist 42.,179
213,213,"F: Mike und Ted pflanzten Tomaten. Am Morgen pflanzte Mike 50 Tomatenkerne, während Ted doppelt so viele pflanzte wie Mike. Am Nachmittag pflanzte Mike 60 Tomatenkerne, während Ted 20 Tomatenkerne weniger pflanzte als Mike. Wie viele Tomatensamen haben sie insgesamt gepflanzt? A: Denken wir Schritt für Schritt. Ted pflanzte 2 x 50 = <<2*50=100>> 100 Tomatenkerne. Also, Mike und Ted pflanzten 50 + 100 = <<50+100=150>> 150 Tomatensamen am Morgen. Am Nachmittag pflanzte Ted 60 - 20 = <<60-20=40>> 40 Samen. So pflanzten Mike und Ted am Nachmittag 60 + 40 = <<60+40=100>> 100 Tomatenkerne. Daher pflanzten sie insgesamt 150 + 100 = <<150+100=250>> 250 Tomatenkerne. #### 250","F: Mike und Ted pflanzten Tomaten. Am Morgen pflanzte Mike 50 Tomatenkerne, während Ted doppelt so viele pflanzte wie Mike. Am Nachmittag pflanzte Mike 60 Tomatenkerne, während Ted 20 Tomatenkerne weniger pflanzte als Mike. Wie viele Tomatensamen haben sie insgesamt gepflanzt? A: Denken wir Schritt für Schritt. Ted pflanzte 2 x 50 = <<2*50=100>> 100 Tomatenkerne. Also, Mike und Ted pflanzten 50 + 100 = <<50+100=150>> 150 Tomatensamen am Morgen. Am Nachmittag pflanzte Ted 60 - 20 = <<60-20=40>> 40 Samen. So pflanzten Mike und Ted am Nachmittag 60 + 40 = <<60+40=100>> 100 Tomatenkerne. Daher pflanzten sie insgesamt 150 + 100 = <<150+100=250>> 250 Tomatenkerne. Die Antwort ist 250.",213
