question,subject,choices,answer,qa
"Dies ist eine Hierarchie von Effekten oder ein sequentielles Modell, das verwendet wird, um zu erklären, wie Werbung funktioniert:",marketing,"['ADS.', 'Helfen Sie mir.', 'PESTLE.', 'SWOT-Untersuchung.']",1,"Frage: Dies ist eine Hierarchie von Effekten oder ein sequentielles Modell, das verwendet wird, um zu erklären, wie Werbung funktioniert:

Antwortoptionen: ['ADS.', 'Helfen Sie mir.', 'PESTLE.', 'SWOT-Untersuchung.']

Antwort: Helfen Sie mir."
"_____________ ist ein wichtiges Element im Kommunikationsprozess Er erkennt an, dass eine erfolgreiche Kommunikation eher erreicht wird, wenn sich die Quelle und der Empfänger verstehen.",marketing,"['Das Reich des Verstehens.', 'Persönlicher Verkauf.', 'Geräusche.', 'Rückmeldung.']",0,"Frage: _____________ ist ein wichtiges Element im Kommunikationsprozess Er erkennt an, dass eine erfolgreiche Kommunikation eher erreicht wird, wenn sich die Quelle und der Empfänger verstehen.

Antwortoptionen: ['Das Reich des Verstehens.', 'Persönlicher Verkauf.', 'Geräusche.', 'Rückmeldung.']

Antwort: Das Reich des Verstehens."
"In der Geschichte der Vermarktung, wann endete die Produktionsperiode?",marketing,"['Ende des 19. Jahrhunderts.', 'Anfang des 20. Jahrhunderts.', 'In den 20er Jahren.', 'Nach dem Ende des Zweiten Weltkriegs.']",2,"Frage: In der Geschichte der Vermarktung, wann endete die Produktionsperiode?

Antwortoptionen: ['Ende des 19. Jahrhunderts.', 'Anfang des 20. Jahrhunderts.', 'In den 20er Jahren.', 'Nach dem Ende des Zweiten Weltkriegs.']

Antwort: In den 20er Jahren."
"Das Ausmaß, in dem eine Dienstleistung ein Produkt umfasst, hängt von einer Reihe von Faktoren ab. Welcher der folgenden Faktoren ist NICHT einer der Faktoren?",marketing,"['Der Grad der Greifbarkeit, der mit der Art des Erzeugnisses verbunden ist.', 'Leistungswert.', 'Schwankungen in Angebot und Nachfrage.', 'Die Art und Weise, wie die Dienstleistung erbracht wird.']",1,"Frage: Das Ausmaß, in dem eine Dienstleistung ein Produkt umfasst, hängt von einer Reihe von Faktoren ab. Welcher der folgenden Faktoren ist NICHT einer der Faktoren?

Antwortoptionen: ['Der Grad der Greifbarkeit, der mit der Art des Erzeugnisses verbunden ist.', 'Leistungswert.', 'Schwankungen in Angebot und Nachfrage.', 'Die Art und Weise, wie die Dienstleistung erbracht wird.']

Antwort: Leistungswert."
"Die Eigentümer unabhängiger Tankstellen in einer Gemeinde treffen sich heimlich und vereinbaren, ihre Preise hoch zu halten, um ihre Rentabilität zu schützen Wenn ihr Plan entdeckt wird und sie eines Verbrechens angeklagt werden, könnten sie",marketing,"['Verurteilt nach dem Sherman Antitrust Act und mit Gefängnisstrafe konfrontiert', 'Verurteilt nach dem Magnuson-Moss-Garantie-Gesetz und mit hohen Geldstrafen konfrontiert', 'nach dem Adamson-Gesetz schuldig befunden und mit Gefängnis und Geldstrafen konfrontiert', 'nicht schuldig befunden, weil Einzelhändler ihre eigenen Preisniveaus festlegen dürfen']",0,"Frage: Die Eigentümer unabhängiger Tankstellen in einer Gemeinde treffen sich heimlich und vereinbaren, ihre Preise hoch zu halten, um ihre Rentabilität zu schützen Wenn ihr Plan entdeckt wird und sie eines Verbrechens angeklagt werden, könnten sie

Antwortoptionen: ['Verurteilt nach dem Sherman Antitrust Act und mit Gefängnisstrafe konfrontiert', 'Verurteilt nach dem Magnuson-Moss-Garantie-Gesetz und mit hohen Geldstrafen konfrontiert', 'nach dem Adamson-Gesetz schuldig befunden und mit Gefängnis und Geldstrafen konfrontiert', 'nicht schuldig befunden, weil Einzelhändler ihre eigenen Preisniveaus festlegen dürfen']

Antwort: Verurteilt nach dem Sherman Antitrust Act und mit Gefängnisstrafe konfrontiert"
"Der Begriff ""Marketing-Mix"" beschreibt:",marketing,"['Eine zusammengesetzte Analyse aller Umweltfaktoren innerhalb und außerhalb des Unternehmens.', 'Eine Reihe von Geschäftsentscheidungen, die zum Verkauf eines Produkts beitragen.', 'Das Verhältnis zwischen den Marketingstärken eines Unternehmens und seinen Geschäftsschwächen.', 'Eine Mischung aus vier strategischen Elementen zur Befriedigung spezifischer Zielmärkte.']",3,"Frage: Der Begriff ""Marketing-Mix"" beschreibt:

Antwortoptionen: ['Eine zusammengesetzte Analyse aller Umweltfaktoren innerhalb und außerhalb des Unternehmens.', 'Eine Reihe von Geschäftsentscheidungen, die zum Verkauf eines Produkts beitragen.', 'Das Verhältnis zwischen den Marketingstärken eines Unternehmens und seinen Geschäftsschwächen.', 'Eine Mischung aus vier strategischen Elementen zur Befriedigung spezifischer Zielmärkte.']

Antwort: Eine Mischung aus vier strategischen Elementen zur Befriedigung spezifischer Zielmärkte."
"__________ haben das Potenzial, die Art und den Fluss von Informationen an die Organisation und die Mitglieder der DMU zu kontrollieren.",marketing,"['Die Torwächter.', 'Käufer.', 'Benutzer.', 'Initiatoren.']",0,"Frage: __________ haben das Potenzial, die Art und den Fluss von Informationen an die Organisation und die Mitglieder der DMU zu kontrollieren.

Antwortoptionen: ['Die Torwächter.', 'Käufer.', 'Benutzer.', 'Initiatoren.']

Antwort: Die Torwächter."
"Ein Ungleichgewicht zwischen dem tatsächlichen und dem gewünschten Zustand eines Verbrauchers, bei dem erkannt wird, dass eine Lücke oder ein Problem gelöst werden muss, wird als",marketing,"['Motive entwickeln.', 'Eine Einstellung.', 'Ein Selbstkonzept.', 'Produktbewertung.']",0,"Frage: Ein Ungleichgewicht zwischen dem tatsächlichen und dem gewünschten Zustand eines Verbrauchers, bei dem erkannt wird, dass eine Lücke oder ein Problem gelöst werden muss, wird als

Antwortoptionen: ['Motive entwickeln.', 'Eine Einstellung.', 'Ein Selbstkonzept.', 'Produktbewertung.']

Antwort: Motive entwickeln."
Welches der folgenden Merkmale ist kein Bestandteil des Marketing-Mix?,marketing,"['Beförderung.', 'Das Produkt.', 'Zielmarkt.', 'Die Preise.']",2,"Frage: Welches der folgenden Merkmale ist kein Bestandteil des Marketing-Mix?

Antwortoptionen: ['Beförderung.', 'Das Produkt.', 'Zielmarkt.', 'Die Preise.']

Antwort: Zielmarkt."
"Kostenlose Proben von Parfüms (Duft) in Zeitschriften zu geben, ist ein Beispiel für welches der folgenden?",marketing,"['Klassische Konditionierung.', 'Operanten-Konditionierung.', 'Soziales Lernen.', 'Verhaltenslernen.']",0,"Frage: Kostenlose Proben von Parfüms (Duft) in Zeitschriften zu geben, ist ein Beispiel für welches der folgenden?

Antwortoptionen: ['Klassische Konditionierung.', 'Operanten-Konditionierung.', 'Soziales Lernen.', 'Verhaltenslernen.']

Antwort: Klassische Konditionierung."
Warum wird die Marktsegmentierung durchgeführt?,marketing,"['Um große Märkte in kleinere Märkte zu zerlegen.', 'Um die Konkurrenz zu übertreffen.', 'Durch die Gruppierung von Kunden mit ähnlichen Bedürfnissen bietet sie eine kommerziell tragfähige Methode, diese Kunden zu bedienen.', 'Damit ein größerer Marktanteil erreicht werden kann.']",2,"Frage: Warum wird die Marktsegmentierung durchgeführt?

Antwortoptionen: ['Um große Märkte in kleinere Märkte zu zerlegen.', 'Um die Konkurrenz zu übertreffen.', 'Durch die Gruppierung von Kunden mit ähnlichen Bedürfnissen bietet sie eine kommerziell tragfähige Methode, diese Kunden zu bedienen.', 'Damit ein größerer Marktanteil erreicht werden kann.']

Antwort: Durch die Gruppierung von Kunden mit ähnlichen Bedürfnissen bietet sie eine kommerziell tragfähige Methode, diese Kunden zu bedienen."
"Es gibt drei Haupttypen von Kaufsituationen in einer Organisation, die von Robinson, Faris und Wind (1967) als _____________ bezeichnet werden.",marketing,"['Wiederholte Einkäufe.', 'Kaufphasen.', 'Kaufstunden.', 'Ausschreibungen.']",2,"Frage: Es gibt drei Haupttypen von Kaufsituationen in einer Organisation, die von Robinson, Faris und Wind (1967) als _____________ bezeichnet werden.

Antwortoptionen: ['Wiederholte Einkäufe.', 'Kaufphasen.', 'Kaufstunden.', 'Ausschreibungen.']

Antwort: Kaufstunden."
"Wenn der erfolgreiche Bieter einen unrentablen Auftrag erhält, den er zu liefern hat, weil sein Gebotspreis so niedrig festgelegt wurde, bezeichnet man dies als:",marketing,"['Der Fluch des Siegers.', 'Der Gewinnerpreis.', 'Die Belohnung des Gewinners.', 'Verlustführer-Preise.']",0,"Frage: Wenn der erfolgreiche Bieter einen unrentablen Auftrag erhält, den er zu liefern hat, weil sein Gebotspreis so niedrig festgelegt wurde, bezeichnet man dies als:

Antwortoptionen: ['Der Fluch des Siegers.', 'Der Gewinnerpreis.', 'Die Belohnung des Gewinners.', 'Verlustführer-Preise.']

Antwort: Der Fluch des Siegers."
"Dies erlaubt uns zu bestimmen, wie sich die Menge eines Angebots auf den Preis bezieht, zu dem es angeboten wird:",marketing,"['Preisbündelung.', 'Preiselastizität.', 'Preiseinelastizität.', 'Preisinflation.']",1,"Frage: Dies erlaubt uns zu bestimmen, wie sich die Menge eines Angebots auf den Preis bezieht, zu dem es angeboten wird:

Antwortoptionen: ['Preisbündelung.', 'Preiselastizität.', 'Preiseinelastizität.', 'Preisinflation.']

Antwort: Preiselastizität."
"________________ treten auf, wenn es keine vorherige Austauschgeschichte gibt und keine zukünftigen Austausch zwischen Käufer und Verkäufer erwartet werden.",marketing,"['Beziehungsmarketing.', 'Dienstleistungsmix.', 'Marktbörsen.', 'Dienstfehler.']",2,"Frage: ________________ treten auf, wenn es keine vorherige Austauschgeschichte gibt und keine zukünftigen Austausch zwischen Käufer und Verkäufer erwartet werden.

Antwortoptionen: ['Beziehungsmarketing.', 'Dienstleistungsmix.', 'Marktbörsen.', 'Dienstfehler.']

Antwort: Marktbörsen."
"Eine Methode der Vermarktung per E-Mail, bei der der Empfänger der Nachricht dem Empfang der Nachricht zugestimmt hat, wird als folgende bezeichnet:",marketing,"['Suchmaschinenmarketing.', 'Werbung im Internet.', 'Erlaubnisbasiertes E-Mail-Marketing.', 'Soziales Web-Marketing.']",2,"Frage: Eine Methode der Vermarktung per E-Mail, bei der der Empfänger der Nachricht dem Empfang der Nachricht zugestimmt hat, wird als folgende bezeichnet:

Antwortoptionen: ['Suchmaschinenmarketing.', 'Werbung im Internet.', 'Erlaubnisbasiertes E-Mail-Marketing.', 'Soziales Web-Marketing.']

Antwort: Erlaubnisbasiertes E-Mail-Marketing."
"Organisationen, die sich zusammenschließen, um Angebote zu ermöglichen, die Endnutzer schnell und effizient zu erreichen, bilden einen Marketingkanal.",marketing,"['Fahrzeug.', 'Der Kurier.', 'Beförderung.', 'Vertriebskanal.']",3,"Frage: Organisationen, die sich zusammenschließen, um Angebote zu ermöglichen, die Endnutzer schnell und effizient zu erreichen, bilden einen Marketingkanal.

Antwortoptionen: ['Fahrzeug.', 'Der Kurier.', 'Beförderung.', 'Vertriebskanal.']

Antwort: Vertriebskanal."
Welche der folgenden drei großen Gruppen von Organisationsmerkmalen sind die Segmentierungskriterien?,marketing,"['Größe der Organisation, Branchenart und Geschlecht.', 'Psychografische, Käufer- und Verhaltenskriterien.', 'Größe der Organisation, Branchenart und geografische Lage.', 'Nichts davon.']",2,"Frage: Welche der folgenden drei großen Gruppen von Organisationsmerkmalen sind die Segmentierungskriterien?

Antwortoptionen: ['Größe der Organisation, Branchenart und Geschlecht.', 'Psychografische, Käufer- und Verhaltenskriterien.', 'Größe der Organisation, Branchenart und geografische Lage.', 'Nichts davon.']

Antwort: Größe der Organisation, Branchenart und geografische Lage."
"Welcher der folgenden Namen steht für einen Gutschein, der in einem Paket für einen späteren Kauf enthalten ist?",marketing,"['ein eigenständiger Kupon', 'ein Coupon für die sofortige Einlösung', 'einen Rückzahlungscoupon', 'ein Rabattgutschein']",2,"Frage: Welcher der folgenden Namen steht für einen Gutschein, der in einem Paket für einen späteren Kauf enthalten ist?

Antwortoptionen: ['ein eigenständiger Kupon', 'ein Coupon für die sofortige Einlösung', 'einen Rückzahlungscoupon', 'ein Rabattgutschein']

Antwort: einen Rückzahlungscoupon"
"Werbung dient zur Verteidigung, zur Kundenbindung und zur Steigerung der Markennutzung Werbung dient dazu, bestehende Einstellungen zu verstärken, nicht notwendigerweise, sie drastisch zu verändern Diese Idee beruht auf:",marketing,"['Eine starke Theorie.', 'Schwache Theorie.', 'ATR-Rahmen.', 'DRIP-Modell.']",1,"Frage: Werbung dient zur Verteidigung, zur Kundenbindung und zur Steigerung der Markennutzung Werbung dient dazu, bestehende Einstellungen zu verstärken, nicht notwendigerweise, sie drastisch zu verändern Diese Idee beruht auf:

Antwortoptionen: ['Eine starke Theorie.', 'Schwache Theorie.', 'ATR-Rahmen.', 'DRIP-Modell.']

Antwort: Schwache Theorie."
_____________ ist eine Beurteilung des Produktmixes eines Unternehmens Dienstleistungen Investitionen und anderen Vermögenswerten zur Optimierung der Ressourcennutzung und zur Beurteilung der Eignung Risikograd und erwartete finanzielle Rendite.,marketing,"['SWOT-Analyse.', 'Politische Analyse.', 'Analyse des Portfolios.', 'Wettbewerbsanalyse.']",2,"Frage: _____________ ist eine Beurteilung des Produktmixes eines Unternehmens Dienstleistungen Investitionen und anderen Vermögenswerten zur Optimierung der Ressourcennutzung und zur Beurteilung der Eignung Risikograd und erwartete finanzielle Rendite.

Antwortoptionen: ['SWOT-Analyse.', 'Politische Analyse.', 'Analyse des Portfolios.', 'Wettbewerbsanalyse.']

Antwort: Analyse des Portfolios."
"Diese Waren sind preisgünstige Produkte, die häufig gekauft werden, nur einmal verwendet werden und ein geringes Kaufrisiko mit sich bringen:",marketing,"['Nicht dauerhaft.', 'Langlebig.', 'Es ist generisch.', 'Das ist Luxus.']",0,"Frage: Diese Waren sind preisgünstige Produkte, die häufig gekauft werden, nur einmal verwendet werden und ein geringes Kaufrisiko mit sich bringen:

Antwortoptionen: ['Nicht dauerhaft.', 'Langlebig.', 'Es ist generisch.', 'Das ist Luxus.']

Antwort: Nicht dauerhaft."
"Welcher der folgenden Prozesse ist nicht grundlegend, um zu erklären, wie Verbraucher über Produkte und Marken denken und lernen?",marketing,"['Erkenntnis.', 'Wahrnehmung.', 'Lernen.', 'Persönlichkeit.']",3,"Frage: Welcher der folgenden Prozesse ist nicht grundlegend, um zu erklären, wie Verbraucher über Produkte und Marken denken und lernen?

Antwortoptionen: ['Erkenntnis.', 'Wahrnehmung.', 'Lernen.', 'Persönlichkeit.']

Antwort: Persönlichkeit."
"________________wird verwendet, um die Art und Weise zu beeinflussen, wie eine Organisation von verschiedenen Gruppen von Interessengruppen wahrgenommen wird.",marketing,"['Direktvermarktung.', 'Öffentlichkeitsarbeit.', 'Verkaufsförderung.', 'Werbung']",1,"Frage: ________________wird verwendet, um die Art und Weise zu beeinflussen, wie eine Organisation von verschiedenen Gruppen von Interessengruppen wahrgenommen wird.

Antwortoptionen: ['Direktvermarktung.', 'Öffentlichkeitsarbeit.', 'Verkaufsförderung.', 'Werbung']

Antwort: Öffentlichkeitsarbeit."
"Marketing, das sich von einer transaktionsbasierten Anstrengung zu einer Konversation (d.h. Dies kann als eine Situation oder ein Mechanismus beschrieben werden, durch den Vermarkter und ein Kunde (z. B. Stakeholder) in der Regel in Echtzeit miteinander interagieren, wird folgendermaßen bezeichnet:",marketing,"['Digitales Marketing.', 'Interaktives Marketing.', 'Direktvermarktung.', 'Elektronische Vermarktung.']",1,"Frage: Marketing, das sich von einer transaktionsbasierten Anstrengung zu einer Konversation (d.h. Dies kann als eine Situation oder ein Mechanismus beschrieben werden, durch den Vermarkter und ein Kunde (z. B. Stakeholder) in der Regel in Echtzeit miteinander interagieren, wird folgendermaßen bezeichnet:

Antwortoptionen: ['Digitales Marketing.', 'Interaktives Marketing.', 'Direktvermarktung.', 'Elektronische Vermarktung.']

Antwort: Interaktives Marketing."
Die Differenzierung der Produkte oder Dienstleistungen eines Unternehmens zur Förderung der Umweltverantwortung wird folgendermaßen bezeichnet:,marketing,"['Soziales Branding.', 'Öko-Markenzeichen.', 'Ich markiere auch.', 'Markenpersönlichkeit.']",1,"Frage: Die Differenzierung der Produkte oder Dienstleistungen eines Unternehmens zur Förderung der Umweltverantwortung wird folgendermaßen bezeichnet:

Antwortoptionen: ['Soziales Branding.', 'Öko-Markenzeichen.', 'Ich markiere auch.', 'Markenpersönlichkeit.']

Antwort: Öko-Markenzeichen."
