question,subject,choices,answer,qa
जन-समाज सिद्धांत बताता है कि:,sociology,"['मीडिया की सामग्री बाजार शक्तियों द्वारा निर्धारित की जाती है', 'अधीनस्थ वर्गों पर शासक वर्ग की विचारधारा का प्रभुत्व है', 'मीडिया 'जनता' को असुरक्षित, निष्क्रिय उपभोक्ताओं के रूप में हेरफेर करता है', 'दर्शक मीडिया संदेशों की चुनिंदा व्याख्या करते हैं']",2,"प्रश्न: जन-समाज सिद्धांत बताता है कि:

उत्तर विकल्प: ['मीडिया की सामग्री बाजार शक्तियों द्वारा निर्धारित की जाती है', 'अधीनस्थ वर्गों पर शासक वर्ग की विचारधारा का प्रभुत्व है', 'मीडिया 'जनता' को असुरक्षित, निष्क्रिय उपभोक्ताओं के रूप में हेरफेर करता है', 'दर्शक मीडिया संदेशों की चुनिंदा व्याख्या करते हैं']

उत्तर: मीडिया 'जनता' को असुरक्षित, निष्क्रिय उपभोक्ताओं के रूप में हेरफेर करता है"
शहरी समाजशास्त्र के लिए पारिस्थितिक दृष्टिकोण में निम्नलिखित का अध्ययन शामिल था:,sociology,"['कैसे सामाजिक समूहों ने शहर के विभिन्न क्षेत्रों का उपनिवेश बनाया और संसाधनों के लिए प्रतिस्पर्धा की', 'वन्यजीवों और प्राकृतिक आवासों के प्रकार जो शहर के किनारों पर पाए जा सकते हैं', 'जिस तरह से लोगों ने पर्यावरण के मुद्दों के बारे में सामूहिक विरोध प्रदर्शनों का आयोजन किया', 'कैसे पुरुष और महिलाएं शहर के सार्वजनिक स्थानों का अलग-अलग उपयोग करती हैं']",0,"प्रश्न: शहरी समाजशास्त्र के लिए पारिस्थितिक दृष्टिकोण में निम्नलिखित का अध्ययन शामिल था:

उत्तर विकल्प: ['कैसे सामाजिक समूहों ने शहर के विभिन्न क्षेत्रों का उपनिवेश बनाया और संसाधनों के लिए प्रतिस्पर्धा की', 'वन्यजीवों और प्राकृतिक आवासों के प्रकार जो शहर के किनारों पर पाए जा सकते हैं', 'जिस तरह से लोगों ने पर्यावरण के मुद्दों के बारे में सामूहिक विरोध प्रदर्शनों का आयोजन किया', 'कैसे पुरुष और महिलाएं शहर के सार्वजनिक स्थानों का अलग-अलग उपयोग करती हैं']

उत्तर: कैसे सामाजिक समूहों ने शहर के विभिन्न क्षेत्रों का उपनिवेश बनाया और संसाधनों के लिए प्रतिस्पर्धा की"
बेकर ने घोषणा की कि भांग का प्रयोग:,sociology,"['1970 के दशक में युवाओं के सभी वर्गों में वृद्धि', 'एक विचलित कैरियर की सामाजिक प्रक्रियाओं के माध्यम से धीरे-धीरे सीखा', 'एक खतरनाक शौक जिसे युवाओं को आगे बढ़ाने की अनुमति नहीं दी जानी चाहिए', 'यह उतना सुखद नहीं है जितना कि अन्य समाजशास्त्रियों ने सुझाव दिया था']",1,"प्रश्न: बेकर ने घोषणा की कि भांग का प्रयोग:

उत्तर विकल्प: ['1970 के दशक में युवाओं के सभी वर्गों में वृद्धि', 'एक विचलित कैरियर की सामाजिक प्रक्रियाओं के माध्यम से धीरे-धीरे सीखा', 'एक खतरनाक शौक जिसे युवाओं को आगे बढ़ाने की अनुमति नहीं दी जानी चाहिए', 'यह उतना सुखद नहीं है जितना कि अन्य समाजशास्त्रियों ने सुझाव दिया था']

उत्तर: एक विचलित कैरियर की सामाजिक प्रक्रियाओं के माध्यम से धीरे-धीरे सीखा"
उन्नीसवीं शताब्दी में विकसित मध्यवर्ग थे:,sociology,"['एक शहरी समूह, जो नागरिक निकायों और स्वैच्छिक संघों में शामिल है', 'वर्ग चेतना की एक मजबूत भावना के लिए बहुत विविध', 'अक्सर 'सफेद कॉलर' के काम में शामिल होते हैं', 'उपरोक्त सभी']",3,"प्रश्न: उन्नीसवीं शताब्दी में विकसित मध्यवर्ग थे:

उत्तर विकल्प: ['एक शहरी समूह, जो नागरिक निकायों और स्वैच्छिक संघों में शामिल है', 'वर्ग चेतना की एक मजबूत भावना के लिए बहुत विविध', 'अक्सर 'सफेद कॉलर' के काम में शामिल होते हैं', 'उपरोक्त सभी']

उत्तर: उपरोक्त सभी"
निगरानी के तकनीकी रूपों ने इसे आसान बना दिया है:,sociology,"['उपभोक्ताओं के बारे में 'निजी' जानकारी तक पहुंच और आदान-प्रदान', 'इलेक्ट्रॉनिक टैगिंग के उपयोग से जेल की भीड़ को कम करना', 'काम पर कर्मचारियों की गतिविधियों की निगरानी करना', 'उपरोक्त सभी']",3,"प्रश्न: निगरानी के तकनीकी रूपों ने इसे आसान बना दिया है:

उत्तर विकल्प: ['उपभोक्ताओं के बारे में 'निजी' जानकारी तक पहुंच और आदान-प्रदान', 'इलेक्ट्रॉनिक टैगिंग के उपयोग से जेल की भीड़ को कम करना', 'काम पर कर्मचारियों की गतिविधियों की निगरानी करना', 'उपरोक्त सभी']

उत्तर: उपरोक्त सभी"
Ferdinand Tönnies द्वारा विकसित gemeinschaft की अवधारणा मूल रूप से समान संबंधात्मक विशेषताओं का वर्णन करती है,sociology,"['जैविक एकजुटता', 'यांत्रिक एकजुटता', 'कंपनी', 'अस्थिरता']",1,"प्रश्न: Ferdinand Tönnies द्वारा विकसित gemeinschaft की अवधारणा मूल रूप से समान संबंधात्मक विशेषताओं का वर्णन करती है

उत्तर विकल्प: ['जैविक एकजुटता', 'यांत्रिक एकजुटता', 'कंपनी', 'अस्थिरता']

उत्तर: यांत्रिक एकजुटता"
1980 के दशक में आय असमानता में वृद्धि हुई क्योंकि:,sociology,"['आयकर की दरें सभी व्यावसायिक समूहों के लिए समान रूप से बढ़ी', 'वहाँ अधिक पेशेवर नौकरियां उपलब्ध थीं लेकिन उन्हें भरने के लिए पर्याप्त लोग नहीं थे', 'उपभोग्य वस्तुओं की कीमत आय की तुलना में अधिक दर से बढ़ी', 'बढ़ती बेरोजगारी ने अधिक लोगों को कल्याणकारी लाभों पर निर्भर बना दिया']",3,"प्रश्न: 1980 के दशक में आय असमानता में वृद्धि हुई क्योंकि:

उत्तर विकल्प: ['आयकर की दरें सभी व्यावसायिक समूहों के लिए समान रूप से बढ़ी', 'वहाँ अधिक पेशेवर नौकरियां उपलब्ध थीं लेकिन उन्हें भरने के लिए पर्याप्त लोग नहीं थे', 'उपभोग्य वस्तुओं की कीमत आय की तुलना में अधिक दर से बढ़ी', 'बढ़ती बेरोजगारी ने अधिक लोगों को कल्याणकारी लाभों पर निर्भर बना दिया']

उत्तर: बढ़ती बेरोजगारी ने अधिक लोगों को कल्याणकारी लाभों पर निर्भर बना दिया"
"यदि कोई विचलित कृत्य 'सामान्यीकृत' है, तो वह हैः",sociology,"['व्यवहार के एक महत्वपूर्ण मानदंड को तोड़ने के रूप में मान्यता प्राप्त', 'एक अन्यथा 'सामान्य' चरित्र से एक अस्थायी विचलन देखा', 'एक विचलित कैरियर स्थापित करने में पहला कदम', 'व्यक्ति की आनुवांशिक या शारीरिक बनावट के लिए जिम्मेदार']",1,"प्रश्न: यदि कोई विचलित कृत्य 'सामान्यीकृत' है, तो वह हैः

उत्तर विकल्प: ['व्यवहार के एक महत्वपूर्ण मानदंड को तोड़ने के रूप में मान्यता प्राप्त', 'एक अन्यथा 'सामान्य' चरित्र से एक अस्थायी विचलन देखा', 'एक विचलित कैरियर स्थापित करने में पहला कदम', 'व्यक्ति की आनुवांशिक या शारीरिक बनावट के लिए जिम्मेदार']

उत्तर: एक अन्यथा 'सामान्य' चरित्र से एक अस्थायी विचलन देखा"
"'प्रबंधकीय क्रांति' के बारे में बहस में, जॉन स्कॉट (1997) ने तर्क दिया कि:",sociology,"['मालिकों ने अभी भी शेयरधारकों के समूहों और इंटरलॉकिंग निदेशक मंडलों के माध्यम से नियंत्रण का प्रयोग किया', 'स्वामित्व और प्रबंधन तेजी से अलग-अलग कार्य बन रहे थे', 'वैज्ञानिक प्रबंधन की तकनीक अत्यधिक नौकरशाही और अक्षम थी', 'प्रबंधक अपनी कामकाजी परिस्थितियों से असंतुष्ट हो रहे थे और व्यवसायों के मालिकों को उखाड़ फेंकने की योजना बना रहे थे।']",0,"प्रश्न: 'प्रबंधकीय क्रांति' के बारे में बहस में, जॉन स्कॉट (1997) ने तर्क दिया कि:

उत्तर विकल्प: ['मालिकों ने अभी भी शेयरधारकों के समूहों और इंटरलॉकिंग निदेशक मंडलों के माध्यम से नियंत्रण का प्रयोग किया', 'स्वामित्व और प्रबंधन तेजी से अलग-अलग कार्य बन रहे थे', 'वैज्ञानिक प्रबंधन की तकनीक अत्यधिक नौकरशाही और अक्षम थी', 'प्रबंधक अपनी कामकाजी परिस्थितियों से असंतुष्ट हो रहे थे और व्यवसायों के मालिकों को उखाड़ फेंकने की योजना बना रहे थे।']

उत्तर: मालिकों ने अभी भी शेयरधारकों के समूहों और इंटरलॉकिंग निदेशक मंडलों के माध्यम से नियंत्रण का प्रयोग किया"
मार्क्सवादी नारीवादी पितृसत्ता की व्याख्या इस प्रकार करते हैंः,sociology,"['पुरुषों और महिलाओं के लिए समान अधिकारों और अवसरों की कमी', 'यौन वर्ग, जिसके माध्यम से पुरुष आर्थिक, राजनीतिक और यौन रूप से महिलाओं पर अत्याचार करते हैं', 'पूंजीवादी अर्थव्यवस्था द्वारा महिला घरेलू श्रम का शोषण किया जा रहा है', 'पूँजीवाद और पुरुष वर्चस्व की दोहरी प्रणालियाँ']",2,"प्रश्न: मार्क्सवादी नारीवादी पितृसत्ता की व्याख्या इस प्रकार करते हैंः

उत्तर विकल्प: ['पुरुषों और महिलाओं के लिए समान अधिकारों और अवसरों की कमी', 'यौन वर्ग, जिसके माध्यम से पुरुष आर्थिक, राजनीतिक और यौन रूप से महिलाओं पर अत्याचार करते हैं', 'पूंजीवादी अर्थव्यवस्था द्वारा महिला घरेलू श्रम का शोषण किया जा रहा है', 'पूँजीवाद और पुरुष वर्चस्व की दोहरी प्रणालियाँ']

उत्तर: पूंजीवादी अर्थव्यवस्था द्वारा महिला घरेलू श्रम का शोषण किया जा रहा है"
