good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.0767981815229745,473,6159,4535,2097,7,100925440
0.0001,1,layers.1,0.02641802641802642,102,3861,3016,947,7,100925440
0.0001,1,layers.10,0.197522461203376,1451,7346,6031,2766,7,100925440
0.0001,1,layers.11,0.23177148584314708,1850,7982,6499,3333,7,100925440
0.0001,1,layers.12,0.1521613832853026,1056,6940,5425,2571,7,100925440
0.0001,1,layers.13,0.20460147904683648,1494,7302,5656,3140,7,100925440
0.0001,1,layers.14,0.20364559988047212,1363,6693,4564,3492,7,100925440
0.0001,1,layers.15,0.2099099099099099,1398,6660,4711,3347,7,100925440
0.0001,1,layers.16,0.2584442169907881,1515,5862,4682,2695,7,100925440
0.0001,1,layers.17,0.22377450980392158,1826,8160,5962,4024,7,100925440
0.0001,1,layers.18,0.24663168344915615,1739,7051,4779,4011,7,100925440
0.0001,1,layers.19,0.24592454587796925,1584,6441,4674,3351,7,100925440
0.0001,1,layers.2,0.060266159695817494,317,5260,3954,1623,7,100925440
0.0001,1,layers.20,0.22945253925590606,1622,7069,4929,3762,7,100925440
0.0001,1,layers.21,0.16746915437857357,1113,6646,4564,3195,7,100925440
0.0001,1,layers.22,0.14207233328246605,931,6553,4313,3171,7,100925440
0.0001,1,layers.23,0.11171622019428908,759,6794,4738,2815,7,100925440
0.0001,1,layers.24,0.06978493006467137,464,6649,4603,2510,7,100925440
0.0001,1,layers.25,0.0815934065934066,594,7280,4775,3099,7,100925440
0.0001,1,layers.26,0.09462180040264596,658,6954,4830,2782,7,100925440
0.0001,1,layers.27,0.09313087490961677,644,6915,4100,3459,7,100925440
0.0001,1,layers.28,0.05473856209150327,335,6120,3769,2686,7,100925440
0.0001,1,layers.29,0.060753341433778855,450,7407,5269,2588,7,100925440
0.0001,1,layers.3,0.017394391196308128,98,5634,3862,1870,7,100925440
0.0001,1,layers.30,0.09528264065214487,713,7483,5359,2837,7,100925440
0.0001,1,layers.31,0.04407169873376089,268,6081,4312,2037,7,100925440
0.0001,1,layers.32,0.039950062421972535,256,6408,4947,1717,7,100925440
0.0001,1,layers.33,0.05042864346949067,300,5949,4188,2061,7,100925440
0.0001,1,layers.34,0.05111073993652915,306,5987,4495,1798,7,100925440
0.0001,1,layers.35,0.07582763084889957,410,5407,4252,1565,7,100925440
0.0001,1,layers.4,0.01667778519012675,100,5996,4516,1580,7,100925440
