good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.24007839294463498,1470,6123,4535,3058,7,100925440
0.0001,1,layers.1,0.14742451154529307,747,5067,3016,2798,7,100925440
0.0001,1,layers.10,0.5629831090752935,3933,6986,6031,4888,7,100925440
0.0001,1,layers.11,0.5719517157195172,4217,7373,6499,5091,7,100925440
0.0001,1,layers.12,0.47570332480818417,3162,6647,5425,4384,7,100925440
0.0001,1,layers.13,0.45905707196029777,3330,7254,5656,4928,7,100925440
0.0001,1,layers.14,0.4707420725727362,2880,6118,4564,4434,7,100925440
0.0001,1,layers.15,0.44710327455919396,2840,6352,4711,4481,7,100925440
0.0001,1,layers.16,0.5504880212954747,3102,5635,4682,4055,7,100925440
0.0001,1,layers.17,0.5102774922918808,3972,7784,5962,5794,7,100925440
0.0001,1,layers.18,0.5116870726665607,3218,6289,4779,4728,7,100925440
0.0001,1,layers.19,0.4870431893687708,2932,6020,4674,4278,7,100925440
0.0001,1,layers.2,0.16925767586474932,871,5146,3954,2063,7,100925440
0.0001,1,layers.20,0.5427438540840602,3422,6305,4929,4798,7,100925440
0.0001,1,layers.21,0.41986863711001643,2557,6090,4564,4083,7,100925440
0.0001,1,layers.22,0.42137824368448185,2452,5819,4313,3958,7,100925440
0.0001,1,layers.23,0.4354709739325124,2723,6253,4738,4238,7,100925440
0.0001,1,layers.24,0.29793233082706766,1902,6384,4603,3683,7,100925440
0.0001,1,layers.25,0.37727759914255093,2464,6531,4775,4220,7,100925440
0.0001,1,layers.26,0.27155542824405615,1896,6982,4830,4048,7,100925440
0.0001,1,layers.27,0.2990739335053894,1970,6587,4100,4457,7,100925440
0.0001,1,layers.28,0.23871397634516076,1433,6003,3769,3667,7,100925440
0.0001,1,layers.29,0.2194437015244718,1641,7478,5269,3850,7,100925440
0.0001,1,layers.3,0.09416466826538769,589,6255,3862,2982,7,100925440
0.0001,1,layers.30,0.18067721270754347,1382,7649,5359,3672,7,100925440
0.0001,1,layers.31,0.05896805896805897,384,6512,4312,2584,7,100925440
0.0001,1,layers.32,0.048091927933040145,339,7049,4947,2441,7,100925440
0.0001,1,layers.33,0.10620749529735204,734,6911,4188,3457,7,100925440
0.0001,1,layers.34,0.21392111368909514,1383,6465,4495,3353,7,100925440
0.0001,1,layers.35,0.3109702412396549,1766,5679,4252,3193,7,100925440
0.0001,1,layers.4,0.26426004063134867,1691,6399,4516,3574,7,100925440
0.0001,1,layers.5,0.39470198675496687,2384,6040,4267,4157,7,100925440
0.0001,1,layers.6,0.3346315158777711,1117,3338,2339,2116,7,100925440
0.0001,1,layers.7,0.4354301391338428,2222,5103,3649,3676,7,100925440
0.0001,1,layers.8,0.26212471131639725,2270,8660,6095,4835,7,100925440
0.0001,1,layers.9,0.49095244774863234,3500,7129,5840,4789,7,100925440
0.001,1,layers.0,0.23437145598883363,13433,57315,43493,27255,7,100925440
0.001,1,layers.1,0.09653305838381235,4494,46554,30450,20598,7,100925440
0.001,1,layers.10,0.4884179477725589,30468,62381,50377,42472,7,100925440
0.001,1,layers.11,0.546585237510564,34278,62713,53380,43611,7,100925440
0.001,1,layers.12,0.5439314445610354,31102,57180,48747,39535,7,100925440
0.001,1,layers.13,0.45669318938623854,26058,57058,44967,38149,7,100925440
0.001,1,layers.14,0.4640698082860365,25102,54091,42367,36826,7,100925440
0.001,1,layers.15,0.5048523407083848,26583,52655,42549,36689,7,100925440
0.001,1,layers.16,0.41779537045004733,24276,58105,44504,37877,7,100925440
0.001,1,layers.17,0.5143419856580144,30555,59406,48230,41731,7,100925440
0.001,1,layers.18,0.4638593986974752,25997,56045,44018,38024,7,100925440
0.001,1,layers.19,0.4557477110885046,24640,54065,43365,35340,7,100925440
0.001,1,layers.2,0.2332042957042957,11205,48048,34836,24417,7,100925440
0.001,1,layers.20,0.5089259833927262,29848,58649,48135,40362,7,100925440
0.001,1,layers.21,0.48239943855501793,26120,54146,45487,34779,7,100925440
0.001,1,layers.22,0.45282920196632154,25977,57366,46943,36400,7,100925440
0.001,1,layers.23,0.47686240891555937,27813,58325,48882,37256,7,100925440
0.001,1,layers.24,0.4339080910617067,27656,63737,54095,37298,7,100925440
0.001,1,layers.25,0.47128269647141435,32215,68356,57430,43141,7,100925440
0.001,1,layers.26,0.46181198607304247,31170,67495,59057,39608,7,100925440
0.001,1,layers.27,0.3913310283926781,26146,66813,55349,37610,7,100925440
0.001,1,layers.28,0.3620998178032275,22259,61472,50853,32878,7,100925440
0.001,1,layers.29,0.31765009461551696,22158,69756,58507,33407,7,100925440
0.001,1,layers.3,0.21557007082308907,11749,54502,36215,30036,7,100925440
0.001,1,layers.30,0.24554507337526205,17803,72504,58690,31617,7,100925440
0.001,1,layers.31,0.12184012753359144,9095,74647,57339,26403,7,100925440
0.001,1,layers.32,0.05971303605717943,4478,74992,58450,21020,7,100925440
0.001,1,layers.33,0.10551519603841863,7756,73506,56458,24804,7,100925440
0.001,1,layers.34,0.18422750664925008,11706,63541,48745,26502,7,100925440
0.001,1,layers.35,0.23118140497394774,12512,54122,37196,29438,7,100925440
0.001,1,layers.4,0.255796108522883,14001,54735,38399,30337,7,100925440
0.001,1,layers.5,0.3361355406104501,18193,54124,40487,31830,7,100925440
0.001,1,layers.6,0.3384285017081503,17336,51225,34846,33715,7,100925440
0.001,1,layers.7,0.3809165425958345,23282,61121,46213,38190,7,100925440
0.001,1,layers.8,0.42122237419912173,29256,69455,54283,44428,7,100925440
0.001,1,layers.9,0.4691886367628507,29382,62623,50318,41687,7,100925440
0.01,1,layers.0,0.24362292568957145,121896,500347,413839,208404,7,100925440
0.01,1,layers.1,0.1654870101564884,60743,367056,236814,190985,7,100925440
0.01,1,layers.10,0.3906521650485797,210767,539526,413556,336737,7,100925440
0.01,1,layers.11,0.41707954061949787,234279,561713,441819,354173,7,100925440
0.01,1,layers.12,0.41347502195162594,220849,534129,409830,345148,7,100925440
0.01,1,layers.13,0.41398388800467467,202624,489449,378728,313345,7,100925440
0.01,1,layers.14,0.3753755618405134,187407,499252,366253,320406,7,100925440
0.01,1,layers.15,0.34908837740699306,175995,504156,359599,320552,7,100925440
0.01,1,layers.16,0.36103874547335224,178360,494019,365236,307143,7,100925440
0.01,1,layers.17,0.3971961976367392,202862,510735,379349,334248,7,100925440
0.01,1,layers.18,0.4207419214235046,196919,468028,360860,304087,7,100925440
0.01,1,layers.19,0.4303220206834665,204764,475839,381373,299230,7,100925440
