question,subject,choices,answer,qa
Wie viele menschliche Polyomaviren sind derzeit bekannt?,virology,"['100 bis 100', '1 und 2', '10 und', 'unbekannt']",0,"Frage: Wie viele menschliche Polyomaviren sind derzeit bekannt?

Antwortoptionen: ['100 bis 100', '1 und 2', '10 und', 'unbekannt']

Antwort: 100 bis 100"
AIDS-Aktivismus in den USA führte zu:,virology,"['Reformen der Behörde für Lebensmittel und Arzneimittel', 'Erleichterter Zugang zu Prüfmedikamenten', 'Veränderungen in der Art und Weise, wie die Medizin in den USA praktiziert wurde.', 'Alle oben genannten']",3,"Frage: AIDS-Aktivismus in den USA führte zu:

Antwortoptionen: ['Reformen der Behörde für Lebensmittel und Arzneimittel', 'Erleichterter Zugang zu Prüfmedikamenten', 'Veränderungen in der Art und Weise, wie die Medizin in den USA praktiziert wurde.', 'Alle oben genannten']

Antwort: Alle oben genannten"
Weltweit werden die meisten Todesfälle verursacht durch:,virology,"['Infektionen der Atemwege', 'Durchfallerkrankungen', 'Malaria', 'Tuberkulose']",1,"Frage: Weltweit werden die meisten Todesfälle verursacht durch:

Antwortoptionen: ['Infektionen der Atemwege', 'Durchfallerkrankungen', 'Malaria', 'Tuberkulose']

Antwort: Durchfallerkrankungen"
"Was geschieht während der ""Inkubationszeit""?",virology,"['Das Virus wird durch das Immunsystem aus dem Körper entfernt', 'Die Replikation des Virus erfolgt auf intrazellulärer Ebene', 'Diese Periode dauert gewöhnlich ein paar Tage.', 'Diese Periode dauert gewöhnlich einige Stunden.']",1,"Frage: Was geschieht während der ""Inkubationszeit""?

Antwortoptionen: ['Das Virus wird durch das Immunsystem aus dem Körper entfernt', 'Die Replikation des Virus erfolgt auf intrazellulärer Ebene', 'Diese Periode dauert gewöhnlich ein paar Tage.', 'Diese Periode dauert gewöhnlich einige Stunden.']

Antwort: Die Replikation des Virus erfolgt auf intrazellulärer Ebene"
Neugeborene in Ländern mit begrenztem Zugang zu sauberem Wasser und niedrigem Bildungsniveau sollten:,virology,"['6 Monate ausschließlich mit Säuglingsnahrung gefüttert', 'Sechs Monate ausschließlich gestillt', 'Sie sollten sowohl Muttermilch als auch andere Nahrungsmittel erhalten, wie sie in den ersten 6 Monaten toleriert werden.', 'Monate']",1,"Frage: Neugeborene in Ländern mit begrenztem Zugang zu sauberem Wasser und niedrigem Bildungsniveau sollten:

Antwortoptionen: ['6 Monate ausschließlich mit Säuglingsnahrung gefüttert', 'Sechs Monate ausschließlich gestillt', 'Sie sollten sowohl Muttermilch als auch andere Nahrungsmittel erhalten, wie sie in den ersten 6 Monaten toleriert werden.', 'Monate']

Antwort: Sechs Monate ausschließlich gestillt"
Das Erreichen einer effektiven Veränderung in einer Gemeinschaft hängt in der Regel von welchem der folgenden Segmente der Gesellschaft ab?,virology,"['Innovatoren', 'Frühe Adapter', 'Mittlere Adapter', 'Spätere Adapter']",0,"Frage: Das Erreichen einer effektiven Veränderung in einer Gemeinschaft hängt in der Regel von welchem der folgenden Segmente der Gesellschaft ab?

Antwortoptionen: ['Innovatoren', 'Frühe Adapter', 'Mittlere Adapter', 'Spätere Adapter']

Antwort: Innovatoren"
Das Notfallmanagement  ist :,virology,"['Eine Strategie als letztes Mittel zur Verringerung risikoreicher Verhaltensweisen', 'Bezahlung von Drogenkonsumenten für negative Urinproben', 'Sexarbeiterinnen für die Verwendung von Kondomen bezahlen', 'Drogenkonsumenten für die Verwendung von Kondomen bezahlen']",1,"Frage: Das Notfallmanagement  ist :

Antwortoptionen: ['Eine Strategie als letztes Mittel zur Verringerung risikoreicher Verhaltensweisen', 'Bezahlung von Drogenkonsumenten für negative Urinproben', 'Sexarbeiterinnen für die Verwendung von Kondomen bezahlen', 'Drogenkonsumenten für die Verwendung von Kondomen bezahlen']

Antwort: Bezahlung von Drogenkonsumenten für negative Urinproben"
Welche der folgenden typischen klinischen Symptome nach einer Infektion mit Astroviren sind vorhanden?,virology,"['Akute Lungenentzündung', 'Gastroenteritis bei Kindern', 'Hepatitis', 'Ausbrüche']",1,"Frage: Welche der folgenden typischen klinischen Symptome nach einer Infektion mit Astroviren sind vorhanden?

Antwortoptionen: ['Akute Lungenentzündung', 'Gastroenteritis bei Kindern', 'Hepatitis', 'Ausbrüche']

Antwort: Gastroenteritis bei Kindern"
Welches der folgenden Merkmale ist das speziellste Merkmal des adaptiven Immunsystems?,virology,"['Antikörper', 'T-Zellen', 'Speicher-T-Zellen', 'Klonale Expansion von bereits vorhandenen Antikörpern und/oder T-Zellen']",3,"Frage: Welches der folgenden Merkmale ist das speziellste Merkmal des adaptiven Immunsystems?

Antwortoptionen: ['Antikörper', 'T-Zellen', 'Speicher-T-Zellen', 'Klonale Expansion von bereits vorhandenen Antikörpern und/oder T-Zellen']

Antwort: Klonale Expansion von bereits vorhandenen Antikörpern und/oder T-Zellen"
Chemotherapie ist mittlerweile eine Option für die klinische Versorgung von Patienten.,virology,"['Interferon und Ribavirin', 'Lamivudin und Ribavirin', 'Kombinationen von Adefovir und Entecavir und/oder Tenofovir (DAA)', 'Interferone allein']",1,"Frage: Chemotherapie ist mittlerweile eine Option für die klinische Versorgung von Patienten.

Antwortoptionen: ['Interferon und Ribavirin', 'Lamivudin und Ribavirin', 'Kombinationen von Adefovir und Entecavir und/oder Tenofovir (DAA)', 'Interferone allein']

Antwort: Lamivudin und Ribavirin"
Von 1. Januar 1997 bis 1. Januar 1998 gab es in den Vereinigten Staaten keine neuen Ebola-Fälle.,virology,"['Inzidenz', 'Lebenserwartung', 'Lebenszeitprävalenz', 'Periodenprävalenz']",2,"Frage: Von 1. Januar 1997 bis 1. Januar 1998 gab es in den Vereinigten Staaten keine neuen Ebola-Fälle.

Antwortoptionen: ['Inzidenz', 'Lebenserwartung', 'Lebenszeitprävalenz', 'Periodenprävalenz']

Antwort: Lebenszeitprävalenz"
Wie wurden Retroviren entdeckt?,virology,"['Bei Hühnern als Rous-Sarkom', 'Im Menschen als HTLV-1', 'Bei Mäusen, die Leukämie verursachen', 'Bei Katzen, die Leukämie verursachen']",2,"Frage: Wie wurden Retroviren entdeckt?

Antwortoptionen: ['Bei Hühnern als Rous-Sarkom', 'Im Menschen als HTLV-1', 'Bei Mäusen, die Leukämie verursachen', 'Bei Katzen, die Leukämie verursachen']

Antwort: Bei Mäusen, die Leukämie verursachen"
