Unnamed: 0,article,problems,qa
0,"Der Regen hatte für eine Woche fortgesetzt und die Flut hatte einen großen Fluss geschaffen, der von Nancy Browns Farm lief. Als sie versuchte, ihre Kühe zu einem höheren Boden zu sammeln, rutschte sie aus und traf ihren Kopf auf einem gefallenen Baumstamm. Der Fall machte sie bewusstlos für einen Moment oder zwei. Als sie kam, Lizzie, eine ihrer ältesten und Lieblingskühe, lecken ihr Gesicht. Zu dieser Zeit, der Wasserstand auf der Farm war noch immer steigen. Nancy sammelte alle ihre Kraft, um aufzustehen und begann langsam mit Lizzie zu gehen. Der Regen war viel schwerer geworden, und das Wasser auf dem Feld war jetzt tailliert hoch. Nancys Tempo wurde langsamer und langsamer, weil sie einen großen Schmerz in ihrem Kopf fühlte. Schließlich konnte sie nur noch ihren Arm um den Hals werfen und versuchen, an zu hängen. Etwa 20 Minuten später, Lizzie schaffte es, sich und Nancy aus dem steigenden Wasser und auf ein wenig hohes Land, das schien wie eine kleine Insel in der Mitte eines Sees von weißem Wasser.","[{'Frage': 'Was versuchte Nancy zu tun, bevor sie überfiel?', 'Antwort': 'C', 'Optionen': 'Messe die Tiefe des Flusses', 'Suche einen gefallenen Baumstamm', 'Schütze ihre Kühe davor, ertrunken zu werden', 'Laufe weg von der überfluteten Farm']}, {'Frage': 'Das Folgende ist entsprechend der Passage wahr, außer _ .', 'Antwort': 'D', 'Optionen': ['Es dauerte etwa 20 Minuten, um in Sicherheit zu kommen.', 'Es regnete härter, als Nancy es schaffte, aufzustehen.', 'Das schlechte Wetter machte es den Rettern schwer, Nancy zu finden.', 'Nancy griff das Seil und kletterte in den Hubschrauber.']}, {'Frage': 'Was taten die Einheimischen, um denen in der überfluteten Gegend zu helfen, entsprechend der Passage?', 'Antwer': 'A', 'Optionen': ""Sie stellten Unterkunft für sie in einer Schule auf.', ""Sie verwendeten Kühe.","Lesen Sie diese Passage und beantworten Sie die Multiple-Choice-Frage unter ihm. Der Regen hatte für eine Woche fortgesetzt und die Flut hatte einen großen Fluss, der von Nancy Brown's Farm lief. Als sie versuchte, ihre Kühe auf einem höheren Boden zu sammeln, rutschte sie und traf ihren Kopf auf einem gefallenen Baumstamm. Der Fall machte sie bewusstlos für einen Moment oder zwei. Als sie kam, Lizzie, eine ihrer ältesten und Lieblingskühe, lecken ihr Gesicht. Zu dieser Zeit, die Wasserstand auf der Farm war immer noch steigen. Nancy sammelte alle ihre Kraft zu werfen und begann langsam mit Lizzie zu gehen. Der Regen war viel schwerer geworden, und das Wasser im Feld war jetzt Taille hoch. Nancys Tempo wurde langsamer und langsamer, weil sie einen großen Schmerz in ihrem Kopf fühlte. Schließlich, alles, was sie tun konnte, war, um ihren Arm um Lizzie den Hals werfen und versuchen, an zu hängen. Etwa 20 Minuten später, Lizzie schaffte es, sich und Nancy aus dem steigenden Wasser und auf ein wenig hohes Land, was schien wie eine kleine Insel von weißem Wasser."
1,"Es gibt wahrscheinlich kein Gebiet menschlicher Aktivität, in dem unsere Werte und Lebensstile klarer und stärker dargestellt werden als in der Kleidung, die wir zu tragen wählen.Das Kleid eines Individuums ist eine Art ""Zeichensprache"", die eine Reihe von Informationen kommuniziert und ist in der Regel die Grundlage, auf denen unmittelbare Eindrücke gebildet werden.Traditionell wurde eine Sorge um Kleidung als eine Angelegenheit von Frauen, während Männer stolz darauf, dass sie völlig fehlt in Kleidung Bewusstsein . Diese Art der amerikanischen Kultur ist durch Grade verändert, wie Mann Kleid nimmt an mehr Vielfalt und Farbe.Selbst 1955, ein Forscher in Michigan sagte, dass _ Weißkragen Arbeitnehmer insbesondere als Symbol der Fähigkeit betrachtet werden, die verwendet werden könnte, um andere zu beeindrucken oder beeinflussen, vor allem in der Arbeitssituation.Der weißkragen Arbeiter wurde als äußerst besorgt über den Eindruck seiner Kleidung auf seine Vorgesetzten gemacht beschrieben .Obwohl blaue Kragen Arbeiter weniger bewusst waren, dass sie auf der Grundlage ihrer Kleidung beurteilt werden könnte, erkannten sie, dass jeder Unterschied von der akzeptierten Muster der Kleidung würde von Kollegen Spaß gemacht werden. Da die Zeit, die Modelle der Forscher haben sich geändert, die typischen Büro-und die Rolle der Arbeiter in den letzten Jahren haben nicht geholfen.","Die Frage: 'Die Passage sagt uns, dass _ .', 'Antworten': 'B', 'Optionen': 'Unsere Werte und Lebensstile sind in keinem Bereich menschlicher Aktivität', 'die Kleidung, die wir zu tragen wählen, hat etwas mit unseren Werten und Lebensstilen zu tun', 'unsere Werte und Lebensstile sind von der Gebärdensprache', 'die Kleidung, die wir zu tragen wählen, hängt von einer Reihe von Informationen und unmittelbaren Eindruck']}, {'Frage': 'Traditionell dachten die Menschen normalerweise, dass _ .', 'Antworten': 'B', 'Optionen': 'Die Männer kümmerten sich sehr um Kleidung', ""Frauen waren sehr besorgt über das, was sie trugen, während Männer nicht"", 'Männer und Frauen große Aufmerksamkeit auf ihre Kleidung', 'weder Männer noch Frauen zeigten Interesse an Kleidung']}, {' Frage: 'Blaue Kragenarbeiter achten auf ihre Kleidung, weil _ .', 'Antant', 'Optionen' sind besorgt auf den Eindruck ihrer Kleidung, die sie wollen, dass sie ihre Kleidung ""gut wissen, dass sie über ihre Kleidung ""gut wissen""","Lesen Sie diese Passage und beantworten Sie die Multiple-Choice-Frage unter ihm.Es ist wahrscheinlich kein Bereich der menschlichen Tätigkeit, in dem unsere Werte und Lebensstile werden deutlicher und stärker als sie in der Kleidung, die wir wählen, um zu tragen gezeigt.Das Kleid eines Individuums ist eine Art ""Zeichensprache"", die eine Reihe von Informationen kommuniziert und ist in der Regel die Grundlage, auf denen unmittelbare Eindrücke gebildet werden.Traditionell wurde eine Sorge um Kleidung als eine Angelegenheit von Frauen, während Männer stolz darauf, dass sie völlig fehlte in Kleidung Bewusstsein . Diese Art der amerikanischen Kultur wird durch Grade verändert, wie Mann Kleid nimmt auf größere Vielfalt und Farbe.Selbst 1955, ein Forscher in Michigan sagte, dass _ Weißkragen Arbeitnehmer insbesondere als ein Symbol der Fähigkeit betrachtet werden, die verwendet werden könnten, um andere zu beeindrucken oder beeinflussen, vor allem in der Arbeitssituation.Die weiße Kragenarbeiter wurde als äußerst besorgt über den Eindruck seiner Kleidung auf seine Vorgesetzten gemacht beschrieben .Obwohl Blue-Crag-Arbeitnehmer waren weniger bewusst, dass sie auf der Grundlage ihrer Kleidung beurteilt werden, die verwendet werden könnte, um andere in der Arbeitssituation zu beeindrucken, die Arbeitsbedingungen der Mitarbeiter wählen."
2,"Wenig Tommy tat sehr schlecht in Mathe. Seine Eltern hatten alles versucht -- Tutoren, Karten, spezielle Lernzentren -- kurz, alles, woran sie denken konnten. Schließlich nahmen sie Tommy zu einer katholischen Schule. Nach dem ersten Tag, kam der kleine Tommy nach Hause mit einem sehr ernsten Blick auf sein Gesicht. Er küsste seine Mutter nicht Hallo. Stattdessen ging er direkt in sein Zimmer und begann zu studieren. Bücher und Papiere wurden verteilt über den ganzen Raum und wenig Tommy war hart bei der Arbeit. Seine Mutter war überrascht. Sie rief ihn zum Abendessen und sobald er mit dem Essen fertig war, ging er zurück in sein Zimmer, ohne ein Wort. In kürzester Zeit war er zurück schlagen die Bücher so hart wie vorher. Dies ging für einige Zeit, Tag für Tag, während die Mutter versuchte zu verstehen, was passierte. Schließlich brachte der kleine Tommy nach Hause seine Berichtskarte. Er leise legte es auf den Tisch und ging auf sein Zimmer und schlug die Bücher. Seine Mutter sah es und zu ihrer Überraschung, wenig Tommy bekam eine A in Mathe, ""Sie konnte nicht mehr halten.","[{'Frage': ""Tommys Mutter fühlte sich überrascht, dass sein Sohn _ ."", 'Antwort': 'D', 'Optionen': ['war immer noch dasselbe wie üblich', 'e so viel beim Abendessen', 'küsste ihr Hallo nach der Schule', 'arbeitete hart, aber sagte wenig']}, {'Frage': 'Der letzte Satz in der Passage zeigt, dass _ .', 'Antwort': 'B', 'Optionen': ['Tommy empfand Mitleid mit dem Mann', 'Tommy hatte Angst, genagelt zu werden', ""Tommy mochte das Pluszeichen nicht"", 'Tommy spielte gerne Witze auf anderen']}, {'Frage': 'Aus der Passage können wir entnehmen, dass _ .', 'Antwort': 'B', 'Optionen': ['Lehrer sollten streng sein mit ihren Schülern', 'Fehlern könnten manchmal gut tun', 'eine katholische Schule ist viel besser als andere', 'nun mit ihren Mathes' sind.]","Lesen Sie diese Passage und beantworten Sie die Multiple-Choice-Frage unten. Little Tommy war sehr schlecht in Mathe. Seine Eltern hatten alles versucht - Tutoren, Karten, spezielle Lernzentren - kurz, alles, was sie denken konnten. Schließlich nahmen sie Tommy zu einer katholischen Schule. Nach dem ersten Tag, kam der kleine Tommy nach Hause mit einem sehr ernsten Blick auf sein Gesicht. Er küsste seine Mutter hallo. Stattdessen ging er direkt in sein Zimmer und begann zu studieren. Bücher und Papiere wurden verteilt über den ganzen Raum und wenig Tommy war hart bei der Arbeit. Seine Mutter war überrascht. Sie rief ihn zum Abendessen und sobald er mit dem Essen fertig, er ging zurück in sein Zimmer, ohne ein Wort. In keiner Zeit war er wieder schlagen die Bücher so hart wie vorher. Dies ging für einige Zeit, Tag für Tag, während die Mutter versuchte zu verstehen, was passierte. Schließlich, Tommy brachte seine Reportage Karte nach Hause."
3,"Ich denke, es könnte eine große Sache sein. Er will, dass ich ein guter Mensch bin. Wenn jemand etwas sagt, würde ich an einen Weg denken, nicht zu widersprechen. Ich würde hart zurückdrängen, wenn etwas nicht zu meinem Weltbild passte. Es ist, als müsste ich zuerst mit einer Meinung sein - als ob zuerst etwas bedeutete. Aber was es wirklich bedeutete, war, dass ich nicht hart genug über das Problem dachte. Je schneller Sie reagieren, desto weniger denken Sie. Nicht immer, aber oft. Dies kam zu einem Kopf zurück in 2007. Ich sprach auf der Business Innovation Factory Konferenz in Providence, RI. So war Richard Saul Wurman. Nach meinem Vortrag Richard kam zu einem Inventar der Dinge, mit denen ich nicht einverstanden war.","[{'Frage': 'Was tat der Autor, während Richard in der Geschäftskonferenz sprach?', 'Antwort': 'A', 'Optionen': ['Er hielt Notizen für Dinge, mit denen er nicht einverstanden war.', 'Er schubste Richard und schlug ihn.', 'Er bereitete sich auf seine eigene Rede vor.', 'Er machte sich bereit, ihn zu beglückwünschen.']}, {'Frage': 'Welches der folgenden ist der Grund, Jonathan Ive zu zitieren?', 'Antwort': 'B', 'Optionen': ['Der Autor denkt Steve Job ist der beste, wenn es um Kreativität geht.', ""Der Autor ist inspiriert von Steve Jobs Haltung zu neuen Ideen."", 'Der Autor respektiert Steve Job, weil er kreativ ist und er Ideen mag.', 'Der Autor denkt, Steve Job hat Ideen, die stark und mächtig sind und schwer zu verpassen sind.'}, {'Frage': 'Was ist das Kernargument, das der Autor vorlegte?', 'C', eine Idee, die man hütet eine Idee ist, 'unfertig'.","Ich habe es nicht zu sein, die erste Meinung zu sein -- als ob es etwas bedeutete etwas. Aber was es wirklich bedeutete, war, dass ich nicht hart genug über das Problem dachte. Je schneller Sie reagieren, desto weniger denken Sie. Nicht immer, aber oft. Dies kam zu einem Kopf zurück in 2007. Ich sprach auf der Business Innovation Factory Konferenz in Providence, RI. So war Richard Saul Wurman. Während er seine Punkte auf der Bühne, Ich nahm eine Bestandsaufnahme der Dinge, die ich nicht geben konnte, um mit ihm zu sprechen. Und was habe ich nicht tun? Ich habe wieder bei ihm über die Rede, die er gab. Während er meinte, dass seine Punkte auf der Bühne, Ich habe eine Bestandsaufnahme der Dinge, die ich nicht geben konnte, heiß. Und wenn ich mit einer Sache zu sprechen, Ich habe es schnell getan, um es zu tun, um einige der Ideen geändert haben."
4,"Bungee springen ist eine Aktivität über das Springen von einer hohen Struktur, während an eine große elastische Schnur angeschlossen. Die hohe Struktur ist in der Regel ein feste Objekt, wie ein Gebäude, Brücke oder Kran; aber es ist auch möglich, von einem beweglichen Objekt springen, wie ein Heißluftballon oder Hubschrauber, die die Fähigkeit hat, über einen Platz auf dem Boden zu bleiben; Festflügelflugzeuge sind ungeeignet, weil sie nur hoch bleiben, wenn sie schnell vorwärts. Wenn die Person springt, erstreckt sich die Schnur, um die Energie des Herbstes aufzunehmen, dann fliegt der Jumper wieder nach oben, wie die Schnur springt zurück. Der Jumper oszilliert auf und ab, bis alle Energie verbraucht wird. Das Wort Bungeee erschien zuerst um 1930 und war der Name für einen Gummiradierer. Die ersten modernen Bungeee Sprünge wurden am 1. April 1979 von der 250 Fuß Clifton Suspension Bridge in Bristol gemacht, von David Kirk, Chris Baker und Alan Weston des Dangerous Sports Club. Die Jumper können mit Sprüngen in den USA von der Golden Gate und Royal Gorge Brücken, die das Konzept weltweit ausbreiten.","[{'Frage': 'Welches der folgenden ist NICHT geeignet für Bungee-Jumping?', 'Antwort': 'A', 'Optionen': ['Das Festflügelflugzeug', 'Der Hubschrauber', 'Der Heißluftballon', 'Der bewegliche Kran']}, {'Frage': 'Der Zweck dieser Passage ist es, diese Passage zu schreiben, um _ .', 'Antwort': 'D', 'Optionen': ['Lehre Menschen, wie man ein Bungeee-Jumping durchführt', 'Erinnern Sie die Menschen an die Gefahr des Bungeee-Jumpings', 'beabsichtigen Sie Menschen, das Risiko des Bungeee-Jumpings nicht einzugehen']}]","Lesen Sie diese Passage und beantworten Sie die Multiple-Choice-Frage darunter. Bungee Sprung ist eine Aktivität über das Springen von einer hohen Struktur, während an eine große elastische Schnur angeschlossen. Die hohe Struktur ist in der Regel ein festes Objekt, wie ein Gebäude, Brücke oder Kran; aber es ist auch möglich, von einem beweglichen Objekt springen, wie ein Heißluftballon oder Hubschrauber, die die Fähigkeit hat, über einen Ort auf dem Boden zu bleiben; Festflügelflugzeuge sind ungeeignet, weil sie nur hoch bleiben, wenn sie schnell vorwärts. Wenn die Person springt, erstreckt sich die Schnur, um die Energie des Herbstes zu absorbieren, dann fliegt der Pullover wieder aufwärts, wie die Schnur springt zurück. Der Jumper oszilliert auf und ab, bis alle Energie verbraucht wird. Das Wort Bungeee erschien zuerst um 1930 und war der Name für einen Gummi-Radierer. Die ersten modernen Bungeee Sprünge wurden am 1. April 1979 von der 250 Fuß Clifton Suspension Bridge in Bristol gemacht, von David Kirk, Chris Baker und Alan Weston der gefährlichen Sport-Club."
5,"Ein Mädchen mit blauen Augen ist ein blauäugiges Mädchen. Ein Mann mit langen Beinen ist ein langbeiniger Mann. Eine Frau mit weißen Haaren ist eine weißhaarige Frau. Kinder, die gutes Aussehen haben, sind gut aussehende Kinder. Was tun Sie, wenn Sie Kleidung kaufen wollen? Sie gehen in einen Shop. Wenn Sie Kleidung finden, die die richtige Größe für Sie sind, und wenn sie bereit sind, zu tragen, werden Sie wahrscheinlich kaufen. Sie werden als Ready-made Kleidung. Wenn Sie nicht finden, Kleidung, die die richtige Größe sind, werden Sie zu einem Schneidergeschäft gehen. Ein Schneider ist ein Mann, der gut gekleidet ist eine gut gekleidete Frau genannt. Er wird Sie sorgfältig messen und dann machen Kleidung für Sie. Solche Kleidung werden als maßgeschneiderte Kleidung. Was nennen wir einen Mann, der schlecht gekleidet ist? Wir nennen ihn einen schlecht gekleideten Mann. Eine Frau, die gut gekleidet ist, wird eine gut gekleidete Frau genannt. Was tragen Sie, wenn es regnet stark? Sie tragen einen Mantel, der den Regen aushält. Solch ein Mantel ist, der aus wasserdichten Kleidern hergestellt wird.","[{'question': '55. Die Kleidung, die Sie vom Supermarkt kaufen, heißt _ Kleidung.', 'Antwort': 'B', 'Optionen': ['tailor-made', 'ready-made', 'handgemacht', 'Massenproduktion']}, {'question': '56. Wenn Sie nach England kommen, bringen Sie sowohl einen Regenmantel als auch einen Regenschirm, weil _ .', 'Antwort': 'A', 'Optionen': ['es gibt viel Regen in England', 'es gibt wenige Regenschirme im Land', 'Gentlemen normalerweise tragen Regenschirme mit ihnen in England', 'Walking mit einem Regenschirm in der Hand ist beliebt in England']}, {'question': '57. Auf der Rückseite einer Uhr können wir oft das Wort ""wassersicher"" sehen.","Lesen Sie diese Passage und beantworten Sie die Multiple-Choice-Frage unten. Ein Mädchen mit blauen Augen ist ein blauäugiges Mädchen. Ein Mann mit langen Beinen ist ein langbeiniger Mann. Eine Frau mit weißen Haaren ist eine weißhaarige Frau. Kinder, die gute Blicke haben, sind gut aussehende Kinder. Was tun Sie, wenn Sie Kleidung kaufen wollen? Sie gehen in einen Laden. Wenn Sie Kleidung, die die richtige Größe für Sie finden können, und wenn sie bereit sind, zu tragen, werden Sie wahrscheinlich kaufen. Sie werden als maßgeschneiderte Kleidung. Was nennen wir einen Mann, der schlecht gekleidet ist? Wir nennen ihn einen schlecht gekleideten Mann. Eine Frau, die gut gekleidet ist, wird eine gut gekleidete Frau genannt."
6,"Meine Beine tun nicht viel, weil ich eine ernste Krankheit habe. _ einfach dort sitzen und sehen hübsch. Wenn Leute mich anschauen, sehen sie nur den Stuhl - mein Rollstuhl. Ich bin in einem gewesen, seit ich 3 Jahre alt war. Und es spielt keine Rolle, ob ich an der Spitze meiner Klasse graduieren und gehen Juraschule. Zu einigen, Ich werde immer das Mädchen auf dem Stuhl sein. Aber ich denke nicht an mich selbst als das Kind, das nicht gehen kann. Die meisten meiner Freunde nicht einmal bemerken den Stuhl mehr. Ich bin nur das Mädchen, mit dem sie Freunde waren. Meine Freunde sind gut darin, mich in und aus meinem kleinen Auto zu heben, wenn wir ins Kino gehen. Wir nahmen sogar das Auto zum Tanz. Einer der Jungs half mir aus dem Auto und alle Mädchen half mir, mein Kleid zu reparieren. Selbst im überfüllten Schulaufzug, gibt es immer jemand herum, um mich zu tragen. Es gibt eine Menge Dinge, die ich nicht für mich tun kann, wie meine Arme heben, meine Arbeit, und füttern mich selbst. Auch diese kann ich spielen sehr gut in der Schule und ich bin gut in der Schule.","[{'Frage': ""Kennedys Geschichte sagt uns vor allem, dass wir _ ."", 'Antwort': 'B', 'Optionen': ['work hard', 'mile at life', 'haben Träume', 'danke unseren Eltern']}]","Ich habe nicht in einem, seit ich 3 Jahre alt bin. Und es spielt keine Rolle, ob ich an der Spitze meiner Klasse und gehen Sie zur Rechtsschule. Zu einigen, Ich werde immer das Mädchen auf dem Stuhl. Aber ich denke nicht an mich selbst als das Kind, das nicht gehen kann. Die meisten meiner Freunde nicht einmal bemerken, den Stuhl mehr. Ich bin nur das Mädchen, mit dem sie Freunde gewesen sind. Meine Freunde sind gut darin, mich in und aus meinem kleinen Auto zu heben, wenn wir ins Kino gehen. Wir nahmen sogar das Auto zum Tanz. Einer der Jungs half mir aus dem Auto und alle Mädchen spielen mir geholfen, mein Kleid zu reparieren. Auch in der überfüllten Schule Aufzug, gibt es immer jemand um mich herum, um mich zu tragen. Es gibt eine Menge von Dingen, die ich nicht tun kann, wie das Heben meines Autos und alle Mädchen spielen behindert."
7,"Heute, ob Sie die neuesten Trends folgen, eine Mode und die Wahl der Kleidung ist ein Spiegelbild der eigenen individuellen Stil und Geschmack. Können Sie sich noch daran erinnern, wie Sie zu Beginn der chinesischen Eröffnung gekleidet? Heute Programm ist eine der speziellen Serie Gedenken an den 30. Jahrestag der Reform und Eröffnung in China. In diesen beiden Episoden konzentrierten wir uns auf Mode und Stil und wurden geehrt, zwei besondere Gäste zu laden, um uns in Studio-Ms. Zhang Ling von Raffles-BICT Inter-national College und Alex von Esquire. Wenn wir über Mode sprechen, ist Farbe absolut entscheidend. Eine Farbe kann die Stimmung eines einzelnen Menschen oder das spirituelle Temperament der ganzen Gesellschaft oder Alter widerspiegeln. Frau Zhang und Alex sprach über die Farben, die den größten Eindruck auf sie hinterlassen haben. In den 1960er und 70er Jahren, blau und grau waren die dominanten Farben zu der Zeit und die Menschen hatten begrenzte Entscheidungen, um sich zu verkleiden. Aber schnell nach vorne auf die Gegenwart, werden Sie keine Schwierigkeiten bei der Auswahl von bunten Farben in den chinesischen Markt. Wir haben auch die Marken in China storn, um unsere Marken zu zeigen, dass die Marke brand-typischen Marken unter ihnen wählen.","[{'Frage': ""Chinas Eröffnung geht zurück auf _ ."", 'Antwort': 'B', 'Optionen': ['die 1960er Jahre', 'die 1970er Jahre', 'die 1980er Jahre', 'die 1990er Jahre']}, {'Frage': 'Alle folgenden EXCEPT _ sind Schlüsselwörter in der Darstellung der Mode unserer Generation.', 'Antwort': 'D', 'Optionen': ['traditionelle Marken', 'internationale Marken', 'persönliche Kleidung', 'spezielle Geschichten']}, {'Frage': 'Die Tatsache, dass viele Luxusmarken nach China strömten, zeigt, dass _ .', 'Antwort': 'C', 'Optionen': ['China hat seine eigene Kultur aufgegeben', 'Chinese haben eine Reihe lebhafter Farben auf den Märkten satt, 'Chinese haben ihr Einwegeinkommen und Kaufkraft erhöht', 'China hat seine traditionellen Marken müde geworden']}]","Lesen Sie diese Passage und beantworten Sie die Multiple-Choice-Frage unten. Heute, ob Sie die neuesten Trends folgen, ist eine Mode und die Wahl des Kleides ""eine Reflexion des eigenen Stils und Geschmack. Können Sie sich noch daran erinnern, wie Sie zu Beginn der Eröffnung Chinas gekleidet? Das heutige Programm ist eine spezielle Serie zum Gedenken an den 30. Jahrestag der Reform und Öffnung in China. In diesen beiden Episoden haben wir auf Mode und Stil konzentriert und wurden geehrt, um zwei besondere Gäste in Studio-Ms einladen. Zhang Ling von Raffles-BICT International College und Alex von Esquire Magazin. Wenn wir über Mode sprechen, Farbe ist absolut entscheidend. Eine Farbe kann die Stimmung eines einzelnen Menschen oder das spirituelle Temperament der ganzen Gesellschaft oder Alter widerspiegeln. Frau Zhang und Alex sprach über die Farben, die den größten Eindruck auf sie hinterlassen haben, in den 1960er und 70er Jahren, blau und grau waren die dominierenden Farben zu der Zeit und die Menschen hatten begrenzte Entscheidungen, um sich zu verkleiden. Aber schnell nach vorne in der Gegenwart, können Sie in der Lage sein, in der Auswahl von Farben für traditionelle Marken."
8,"Ein Paar, das in den letzten Jahren in Cennich gab alles, was sie am Morgen zum Frühstück gehalten hat, auch nach 70 Jahren der Ehe haben sie gestorben 15 Stunden auseinander. Helen Felumlee, starb um 92 am 12. April. Ihr Mann, 91-jährige Kenneth Felumlee, starb am nächsten Morgen. Die acht Kinder des Paares sagen, dass die beiden seit dem Treffen als Teenager unzertrennlich gewesen waren, einmal den Boden eines Etagenbettes auf einer Fähre teilend, anstatt in der Nacht auseinander zu schlafen. Sie blieben tief in Liebe bis zum Ende, sogar Frühstück zusammen essen, während sie Hände halten, sagte ihre Tochter, Linda Cody. ""Wir wussten, wenn einer ging, der andere ging zu gehen,"" sagte sie. ""Er war bereit,"" Cody sagte, ""Er wollte gerade nicht hier von sich selbst arbeiten lassen."" Sohn Dick sagte, seine Eltern starb von alter Zeit, umgeben von 24 seiner engsten Familienmitglieder und Freunde, als er am nächsten Morgen starb.","[{'Frage': 'Aus dem, was Cody sagte, können wir die Kinder lernen _ .', 'Antwort': 'C', 'Optionen': ['waren nicht vor ihrem Vater', ""sorgt euch nicht um ihren Vater"", 'vorher würde ihr Vater gehen', 'umrundet ihren Vater']}, {'Frage': 'Wie viele Jobs hat Kenneth bekommen?', 'Antwort': 'A', 'Optionen': ['Vier.', 'Drei.', 'Zwei.', 'Eins.']]","Lesen Sie diese Passage und pfiffen E-Mail an alle anderen Wahl-Familien unter ihm. Ein Paar, das am Frühstück jeden Morgen hielt, auch nach 70 Jahren der Ehe starb 15 Stunden auseinander. Helen Felumdy, starb um 92 am 12. April. Ihr Mann, 91-jährige Kenneth Felumlee, starb am nächsten Morgen. Die acht Kinder des Paares sagen, dass die beiden seit dem Treffen als Teenager unzertrennlich gewesen waren, einmal den Boden eines Etagenbettes auf einer Fähre zu teilen, anstatt in der Nacht auseinander zu schlafen. Sie blieben tief in Liebe bis zum Ende, sogar Frühstück zusammen essen, während Hände halten, sagte ihre Tochter, Linda Cody. ""Wir wussten, wenn einer ging, der andere ging zu gehen,"" sagte sie. Cody, etwa 12 Stunden nach Helen starb, sah Kenneth auf seine Kinder und sagte: ""Mon ist tot."" Er begann schnell zu verblassen, umgeben von 24 seiner engsten Familienmitglieder und Freunde, als er am nächsten Morgen starb. ""Er war bereit,"" Cody sagte, ""Er arbeitete einfach nicht verlassen wollen sie von sich selbst."""
9,"Schon bald bemerkte das Kaninchen Alice, als sie herumjagte, und rief zu ihr: ""Was machst du hier draußen? Lauf nach Hause, und hol mir ein Paar Handschuhe und einen Ventilator! Schnell!"" Alice war so sehr erschrocken, dass sie sofort in die Richtung lief, auf die es hinwies. Sie sah ein kleines Haus, an dessen Tür ein Teller mit dem Namen ""W. RABBIT"" war. Sie ging hinein und eilte nach oben. Zu dieser Zeit hatte sie ihren Weg in ein ordentliches kleines Zimmer mit einem Tisch im Fenster gefunden, und darauf ein Ventilator und zwei oder drei Paare winziger weißer Kinderhandschuhe: sie nahm den Ventilator und ein Paar Handschuhe, und wollte gerade das Zimmer verlassen, als ihr Auge auf eine kleine Flasche fiel, die nahe dem Schauglas stand. Es gab kein Etikett diesmal mit den Worten ""DRINK ME"", aber sie öffnete es und legte es zu ihren Lippen . ""Ich weiß, dass sie sicher ist, dass etwas Ungewöhnliches passieren wird"", sagte sie sich.","[{'question': 'Laut der Passage können wir wissen, dass Alice _ .', 'Antwort': 'B', 'Optionen': ['fühlte sich wohl, als sie nicht mehr wuchs', 'war besorgt, als das Kaninchen ihr ausrief', 'wissen, was ihr widerfahren würde, wenn sie weiter wachsen würde', 'sah ein Etikett ""DRINK ME"" auf der Flasche und trank die Hälfte davon']}, {'question': 'Alice wuchs so groß, weil sie _ .', 'Antwort': 'C', 'Optionen': ['hatte besondere magische Macht', ""würde die Handschuhe des Kaninchens."", 'drank etwas in der Flasche', 'wollte das Kaninchen erschrecken']}, {'question': 'Die Passage kann von a(an) kommen _ .', 'Antwort': 'Optionen': ['science book', 'wildlife magazine', 'guide book', 'English novel']}]]","Lesen Sie diese Passage und beantworten Sie die Multiple-Choice-Frage darunter. Sehr bald bemerkte das Kaninchen Alice, als sie ging um zu jagen, und rief sie, ""Was machst du hier draußen? Laufen Sie nach Hause, und holen Sie mir ein Paar Handschuhe und ein Ventilator! Jetzt!"" Alice war so viel Angst, dass sie sofort in die Richtung lief es zeigte. Sie sah ein kleines Haus, an der Tür war ein Teller mit dem Namen ""W. RABBIT"". Sie ging in und eilte nach oben. Zu diesem Zeitpunkt hatte sie ihren Weg in ein ordentliches kleines Zimmer mit einem Tisch in das Fenster, und auf ihm war ein Fan und zwei oder drei Paare von winzigen weißen Kinderhandschuhen: sie nahm den Ventilator und ein Paar der Handschuhe, und war nur gehen, um den Raum zu verlassen, als ihr Auge fiel auf eine kleine Flasche, die in der Nähe der Brille stand. Es gab kein Etikett mit den Worten ""DRINK ME"" , aber sie fühlte sich, dass sie immer wieder zu ihren Lippen . ""Ich weiß, dass etwas Interessantes passiert,"" sagte sie sich."
