question,subject,choices,answer,qa
"एक पुलिस अधिकारी हर साल सैकड़ों ट्रैफिक स्टॉप करता है जब उसका पर्यवेक्षक पिछले वर्ष के अधिकारी के रिकॉर्ड की समीक्षा कर रहा है, तो वह नोटिस करता है कि अधिकारी के समान रूप से विभिन्न लिंगों, उम्र और नस्लों के लोगों को रोकने की संभावना है हालांकि, वह काले बालों और आंखों के साथ मध्यम आयु वर्ग के सफेद पुरुषों के लिए टिकट लिखने के लिए काफी अधिक संभावना है जब इस तथ्य का सामना किया जाता है, तो अधिकारी ईमानदारी से कहता है कि उसे पता नहीं है कि ऐसा क्यों है, और यह केवल एक संयोग होना चाहिए अधिकारी के लिए अनजान, यह व्यवहार इस तथ्य से जुड़ा हुआ है कि ये पुरुष अपने पिता की तरह दिखते हैं, जिनके साथ वह एक बच्चे के रूप में एक अपमानजनक संबंध था कौन सा मनोवैज्ञानिक ढांचा सीधे उसके व्यवहार में अवचेतन पूर्वाग्रह को संबोधित करेगा?",college_medicine,"['व्यवहार विज्ञानी', 'मनोविश्लेषण', 'संज्ञानात्मक व्यवहार', 'मानवतावादी']",1,"प्रश्न: एक पुलिस अधिकारी हर साल सैकड़ों ट्रैफिक स्टॉप करता है जब उसका पर्यवेक्षक पिछले वर्ष के अधिकारी के रिकॉर्ड की समीक्षा कर रहा है, तो वह नोटिस करता है कि अधिकारी के समान रूप से विभिन्न लिंगों, उम्र और नस्लों के लोगों को रोकने की संभावना है हालांकि, वह काले बालों और आंखों के साथ मध्यम आयु वर्ग के सफेद पुरुषों के लिए टिकट लिखने के लिए काफी अधिक संभावना है जब इस तथ्य का सामना किया जाता है, तो अधिकारी ईमानदारी से कहता है कि उसे पता नहीं है कि ऐसा क्यों है, और यह केवल एक संयोग होना चाहिए अधिकारी के लिए अनजान, यह व्यवहार इस तथ्य से जुड़ा हुआ है कि ये पुरुष अपने पिता की तरह दिखते हैं, जिनके साथ वह एक बच्चे के रूप में एक अपमानजनक संबंध था कौन सा मनोवैज्ञानिक ढांचा सीधे उसके व्यवहार में अवचेतन पूर्वाग्रह को संबोधित करेगा?

उत्तर विकल्प: ['व्यवहार विज्ञानी', 'मनोविश्लेषण', 'संज्ञानात्मक व्यवहार', 'मानवतावादी']

उत्तर: मनोविश्लेषण"
1886 में मील दौड़ में विश्व कीर्तिमान किसने बनाया?,college_medicine,"['आर बैनिस्टर', 'एस कोए', 'जे डिमैजियो', 'डब्ल्यूजी जॉर्ज']",3,"प्रश्न: 1886 में मील दौड़ में विश्व कीर्तिमान किसने बनाया?

उत्तर विकल्प: ['आर बैनिस्टर', 'एस कोए', 'जे डिमैजियो', 'डब्ल्यूजी जॉर्ज']

उत्तर: डब्ल्यूजी जॉर्ज"
निम्नलिखित में से कौन सा कथन रासायनिक आधार पर संवेदी प्रणाली की पहचान करता है? I. स्वाद प्रणाली II. श्रवण प्रणाली III. गंध प्रणाली,college_medicine,"['मैं केवल', 'केवल II', 'केवल III', 'केवल I और III']",3,"प्रश्न: निम्नलिखित में से कौन सा कथन रासायनिक आधार पर संवेदी प्रणाली की पहचान करता है? I. स्वाद प्रणाली II. श्रवण प्रणाली III. गंध प्रणाली

उत्तर विकल्प: ['मैं केवल', 'केवल II', 'केवल III', 'केवल I और III']

उत्तर: केवल I और III"
बहुत अधिक तीव्रता वाले व्यायाम के बाद फॉस्फोक्रेटिन का पूर्ण पुनसंश्लेषण सामान्यतः निम्नानुसार होता है:,college_medicine,"['लगभग 10 सेकंड.', 'लगभग 30 सेकंड.', 'लगभग 1 मिनट.', 'लगभग 4 मिनट.']",3,"प्रश्न: बहुत अधिक तीव्रता वाले व्यायाम के बाद फॉस्फोक्रेटिन का पूर्ण पुनसंश्लेषण सामान्यतः निम्नानुसार होता है:

उत्तर विकल्प: ['लगभग 10 सेकंड.', 'लगभग 30 सेकंड.', 'लगभग 1 मिनट.', 'लगभग 4 मिनट.']

उत्तर: लगभग 4 मिनट."
"8 बसों की एक श्रृंखला पर कूदने का प्रयास करने वाली एक रेस कार को अंत में रैंप के साथ एक सपाट ट्रैक पर स्थापित किया गया है परियोजना को सौंपे गए इंजीनियरों ने निर्धारित किया है कि, बसों को कूदने के लिए, कार को 130 किमी / घंटा की गति तक पहुंचना होगा यदि ट्रैक की दूरी 50 मीटर है, तो इस गति तक पहुंचने के लिए कार को किस दर से तेज होना चाहिए?",college_medicine,"['13 m/s^2', '26 m/s^2', '7 m/s^2', '17 m/s^2']",0,"प्रश्न: 8 बसों की एक श्रृंखला पर कूदने का प्रयास करने वाली एक रेस कार को अंत में रैंप के साथ एक सपाट ट्रैक पर स्थापित किया गया है परियोजना को सौंपे गए इंजीनियरों ने निर्धारित किया है कि, बसों को कूदने के लिए, कार को 130 किमी / घंटा की गति तक पहुंचना होगा यदि ट्रैक की दूरी 50 मीटर है, तो इस गति तक पहुंचने के लिए कार को किस दर से तेज होना चाहिए?

उत्तर विकल्प: ['13 m/s^2', '26 m/s^2', '7 m/s^2', '17 m/s^2']

उत्तर: 13 m/s^2"
फैटी एसिड को माइटोकॉन्ड्रिया में ले जाया जाता हैः,college_medicine,"['थियोकिनेज।', 'कोएंजाइम ए (CoA)', 'एसिटाइल-कोए', 'कार्निटाइन।']",3,"प्रश्न: फैटी एसिड को माइटोकॉन्ड्रिया में ले जाया जाता हैः

उत्तर विकल्प: ['थियोकिनेज।', 'कोएंजाइम ए (CoA)', 'एसिटाइल-कोए', 'कार्निटाइन।']

उत्तर: कार्निटाइन।"
"सौना का उपयोग, जिसे कभी-कभी ""सौना स्नान"" के रूप में संदर्भित किया जाता है, अत्यधिक गर्मी के लिए अल्पकालिक निष्क्रिय जोखिम की विशेषता है यह एक्सपोजर हल्के हाइपरथर्मिया को उकसाता है  शरीर के कोर तापमान में वृद्धि  जो न्यूरोएंडोक्राइन को शामिल करते हुए एक थर्मोरेगुलेटरी प्रतिक्रिया को प्रेरित करता है हृदय रोग और साइटोप्रोटेक्टिव तंत्र जो होमियोस्टैसिस को बहाल करने के लिए एक साथ काम करते हैं और भविष्य के गर्मी तनाव के लिए शरीर को तैयार करते हैं ... हाल के दशकों में सौना स्नान जीवन काल बढ़ाने और समग्र स्वास्थ्य में सुधार के साधन के रूप में उभरा है। अवलोकन से सम्मोहक आंकड़ों के आधार पर हस्तक्षेप और यंत्रशास्त्रीय अध्ययन कुओपियो इस्केमिक हार्ट डिजीज रिस्क फैक्टर (KIHD) स्टडी के प्रतिभागियों के अध्ययन के निष्कर्ष विशेष रुचि के हैं। 2 से अधिक देशों में स्वास्थ्य परिणामों का एक चल रहा संभावित जनसंख्या-आधारित समूह अध्ययन पूर्वी फिनलैंड के 300 मध्यम आयु वर्ग के पुरुष KIHD के निष्कर्षों से पता चला है कि जो पुरुष सप्ताह में दो से तीन बार सौना का उपयोग करते थे, वे उन पुरुषों की तुलना में हृदय-संबंधी कारणों से मरने की 27 प्रतिशत कम संभावना रखते थे जो सौना का उपयोग नहीं करते थे। [2] इसके अलावा जो पुरुष सौना का उपयोग करते थे, वे लगभग दोगुनी बार सौना का उपयोग करते थे। सप्ताह में लगभग चार से सात बार  के लगभग दोगुने लाभ का अनुभव किया और हृदय संबंधी कारणों से मरने की संभावना 50 प्रतिशत कम थी। [2] इसके अलावा अक्सर सौना का उपयोग करने वालों में समय से पहले होने वाली मौत के सभी कारणों से मरने की संभावना 40 प्रतिशत कम पाई गई ये निष्कर्ष उम्र, गतिविधि के स्तर और जीवनशैली के कारकों पर विचार करते समय भी सही साबित हुए, जिन्होंने पुरुषों के स्वास्थ्य को प्रभावित किया हो सकता है। [2].. KIHD से यह भी पता चला है कि बार-बार सौना का उपयोग करने से खुराक-निर्भर तरीके से डिमेंशिया और अल्जाइमर रोग के विकास का खतरा कम हो जाता है। सप्ताह में दो से तीन बार सौना जाने वाले पुरुषों में डिमेंशिया होने की संभावना 66 प्रतिशत कम और अल्जाइमर होने की संभावना 65 प्रतिशत कम थी सप्ताह में केवल एक बार सौना का उपयोग करने वाले पुरुषों की तुलना में... सौना के उपयोग से जुड़े स्वास्थ्य लाभ मानसिक स्वास्थ्य के अन्य पहलुओं तक विस्तारित होते हैं साथ ही KIHD अध्ययन में भाग लेने वाले पुरुष जो सप्ताह में चार से सात बार सौना का उपयोग करते थे, उनमें मनोवैज्ञानिक विकारों के विकास की संभावना 77 प्रतिशत कम थी पुरुषों की आहार संबंधी आदतों की परवाह किए बिना सामाजिक-आर्थिक स्थिति शारीरिक गतिविधि और सूजन की स्थिति (जैसा कि सी-प्रतिक्रियाशील प्रोटीन द्वारा मापा जाता है)...उच्च तापमान के संपर्क में आने से शरीर तनावग्रस्त हो जाता है तेजी से उत्तेजित करना मजबूत प्रतिक्रिया त्वचा और शरीर का तापमान काफी बढ़ जाता है और पसीना आता है त्वचा पहले गर्म होती है 40°C (104°F) तक बढ़ना और फिर कोर शरीर के तापमान में परिवर्तन होते हैं 37°C (98.6°F) से धीरे-धीरे बढ़ रहा है या सामान्य) से 38°C (100.4°F) तक और फिर तेजी से बढ़कर 39°C (102.2°F)... शरीर की ऑक्सीजन की आवश्यकता के जवाब में हृदय द्वारा किए जाने वाले कार्य की मात्रा का माप 60 से 70 प्रतिशत तक बढ़ जाती है जबकि हृदय गति (प्रति मिनट धड़कन की संख्या) बढ़ जाती है और स्ट्रोक वॉल्यूम (रक्त की मात्रा) अपरिवर्तित रहती है। [1] इस समय के दौरान शरीर के लगभग 50 से 70 प्रतिशत रक्त प्रवाह को पसीने की सुविधा के लिए कोर से त्वचा तक पुनर्वितरित किया जाता है औसतन व्यक्ति सौना स्नान करते समय लगभग 0.5 किलोग्राम पसीना खो देता है। [1] तीव्र गर्मी जोखिम भी कोर रक्त की मात्रा में कमी को कम करने के लिए समग्र प्लाज्मा मात्रा में क्षणिक वृद्धि को प्रेरित करता है। प्लाज्मा की मात्रा में यह वृद्धि न केवल पसीने के लिए तरल पदार्थ का एक आरक्षित स्रोत प्रदान करती है लेकिन यह एक कार के रेडिएटर में पानी की तरह कार्य करता है शरीर के तापमान में तेजी से वृद्धि को रोकने के लिए शरीर को ठंडा करना और गर्मी सहिष्णुता को बढ़ावा देना ... बार-बार सौना का उपयोग शरीर को गर्मी के लिए अनुकूलित करता है और भविष्य के जोखिमों के लिए शरीर की प्रतिक्रिया को अनुकूलित करता है एक जैविक घटना के कारण हो सकता है जिसे होर्मेसिस के रूप में जाना जाता है एक हल्के तनाव के संपर्क में आने के बाद एक प्रतिपूरक रक्षा प्रतिक्रिया जो तनाव के परिमाण के लिए असंगत है हॉर्मेसिस सुरक्षात्मक तंत्रों की एक विस्तृत श्रृंखला को ट्रिगर करता है जो न केवल कोशिका क्षति की मरम्मत करता है, बल्कि अधिक विनाशकारी तनाव के बाद के जोखिम से सुरक्षा भी प्रदान करता है... सौना के उपयोग के लिए शारीरिक प्रतिक्रियाएं मध्यम-से-मजबूत-तीव्रता वाले व्यायाम के दौरान अनुभव की जाने वाली प्रतिक्रियाओं के समान हैं वास्तव में सौना का उपयोग उन लोगों के लिए व्यायाम के विकल्प के रूप में प्रस्तावित किया गया है जो पुरानी बीमारी या शारीरिक सीमाओं के कारण शारीरिक गतिविधि में संलग्न होने में असमर्थ हैं। [1] लेख के आधार पर निम्नलिखित में से किस कथन के साथ लेखक सहमत होने की संभावना है?",college_medicine,"['दिल की सर्जरी के मरीज जो ट्रेडमिल पर नहीं दौड़ सकते हैं, उन्हें सौना का उपयोग करने से लाभ हो सकता है।', 'आहार पर रहने वाले रोगियों को सौना के उपयोग से लाभ होगा।', 'नमक प्रतिबंध उच्च रक्तचाप वाले रोगियों के लिए सौना उपयोग के बराबर होगा।', 'त्वचा की बीमारियों वाले रोगियों को सौना के उपयोग से ठीक किया जा सकता है।']",0,"प्रश्न: सौना का उपयोग, जिसे कभी-कभी ""सौना स्नान"" के रूप में संदर्भित किया जाता है, अत्यधिक गर्मी के लिए अल्पकालिक निष्क्रिय जोखिम की विशेषता है यह एक्सपोजर हल्के हाइपरथर्मिया को उकसाता है  शरीर के कोर तापमान में वृद्धि  जो न्यूरोएंडोक्राइन को शामिल करते हुए एक थर्मोरेगुलेटरी प्रतिक्रिया को प्रेरित करता है हृदय रोग और साइटोप्रोटेक्टिव तंत्र जो होमियोस्टैसिस को बहाल करने के लिए एक साथ काम करते हैं और भविष्य के गर्मी तनाव के लिए शरीर को तैयार करते हैं ... हाल के दशकों में सौना स्नान जीवन काल बढ़ाने और समग्र स्वास्थ्य में सुधार के साधन के रूप में उभरा है। अवलोकन से सम्मोहक आंकड़ों के आधार पर हस्तक्षेप और यंत्रशास्त्रीय अध्ययन कुओपियो इस्केमिक हार्ट डिजीज रिस्क फैक्टर (KIHD) स्टडी के प्रतिभागियों के अध्ययन के निष्कर्ष विशेष रुचि के हैं। 2 से अधिक देशों में स्वास्थ्य परिणामों का एक चल रहा संभावित जनसंख्या-आधारित समूह अध्ययन पूर्वी फिनलैंड के 300 मध्यम आयु वर्ग के पुरुष KIHD के निष्कर्षों से पता चला है कि जो पुरुष सप्ताह में दो से तीन बार सौना का उपयोग करते थे, वे उन पुरुषों की तुलना में हृदय-संबंधी कारणों से मरने की 27 प्रतिशत कम संभावना रखते थे जो सौना का उपयोग नहीं करते थे। [2] इसके अलावा जो पुरुष सौना का उपयोग करते थे, वे लगभग दोगुनी बार सौना का उपयोग करते थे। सप्ताह में लगभग चार से सात बार  के लगभग दोगुने लाभ का अनुभव किया और हृदय संबंधी कारणों से मरने की संभावना 50 प्रतिशत कम थी। [2] इसके अलावा अक्सर सौना का उपयोग करने वालों में समय से पहले होने वाली मौत के सभी कारणों से मरने की संभावना 40 प्रतिशत कम पाई गई ये निष्कर्ष उम्र, गतिविधि के स्तर और जीवनशैली के कारकों पर विचार करते समय भी सही साबित हुए, जिन्होंने पुरुषों के स्वास्थ्य को प्रभावित किया हो सकता है। [2].. KIHD से यह भी पता चला है कि बार-बार सौना का उपयोग करने से खुराक-निर्भर तरीके से डिमेंशिया और अल्जाइमर रोग के विकास का खतरा कम हो जाता है। सप्ताह में दो से तीन बार सौना जाने वाले पुरुषों में डिमेंशिया होने की संभावना 66 प्रतिशत कम और अल्जाइमर होने की संभावना 65 प्रतिशत कम थी सप्ताह में केवल एक बार सौना का उपयोग करने वाले पुरुषों की तुलना में... सौना के उपयोग से जुड़े स्वास्थ्य लाभ मानसिक स्वास्थ्य के अन्य पहलुओं तक विस्तारित होते हैं साथ ही KIHD अध्ययन में भाग लेने वाले पुरुष जो सप्ताह में चार से सात बार सौना का उपयोग करते थे, उनमें मनोवैज्ञानिक विकारों के विकास की संभावना 77 प्रतिशत कम थी पुरुषों की आहार संबंधी आदतों की परवाह किए बिना सामाजिक-आर्थिक स्थिति शारीरिक गतिविधि और सूजन की स्थिति (जैसा कि सी-प्रतिक्रियाशील प्रोटीन द्वारा मापा जाता है)...उच्च तापमान के संपर्क में आने से शरीर तनावग्रस्त हो जाता है तेजी से उत्तेजित करना मजबूत प्रतिक्रिया त्वचा और शरीर का तापमान काफी बढ़ जाता है और पसीना आता है त्वचा पहले गर्म होती है 40°C (104°F) तक बढ़ना और फिर कोर शरीर के तापमान में परिवर्तन होते हैं 37°C (98.6°F) से धीरे-धीरे बढ़ रहा है या सामान्य) से 38°C (100.4°F) तक और फिर तेजी से बढ़कर 39°C (102.2°F)... शरीर की ऑक्सीजन की आवश्यकता के जवाब में हृदय द्वारा किए जाने वाले कार्य की मात्रा का माप 60 से 70 प्रतिशत तक बढ़ जाती है जबकि हृदय गति (प्रति मिनट धड़कन की संख्या) बढ़ जाती है और स्ट्रोक वॉल्यूम (रक्त की मात्रा) अपरिवर्तित रहती है। [1] इस समय के दौरान शरीर के लगभग 50 से 70 प्रतिशत रक्त प्रवाह को पसीने की सुविधा के लिए कोर से त्वचा तक पुनर्वितरित किया जाता है औसतन व्यक्ति सौना स्नान करते समय लगभग 0.5 किलोग्राम पसीना खो देता है। [1] तीव्र गर्मी जोखिम भी कोर रक्त की मात्रा में कमी को कम करने के लिए समग्र प्लाज्मा मात्रा में क्षणिक वृद्धि को प्रेरित करता है। प्लाज्मा की मात्रा में यह वृद्धि न केवल पसीने के लिए तरल पदार्थ का एक आरक्षित स्रोत प्रदान करती है लेकिन यह एक कार के रेडिएटर में पानी की तरह कार्य करता है शरीर के तापमान में तेजी से वृद्धि को रोकने के लिए शरीर को ठंडा करना और गर्मी सहिष्णुता को बढ़ावा देना ... बार-बार सौना का उपयोग शरीर को गर्मी के लिए अनुकूलित करता है और भविष्य के जोखिमों के लिए शरीर की प्रतिक्रिया को अनुकूलित करता है एक जैविक घटना के कारण हो सकता है जिसे होर्मेसिस के रूप में जाना जाता है एक हल्के तनाव के संपर्क में आने के बाद एक प्रतिपूरक रक्षा प्रतिक्रिया जो तनाव के परिमाण के लिए असंगत है हॉर्मेसिस सुरक्षात्मक तंत्रों की एक विस्तृत श्रृंखला को ट्रिगर करता है जो न केवल कोशिका क्षति की मरम्मत करता है, बल्कि अधिक विनाशकारी तनाव के बाद के जोखिम से सुरक्षा भी प्रदान करता है... सौना के उपयोग के लिए शारीरिक प्रतिक्रियाएं मध्यम-से-मजबूत-तीव्रता वाले व्यायाम के दौरान अनुभव की जाने वाली प्रतिक्रियाओं के समान हैं वास्तव में सौना का उपयोग उन लोगों के लिए व्यायाम के विकल्प के रूप में प्रस्तावित किया गया है जो पुरानी बीमारी या शारीरिक सीमाओं के कारण शारीरिक गतिविधि में संलग्न होने में असमर्थ हैं। [1] लेख के आधार पर निम्नलिखित में से किस कथन के साथ लेखक सहमत होने की संभावना है?

उत्तर विकल्प: ['दिल की सर्जरी के मरीज जो ट्रेडमिल पर नहीं दौड़ सकते हैं, उन्हें सौना का उपयोग करने से लाभ हो सकता है।', 'आहार पर रहने वाले रोगियों को सौना के उपयोग से लाभ होगा।', 'नमक प्रतिबंध उच्च रक्तचाप वाले रोगियों के लिए सौना उपयोग के बराबर होगा।', 'त्वचा की बीमारियों वाले रोगियों को सौना के उपयोग से ठीक किया जा सकता है।']

उत्तर: दिल की सर्जरी के मरीज जो ट्रेडमिल पर नहीं दौड़ सकते हैं, उन्हें सौना का उपयोग करने से लाभ हो सकता है।"
"डायसोप्रोपाइल फ्लोरोफॉस्फेट (डीएफपी) न्यूरॉन्स के सिनैप्स में एसिटाइलकोलिनेस्टेरेस (एसीई) की सक्रिय साइट से जुड़ता है जब डीएफपी एसीई से जुड़ता है, तो एसीई एंजाइम स्थायी रूप से निष्क्रिय हो जाता है यह डीएफपी को एक शक्तिशाली विषाक्तता बनाता है, जिसमें घातक मात्रा 100 मिलीग्राम से कम होती है डीएफपी और एसीई के बीच बातचीत को सबसे अच्छी तरह से वर्णित किया जा सकता हैः",college_medicine,"['प्रतिस्पर्धी अवरोध', 'गैर-प्रतिस्पर्धात्मक अवरोध', 'अपरिवर्तनीय अवरोध', 'आंशिक रूप से प्रतिस्पर्धी अवरोध']",2,"प्रश्न: डायसोप्रोपाइल फ्लोरोफॉस्फेट (डीएफपी) न्यूरॉन्स के सिनैप्स में एसिटाइलकोलिनेस्टेरेस (एसीई) की सक्रिय साइट से जुड़ता है जब डीएफपी एसीई से जुड़ता है, तो एसीई एंजाइम स्थायी रूप से निष्क्रिय हो जाता है यह डीएफपी को एक शक्तिशाली विषाक्तता बनाता है, जिसमें घातक मात्रा 100 मिलीग्राम से कम होती है डीएफपी और एसीई के बीच बातचीत को सबसे अच्छी तरह से वर्णित किया जा सकता हैः

उत्तर विकल्प: ['प्रतिस्पर्धी अवरोध', 'गैर-प्रतिस्पर्धात्मक अवरोध', 'अपरिवर्तनीय अवरोध', 'आंशिक रूप से प्रतिस्पर्धी अवरोध']

उत्तर: अपरिवर्तनीय अवरोध"
अनुवाद की प्रक्रिया के लिए निम्नलिखित की उपस्थिति की आवश्यकता होती हैः,college_medicine,"['एमआरएनए, टीआरएनए और राइबोसोम।', 'एमआरएनए, राइबोसोम और आरएनए पॉलीमरेस।', 'डीएनए, एमआरएनए और आरएनए पॉलीमरेज़।', 'क्रोमैटिन, डीएनए और अमीनो एसिड।']",0,"प्रश्न: अनुवाद की प्रक्रिया के लिए निम्नलिखित की उपस्थिति की आवश्यकता होती हैः

उत्तर विकल्प: ['एमआरएनए, टीआरएनए और राइबोसोम।', 'एमआरएनए, राइबोसोम और आरएनए पॉलीमरेस।', 'डीएनए, एमआरएनए और आरएनए पॉलीमरेज़।', 'क्रोमैटिन, डीएनए और अमीनो एसिड।']

उत्तर: एमआरएनए, टीआरएनए और राइबोसोम।"
प्रदर्शन बढ़ाने वाले सिंथेटिक स्टेरॉयड हार्मोन की संरचना पर आधारित होते हैंः,college_medicine,"['टेस्टोस्टेरोन।', 'कोर्टिसोल।', 'प्रोजेस्टेरोन', 'एल्डोस्टेरोन']",0,"प्रश्न: प्रदर्शन बढ़ाने वाले सिंथेटिक स्टेरॉयड हार्मोन की संरचना पर आधारित होते हैंः

उत्तर विकल्प: ['टेस्टोस्टेरोन।', 'कोर्टिसोल।', 'प्रोजेस्टेरोन', 'एल्डोस्टेरोन']

उत्तर: टेस्टोस्टेरोन।"
