question,subject,choices,answer,qa
"Welche gängige PR-Taktik besteht darin, Journalisten an geeignete Orte zu schicken?",public_relations,"['Pressemitteilung', 'Medienreise', 'Presseraum', 'Aktionstage/Aktionswochen']",1,"Frage: Welche gängige PR-Taktik besteht darin, Journalisten an geeignete Orte zu schicken?

Antwortoptionen: ['Pressemitteilung', 'Medienreise', 'Presseraum', 'Aktionstage/Aktionswochen']

Antwort: Medienreise"
"Sie sind Vizepräsidentin für Öffentlichkeitsarbeit bei einer Firma, die eine bekannte Lebensmittelmarke herstellt. Auf dem Markt in Albany, New York, wurde kürzlich festgestellt, dass eines Ihrer Produkte kontaminiert ist. Obwohl es anscheinend nicht tödlich ist, hat es einer großen Zahl von Verbrauchern schwere Magenkrampen und andere Darmprobleme verursacht. Die Ursache wurde auf Ihr Produkt zurückgeführt, das im ganzen Land verkauft wird. Ihr Vorstandsvorsitzender möchte wissen, was Sie empfehlen, damit die Situation nicht zu einer PR-Katastrophe wird. Was empfehlen Sie?",public_relations,"['Untersuchen Sie schnell, um sicherzustellen, dass Ihr Produkt definitiv die Ursache der Krankheit ist.', 'Stoppen Sie den Verkauf des Produkts im ganzen Land und fordern Sie einen Rückruf.', 'Stoppen Sie den Verkauf des Produkts auf dem Markt in Albany, New York, und rufen Sie das Produkt zurück.', 'Veröffentlichen Sie eine Pressemitteilung für den Markt in Albany, New York, in der erläutert wird, wie die Symptome zu behandeln sind.']",1,"Frage: Sie sind Vizepräsidentin für Öffentlichkeitsarbeit bei einer Firma, die eine bekannte Lebensmittelmarke herstellt. Auf dem Markt in Albany, New York, wurde kürzlich festgestellt, dass eines Ihrer Produkte kontaminiert ist. Obwohl es anscheinend nicht tödlich ist, hat es einer großen Zahl von Verbrauchern schwere Magenkrampen und andere Darmprobleme verursacht. Die Ursache wurde auf Ihr Produkt zurückgeführt, das im ganzen Land verkauft wird. Ihr Vorstandsvorsitzender möchte wissen, was Sie empfehlen, damit die Situation nicht zu einer PR-Katastrophe wird. Was empfehlen Sie?

Antwortoptionen: ['Untersuchen Sie schnell, um sicherzustellen, dass Ihr Produkt definitiv die Ursache der Krankheit ist.', 'Stoppen Sie den Verkauf des Produkts im ganzen Land und fordern Sie einen Rückruf.', 'Stoppen Sie den Verkauf des Produkts auf dem Markt in Albany, New York, und rufen Sie das Produkt zurück.', 'Veröffentlichen Sie eine Pressemitteilung für den Markt in Albany, New York, in der erläutert wird, wie die Symptome zu behandeln sind.']

Antwort: Stoppen Sie den Verkauf des Produkts im ganzen Land und fordern Sie einen Rückruf."
"In der Öffentlichkeitsarbeit befasst sich ________ mit der Fähigkeit einer Organisation, ihre Verbraucher zufrieden zu stellen und eine positive Erfahrung für sie zu schaffen.",public_relations,"['Beziehungen zur Gemeinde', 'Verbraucherbeziehungen', 'Beziehungen zu den Arbeitnehmern', 'öffentliche Angelegenheiten']",1,"Frage: In der Öffentlichkeitsarbeit befasst sich ________ mit der Fähigkeit einer Organisation, ihre Verbraucher zufrieden zu stellen und eine positive Erfahrung für sie zu schaffen.

Antwortoptionen: ['Beziehungen zur Gemeinde', 'Verbraucherbeziehungen', 'Beziehungen zu den Arbeitnehmern', 'öffentliche Angelegenheiten']

Antwort: Verbraucherbeziehungen"
In welchem Jahr begann die BBC mit der Rundfunkübertragung?,public_relations,"['Das Jahr 1917', 'Das Jahr 1922', 'Das Jahr 1925', 'Das Jahr 1927']",1,"Frage: In welchem Jahr begann die BBC mit der Rundfunkübertragung?

Antwortoptionen: ['Das Jahr 1917', 'Das Jahr 1922', 'Das Jahr 1925', 'Das Jahr 1927']

Antwort: Das Jahr 1922"
"________ Werbekampagnen konzentrieren sich darauf, Unterstützung für eine bestimmte Botschaft oder Ursache zu sammeln.",public_relations,"['Produktorientiert', 'Persönlich orientiert', 'Ideenorientiert', 'Nachrichtenorientiert']",2,"Frage: ________ Werbekampagnen konzentrieren sich darauf, Unterstützung für eine bestimmte Botschaft oder Ursache zu sammeln.

Antwortoptionen: ['Produktorientiert', 'Persönlich orientiert', 'Ideenorientiert', 'Nachrichtenorientiert']

Antwort: Ideenorientiert"
Warum sollte ein erfolgreicher PR-Berater die gegenwärtigen und zukünftigen Realitäten einer Organisation kontinuierlich überprüfen?,public_relations,"['Entwicklung eines Vision Statements', 'Trends für das Management zu interpretieren', 'Auslegung des Geschäftsplans der Organisation', 'Erwägung der Rolle, die die Öffentlichkeitsarbeit spielen könnte']",1,"Frage: Warum sollte ein erfolgreicher PR-Berater die gegenwärtigen und zukünftigen Realitäten einer Organisation kontinuierlich überprüfen?

Antwortoptionen: ['Entwicklung eines Vision Statements', 'Trends für das Management zu interpretieren', 'Auslegung des Geschäftsplans der Organisation', 'Erwägung der Rolle, die die Öffentlichkeitsarbeit spielen könnte']

Antwort: Trends für das Management zu interpretieren"
"Welche dieser Definitionen beschreibt die ""Spiral des Schweigens"" am besten?",public_relations,"['Wenn Missbrauchsopfer über den Missbrauch schweigen', 'Wenn Menschen ihre Meinung verbergen , wenn sie nicht mit der Mehrheit übereinstimmen .', 'Wenn Menschen ihre Ansichten verbergen, wenn sie mit ihren engen Kollegen oder Familienmitgliedern nicht einverstanden sind', 'Wenn die Öffentlichkeitsarbeit die Ergebnisse von Meinungsumfragen nutzt, um Unterstützung für ein bestimmtes Thema zu generieren']",0,"Frage: Welche dieser Definitionen beschreibt die ""Spiral des Schweigens"" am besten?

Antwortoptionen: ['Wenn Missbrauchsopfer über den Missbrauch schweigen', 'Wenn Menschen ihre Meinung verbergen , wenn sie nicht mit der Mehrheit übereinstimmen .', 'Wenn Menschen ihre Ansichten verbergen, wenn sie mit ihren engen Kollegen oder Familienmitgliedern nicht einverstanden sind', 'Wenn die Öffentlichkeitsarbeit die Ergebnisse von Meinungsumfragen nutzt, um Unterstützung für ein bestimmtes Thema zu generieren']

Antwort: Wenn Missbrauchsopfer über den Missbrauch schweigen"
"Welche zwei Elemente haben die Planungsmodelle von Hendrix (2002), Kendall (1999), Merston (1963) und Parkinson und Ekachai (2006) gemeinsam?",public_relations,"['Forschung und Evaluierung', 'Strategie und Evaluierung', 'Strategie und Umsetzung', 'Ziele und Durchführung']",0,"Frage: Welche zwei Elemente haben die Planungsmodelle von Hendrix (2002), Kendall (1999), Merston (1963) und Parkinson und Ekachai (2006) gemeinsam?

Antwortoptionen: ['Forschung und Evaluierung', 'Strategie und Evaluierung', 'Strategie und Umsetzung', 'Ziele und Durchführung']

Antwort: Forschung und Evaluierung"
In welcher Phase des Planungsprozesses werden die Ziele festgelegt?,public_relations,"['Definition des Programms', 'Planung des Programms', 'Maßnahmen zu ergreifen und Ideen umzusetzen', 'Bewertung des Programms']",1,"Frage: In welcher Phase des Planungsprozesses werden die Ziele festgelegt?

Antwortoptionen: ['Definition des Programms', 'Planung des Programms', 'Maßnahmen zu ergreifen und Ideen umzusetzen', 'Bewertung des Programms']

Antwort: Planung des Programms"
"Welches der folgenden ist NICHT eine der vier Kategorien überzeugender Krisenkommunikationsstrategien, die von W. Timothy Coombs identifiziert wurden?",public_relations,"['Einverleibung', 'herunterzuspielen', 'Entfernung', 'Nichtexistenz']",1,"Frage: Welches der folgenden ist NICHT eine der vier Kategorien überzeugender Krisenkommunikationsstrategien, die von W. Timothy Coombs identifiziert wurden?

Antwortoptionen: ['Einverleibung', 'herunterzuspielen', 'Entfernung', 'Nichtexistenz']

Antwort: herunterzuspielen"
