good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.129935504168633,826,6357,4535,2648,7,100925440
0.0001,1,layers.1,0.06977671451355662,350,5016,3016,2350,7,100925440
0.0001,1,layers.10,0.5037834691501746,3462,6872,6031,4303,7,100925440
0.0001,1,layers.11,0.4556698346569457,3500,7681,6499,4682,7,100925440
0.0001,1,layers.12,0.33497884344146683,2375,7090,5425,4040,7,100925440
0.0001,1,layers.13,0.42226595445600223,3004,7114,5656,4462,7,100925440
0.0001,1,layers.14,0.4519783564423402,2673,5914,4564,4023,7,100925440
0.0001,1,layers.15,0.41427900422733677,2646,6387,4711,4322,7,100925440
0.0001,1,layers.16,0.4694550503297466,2705,5762,4682,3785,7,100925440
0.0001,1,layers.17,0.4539924938527242,3508,7727,5962,5273,7,100925440
0.0001,1,layers.18,0.4252855578156783,2718,6391,4779,4330,7,100925440
0.0001,1,layers.19,0.4191597188164133,2564,6117,4674,4007,7,100925440
0.0001,1,layers.2,0.20488152503117762,1150,5613,3954,2809,7,100925440
0.0001,1,layers.20,0.45593511152706284,2923,6411,4929,4405,7,100925440
0.0001,1,layers.21,0.36523406294935296,2286,6259,4564,3981,7,100925440
0.0001,1,layers.22,0.3145637262721327,1972,6269,4313,3928,7,100925440
0.0001,1,layers.23,0.33174992338338954,2165,6526,4738,3953,7,100925440
0.0001,1,layers.24,0.23132780082987553,1561,6748,4603,3706,7,100925440
0.0001,1,layers.25,0.3142985611510791,2097,6672,4775,3994,7,100925440
0.0001,1,layers.26,0.24825622775800713,1744,7025,4830,3939,7,100925440
0.0001,1,layers.27,0.28155818540433925,1713,6084,4100,3697,7,100925440
0.0001,1,layers.28,0.24607329842931938,1410,5730,3769,3371,7,100925440
0.0001,1,layers.29,0.2043232823901969,1484,7263,5269,3478,7,100925440
0.0001,1,layers.3,0.15622961513372471,958,6132,3862,3228,7,100925440
0.0001,1,layers.30,0.1707506806690004,1317,7713,5359,3671,7,100925440
0.0001,1,layers.31,0.07449763110602843,456,6121,4312,2265,7,100925440
0.0001,1,layers.32,0.04164398475775721,306,7348,4947,2707,7,100925440
0.0001,1,layers.33,0.10938229344950988,703,6427,4188,2942,7,100925440
0.0001,1,layers.34,0.1833860759493671,1159,6320,4495,2984,7,100925440
0.0001,1,layers.35,0.1917389087200408,1128,5883,4252,2759,7,100925440
0.0001,1,layers.4,0.21659634317862167,1386,6399,4516,3269,7,100925440
0.0001,1,layers.5,0.3368333333333333,2021,6000,4267,3754,7,100925440
0.0001,1,layers.6,0.27913558013892464,1085,3887,2339,2633,7,100925440
0.0001,1,layers.7,0.23106406278517977,1266,5479,3649,3096,7,100925440
0.0001,1,layers.8,0.2722128581748134,2261,8306,6095,4472,7,100925440
0.0001,1,layers.9,0.3977855792600594,2946,7406,5840,4512,7,100925440
0.001,1,layers.0,0.17147976017312946,9667,56374,43493,22548,7,100925440
0.001,1,layers.1,0.08544158712957946,4100,47986,30450,21636,7,100925440
0.001,1,layers.10,0.4439678540676723,27843,62714,50377,40180,7,100925440
0.001,1,layers.11,0.4871279668466658,31032,63704,53380,41356,7,100925440
0.001,1,layers.12,0.46100842922358815,26963,58487,48747,36703,7,100925440
0.001,1,layers.13,0.4155147550209279,23627,56862,44967,35522,7,100925440
0.001,1,layers.14,0.43131258507841197,23130,53627,42367,34390,7,100925440
0.001,1,layers.15,0.46676708358755337,24481,52448,42549,34380,7,100925440
0.001,1,layers.16,0.36284132268469804,21035,57973,44504,34504,7,100925440
0.001,1,layers.17,0.47016096030555177,27574,58648,48230,37992,7,100925440
0.001,1,layers.18,0.42932967449585674,23781,55391,44018,35154,7,100925440
0.001,1,layers.19,0.4097154805466358,21946,53564,43365,32145,7,100925440
0.001,1,layers.2,0.18957484592081897,9074,47865,34836,22103,7,100925440
0.001,1,layers.20,0.45131076522662283,26357,58401,48135,36623,7,100925440
0.001,1,layers.21,0.4438321714528745,24002,54079,45487,32594,7,100925440
0.001,1,layers.22,0.38917696189316164,22366,57470,46943,32893,7,100925440
0.001,1,layers.23,0.39371505753218555,23028,58489,48882,32635,7,100925440
0.001,1,layers.24,0.3643343518791395,23489,64471,54095,33865,7,100925440
0.001,1,layers.25,0.420386632961702,28770,68437,57430,39777,7,100925440
0.001,1,layers.26,0.4077758888313992,27584,67645,59057,36172,7,100925440
0.001,1,layers.27,0.36231597517946224,23823,65752,55349,34226,7,100925440
0.001,1,layers.28,0.3269026206363021,20283,62046,50853,31476,7,100925440
0.001,1,layers.29,0.2949899683056614,20290,68782,58507,30565,7,100925440
