Unnamed: 0.1,Unnamed: 0,instruct,qa,_doc_id
71,71,"प्रश्न: एक फ्ली मार्केट में, हिलेरी 12 डॉलर प्रति शिल्प के लिए हस्तनिर्मित शिल्प बेचती है। आज, हिलेरी 3 शिल्प बेचती है और एक सराहनीय ग्राहक से अतिरिक्त 7 डॉलर प्राप्त करती है। बाद में, हिलेरी आज के मुनाफे से 18 डॉलर अपने बैंक खाते में जमा करती है। जमा करने के बाद हिलेरी के पास कितने डॉलर बचे हैं? उत्तर: चलो एक-एक करके सोचें। हिलेरी प्रत्येक 12 डॉलर में 3 शिल्प बेचती है, कुल 3 शिल्प के लिए * $ 12 / शिल्प = $ <<3*12=36>> 36 वह एक ग्राहक से अतिरिक्त 7 डॉलर प्राप्त करती है, कुल को $ 36 + $ 7 = $ <<36+7=43>> 43 तक बढ़ाती है फिर वह बैंक में 18 डॉलर जमा करती है, जिससे उसे $ 43 - $ 18 = $ 25 #### 25 मिलता है","प्रश्न: एक फ्ली मार्केट में, हिलेरी 12 डॉलर प्रति शिल्प के लिए हस्तनिर्मित शिल्प बेचती है। आज, हिलेरी 3 शिल्प बेचती है और एक सराहनीय ग्राहक से अतिरिक्त 7 डॉलर प्राप्त करती है। बाद में, हिलेरी आज के मुनाफे से 18 डॉलर अपने बैंक खाते में जमा करती है। जमा करने के बाद हिलेरी के पास कितने डॉलर बचे हैं? उत्तर: चलो एक-एक करके सोचें। हिलेरी प्रत्येक के लिए 12 डॉलर में 3 शिल्प बेचती है, कुल 3 शिल्प के लिए * $ 12 / शिल्प = $ <<3*12=36>> 36 वह एक ग्राहक से अतिरिक्त 7 डॉलर प्राप्त करती है, कुल को बढ़ाकर $ 36 + $ 7 = $ <<36+7=43>> 43 वह फिर बैंक में 18 डॉलर जमा करती है, जिससे उसे $ 43 - $ 18 = $ 25 के साथ छोड़ दिया जाता है उत्तर 25 है",71
625,625,"प्रश्न: एक शहर अपनी सड़कों से कचरा साफ करने की कोशिश कर रहा है। परिषद सड़कों पर 14 कचरे के डिब्बे जोड़ने के लिए भुगतान करती है और दुकानों के पीछे दो गुना अधिक कचरे के डिब्बे जोड़ने के लिए भी भुगतान करती है। कितने कचरे के डिब्बे शहर के लिए भुगतान किया गया है? उत्तर: चलो एक-एक करके सोचें। दुकानों के पीछे, शहर ने सड़कों पर 14 कचरे के डिब्बे * 2 = <<14*2=28>> 28 कचरे के डिब्बे के लिए भुगतान किया है। इसलिए शहर ने सड़कों पर 14 कचरे के डिब्बे + दुकानों के पीछे 28 कचरे के डिब्बे = <<14+28=42>> 42 कचरे के डिब्बे जोड़े हैं। #### 42","प्रश्न: एक शहर अपनी सड़कों से कचरा साफ करने की कोशिश कर रहा है। परिषद सड़कों पर 14 कचरे के डिब्बे जोड़ने के लिए भुगतान करती है और दुकानों के पीछे दो गुना अधिक कचरे के डिब्बे जोड़ने के लिए भी भुगतान करती है। कितने कचरे के डिब्बे शहर के लिए भुगतान किया गया है? उत्तर: चलो एक-एक करके सोचें। दुकानों के पीछे, शहर ने सड़कों पर 14 कचरे के डिब्बे * 2 = <<14*2=28>> 28 कचरे के डिब्बे के लिए भुगतान किया है। इसलिए शहर ने सड़कों पर 14 कचरे के डिब्बे + दुकानों के पीछे 28 कचरे के डिब्बे = <<14+28=42>> 42 कचरे के डिब्बे जोड़े हैं। उत्तर 42 है",625
878,878,"प्रश्न: सैंटिनो में 2 पपीता के पेड़ और 3 आम के पेड़ हैं। यदि प्रत्येक पपीते के पेड़ से 10 पपीते और प्रत्येक आम के पेड़ से 20 आम पैदा होते हैं, तो कुल मिलाकर सैंटिनो में कितने फल होते हैं? उत्तर: चलो एक-एक करके सोचें। सैंटिनो के पास 2 * 10 = <<2*10=20>> 20 पपीता के फल हैं सैंटिनो के पास 3 * 20 = <<3*20=60>> 60 आम के फल हैं कुल मिलाकर, सैंटिनो के पास 20 + 60 = <<20+60=80>> 80 फल हैं #### 80","प्रश्न: सैंटिनो में 2 पपीता के पेड़ और 3 आम के पेड़ हैं। यदि प्रत्येक पपीते के पेड़ से 10 पपीते और प्रत्येक आम के पेड़ से 20 आम पैदा होते हैं, तो कुल मिलाकर सैंटिनो में कितने फल होते हैं? उत्तर: चलो एक-एक करके सोचें। सैंटिनो के पास 2 * 10 = <<2*10=20>> 20 पपीता के फल हैं सैंटिनो के पास 3 * 20 = <<3*20=60>> 60 आम के फल हैं कुल मिलाकर, सैंटिनो के पास 20 + 60 = <<20+60=80>> 80 फल हैं उत्तर 80 है",878
967,967,"प्रश्न: एक घंटे में, एडिसन पर्वत का तापमान अपने तापमान के 3/4 तक घट जाएगा। यदि पर्वत का वर्तमान तापमान 84 डिग्री है, तो तापमान में कितनी कमी आएगी? उत्तर: चलो एक-एक करके सोचें। एक घंटे में, एडिसन पर्वत का तापमान अब के तापमान के 3/4 तक घट जाएगा, जिसका अर्थ है कि तापमान 3/4*84= <<3/4*84=63>> 63 डिग्री तक घट जाएगा। तापमान में गिरावट 84-63= <<84-63=21>> 21 डिग्री #### 21 होगी","प्रश्न: एक घंटे में, एडिसन पर्वत का तापमान अपने तापमान के 3/4 तक घट जाएगा। यदि पर्वत का वर्तमान तापमान 84 डिग्री है, तो तापमान में कितनी कमी आएगी? उत्तर: चलो एक-एक करके सोचें। एक घंटे में, एडिसन पर्वत का तापमान अब के तापमान के 3/4 तक घट जाएगा, जिसका अर्थ है कि तापमान 3/4*84= <<3/4*84=63>> 63 डिग्री तक घट जाएगा। तापमान में गिरावट 84-63= <<84-63=21>> 21 डिग्री होगी उत्तर 21 है",967
1180,1180,"प्रश्न: एक स्थानीय रेस्तरां $ 12.00 के लिए 8 टुकड़े फ्राइड चिकन बाल्टी और 2 पक्षों की पेशकश कर रहा है जो 6 लोगों को खिलाएगा। यदि मोंटी 36 परिवार के सदस्यों के लिए एक परिवार के पुनर्मिलन का आयोजन कर रहा था, तो सभी को एक सेवारत खिलाने के लिए पर्याप्त चिकन और पक्ष खरीदने में उसे कितना खर्च आएगा? उत्तर: चलो एक-एक करके सोचें। मोंटी 36 परिवार के सदस्यों को खिलाने की जरूरत है और प्रत्येक चिकन / भोजन संयोजन 6 लोगों को खिलाता है तो वह 36/6 = <<36/6=6>> 6 संयोजन की जरूरत है प्रत्येक चिकन / भोजन संयोजन $ 12.00 और वह 6 की जरूरत है तो यह उसे लागत होगी 12 * 6 = $ <<12*6=72.00>> 72.00 हर किसी को खिलाने के लिए #### 72","प्रश्न: एक स्थानीय रेस्तरां $ 12.00 के लिए 8 टुकड़े फ्राइड चिकन बाल्टी और 2 पक्षों की पेशकश कर रहा है जो 6 लोगों को खिलाएगा। यदि मोंटी 36 परिवार के सदस्यों के लिए एक परिवार के पुनर्मिलन का आयोजन कर रहा था, तो सभी को एक सेवारत खिलाने के लिए पर्याप्त चिकन और पक्ष खरीदने में उसे कितना खर्च आएगा? उत्तर: चलो एक-एक करके सोचें। मोंटी को परिवार के 36 सदस्यों को खिलाने की जरूरत है और प्रत्येक चिकन / भोजन संयोजन 6 लोगों को खिलाता है इसलिए उसे 36/6 = <<36/6=6>> 6 संयोजन की आवश्यकता है प्रत्येक चिकन / भोजन संयोजन की लागत $ 12.00 है और उसे 6 की आवश्यकता है इसलिए यह उसे 12 * 6 = $ <<12*6=72.00>> 72.00 खर्च करेगा सभी को खिलाने के लिए उत्तर 72 है",1180
1210,1210,"प्रश्न: प्रत्येक कछुए में 20 अंडे होते हैं। यदि 40% अंडे सफलतापूर्वक निकलते हैं, तो 6 कछुए कितने बच्चे पैदा करते हैं? उत्तर: चलो एक-एक करके सोचें। पहले उन अंडों की संख्या ज्ञात कीजिए जो प्रत्येक कछुआ सफलतापूर्वक उगता हैः 20 अंडे * 40% = <<20*40*.01=8>> 8 अंडे फिर प्रति कछुए अंडों की संख्या को कछुओं की संख्या से गुणा करके अंडों की कुल संख्या ज्ञात कीजिए: 8 अंडे/ कछुआ * 6 कछुए = <<8*6=48>> 48 कछुए #### 48","प्रश्न: प्रत्येक कछुए में 20 अंडे होते हैं। यदि 40% अंडे सफलतापूर्वक निकलते हैं, तो 6 कछुए कितने बच्चे पैदा करते हैं? उत्तर: चलो एक-एक करके सोचें। पहले उन अंडों की संख्या ज्ञात कीजिए जो प्रत्येक कछुआ सफलतापूर्वक उगता है: 20 अंडे * 40% = <<20*40*.01=8>> 8 अंडे फिर प्रति कछुए अंडों की संख्या को कछुओं की संख्या से गुणा करके अंडों की कुल संख्या ज्ञात कीजिए: 8 अंडे / कछुआ * 6 कछुए = <<8*6=48>> 48 कछुए उत्तर 48 है",1210
1680,1680,प्रश्न: एक कटोरे में 349 चॉकलेट के टुकड़े थे। तालिता ने 108 टुकड़े लिए और सुलैमान ने 153 टुकड़े लिए। कटोरे में कितने कैंडी के टुकड़े बचे हैं? उत्तर: चलो एक-एक करके सोचें। 349 - 108 = 241 और 241 - 153 = 88 कटोरे में मिठाई के 88 टुकड़े बचे हैं। #### 88,प्रश्न: एक कटोरे में 349 चॉकलेट के टुकड़े थे। तालिता ने 108 टुकड़े लिए और सुलैमान ने 153 टुकड़े लिए। कटोरे में कितने कैंडी के टुकड़े बचे हैं? उत्तर: चलो एक-एक करके सोचें। 349 - 108 = 241 और 241 - 153 = 88 कटोरे में मिठाई के 88 टुकड़े बचे हैं। उत्तर 88 है,1680
1691,1691,"प्रश्न: टॉम के फल के कटोरे में 3 संतरे और 6 नींबू हैं। टॉम के तीन फल खाने के बाद, टॉम के फल के कटोरे में कितने फल बचे हैं? उत्तर: चलो एक-एक करके सोचें। टॉम के फल कटोरे में 3 + 6 = <<3+6=9>> 9 फल होते हैं। टॉम के 3 फल खाने के बाद, 9 - 3 = <<9-3=6>> कटोरे में 6 फल रह जाते हैं #### 6","प्रश्न: टॉम के फल के कटोरे में 3 संतरे और 6 नींबू हैं। टॉम के तीन फल खाने के बाद, टॉम के फल के कटोरे में कितने फल बचे हैं? उत्तर: चलो एक-एक करके सोचें। टॉम के फल कटोरे में 3 + 6 = <<3+6=9>> 9 फल होते हैं। टॉम के 3 फल खाने के बाद, 9 - 3 = <<9-3=6>> 6 फल कटोरे में रह जाते हैं उत्तर 6 है",1691
1720,1720,"प्रश्न: लिरा ने जूते की एक जोड़ी 20 प्रतिशत की छूट पर खरीदी। यदि उसने $480 का भुगतान किया, तो जूते की जोड़ी की मूल कीमत कितनी थी? उत्तर: चलो एक-एक करके सोचें। लीरा ने जूते की जोड़ी के लिए केवल $480 का भुगतान किया जो मूल मूल्य का केवल 100% - 20% = 80% है। तो चलो एक्स मूल कीमत है। तो 0.8x = $480 इस प्रकार x = $480 / 0.8 = $ <<480/0.8=600>> 600 #### 600","प्रश्न: लिरा ने जूते की एक जोड़ी 20 प्रतिशत की छूट पर खरीदी। यदि उसने $480 का भुगतान किया, तो जूते की जोड़ी की मूल कीमत कितनी थी? उत्तर: चलो एक-एक करके सोचें। लीरा ने जूते की जोड़ी के लिए केवल $480 का भुगतान किया जो मूल मूल्य का केवल 100% - 20% = 80% है। तो चलो एक्स मूल कीमत है। तो 0.8x = $480 इस प्रकार x = $480 / 0.8 = $ <<480/0.8=600>> 600 उत्तर 600 है",1720
1878,1878,"प्रश्न: एम्मा 7 साल की है। अगर उसकी बहन उससे 9 साल बड़ी है, तो जब उसकी बहन 56 साल की होगी तो एम्मा की उम्र कितनी होगी? उत्तर: चलो एक-एक करके सोचें। एम्मा की बहन 7 + 9 = <<7+9=16>> 16 वर्ष की है। इन कई वर्षों में, एम्मा की बहन 56 वर्ष की होगी: 56 - 16 = <<56-16=40>> 40 वर्ष। जब उसकी बहन 56 वर्ष की होगी, तब एम्मा 7 + 40 = <<7+40=47>> 47 वर्ष की होगी। #### 47","प्रश्न: एम्मा 7 साल की है। अगर उसकी बहन उससे 9 साल बड़ी है, तो जब उसकी बहन 56 साल की होगी तो एम्मा की उम्र कितनी होगी? उत्तर: चलो एक-एक करके सोचें। एम्मा की बहन 7 + 9 = <<7+9=16>> 16 वर्ष की है। इन कई वर्षों में, एम्मा की बहन 56 वर्ष की होगी: 56 - 16 = <<56-16=40>> 40 वर्ष। जब उसकी बहन 56 वर्ष की होगी, तब एम्मा 7 + 40 = <<7+40=47>> 47 वर्ष की होगी। उत्तर 47 है",1878
