question,subject,choices,answer,qa
वेल्स और स्कॉटलैंड में कौन से खाद्य पदार्थ कम मात्रा में खाए जाते हैं (2020 तक)?,nutrition,"['मांस', 'मिठाई', 'फल और सब्जियां', 'आलू']",2,"प्रश्न: वेल्स और स्कॉटलैंड में कौन से खाद्य पदार्थ कम मात्रा में खाए जाते हैं (2020 तक)?

उत्तर विकल्प: ['मांस', 'मिठाई', 'फल और सब्जियां', 'आलू']

उत्तर: फल और सब्जियां"
"निम्नलिखित में से किस स्थिति में जनसंख्या में किसी रोग का प्रसार बढ़ेगा, जबकि अन्य सभी स्थितियां स्थिर रहेंगी?",nutrition,"['यदि रोग की घटना दर गिरती है।', 'यदि रोग के साथ जीवित रहने का समय बढ़ता है।', 'यदि रोग की वसूली तेजी से होती है।', 'यदि जिस जनसंख्या में रोग को मापा जाता है, उसकी संख्या बढ़ जाती है।']",1,"प्रश्न: निम्नलिखित में से किस स्थिति में जनसंख्या में किसी रोग का प्रसार बढ़ेगा, जबकि अन्य सभी स्थितियां स्थिर रहेंगी?

उत्तर विकल्प: ['यदि रोग की घटना दर गिरती है।', 'यदि रोग के साथ जीवित रहने का समय बढ़ता है।', 'यदि रोग की वसूली तेजी से होती है।', 'यदि जिस जनसंख्या में रोग को मापा जाता है, उसकी संख्या बढ़ जाती है।']

उत्तर: यदि रोग के साथ जीवित रहने का समय बढ़ता है।"
निम्नलिखित में से कौन सा कथन सही है?,nutrition,"['फ्लेवोनोइड वर्ग में फ्लेवोनोइड और आइसोफ्लेवोनोइड शामिल हैं।', 'सोया खाद्य उत्पादों में आइसोफ्लेवोन की पाचनशीलता और जैवउपलब्धता प्रसंस्करण द्वारा नहीं बदली जाती है।', 'बी-कैरोटीन और लाइकोपीन दोनों प्रोविटामिन ए के रूप में कार्य कर सकते हैं।', 'कैरोटीनोइड और फ्लेवोनोइड दोनों ही पॉलीफेनॉल वर्ग से संबंधित हैं।']",0,"प्रश्न: निम्नलिखित में से कौन सा कथन सही है?

उत्तर विकल्प: ['फ्लेवोनोइड वर्ग में फ्लेवोनोइड और आइसोफ्लेवोनोइड शामिल हैं।', 'सोया खाद्य उत्पादों में आइसोफ्लेवोन की पाचनशीलता और जैवउपलब्धता प्रसंस्करण द्वारा नहीं बदली जाती है।', 'बी-कैरोटीन और लाइकोपीन दोनों प्रोविटामिन ए के रूप में कार्य कर सकते हैं।', 'कैरोटीनोइड और फ्लेवोनोइड दोनों ही पॉलीफेनॉल वर्ग से संबंधित हैं।']

उत्तर: फ्लेवोनोइड वर्ग में फ्लेवोनोइड और आइसोफ्लेवोनोइड शामिल हैं।"
मोटापे की महामारी के मुख्य कारण क्या हैं?,nutrition,"['ऊर्जा की मात्रा/घनत्व में वृद्धि और अधिक गतिहीन जीवनशैली', 'अवकाश समय की गतिविधि में कमी', 'आनुवांशिक प्रोफाइल में परिवर्तन', 'दिए गए विकल्पों में से कोई भी सही नहीं है']",0,"प्रश्न: मोटापे की महामारी के मुख्य कारण क्या हैं?

उत्तर विकल्प: ['ऊर्जा की मात्रा/घनत्व में वृद्धि और अधिक गतिहीन जीवनशैली', 'अवकाश समय की गतिविधि में कमी', 'आनुवांशिक प्रोफाइल में परिवर्तन', 'दिए गए विकल्पों में से कोई भी सही नहीं है']

उत्तर: ऊर्जा की मात्रा/घनत्व में वृद्धि और अधिक गतिहीन जीवनशैली"
कौन सा विटामिन कोशिका झिल्ली में एक प्रमुख लिपिड-घुलनशील एंटीऑक्सिडेंट है?,nutrition,"['विटामिन ए', 'विटामिन डी', 'विटामिन ई', 'विटामिन के']",2,"प्रश्न: कौन सा विटामिन कोशिका झिल्ली में एक प्रमुख लिपिड-घुलनशील एंटीऑक्सिडेंट है?

उत्तर विकल्प: ['विटामिन ए', 'विटामिन डी', 'विटामिन ई', 'विटामिन के']

उत्तर: विटामिन ई"
निम्नलिखित में से कौन सा वृद्ध वयस्कों में विटामिन बी12 की कमी में योगदान देता है?,nutrition,"['आंतरिक कारक का कम स्राव', 'एट्रोफिक गैस्ट्राइटिस', 'हेलिकोबैक्टर पाइलोरी संक्रमण', 'उपरोक्त सभी']",3,"प्रश्न: निम्नलिखित में से कौन सा वृद्ध वयस्कों में विटामिन बी12 की कमी में योगदान देता है?

उत्तर विकल्प: ['आंतरिक कारक का कम स्राव', 'एट्रोफिक गैस्ट्राइटिस', 'हेलिकोबैक्टर पाइलोरी संक्रमण', 'उपरोक्त सभी']

उत्तर: उपरोक्त सभी"
मोटापा एंडोमेट्रियल कैंसर के जोखिम को बढ़ाता है। किस हार्मोन को इस प्रभाव का मध्यस्थ माना जाता है?,nutrition,"['टेस्टोस्टेरोन', 'एस्ट्रोजेन', 'इंसुलिन-जैसे वृद्धि कारक-1', 'थायरोक्सिन']",1,"प्रश्न: मोटापा एंडोमेट्रियल कैंसर के जोखिम को बढ़ाता है। किस हार्मोन को इस प्रभाव का मध्यस्थ माना जाता है?

उत्तर विकल्प: ['टेस्टोस्टेरोन', 'एस्ट्रोजेन', 'इंसुलिन-जैसे वृद्धि कारक-1', 'थायरोक्सिन']

उत्तर: एस्ट्रोजेन"
छोटी आंत से कैल्शियम के अवशोषण के लिए कौन सा विटामिन आवश्यक है?,nutrition,"['विटामिन ए', 'विटामिन डी', 'विटामिन ई', 'विटामिन के']",1,"प्रश्न: छोटी आंत से कैल्शियम के अवशोषण के लिए कौन सा विटामिन आवश्यक है?

उत्तर विकल्प: ['विटामिन ए', 'विटामिन डी', 'विटामिन ई', 'विटामिन के']

उत्तर: विटामिन डी"
एमिनो एसिड के लिए चयापचय की मांग के बारे में निम्नलिखित में से कौन सा कथन सही है?,nutrition,"['चयापचय की आवश्यकता केवल आहार से ही पूरी की जाती है,', 'चयापचय की मांग प्रोटीन टर्नओवर को बनाए रखने के लिए है।', 'चयापचय की मांग में कई अपरिवर्तनीय मार्गों द्वारा अमीनो-एसिड की खपत शामिल होती है और ये या तो अनिवार्य या अनुकूली होते हैं।', 'चयापचय की मांग एक निश्चित मात्रा है']",2,"प्रश्न: एमिनो एसिड के लिए चयापचय की मांग के बारे में निम्नलिखित में से कौन सा कथन सही है?

उत्तर विकल्प: ['चयापचय की आवश्यकता केवल आहार से ही पूरी की जाती है,', 'चयापचय की मांग प्रोटीन टर्नओवर को बनाए रखने के लिए है।', 'चयापचय की मांग में कई अपरिवर्तनीय मार्गों द्वारा अमीनो-एसिड की खपत शामिल होती है और ये या तो अनिवार्य या अनुकूली होते हैं।', 'चयापचय की मांग एक निश्चित मात्रा है']

उत्तर: चयापचय की मांग में कई अपरिवर्तनीय मार्गों द्वारा अमीनो-एसिड की खपत शामिल होती है और ये या तो अनिवार्य या अनुकूली होते हैं।"
मानव पोषण में मानव अमीनो एसिड की आवश्यकताओं के बारे में निम्नलिखित में से कौन सा कथन सही है?,nutrition,"['वयस्कों के लिए निर्धारित एमिनो एसिड आवश्यकताओं को सभी उम्र के लिए आवश्यकता पैटर्न माना जाता है।', 'वयस्कों के लिए निर्धारित एमिनो एसिड की आवश्यकताओं को सभी उम्र के लिए रखरखाव की आवश्यकताओं के रूप में माना जाता है।', 'स्तन के दूध का अमीनो एसिड पैटर्न सभी बच्चों के लिए आवश्यक पैटर्न माना जाता है।', 'मानव ऊतक प्रोटीन का अमीनो एसिड पैटर्न शिशुओं और छोटे बच्चों के लिए आवश्यकता पैटर्न माना जाता है।']",1,"प्रश्न: मानव पोषण में मानव अमीनो एसिड की आवश्यकताओं के बारे में निम्नलिखित में से कौन सा कथन सही है?

उत्तर विकल्प: ['वयस्कों के लिए निर्धारित एमिनो एसिड आवश्यकताओं को सभी उम्र के लिए आवश्यकता पैटर्न माना जाता है।', 'वयस्कों के लिए निर्धारित एमिनो एसिड की आवश्यकताओं को सभी उम्र के लिए रखरखाव की आवश्यकताओं के रूप में माना जाता है।', 'स्तन के दूध का अमीनो एसिड पैटर्न सभी बच्चों के लिए आवश्यक पैटर्न माना जाता है।', 'मानव ऊतक प्रोटीन का अमीनो एसिड पैटर्न शिशुओं और छोटे बच्चों के लिए आवश्यकता पैटर्न माना जाता है।']

उत्तर: वयस्कों के लिए निर्धारित एमिनो एसिड की आवश्यकताओं को सभी उम्र के लिए रखरखाव की आवश्यकताओं के रूप में माना जाता है।"
एक खाद्य योज्य को तब सुरक्षित माना जाता है जब:,nutrition,"['इसके उपयोग की अवधि के दौरान मानव विषाक्तता का कोई सबूत नहीं देखा गया है', 'भोजन में इसकी उपस्थिति से अनुमानित दैनिक सेवन (ईडीआई) इसकी एडीआई से कम है', 'इसके विषाक्त प्रभाव केवल ईडीआई के 100 गुना खुराक पर देखे जाते हैं', 'इसके लाभ इसके जोखिमों से अधिक हैं']",1,"प्रश्न: एक खाद्य योज्य को तब सुरक्षित माना जाता है जब:

उत्तर विकल्प: ['इसके उपयोग की अवधि के दौरान मानव विषाक्तता का कोई सबूत नहीं देखा गया है', 'भोजन में इसकी उपस्थिति से अनुमानित दैनिक सेवन (ईडीआई) इसकी एडीआई से कम है', 'इसके विषाक्त प्रभाव केवल ईडीआई के 100 गुना खुराक पर देखे जाते हैं', 'इसके लाभ इसके जोखिमों से अधिक हैं']

उत्तर: भोजन में इसकी उपस्थिति से अनुमानित दैनिक सेवन (ईडीआई) इसकी एडीआई से कम है"
