good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.18786733837111672,1790,9528,4428,6890,7,218103808
0.0001,1,layers.1,0.26969741265896796,1845,6841,3546,5140,7,218103808
0.0001,1,layers.10,0.35231755424063116,4287,12168,7037,9418,7,218103808
0.0001,1,layers.11,0.3753632698978157,4004,10667,6248,8423,7,218103808
0.0001,1,layers.12,0.307087369329625,3202,10427,5674,7955,7,218103808
0.0001,1,layers.13,0.37641215426567975,3865,10268,6297,7836,7,218103808
0.0001,1,layers.14,0.25981727841000163,3242,12478,6834,8886,7,218103808
0.0001,1,layers.15,0.30674166204547254,3872,12623,7220,9275,7,218103808
0.0001,1,layers.16,0.29024232930986826,3150,10853,6319,7684,7,218103808
0.0001,1,layers.17,0.2831992850759607,3169,11190,6171,8188,7,218103808
0.0001,1,layers.18,0.2490272373540856,2816,11308,5559,8565,7,218103808
0.0001,1,layers.19,0.3255744553864518,3273,10053,5411,7915,7,218103808
0.0001,1,layers.2,0.18399081611354623,1763,9582,4020,7325,7,218103808
0.0001,1,layers.20,0.3243882470663149,3566,10993,5763,8796,7,218103808
0.0001,1,layers.21,0.25218896355121156,2477,9822,4948,7351,7,218103808
0.0001,1,layers.22,0.27208667312604595,3089,11353,6449,7993,7,218103808
0.0001,1,layers.23,0.22353378566781298,2405,10759,6697,6467,7,218103808
0.0001,1,layers.24,0.1805403431909456,1978,10956,6689,6245,7,218103808
0.0001,1,layers.25,0.20196223620881154,2182,10804,6260,6726,7,218103808
0.0001,1,layers.26,0.23778119071280152,2632,11069,6482,7219,7,218103808
0.0001,1,layers.27,0.11299540897592054,1206,10673,6101,5778,7,218103808
0.0001,1,layers.28,0.16598341987792659,1822,10977,6400,6399,7,218103808
0.0001,1,layers.29,0.09166416491544081,916,9993,5075,5834,7,218103808
0.0001,1,layers.3,0.25632137030995106,2514,9808,4352,7970,7,218103808
0.0001,1,layers.30,0.159376022690084,1461,9167,5360,5268,7,218103808
0.0001,1,layers.31,0.18132008154943935,1423,7848,4508,4763,7,218103808
0.0001,1,layers.4,0.22371058866411517,2455,10974,5452,7977,7,218103808
0.0001,1,layers.5,0.2578683143463989,2671,10358,5330,7699,7,218103808
0.0001,1,layers.6,0.23521420161217282,2597,11041,5692,7946,7,218103808
0.0001,1,layers.7,0.41743079955437484,4871,11669,7651,8889,7,218103808
0.0001,1,layers.8,0.38734455010972935,4236,10936,6772,8400,7,218103808
0.0001,1,layers.9,0.4228600717580728,4950,11706,6856,9800,7,218103808
0.0001,1,lm_head,0.0017391304347826088,46,26450,8764,17732,1,525336576
0.001,1,layers.0,0.2016044560006901,16360,81149,36853,60656,7,218103808
0.001,1,layers.1,0.2961233764621154,23848,80534,49797,54585,7,218103808
0.001,1,layers.10,0.3761769753747831,39672,105461,62740,82393,7,218103808
0.001,1,layers.11,0.3868629671574179,37576,97130,60336,74370,7,218103808
0.001,1,layers.12,0.3510416213630235,32286,91972,54895,69363,7,218103808
0.001,1,layers.13,0.37955121468751934,36840,97062,60524,73378,7,218103808
0.001,1,layers.14,0.26102578110226293,24846,95186,53025,67007,7,218103808
0.001,1,layers.15,0.25083197971554216,25325,100964,55371,70918,7,218103808
0.001,1,layers.16,0.2490151206411904,23830,95697,54533,64994,7,218103808
0.001,1,layers.17,0.25453627994150724,24717,97106,54931,66892,7,218103808
0.001,1,layers.18,0.21649383777866826,22151,102317,57459,67009,7,218103808
0.001,1,layers.19,0.2656394133925714,28221,106238,64532,69927,7,218103808
0.001,1,layers.2,0.19753443046363242,23250,117701,70253,70698,7,218103808
0.001,1,layers.20,0.2294956848470616,23454,102198,59541,66111,7,218103808
0.001,1,layers.21,0.2544310682800168,24791,97437,56844,65384,7,218103808
0.001,1,layers.22,0.23036618158810504,23302,101152,59108,65346,7,218103808
0.001,1,layers.23,0.2214465642147195,22681,102422,58667,66436,7,218103808
0.001,1,layers.24,0.17370942197261924,17878,102919,55975,64822,7,218103808
0.001,1,layers.25,0.20395460598691448,21135,103626,56310,68451,7,218103808
0.001,1,layers.26,0.18846866818277372,19724,104654,60458,63920,7,218103808
0.001,1,layers.27,0.1525013503968089,14681,96268,58826,52123,7,218103808
0.001,1,layers.28,0.16391055243643052,17108,104374,62387,59095,7,218103808
0.001,1,layers.29,0.13365167600100308,12791,95704,51734,56761,7,218103808
0.001,1,layers.3,0.21428176998969223,23283,108656,58615,73324,7,218103808
0.001,1,layers.30,0.11900629686491779,10697,89886,47282,53301,7,218103808
0.001,1,layers.31,0.16181181977232964,14243,88022,49515,52750,7,218103808
0.001,1,layers.4,0.25295410179273664,26823,106039,52599,80263,7,218103808
0.001,1,layers.5,0.27070260879208213,29293,108211,59234,78270,7,218103808
0.001,1,layers.6,0.3019139336988707,32322,107057,60952,78427,7,218103808
0.001,1,layers.7,0.3825196272071303,38540,100753,65063,74230,7,218103808
0.001,1,layers.8,0.4174364060917901,40402,96786,65881,71307,7,218103808
0.001,1,layers.9,0.45061679346854455,45369,100682,67162,78889,7,218103808
0.001,1,lm_head,0.0006188715640572255,77,124420,36464,88033,1,525336576
0.01,1,layers.0,0.1290220677828422,125796,974996,640513,460279,7,218103808
0.01,1,layers.1,0.1833505990203647,166724,909318,530252,545790,7,218103808
0.01,1,layers.10,0.32170187001638856,344304,1070258,676384,738178,7,218103808
0.01,1,layers.11,0.30774519338073525,308858,1003616,626783,685691,7,218103808
0.01,1,layers.12,0.2864082537746236,277047,967315,569489,674873,7,218103808
0.01,1,layers.13,0.32117889083595397,297103,925039,536771,685371,7,218103808
0.01,1,layers.14,0.25511830834236643,216997,850574,443394,624177,7,218103808
0.01,1,layers.15,0.24819003825324887,224747,905544,486217,644074,7,218103808
0.01,1,layers.16,0.23911609646161344,213897,894532,474405,634024,7,218103808
0.01,1,layers.17,0.26232577794292294,252035,960771,537403,675403,7,218103808
0.01,1,layers.18,0.23185248123647104,229214,988620,533835,683999,7,218103808
0.01,1,layers.19,0.24167181630226547,242080,1001689,576055,667714,7,218103808
0.01,1,layers.2,0.2488475457885539,217008,872052,406207,682853,7,218103808
0.01,1,layers.20,0.20644433100551063,197355,955972,556780,596547,7,218103808
0.01,1,layers.21,0.2195348730667433,210847,960426,562480,608793,7,218103808
0.01,1,layers.22,0.20934062307942963,203011,969764,573946,598829,7,218103808
0.01,1,layers.23,0.20334006059979656,186899,919145,542795,563249,7,218103808
0.01,1,layers.24,0.16443787458221076,141053,857789,468641,530201,7,218103808
0.01,1,layers.25,0.17857709047934742,148689,832632,446829,534492,7,218103808
0.01,1,layers.26,0.14045247883375625,131569,936751,510441,557879,7,218103808
0.01,1,layers.27,0.14183335950007636,132799,936303,530292,538810,7,218103808
0.01,1,layers.28,0.17137935177112829,155493,907303,544313,518483,7,218103808
0.01,1,layers.29,0.13132101857446352,107803,820912,445487,483228,7,218103808
0.01,1,layers.3,0.22467356114814133,206322,918319,509651,614990,7,218103808
0.01,1,layers.30,0.09120017227169194,71151,780163,371568,479746,7,218103808
0.01,1,layers.31,0.08900998133036027,67462,757915,374454,450923,7,218103808
0.01,1,layers.4,0.2618354299943726,245206,936489,531212,650483,7,218103808
0.01,1,layers.5,0.25005278394007346,249892,999357,568599,680650,7,218103808
0.01,1,layers.6,0.2565107943094691,275942,1075752,611776,739918,7,218103808
0.01,1,layers.7,0.2585168547617181,280262,1084115,637322,727055,7,218103808
0.01,1,layers.8,0.2912197551936344,305749,1049891,639364,716276,7,218103808
0.01,1,layers.9,0.3236664707447776,338113,1044634,659813,722934,7,218103808
0.01,1,lm_head,0.03342383297299198,27564,824681,349918,502327,1,525336576
0.025,1,layers.0,0.1312696960156303,223062,1699265,612356,1309971,7,218103808
0.025,1,layers.1,0.15663241229019748,342200,2184733,1516434,1010499,7,218103808
0.025,1,layers.10,0.3100623848584361,678774,2189153,1462194,1405733,7,218103808
0.025,1,layers.11,0.2761795977786886,619222,2242099,1498908,1362413,7,218103808
0.025,1,layers.12,0.2525000721185318,568942,2253235,1489673,1332504,7,218103808
0.025,1,layers.13,0.2851726193645471,653428,2291342,1481547,1463223,7,218103808
0.025,1,layers.14,0.22704694117278607,514722,2267029,1334326,1447425,7,218103808
0.025,1,layers.15,0.22820375410060173,522496,2289603,1298169,1513930,7,218103808
0.025,1,layers.16,0.24364297333602966,519277,2131303,1265397,1385183,7,218103808
0.025,1,layers.17,0.2518695473973886,537710,2134875,1245207,1427378,7,218103808
0.025,1,layers.18,0.22120747337972127,480552,2172404,1155245,1497711,7,218103808
0.025,1,layers.19,0.22464073130545648,479787,2135797,1111207,1504377,7,218103808
