question,subject,choices,answer,qa
"Dans une translocation Robertsonienne, la fusion se produit à:",medical_genetics,"['les télomères.', 'centromères.', 'les histones.', 'les extrémités des longs bras.']",1,"Question: Dans une translocation Robertsonienne, la fusion se produit à:

Choix: ['les télomères.', 'centromères.', 'les histones.', 'les extrémités des longs bras.']

Réponse: centromères."
Les protéines du doigt de zinc et les protéines hélice-tour-hélice sont,medical_genetics,"['types de protéines de liaison à l'ADN', 'impliqué dans le contrôle de la traduction', 'composants des ribosomes', 'une partie de l'hémoglobine dans les cellules sanguines']",0,"Question: Les protéines du doigt de zinc et les protéines hélice-tour-hélice sont

Choix: ['types de protéines de liaison à l'ADN', 'impliqué dans le contrôle de la traduction', 'composants des ribosomes', 'une partie de l'hémoglobine dans les cellules sanguines']

Réponse: types de protéines de liaison à l'ADN"
"Si la fréquence des hommes atteints d'une affection récessive liée au X dans une population humaine est de 0,10 (un sur dix), quelle sera la fréquence attendue des femmes atteintes?",medical_genetics,"['Résultats', 'Résultats de l'enquête', '0,02 pour le', 'Nom de l'établissement']",0,"Question: Si la fréquence des hommes atteints d'une affection récessive liée au X dans une population humaine est de 0,10 (un sur dix), quelle sera la fréquence attendue des femmes atteintes?

Choix: ['Résultats', 'Résultats de l'enquête', '0,02 pour le', 'Nom de l'établissement']

Réponse: Résultats"
"Dans l'ADN, l'adénine s'accouple normalement avec:",medical_genetics,"['la cytosine.', 'la guanine.', 'la thymine.', 'Pour l' uracile.']",2,"Question: Dans l'ADN, l'adénine s'accouple normalement avec:

Choix: ['la cytosine.', 'la guanine.', 'la thymine.', 'Pour l' uracile.']

Réponse: la thymine."
Le schéma d'hérédité présenté par l'hyperthermie maligne (hyperpyrexie) est le suivant:,medical_genetics,"['Autosomiquement dominant.', 'Autosomique récessive.', 'Dominant lié au X.', 'Recessif lié au X.']",0,"Question: Le schéma d'hérédité présenté par l'hyperthermie maligne (hyperpyrexie) est le suivant:

Choix: ['Autosomiquement dominant.', 'Autosomique récessive.', 'Dominant lié au X.', 'Recessif lié au X.']

Réponse: Autosomiquement dominant."
Cartographie des chromosomes humains:,medical_genetics,"['a été limitée aux chromosomes sexuels en raison de la petite taille de la famille', 'L'expérience a été beaucoup plus fructueuse au fur et à mesure qu'un grand nombre de marqueurs d'ADN devenaient disponibles.', 'a déterminé que le nombre de groupes de liaison est environ le double du nombre de chromosomes', 'a démontré que presque tout l'ADN est impliqué dans le codage des gènes']",1,"Question: Cartographie des chromosomes humains:

Choix: ['a été limitée aux chromosomes sexuels en raison de la petite taille de la famille', 'L'expérience a été beaucoup plus fructueuse au fur et à mesure qu'un grand nombre de marqueurs d'ADN devenaient disponibles.', 'a déterminé que le nombre de groupes de liaison est environ le double du nombre de chromosomes', 'a démontré que presque tout l'ADN est impliqué dans le codage des gènes']

Réponse: L'expérience a été beaucoup plus fructueuse au fur et à mesure qu'un grand nombre de marqueurs d'ADN devenaient disponibles."
La transmission intergénérationnelle à la progéniture peut se produire à la suite d'une exposition parentale à ______.,medical_genetics,"['guerre', 'catastrophes naturelles', 'la faim', 'l'ensemble de ceux-ci']",3,"Question: La transmission intergénérationnelle à la progéniture peut se produire à la suite d'une exposition parentale à ______.

Choix: ['guerre', 'catastrophes naturelles', 'la faim', 'l'ensemble de ceux-ci']

Réponse: l'ensemble de ceux-ci"
Asp235Phe dans un rapport moléculaire indique que:,medical_genetics,"['L' asparagine a été remplacée par la phénylalanine.', 'La phénylalanine a été remplacée par l' asparagine.', 'L'acide aspartique a été remplacé par la phénylalanine.', 'La phénylalanine a été remplacée par de l'acide aspartique.']",2,"Question: Asp235Phe dans un rapport moléculaire indique que:

Choix: ['L' asparagine a été remplacée par la phénylalanine.', 'La phénylalanine a été remplacée par l' asparagine.', 'L'acide aspartique a été remplacé par la phénylalanine.', 'La phénylalanine a été remplacée par de l'acide aspartique.']

Réponse: L'acide aspartique a été remplacé par la phénylalanine."
Le risque d' anomalies chez l' enfant d' une mère atteinte de phénylcétonurie non traitée est:,medical_genetics,"['Pourcentage', 'Pourcentage', 'Pourcentage', 'Près de 100%']",3,"Question: Le risque d' anomalies chez l' enfant d' une mère atteinte de phénylcétonurie non traitée est:

Choix: ['Pourcentage', 'Pourcentage', 'Pourcentage', 'Près de 100%']

Réponse: Près de 100%"
Le saut d'exon est associé à:,medical_genetics,"['Des mutations dénuées de sens.', 'des mutations régulatrices.', 'Des mutations du traitement de l'ARN.', 'Des mutations silencieuses.']",2,"Question: Le saut d'exon est associé à:

Choix: ['Des mutations dénuées de sens.', 'des mutations régulatrices.', 'Des mutations du traitement de l'ARN.', 'Des mutations silencieuses.']

Réponse: Des mutations du traitement de l'ARN."
