question,subject,choices,answer,qa
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। शांति के बिना हमारी स्वतंत्रता का कोई मतलब नहीं है। हमारे देशों के पुनर्वास और उत्थान का बहुत कम अर्थ होगा। हमारी क्रांतियों को उनके पाठ्यक्रम को चलाने की अनुमति नहीं दी जाएगी हम क्या कर सकते हैं? हम बहुत कुछ कर सकते हैं! हम दुनिया के मामलों में तर्क की आवाज इंजेक्ट कर सकते हैं हम एशिया और अफ्रीका की सारी आध्यात्मिक, सारी नैतिक, सारी राजनीतिक शक्ति को शांति के पक्ष में जुटा सकते हैं। हाँ हम! हम एशिया और अफ्रीका के लोग इंडोनेशियाई नेता सुकर्णो बांडुंग सम्मेलन में मुख्य भाषण 1955 उपरोक्त वाक्यांश निम्नलिखित में से किस घटना के साथ सबसे अधिक जुड़ा हुआ है?",high_school_world_history,"['गुट निरपेक्ष आंदोलन का गठन', 'वैश्विक निरस्त्रीकरण और परमाणु अप्रसार', 'कृषि में हरित क्रांति', 'पैन-एशियाई विचारधारा की गतिशीलता']",0,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। शांति के बिना हमारी स्वतंत्रता का कोई मतलब नहीं है। हमारे देशों के पुनर्वास और उत्थान का बहुत कम अर्थ होगा। हमारी क्रांतियों को उनके पाठ्यक्रम को चलाने की अनुमति नहीं दी जाएगी हम क्या कर सकते हैं? हम बहुत कुछ कर सकते हैं! हम दुनिया के मामलों में तर्क की आवाज इंजेक्ट कर सकते हैं हम एशिया और अफ्रीका की सारी आध्यात्मिक, सारी नैतिक, सारी राजनीतिक शक्ति को शांति के पक्ष में जुटा सकते हैं। हाँ हम! हम एशिया और अफ्रीका के लोग इंडोनेशियाई नेता सुकर्णो बांडुंग सम्मेलन में मुख्य भाषण 1955 उपरोक्त वाक्यांश निम्नलिखित में से किस घटना के साथ सबसे अधिक जुड़ा हुआ है?

उत्तर विकल्प: ['गुट निरपेक्ष आंदोलन का गठन', 'वैश्विक निरस्त्रीकरण और परमाणु अप्रसार', 'कृषि में हरित क्रांति', 'पैन-एशियाई विचारधारा की गतिशीलता']

उत्तर: गुट निरपेक्ष आंदोलन का गठन"
यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। चीन पश्चिमी यूरोप में 1200 के दशक से लेकर 1400 के दशक तक प्रारम्भिक तोपें के रूप में भारी और के रूप में धीमी गति से आग के रूप में वे थे इस अवधि के दौरान युद्ध पर हावी होने वाली लंबी घेराबंदी में पर्याप्त उपयोगी साबित हुआ कि सरकारों ने उन्हें भुगतान करने के लिए पर्याप्त रूप से सार्थक पाया और प्रयोगों के लिए जो अंततः बारूद के हथियारों का उत्पादन करते थे जो दोनों अधिक शक्तिशाली और स्थानांतरित करने में आसान थे इसके विपरीत चीन विशेष रूप से 1300 के दशक के मध्य के बाद मुख्य रूप से अत्यधिक गतिशील स्टेप खानाबदोशों द्वारा धमकी दी गई थी जिनके खिलाफ प्रारंभिक बारूद हथियार अपनी कठिनाई के साथ बहुत कम उपयोगिता साबित हुई इसलिए इसने अपने प्रयासों को देश के सबसे घातक दुश्मन से प्रभावी ढंग से लड़ने के लिए घुड़सवार तीरंदाज इकाइयों के सुधार के लिए समर्पित किया। इस मार्ग में तर्क वैश्विक इतिहास के बारे में निम्नलिखित बड़े पैमाने पर प्रश्नों में से किससे सबसे अधिक निकटता से संबंधित है?,high_school_world_history,"['कैसे समाजों ने रणनीतिक रूप से महत्वपूर्ण प्रौद्योगिकियों को एक दूसरे के साथ साझा किया', 'क्यों यूरोपीय राज्यों ने आधुनिक युग में गैर-पश्चिमी शक्तियों पर सैन्य श्रेष्ठता हासिल की', '1500 ई. के बाद यूरेशिया की चौड़ाई में सिल्क रोड का व्यापार क्यों कम हो गया?', 'मध्ययुगीन जलवायु इष्टतम ने सांस्कृतिक प्रसार की प्रक्रिया को कैसे प्रभावित किया']",1,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। चीन पश्चिमी यूरोप में 1200 के दशक से लेकर 1400 के दशक तक प्रारम्भिक तोपें के रूप में भारी और के रूप में धीमी गति से आग के रूप में वे थे इस अवधि के दौरान युद्ध पर हावी होने वाली लंबी घेराबंदी में पर्याप्त उपयोगी साबित हुआ कि सरकारों ने उन्हें भुगतान करने के लिए पर्याप्त रूप से सार्थक पाया और प्रयोगों के लिए जो अंततः बारूद के हथियारों का उत्पादन करते थे जो दोनों अधिक शक्तिशाली और स्थानांतरित करने में आसान थे इसके विपरीत चीन विशेष रूप से 1300 के दशक के मध्य के बाद मुख्य रूप से अत्यधिक गतिशील स्टेप खानाबदोशों द्वारा धमकी दी गई थी जिनके खिलाफ प्रारंभिक बारूद हथियार अपनी कठिनाई के साथ बहुत कम उपयोगिता साबित हुई इसलिए इसने अपने प्रयासों को देश के सबसे घातक दुश्मन से प्रभावी ढंग से लड़ने के लिए घुड़सवार तीरंदाज इकाइयों के सुधार के लिए समर्पित किया। इस मार्ग में तर्क वैश्विक इतिहास के बारे में निम्नलिखित बड़े पैमाने पर प्रश्नों में से किससे सबसे अधिक निकटता से संबंधित है?

उत्तर विकल्प: ['कैसे समाजों ने रणनीतिक रूप से महत्वपूर्ण प्रौद्योगिकियों को एक दूसरे के साथ साझा किया', 'क्यों यूरोपीय राज्यों ने आधुनिक युग में गैर-पश्चिमी शक्तियों पर सैन्य श्रेष्ठता हासिल की', '1500 ई. के बाद यूरेशिया की चौड़ाई में सिल्क रोड का व्यापार क्यों कम हो गया?', 'मध्ययुगीन जलवायु इष्टतम ने सांस्कृतिक प्रसार की प्रक्रिया को कैसे प्रभावित किया']

उत्तर: क्यों यूरोपीय राज्यों ने आधुनिक युग में गैर-पश्चिमी शक्तियों पर सैन्य श्रेष्ठता हासिल की"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। घाना शहर में दो शहर शामिल हैं एक मुस्लिमों द्वारा बसा हुआ है और इसमें बारह मस्जिदें, वेतनभोगी इमाम और मुअज्ज़िन, और न्यायविद और विद्वान हैं जिसमें से वे पीते है और जिससे वे वनस्पति उगाते है, राजा के दुभाषियों, उसके खजाने के प्रभारी अधिकारी और उसके मंत्रियों के बहुमत मुस्लिम हैं केवल रॉयल्टी ही सिले हुए कपड़े पहन सकती है बाकी सब लोग अपनी सामर्थ्य के अनुसार कपास, रेशम या ब्रोकेड के वस्त्र पहनते हैं राजा अपनी गर्दन पर हार और हाथों पर कंगन पहनकर स्त्री की तरह सजता है। वह बैठता है एक गुंबददार मंडप में जिसके चारों ओर दस घोड़े खड़े हैं जब राजा के समान धर्म के लोग उसके पास आते हैं तो वे अपने घुटनों पर गिर जाते हैं और अपने सिर पर धूल छिड़कते हैं, क्योंकि यह उनका अभिवादन करने का तरीका है मुसलमानों के रूप में, वे केवल ताली बजाते हुए उसे सलाम करते हैं उनका धर्म मूर्तिपूजा और मूर्तियों की पूजा है नमक के हर गधे के भार पर जब यह देश में लाया जाता है तो उनका राजा एक स्वर्ण दीनार वसूलता है, और जब इसे बाहर भेजा जाता है तो दो दीनार तांबे के एक लोड से राजा का हक़ पाँच मीतक़ल है, और अन्य वस्तुओं के एक लोड से दस मीतक़ल अपने देश की सभी खदानों में पाए जाने वाले नगेट्स राजा के लिए आरक्षित हैं, केवल यह सोने की धूल लोगों के लिए छोड़ी जा रही है लेकिन इसके लिए लोग सोने को तब तक संचित करते रहे जब तक उसका मूल्य समाप्त न हो जाए। इस देश के परे एक और देश है जिसका नाम मलल है, जिसका राजा ईमानदारी से इस्लाम से जुड़ा हुआ था, जबकि उसके राज्य के आम लोग बहुदेववादी बने रहे तब से उनके शासकों को अल-मुस्लमानी की उपाधि दी गई है। अबू उबेदल्लाह अल-बकरी द्वारा ग्यारहवीं सदी के मुस्लिम इतिहासकार और भूगोलविद क्या सबूत है वहाँ मार्ग में है कि घानी लगे हुए थे प्रत्यक्ष या अप्रत्यक्ष रूप से एशिया के साथ व्यापार में?",high_school_world_history,"['वे अपने दरबार में घोड़े रखते थे, जो मंगोलों से आए होंगे।', 'घाना के राजा ने को-टो की चीनी परंपरा को अपनाया था ।', 'राजा ने खुद को सोने और गहने से सजाया, शायद भारत से।', 'उनके दरबार के लोग रेशमी वस्त्र पहनते थे।']",3,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। घाना शहर में दो शहर शामिल हैं एक मुस्लिमों द्वारा बसा हुआ है और इसमें बारह मस्जिदें, वेतनभोगी इमाम और मुअज्ज़िन, और न्यायविद और विद्वान हैं जिसमें से वे पीते है और जिससे वे वनस्पति उगाते है, राजा के दुभाषियों, उसके खजाने के प्रभारी अधिकारी और उसके मंत्रियों के बहुमत मुस्लिम हैं केवल रॉयल्टी ही सिले हुए कपड़े पहन सकती है बाकी सब लोग अपनी सामर्थ्य के अनुसार कपास, रेशम या ब्रोकेड के वस्त्र पहनते हैं राजा अपनी गर्दन पर हार और हाथों पर कंगन पहनकर स्त्री की तरह सजता है। वह बैठता है एक गुंबददार मंडप में जिसके चारों ओर दस घोड़े खड़े हैं जब राजा के समान धर्म के लोग उसके पास आते हैं तो वे अपने घुटनों पर गिर जाते हैं और अपने सिर पर धूल छिड़कते हैं, क्योंकि यह उनका अभिवादन करने का तरीका है मुसलमानों के रूप में, वे केवल ताली बजाते हुए उसे सलाम करते हैं उनका धर्म मूर्तिपूजा और मूर्तियों की पूजा है नमक के हर गधे के भार पर जब यह देश में लाया जाता है तो उनका राजा एक स्वर्ण दीनार वसूलता है, और जब इसे बाहर भेजा जाता है तो दो दीनार तांबे के एक लोड से राजा का हक़ पाँच मीतक़ल है, और अन्य वस्तुओं के एक लोड से दस मीतक़ल अपने देश की सभी खदानों में पाए जाने वाले नगेट्स राजा के लिए आरक्षित हैं, केवल यह सोने की धूल लोगों के लिए छोड़ी जा रही है लेकिन इसके लिए लोग सोने को तब तक संचित करते रहे जब तक उसका मूल्य समाप्त न हो जाए। इस देश के परे एक और देश है जिसका नाम मलल है, जिसका राजा ईमानदारी से इस्लाम से जुड़ा हुआ था, जबकि उसके राज्य के आम लोग बहुदेववादी बने रहे तब से उनके शासकों को अल-मुस्लमानी की उपाधि दी गई है। अबू उबेदल्लाह अल-बकरी द्वारा ग्यारहवीं सदी के मुस्लिम इतिहासकार और भूगोलविद क्या सबूत है वहाँ मार्ग में है कि घानी लगे हुए थे प्रत्यक्ष या अप्रत्यक्ष रूप से एशिया के साथ व्यापार में?

उत्तर विकल्प: ['वे अपने दरबार में घोड़े रखते थे, जो मंगोलों से आए होंगे।', 'घाना के राजा ने को-टो की चीनी परंपरा को अपनाया था ।', 'राजा ने खुद को सोने और गहने से सजाया, शायद भारत से।', 'उनके दरबार के लोग रेशमी वस्त्र पहनते थे।']

उत्तर: उनके दरबार के लोग रेशमी वस्त्र पहनते थे।"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। शांति के बिना हमारी स्वतंत्रता का कोई मतलब नहीं है। हमारे देशों के पुनर्वास और उत्थान का बहुत कम अर्थ होगा। हमारी क्रांतियों को उनके पाठ्यक्रम को चलाने की अनुमति नहीं दी जाएगी हम क्या कर सकते हैं? हम बहुत कुछ कर सकते हैं! हम दुनिया के मामलों में तर्क की आवाज इंजेक्ट कर सकते हैं हम एशिया और अफ्रीका की सारी आध्यात्मिक, सारी नैतिक, सारी राजनीतिक शक्ति को शांति के पक्ष में जुटा सकते हैं। हाँ हम! हम एशिया और अफ्रीका के लोग इंडोनेशियाई नेता सुकर्णो बांडुंग सम्मेलन में मुख्य भाषण 1955 अफ्रीका में कई अन्य नेताओं की तरह एशिया और मध्य पूर्व सुकर्णो ने कोशिश की लेकिन पूरी तरह सफल नहीं हुआ के दौरान एक तटस्थ रुख बनाए रखने में",high_school_world_history,"['अरब-इजरायल संघर्ष।', 'कोरियाई युद्ध।', 'शीत युद्ध।', 'वियतनाम संघर्ष।']",2,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। शांति के बिना हमारी स्वतंत्रता का कोई मतलब नहीं है। हमारे देशों के पुनर्वास और उत्थान का बहुत कम अर्थ होगा। हमारी क्रांतियों को उनके पाठ्यक्रम को चलाने की अनुमति नहीं दी जाएगी हम क्या कर सकते हैं? हम बहुत कुछ कर सकते हैं! हम दुनिया के मामलों में तर्क की आवाज इंजेक्ट कर सकते हैं हम एशिया और अफ्रीका की सारी आध्यात्मिक, सारी नैतिक, सारी राजनीतिक शक्ति को शांति के पक्ष में जुटा सकते हैं। हाँ हम! हम एशिया और अफ्रीका के लोग इंडोनेशियाई नेता सुकर्णो बांडुंग सम्मेलन में मुख्य भाषण 1955 अफ्रीका में कई अन्य नेताओं की तरह एशिया और मध्य पूर्व सुकर्णो ने कोशिश की लेकिन पूरी तरह सफल नहीं हुआ के दौरान एक तटस्थ रुख बनाए रखने में

उत्तर विकल्प: ['अरब-इजरायल संघर्ष।', 'कोरियाई युद्ध।', 'शीत युद्ध।', 'वियतनाम संघर्ष।']

उत्तर: शीत युद्ध।"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. बोनस्टील का मुख्य विचार एक आत्मसमर्पण क्षेत्र स्थापित करना था जहाँ तक उत्तर में वह सोचता था कि सोवियत स्वीकार करेंगे वह जानता था कि रूसी सैनिक अमेरिकी सैनिकों के आने से पहले कोरिया के दक्षिणी सिरे तक पहुँच सकते हैं वह यह भी जानता था कि रूसियों कोरिया में स्थानांतरित करने के कगार पर थे, या पहले से ही वहाँ थे कोरिया के निकटतम अमेरिकी सैनिक 600 मील दूर ओकिनावा पर थे इसलिए, उनकी समस्या एक ऐसे आत्मसमर्पण समझौते को तैयार करना था, जो रूसियों के लिए स्वीकार्य हो, लेकिन साथ ही उन्हें पूरे कोरिया पर कब्जा करने से रोक दे। यदि वे उत्तर कोरिया तक अपनी अग्रिम को सीमित करने से इनकार करते हैं, तो संयुक्त राज्य अमेरिका उन्हें रोकने में असमर्थ होगा उन्होंने 38 वें समानांतर का उपयोग उन क्षेत्रों को विभाजित करने वाली एक काल्पनिक रेखा के रूप में करने का फैसला किया जिसके भीतर कोरिया में जापानी बल नियुक्त अमेरिकी और रूसी अधिकारियों को आत्मसमर्पण करेंगे। सेना लेफ्टिनेंट पॉल सी 1940 के दशक में कर्नल बोनस्टील के फैसले के बारे में मैकग्राथ का विवरण यहाँ दर्शाई गई घटनाओं ने कोरियाई लोगों को कैसे प्रभावित किया?",high_school_world_history,"['वे जापान के क्षेत्र का हिस्सा बन गए।', 'अमेरिकियों ने सभी कोरियाई लोगों के लिए स्वतंत्रता स्थापित की।', 'कोरियाई अर्थव्यवस्था कभी ठीक नहीं हुई।', 'कोरिया 38 वें समांतर रेखा के पास दो देशों में विभाजित है।']",3,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. बोनस्टील का मुख्य विचार एक आत्मसमर्पण क्षेत्र स्थापित करना था जहाँ तक उत्तर में वह सोचता था कि सोवियत स्वीकार करेंगे वह जानता था कि रूसी सैनिक अमेरिकी सैनिकों के आने से पहले कोरिया के दक्षिणी सिरे तक पहुँच सकते हैं वह यह भी जानता था कि रूसियों कोरिया में स्थानांतरित करने के कगार पर थे, या पहले से ही वहाँ थे कोरिया के निकटतम अमेरिकी सैनिक 600 मील दूर ओकिनावा पर थे इसलिए, उनकी समस्या एक ऐसे आत्मसमर्पण समझौते को तैयार करना था, जो रूसियों के लिए स्वीकार्य हो, लेकिन साथ ही उन्हें पूरे कोरिया पर कब्जा करने से रोक दे। यदि वे उत्तर कोरिया तक अपनी अग्रिम को सीमित करने से इनकार करते हैं, तो संयुक्त राज्य अमेरिका उन्हें रोकने में असमर्थ होगा उन्होंने 38 वें समानांतर का उपयोग उन क्षेत्रों को विभाजित करने वाली एक काल्पनिक रेखा के रूप में करने का फैसला किया जिसके भीतर कोरिया में जापानी बल नियुक्त अमेरिकी और रूसी अधिकारियों को आत्मसमर्पण करेंगे। सेना लेफ्टिनेंट पॉल सी 1940 के दशक में कर्नल बोनस्टील के फैसले के बारे में मैकग्राथ का विवरण यहाँ दर्शाई गई घटनाओं ने कोरियाई लोगों को कैसे प्रभावित किया?

उत्तर विकल्प: ['वे जापान के क्षेत्र का हिस्सा बन गए।', 'अमेरिकियों ने सभी कोरियाई लोगों के लिए स्वतंत्रता स्थापित की।', 'कोरियाई अर्थव्यवस्था कभी ठीक नहीं हुई।', 'कोरिया 38 वें समांतर रेखा के पास दो देशों में विभाजित है।']

उत्तर: कोरिया 38 वें समांतर रेखा के पास दो देशों में विभाजित है।"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। नीचे दिए गए दोनों लेखक फ्रांसीसी क्रांति के बारे में बात कर रहे थे। यह सबसे अच्छा समय था यह सबसे बुरा समय था यह ज्ञान का युग था यह मूर्खता का युग था यह विश्वास का युग था यह अविश्वास का युग था यह प्रकाश का मौसम था यह अंधेरे का मौसम था यह आशा का वसंत था यह निराशा की सर्दी थी हमारे सामने सब कुछ था हमारे सामने कुछ भी नहीं था हम सब सीधे स्वर्ग जा रहे थे हम सब सीधे दूसरी तरफ जा रहे थे  संक्षेप में अवधि अब तक वर्तमान अवधि की तरह थी कि इसके कुछ सबसे शोर-शराबा करने वाले अधिकारियों ने इसे प्राप्त करने पर जोर दिया अच्छे के लिए या बुरे के लिए वहाँ एक बड़े जबड़े के साथ एक राजा था और एक सादे चेहरे के साथ एक रानी इंग्लैंड के सिंहासन पर; वहाँ एक बड़े जबड़े के साथ एक राजा और एक सुंदर चेहरे के साथ एक रानी थे फ्रांस के सिंहासन पर दोनों देशों में यह क्रिस्टल से अधिक स्पष्ट था कि सामान्य तौर पर चीजें हमेशा के लिए तय हो गई थीं। दो शहरों की एक कहानी, चार्ल्स डिकेंस द्वारा सुख उस सुबह में जीवित रहने के लिए था लेकिन युवा होना बहुत स्वर्ग था। विलियम वर्ड्सवर्थ द्वारा डिकेंस और वर्ड्सवर्थ के फ्रांसीसी क्रांति के बारे में अलग-अलग विचारों का वर्णन किया जा सकता है क्रमशः निम्नलिखित विशेषणों में से किसके द्वारा?",high_school_world_history,"['आशावादी, प्रोत्साहित', 'समझना, स्वीकार करना', 'निंदक, उत्साही', 'ईमानदारी से, इस्तीफा दे दिया']",2,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। नीचे दिए गए दोनों लेखक फ्रांसीसी क्रांति के बारे में बात कर रहे थे। यह सबसे अच्छा समय था यह सबसे बुरा समय था यह ज्ञान का युग था यह मूर्खता का युग था यह विश्वास का युग था यह अविश्वास का युग था यह प्रकाश का मौसम था यह अंधेरे का मौसम था यह आशा का वसंत था यह निराशा की सर्दी थी हमारे सामने सब कुछ था हमारे सामने कुछ भी नहीं था हम सब सीधे स्वर्ग जा रहे थे हम सब सीधे दूसरी तरफ जा रहे थे  संक्षेप में अवधि अब तक वर्तमान अवधि की तरह थी कि इसके कुछ सबसे शोर-शराबा करने वाले अधिकारियों ने इसे प्राप्त करने पर जोर दिया अच्छे के लिए या बुरे के लिए वहाँ एक बड़े जबड़े के साथ एक राजा था और एक सादे चेहरे के साथ एक रानी इंग्लैंड के सिंहासन पर; वहाँ एक बड़े जबड़े के साथ एक राजा और एक सुंदर चेहरे के साथ एक रानी थे फ्रांस के सिंहासन पर दोनों देशों में यह क्रिस्टल से अधिक स्पष्ट था कि सामान्य तौर पर चीजें हमेशा के लिए तय हो गई थीं। दो शहरों की एक कहानी, चार्ल्स डिकेंस द्वारा सुख उस सुबह में जीवित रहने के लिए था लेकिन युवा होना बहुत स्वर्ग था। विलियम वर्ड्सवर्थ द्वारा डिकेंस और वर्ड्सवर्थ के फ्रांसीसी क्रांति के बारे में अलग-अलग विचारों का वर्णन किया जा सकता है क्रमशः निम्नलिखित विशेषणों में से किसके द्वारा?

उत्तर विकल्प: ['आशावादी, प्रोत्साहित', 'समझना, स्वीकार करना', 'निंदक, उत्साही', 'ईमानदारी से, इस्तीफा दे दिया']

उत्तर: निंदक, उत्साही"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. नारी, जाग जा; पूरे ब्रह्मांड में तर्क की घंटी सुनाई दे रही है; अपने अधिकारों की खोज करें दास मनुष्य की शक्ति बढ़ जाती है, परन्तु जब वह स्वतंत्र हो जाता है, तो वह अपने साथी पर अत्याचार करता है; ओह, महिलाओं, महिलाओं! आप कब अंधा होना बंद कर देंगे? क्या लाभ आप क्रांति से प्राप्त किया है? एक और अधिक स्पष्ट उपहास, एक और अधिक स्पष्ट अवमानना यदि हमारे नेता दृढ़ रहते हैं, तो साहसपूर्वक तर्क की शक्ति का उनके श्रेष्ठता के खाली दावों का विरोध करें इससे कोई फर्क नहीं पड़ता कि आप किन बाधाओं का सामना करते हैं यह अपने आप को मुक्त करने के लिए आपकी शक्ति में है! Olympe de Gouges ""महिला और महिला नागरिक के अधिकारों की घोषणा "" 1791 आजादी? मैंने जो आशा की थी, उसमें से कुछ भी हासिल नहीं हुआ। मुझे उम्मीद थी कि मेरे बच्चों को शिक्षा मिलेगी, लेकिन उन्हें यह नहीं मिली हम गरीब किसान थे तब, हम गरीब किसान हैं अब कुछ भी नहीं बदला है सब कुछ एक ही है केवल बात यह है कि हम स्वतंत्र हैं युद्ध समाप्त हो गया है हम बिना किसी डर के काम करते हैं, लेकिन इसके अलावा कुछ भी नहीं बदला है। 1970 के दशक में साक्षात्कार अल्जीरिया के स्वतंत्रता युद्ध के बाद क्रांतियों और लिंग के बारे में निम्नलिखित में से कौन सी टिप्पणियां पहले मार्ग द्वारा सबसे अच्छी तरह से समर्थित हैं?",high_school_world_history,"['क्रांतिकारी प्रगतिवाद हमेशा लैंगिक समानता से संबंधित नहीं होता है।', 'महिलाएं आम तौर पर क्रांति के समय में नेतृत्व की भूमिका निभाती हैं।', 'महिलाएं शायद ही कभी क्रांतियों का समर्थन करती हैं और इसलिए उन्हें उनसे बहुत कम लाभ मिलता है।', 'क्रांतिकारी आंदोलनों को आम तौर पर महिलाओं के अधिकारों में कोई दिलचस्पी नहीं है।']",0,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. नारी, जाग जा; पूरे ब्रह्मांड में तर्क की घंटी सुनाई दे रही है; अपने अधिकारों की खोज करें दास मनुष्य की शक्ति बढ़ जाती है, परन्तु जब वह स्वतंत्र हो जाता है, तो वह अपने साथी पर अत्याचार करता है; ओह, महिलाओं, महिलाओं! आप कब अंधा होना बंद कर देंगे? क्या लाभ आप क्रांति से प्राप्त किया है? एक और अधिक स्पष्ट उपहास, एक और अधिक स्पष्ट अवमानना यदि हमारे नेता दृढ़ रहते हैं, तो साहसपूर्वक तर्क की शक्ति का उनके श्रेष्ठता के खाली दावों का विरोध करें इससे कोई फर्क नहीं पड़ता कि आप किन बाधाओं का सामना करते हैं यह अपने आप को मुक्त करने के लिए आपकी शक्ति में है! Olympe de Gouges ""महिला और महिला नागरिक के अधिकारों की घोषणा "" 1791 आजादी? मैंने जो आशा की थी, उसमें से कुछ भी हासिल नहीं हुआ। मुझे उम्मीद थी कि मेरे बच्चों को शिक्षा मिलेगी, लेकिन उन्हें यह नहीं मिली हम गरीब किसान थे तब, हम गरीब किसान हैं अब कुछ भी नहीं बदला है सब कुछ एक ही है केवल बात यह है कि हम स्वतंत्र हैं युद्ध समाप्त हो गया है हम बिना किसी डर के काम करते हैं, लेकिन इसके अलावा कुछ भी नहीं बदला है। 1970 के दशक में साक्षात्कार अल्जीरिया के स्वतंत्रता युद्ध के बाद क्रांतियों और लिंग के बारे में निम्नलिखित में से कौन सी टिप्पणियां पहले मार्ग द्वारा सबसे अच्छी तरह से समर्थित हैं?

उत्तर विकल्प: ['क्रांतिकारी प्रगतिवाद हमेशा लैंगिक समानता से संबंधित नहीं होता है।', 'महिलाएं आम तौर पर क्रांति के समय में नेतृत्व की भूमिका निभाती हैं।', 'महिलाएं शायद ही कभी क्रांतियों का समर्थन करती हैं और इसलिए उन्हें उनसे बहुत कम लाभ मिलता है।', 'क्रांतिकारी आंदोलनों को आम तौर पर महिलाओं के अधिकारों में कोई दिलचस्पी नहीं है।']

उत्तर: क्रांतिकारी प्रगतिवाद हमेशा लैंगिक समानता से संबंधित नहीं होता है।"
