good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.18273070696168375,1693,9265,6530,4428,7,218103808
0.0001,1,layers.1,0.24191259931895573,1705,7048,5207,3546,7,218103808
0.0001,1,layers.10,0.3665074095068427,4526,12349,9838,7037,7,218103808
0.0001,1,layers.11,0.38340683572216094,4173,10884,8809,6248,7,218103808
0.0001,1,layers.12,0.3120052156095744,3350,10737,8413,5674,7,218103808
0.0001,1,layers.13,0.36263128800442235,3936,10854,8493,6297,7,218103808
0.0001,1,layers.14,0.2573155985489722,3192,12405,8763,6834,7,218103808
0.0001,1,layers.15,0.3616823220783617,4274,11817,8871,7220,7,218103808
0.0001,1,layers.16,0.3288327952255161,3361,10221,7263,6319,7,218103808
0.0001,1,layers.17,0.2937794040773654,3372,11478,8679,6171,7,218103808
0.0001,1,layers.18,0.28277823653546197,3082,10899,8422,5559,7,218103808
0.0001,1,layers.19,0.38792363792363793,3617,9324,7530,5411,7,218103808
0.0001,1,layers.2,0.19754944110060188,1838,9304,7122,4020,7,218103808
0.0001,1,layers.20,0.38813445054415874,4030,10383,8650,5763,7,218103808
0.0001,1,layers.21,0.31855555555555554,2867,9000,6919,4948,7,218103808
0.0001,1,layers.22,0.3041366750498656,3507,11531,8589,6449,7,218103808
0.0001,1,layers.23,0.27826245001817523,3062,11004,7369,6697,7,218103808
0.0001,1,layers.24,0.24012826385707742,2621,10915,6847,6689,7,218103808
0.0001,1,layers.25,0.1780821917808219,2067,11607,7414,6260,7,218103808
0.0001,1,layers.26,0.20365659777424483,2562,12580,8660,6482,7,218103808
0.0001,1,layers.27,0.1476042549185729,1568,10623,6090,6101,7,218103808
0.0001,1,layers.28,0.19200070947144376,2165,11276,7041,6400,7,218103808
0.0001,1,layers.29,0.11524520255863539,1081,9380,5386,5075,7,218103808
0.0001,1,layers.3,0.2692144373673036,2536,9420,7604,4352,7,218103808
0.0001,1,layers.30,0.16405228758169935,1506,9180,5326,5360,7,218103808
0.0001,1,layers.31,0.1799312062626023,1517,8431,5440,4508,7,218103808
0.0001,1,layers.4,0.24098953025108866,2601,10793,7942,5452,7,218103808
0.0001,1,layers.5,0.2518356059883666,2641,10487,7798,5330,7,218103808
0.0001,1,layers.6,0.2609939220593493,2920,11188,8416,5692,7,218103808
0.0001,1,layers.7,0.4131424315153521,4992,12083,9424,7651,7,218103808
0.0001,1,layers.8,0.38110719768807005,4220,11073,8521,6772,7,218103808
0.0001,1,layers.9,0.40911713791113674,4963,12131,10238,6856,7,218103808
0.0001,1,lm_head,0.0027669270833333335,34,12288,3558,8764,1,525336576
0.001,1,layers.0,0.20222997915672636,16106,79642,58895,36853,7,218103808
0.001,1,layers.1,0.27864059236757166,22014,79005,51222,49797,7,218103808
0.001,1,layers.10,0.37408506983344536,40069,107112,84441,62740,7,218103808
0.001,1,layers.11,0.38029341275332673,37924,99723,77311,60336,7,218103808
0.001,1,layers.12,0.3484856515885552,32873,94331,72309,54895,7,218103808
0.001,1,layers.13,0.38426044603947707,37475,97525,74476,60524,7,218103808
0.001,1,layers.14,0.27260325881015535,25179,92365,64519,53025,7,218103808
0.001,1,layers.15,0.2806371391695785,26745,95301,66675,55371,7,218103808
0.001,1,layers.16,0.2687245107135921,24907,92686,63060,54533,7,218103808
0.001,1,layers.17,0.2737463188021071,26399,96436,67904,54931,7,218103808
0.001,1,layers.18,0.21861114387951713,22238,101724,66503,57459,7,218103808
0.001,1,layers.19,0.27716322990942377,28764,103780,68012,64532,7,218103808
0.001,1,layers.2,0.21049794371071096,24210,115013,68970,70253,7,218103808
0.001,1,layers.20,0.2439362910192078,25133,103031,68623,59541,7,218103808
0.001,1,layers.21,0.2730049032039902,25835,94632,63623,56844,7,218103808
0.001,1,layers.22,0.24369747899159663,24940,102340,68172,59108,7,218103808
0.001,1,layers.23,0.2193384510118194,23401,106689,71423,58667,7,218103808
0.001,1,layers.24,0.16687021619757045,17899,107263,69187,55975,7,218103808
0.001,1,layers.25,0.18716986909591976,19560,104504,67754,56310,7,218103808
0.001,1,layers.26,0.18749463851689463,19671,104915,64128,60458,7,218103808
0.001,1,layers.27,0.1616790899953226,16246,100483,57903,58826,7,218103808
0.001,1,layers.28,0.1901891275978263,19529,102682,59824,62387,7,218103808
0.001,1,layers.29,0.14245878782908225,13896,97544,59706,51734,7,218103808
0.001,1,layers.3,0.22641048756667417,24110,106488,71983,58615,7,218103808
0.001,1,layers.30,0.10375050745833637,9967,96067,58752,47282,7,218103808
0.001,1,layers.31,0.1564892623716153,14246,91035,55766,49515,7,218103808
0.001,1,layers.4,0.25726632677834427,26492,102975,76868,52599,7,218103808
0.001,1,layers.5,0.29415795785506255,30906,105066,76738,59234,7,218103808
0.001,1,layers.6,0.3273819077922446,34674,105913,79635,60952,7,218103808
0.001,1,layers.7,0.38910455996531745,39491,101492,75920,65063,7,218103808
0.001,1,layers.8,0.42103475602852936,40909,97163,72191,65881,7,218103808
0.001,1,layers.9,0.4428779918272037,45519,102780,81137,67162,7,218103808
0.001,1,lm_head,0.06811992258572935,5878,86289,55703,36464,1,525336576
0.01,1,layers.0,0.12873279205678556,124830,969683,454000,640513,7,218103808
0.01,1,layers.1,0.18090467825648332,163540,904012,537300,530252,7,218103808
0.01,1,layers.10,0.3299420843114287,353495,1071385,748496,676384,7,218103808
0.01,1,layers.11,0.3152159463165017,317732,1007982,698931,626783,7,218103808
0.01,1,layers.12,0.29524269933237196,286430,970151,687092,569489,7,218103808
0.01,1,layers.13,0.33460165063583613,305850,914072,683151,536771,7,218103808
0.01,1,layers.14,0.26706769868978386,223138,835511,615255,443394,7,218103808
0.01,1,layers.15,0.26122438451626506,232933,891697,638413,486217,7,218103808
0.01,1,layers.16,0.2506394864836703,223699,892513,641807,474405,7,218103808
0.01,1,layers.17,0.2684727134058747,256970,957155,676722,537403,7,218103808
0.01,1,layers.18,0.23652133122105432,233952,989137,689254,533835,7,218103808
0.01,1,layers.19,0.25246677684886293,250980,994111,669036,576055,7,218103808
0.01,1,layers.2,0.2531401789714841,219772,868183,681748,406207,7,218103808
0.01,1,layers.20,0.2100597729375018,202564,964316,610100,556780,7,218103808
0.01,1,layers.21,0.23355453185406821,220745,945154,603419,562480,7,218103808
0.01,1,layers.22,0.2228321617266795,213112,956379,595545,573946,7,218103808
0.01,1,layers.23,0.20643895509362623,190660,923566,571431,542795,7,218103808
0.01,1,layers.24,0.16472133821605947,142184,863179,536722,468641,7,218103808
0.01,1,layers.25,0.18262394381022554,152678,836024,541873,446829,7,218103808
0.01,1,layers.26,0.1479905602620078,139717,944094,573370,510441,7,218103808
0.01,1,layers.27,0.14150482823364113,135358,956561,561627,530292,7,218103808
