question,subject,choices,answer,qa
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। इस व्याख्यान के शीर्षक को सामान्यतः समझने योग्य बनाने के लिए मैंने ""प्रोटोप्लाज्म"" शब्द का अनुवाद किया है "" जो उस पदार्थ का वैज्ञानिक नाम है जिसके बारे में मैं बात करने वाला हूँ ""जीवन के भौतिक आधार"" शब्दों से. मुझे लगता है कि बहुतों के लिए विचार है कि वहाँ इस तरह के एक भौतिक आधार के रूप में एक बात है या पदार्थ जीवन की अवधारणा इतनी व्यापक रूप से फैली हुई है कि जीवन की अवधारणा कुछ ऐसी है जो पदार्थ के माध्यम से काम करती है ... इस प्रकार जीवन की बात जहाँ तक हम जानते हैं (और हमें किसी अन्य पर अटकलें लगाने का कोई अधिकार नहीं है) टूट जाता है उस निरंतर मृत्यु के परिणाम के रूप में जो इसकी प्रकट होने वाली जीवन शक्ति की शर्त है कार्बनिक अम्ल में जल और नाइट्रोजनयुक्त यौगिक जो निश्चित रूप से सामान्य पदार्थ के गुणों के अलावा कोई गुण नहीं रखते हैं। थॉमस हेनरी हक्सले ""जीवन का भौतिक आधार "" 1868 मार्ग से एक निष्कर्ष निकाला जा सकता है कि हक्सले ने तर्क दिया कि ""जीवन"" था",high_school_european_history,"['एक बल जो पदार्थ के माध्यम से कार्य करता है', 'मूलतः एक दार्शनिक धारणा', 'केवल एक निश्चित प्रकार के पदार्थ का एक गुण', 'एक अलौकिक घटना']",2,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। इस व्याख्यान के शीर्षक को सामान्यतः समझने योग्य बनाने के लिए मैंने ""प्रोटोप्लाज्म"" शब्द का अनुवाद किया है "" जो उस पदार्थ का वैज्ञानिक नाम है जिसके बारे में मैं बात करने वाला हूँ ""जीवन के भौतिक आधार"" शब्दों से. मुझे लगता है कि बहुतों के लिए विचार है कि वहाँ इस तरह के एक भौतिक आधार के रूप में एक बात है या पदार्थ जीवन की अवधारणा इतनी व्यापक रूप से फैली हुई है कि जीवन की अवधारणा कुछ ऐसी है जो पदार्थ के माध्यम से काम करती है ... इस प्रकार जीवन की बात जहाँ तक हम जानते हैं (और हमें किसी अन्य पर अटकलें लगाने का कोई अधिकार नहीं है) टूट जाता है उस निरंतर मृत्यु के परिणाम के रूप में जो इसकी प्रकट होने वाली जीवन शक्ति की शर्त है कार्बनिक अम्ल में जल और नाइट्रोजनयुक्त यौगिक जो निश्चित रूप से सामान्य पदार्थ के गुणों के अलावा कोई गुण नहीं रखते हैं। थॉमस हेनरी हक्सले ""जीवन का भौतिक आधार "" 1868 मार्ग से एक निष्कर्ष निकाला जा सकता है कि हक्सले ने तर्क दिया कि ""जीवन"" था

उत्तर विकल्प: ['एक बल जो पदार्थ के माध्यम से कार्य करता है', 'मूलतः एक दार्शनिक धारणा', 'केवल एक निश्चित प्रकार के पदार्थ का एक गुण', 'एक अलौकिक घटना']

उत्तर: केवल एक निश्चित प्रकार के पदार्थ का एक गुण"
यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. प्रश्नों के उत्तर देने के लिए निम्नलिखित उद्धरण पढ़ें. रोमन दुनिया में प्रचलित पूजा के विभिन्न तरीकों को लोगों द्वारा समान रूप से सच माना जाता था; दार्शनिक द्वारा समान रूप से गलत; और मजिस्ट्रेट द्वारा समान रूप से उपयोगी। एडवर्ड गिब्बन रोमन साम्राज्य का पतन 17761788 प्राचीन रोम में धार्मिक उपासना की स्थिति की गिब्बन की व्याख्या को इस प्रकार संक्षेप में प्रस्तुत किया जा सकता है,high_school_european_history,"['प्राचीन रोम में, धार्मिक उपासना विकेन्द्रीकृत थी और सामाजिक स्थिति के अनुसार भिन्न होती थी।', 'प्राचीन रोम में, धार्मिक उपासना बहुत सामाजिक तनाव और उथल-पुथल का स्रोत थी।', 'प्राचीन रोम में, धार्मिक उपासना एकसमान और अत्यधिक केंद्रीकृत थी।', 'प्राचीन रोम में, ईसाई धर्म की शुरूआत से धार्मिक उपासना में क्रांतिकारी बदलाव आया।']",0,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. प्रश्नों के उत्तर देने के लिए निम्नलिखित उद्धरण पढ़ें. रोमन दुनिया में प्रचलित पूजा के विभिन्न तरीकों को लोगों द्वारा समान रूप से सच माना जाता था; दार्शनिक द्वारा समान रूप से गलत; और मजिस्ट्रेट द्वारा समान रूप से उपयोगी। एडवर्ड गिब्बन रोमन साम्राज्य का पतन 17761788 प्राचीन रोम में धार्मिक उपासना की स्थिति की गिब्बन की व्याख्या को इस प्रकार संक्षेप में प्रस्तुत किया जा सकता है

उत्तर विकल्प: ['प्राचीन रोम में, धार्मिक उपासना विकेन्द्रीकृत थी और सामाजिक स्थिति के अनुसार भिन्न होती थी।', 'प्राचीन रोम में, धार्मिक उपासना बहुत सामाजिक तनाव और उथल-पुथल का स्रोत थी।', 'प्राचीन रोम में, धार्मिक उपासना एकसमान और अत्यधिक केंद्रीकृत थी।', 'प्राचीन रोम में, ईसाई धर्म की शुरूआत से धार्मिक उपासना में क्रांतिकारी बदलाव आया।']

उत्तर: प्राचीन रोम में, धार्मिक उपासना विकेन्द्रीकृत थी और सामाजिक स्थिति के अनुसार भिन्न होती थी।"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। निम्नलिखित उद्धरण 1755 के लिस्बन भूकंप के जवाब में वोल्टेयर का है। मेरे प्रिय महोदय, प्रकृति बहुत क्रूर है किसी को यह कल्पना करना कठिन लगेगा कि कैसे गति के नियम सबसे अच्छी संभव दुनिया में ऐसी भयावह आपदाओं का कारण बनते हैं एक लाख चींटियाँ हमारे साथी हमारे चींटी पहाड़ी में एक बार में सभी को कुचल दिया और उनमें से आधे नष्ट हो जाते हैं इसमें कोई संदेह नहीं है कि वे अवर्णनीय पीड़ा में हैं मलबे के नीचे जहां से उन्हें नहीं निकाला जा सकता है पूरे यूरोप में परिवार बर्बाद हो गए, सौ व्यापारियों का भाग्य, आपके हमवतन, लिस्बन के खंडहर में निगल गए मानव जीवन का खेल कितना दयनीय जुआ है! उपदेशक क्या कहेंगे विशेष रूप से अगर अभियोजन के महल अभी भी खड़ा है? मैं अपने आप को चापलूसी कि कम से कम आदरणीय पिता अभियोजकों दूसरों की तरह कुचल दिया गया है इससे लोगों को यह सीखना चाहिए कि वे एक-दूसरे पर अत्याचार न करें। जबकि कुछ पवित्र बदमाश कुछ कट्टरपंथियों को जलाते हैं पृथ्वी एक और सभी निगल जाता है। वोल्टेयर एक पत्र में 1755 वोल्टेयर द्वारा व्यक्त विचार ऊपर निम्नलिखित में से कौन-सी प्रबुद्धतावादी बुद्धिजीवियों की विशेषताओं का सबसे अच्छा उदाहरण है?",high_school_european_history,"['कई कुशल वैज्ञानिक थे, जिन्होंने ब्रह्मांड की मानव समझ में महत्वपूर्ण अंश जोड़े।', 'उन्होंने अपने विचारों को संप्रेषित करने के लिए नए तरीकों का उपयोग किया, जैसे कि सैलून और सस्ते मुद्रित पर्चे।', 'अधिकांश ने धर्म को पूरी तरह से अस्वीकार कर दिया और नास्तिकता को एक तर्कसंगत व्यक्ति के एकमात्र पंथ के रूप में अपनाया।', 'कई लोगों का मानना था कि नई वैज्ञानिक खोजें सामाजिक और सांस्कृतिक मुद्दों के लिए अधिक सहिष्णु और उद्देश्यपूर्ण दृष्टिकोण को सही ठहराती हैं।']",3,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। निम्नलिखित उद्धरण 1755 के लिस्बन भूकंप के जवाब में वोल्टेयर का है। मेरे प्रिय महोदय, प्रकृति बहुत क्रूर है किसी को यह कल्पना करना कठिन लगेगा कि कैसे गति के नियम सबसे अच्छी संभव दुनिया में ऐसी भयावह आपदाओं का कारण बनते हैं एक लाख चींटियाँ हमारे साथी हमारे चींटी पहाड़ी में एक बार में सभी को कुचल दिया और उनमें से आधे नष्ट हो जाते हैं इसमें कोई संदेह नहीं है कि वे अवर्णनीय पीड़ा में हैं मलबे के नीचे जहां से उन्हें नहीं निकाला जा सकता है पूरे यूरोप में परिवार बर्बाद हो गए, सौ व्यापारियों का भाग्य, आपके हमवतन, लिस्बन के खंडहर में निगल गए मानव जीवन का खेल कितना दयनीय जुआ है! उपदेशक क्या कहेंगे विशेष रूप से अगर अभियोजन के महल अभी भी खड़ा है? मैं अपने आप को चापलूसी कि कम से कम आदरणीय पिता अभियोजकों दूसरों की तरह कुचल दिया गया है इससे लोगों को यह सीखना चाहिए कि वे एक-दूसरे पर अत्याचार न करें। जबकि कुछ पवित्र बदमाश कुछ कट्टरपंथियों को जलाते हैं पृथ्वी एक और सभी निगल जाता है। वोल्टेयर एक पत्र में 1755 वोल्टेयर द्वारा व्यक्त विचार ऊपर निम्नलिखित में से कौन-सी प्रबुद्धतावादी बुद्धिजीवियों की विशेषताओं का सबसे अच्छा उदाहरण है?

उत्तर विकल्प: ['कई कुशल वैज्ञानिक थे, जिन्होंने ब्रह्मांड की मानव समझ में महत्वपूर्ण अंश जोड़े।', 'उन्होंने अपने विचारों को संप्रेषित करने के लिए नए तरीकों का उपयोग किया, जैसे कि सैलून और सस्ते मुद्रित पर्चे।', 'अधिकांश ने धर्म को पूरी तरह से अस्वीकार कर दिया और नास्तिकता को एक तर्कसंगत व्यक्ति के एकमात्र पंथ के रूप में अपनाया।', 'कई लोगों का मानना था कि नई वैज्ञानिक खोजें सामाजिक और सांस्कृतिक मुद्दों के लिए अधिक सहिष्णु और उद्देश्यपूर्ण दृष्टिकोण को सही ठहराती हैं।']

उत्तर: कई लोगों का मानना था कि नई वैज्ञानिक खोजें सामाजिक और सांस्कृतिक मुद्दों के लिए अधिक सहिष्णु और उद्देश्यपूर्ण दृष्टिकोण को सही ठहराती हैं।"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। निम्नलिखित संस्मरण पढ़ें। न केवल वह सभी प्रतिष्ठित व्यक्तियों को अदालत में निरंतर उपस्थिति में होने की उम्मीद करता है लेकिन वह कम डिग्री के लोगों की अनुपस्थिति को नोटिस करने के लिए जल्दी था; अपने लीवर पर उनके बिस्तरों पर, उसका भोजन वर्साय के बागानों में (केवल ऐसी जगह जहां सामान्य तौर पर दरबारियों को उसका अनुसरण करने की अनुमति थी) वह दाहिनी ओर और बायीं ओर आँखें घुमाता था; कुछ भी उससे नहीं बचता था [; वह सभी को देखता था] यदि कोई भी व्यक्ति जो दरबार में नियमित रूप से रहता था, अनुपस्थित रहता था, तो वह कारण जानने पर जोर देता था; जो लोग केवल उड़ान यात्राओं के लिए वहां आते थे, उन्हें भी एक संतोषजनक स्पष्टीकरण देना पड़ता था; जो कोई भी शायद ही कभी या कभी नहीं दिखाई देता था, वह निश्चित रूप से अपनी नाराजगी का कारण बनता था। यदि ऐसे व्यक्तियों पर कृपा करने के लिए कहा जाता तो वह घमण्डी उत्तर देता: ""मैं उसे नहीं जानता""; ऐसे लोगों के बारे में जो शायद ही कभी खुद को पेश करते थे, वह कहते थे ""वह एक ऐसा व्यक्ति है जिसे मैं कभी नहीं देखता""; और इन निर्णयों से कोई अपील नहीं थी. लुई चौदहवें की तुलना में कोई भी इसे देने के अपने तरीके से एक एहसान के मूल्य को बढ़ाने की कला को बेहतर ढंग से नहीं समझता था; वह जानता था कि एक शब्द का अधिकतम लाभ कैसे उठाया जाए मुस्कुराहट वह भव्यता से प्यार करता था भव्यता और मैं हर चीज़ से बेपरवाह हूँ और अपने दरबार में इसी तरह के स्वाद को प्रोत्साहित किया; उपकरण और इमारतों पर स्वतंत्र रूप से पैसा खर्च करने के लिए दावत और ताश खेलने के बारे में उसकी कृपा पाने का एक निश्चित तरीका था शायद उससे एक शब्द का सम्मान प्राप्त करने के लिए नीतिगत कारणों का इससे कुछ लेना-देना था; महंगी आदतों को फैशन बनाकर और एक निश्चित स्थिति में लोगों के लिए आवश्यकता उसने अपने दरबारियों को अपनी आय से अधिक जीने के लिए मजबूर किया और धीरे-धीरे उन्हें आजीविका के साधनों के लिए अपने उदारता पर निर्भर करने के लिए कम कर दिया। ड्यूक सेंट-सिमोन लुई चौदहवें और उनके दरबार और उनके शासनकाल के संस्मरण क 1750 उपरोक्त दस्तावेज में पाए जाने वाले पूर्वाग्रह के लिए निम्नलिखित में से कौन सा सबसे अच्छा स्पष्टीकरण है?",high_school_european_history,"['ड्यूक, फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में, राजा लुई के प्रति सहानुभूति रखते हैं।', 'ड्यूक, फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में, कुलीन वर्ग के दमन के कारण राजा के खिलाफ पक्षपाती है।', 'ड्यूक फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में प्रशासनिक के विस्तार का समर्थन किया वित्तीय सैन्य और फ्रांसीसी आबादी पर केंद्रीय राज्य का धार्मिक नियंत्रण।', 'ड्यूक, फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में, राजा लुई की अभिजात वर्ग की सामाजिक स्थिति और कानूनी विशेषाधिकारों के संरक्षण का समर्थन किया, जबकि उन्होंने अपनी शक्ति को हटा दिया।']",1,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। निम्नलिखित संस्मरण पढ़ें। न केवल वह सभी प्रतिष्ठित व्यक्तियों को अदालत में निरंतर उपस्थिति में होने की उम्मीद करता है लेकिन वह कम डिग्री के लोगों की अनुपस्थिति को नोटिस करने के लिए जल्दी था; अपने लीवर पर उनके बिस्तरों पर, उसका भोजन वर्साय के बागानों में (केवल ऐसी जगह जहां सामान्य तौर पर दरबारियों को उसका अनुसरण करने की अनुमति थी) वह दाहिनी ओर और बायीं ओर आँखें घुमाता था; कुछ भी उससे नहीं बचता था [; वह सभी को देखता था] यदि कोई भी व्यक्ति जो दरबार में नियमित रूप से रहता था, अनुपस्थित रहता था, तो वह कारण जानने पर जोर देता था; जो लोग केवल उड़ान यात्राओं के लिए वहां आते थे, उन्हें भी एक संतोषजनक स्पष्टीकरण देना पड़ता था; जो कोई भी शायद ही कभी या कभी नहीं दिखाई देता था, वह निश्चित रूप से अपनी नाराजगी का कारण बनता था। यदि ऐसे व्यक्तियों पर कृपा करने के लिए कहा जाता तो वह घमण्डी उत्तर देता: ""मैं उसे नहीं जानता""; ऐसे लोगों के बारे में जो शायद ही कभी खुद को पेश करते थे, वह कहते थे ""वह एक ऐसा व्यक्ति है जिसे मैं कभी नहीं देखता""; और इन निर्णयों से कोई अपील नहीं थी. लुई चौदहवें की तुलना में कोई भी इसे देने के अपने तरीके से एक एहसान के मूल्य को बढ़ाने की कला को बेहतर ढंग से नहीं समझता था; वह जानता था कि एक शब्द का अधिकतम लाभ कैसे उठाया जाए मुस्कुराहट वह भव्यता से प्यार करता था भव्यता और मैं हर चीज़ से बेपरवाह हूँ और अपने दरबार में इसी तरह के स्वाद को प्रोत्साहित किया; उपकरण और इमारतों पर स्वतंत्र रूप से पैसा खर्च करने के लिए दावत और ताश खेलने के बारे में उसकी कृपा पाने का एक निश्चित तरीका था शायद उससे एक शब्द का सम्मान प्राप्त करने के लिए नीतिगत कारणों का इससे कुछ लेना-देना था; महंगी आदतों को फैशन बनाकर और एक निश्चित स्थिति में लोगों के लिए आवश्यकता उसने अपने दरबारियों को अपनी आय से अधिक जीने के लिए मजबूर किया और धीरे-धीरे उन्हें आजीविका के साधनों के लिए अपने उदारता पर निर्भर करने के लिए कम कर दिया। ड्यूक सेंट-सिमोन लुई चौदहवें और उनके दरबार और उनके शासनकाल के संस्मरण क 1750 उपरोक्त दस्तावेज में पाए जाने वाले पूर्वाग्रह के लिए निम्नलिखित में से कौन सा सबसे अच्छा स्पष्टीकरण है?

उत्तर विकल्प: ['ड्यूक, फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में, राजा लुई के प्रति सहानुभूति रखते हैं।', 'ड्यूक, फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में, कुलीन वर्ग के दमन के कारण राजा के खिलाफ पक्षपाती है।', 'ड्यूक फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में प्रशासनिक के विस्तार का समर्थन किया वित्तीय सैन्य और फ्रांसीसी आबादी पर केंद्रीय राज्य का धार्मिक नियंत्रण।', 'ड्यूक, फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में, राजा लुई की अभिजात वर्ग की सामाजिक स्थिति और कानूनी विशेषाधिकारों के संरक्षण का समर्थन किया, जबकि उन्होंने अपनी शक्ति को हटा दिया।']

उत्तर: ड्यूक, फ्रांसीसी कुलीन वर्ग के सदस्य के रूप में, कुलीन वर्ग के दमन के कारण राजा के खिलाफ पक्षपाती है।"
यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। 1914 की आपदा के लिए जर्मन जिम्मेदार हैं ... जर्मनी इस मामले में इतना दुर्भाग्यपूर्ण था कि उसने खुद को (छद्म दिखाने के अपने कौशल के बावजूद) चरम सीमाओं तक जाने की अपनी विशेषता प्रवृत्ति द्वारा अत्यधिक स्पष्टता में विश्वासघात करने की अनुमति दी। जर्मनी सब कुछ के ऊपर ... वहाँ आप एक पुराने लेकिन बचकानी जाति के अंतिम ढांचे है. Georges Clemenceau. विजय की भव्यता और दयनीयता १९३० मार्ग से यह निष्कर्ष निकाला जा सकता है कि क्लेमेंसॉ का मानना था,high_school_european_history,"['कि लोकप्रिय गीत Deutschland über alles (जो अंततः जर्मन राष्ट्रगान बन गया) के बोल जर्मनी ने युद्ध शुरू करने का कारण थे', 'कि लोकप्रिय गीत Deutschland über alles (जो अंततः जर्मन राष्ट्रगान बन गया) के गीत जर्मनी के आक्रामक रवैये का प्रमाण थे', 'कि कारण जर्मनी युद्ध हार गया था कि यह भीतर से धोखा दिया गया था', 'कि जर्मनी आधुनिक युद्ध के लिए अंतिम रूपरेखा प्रदान की']",1,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। 1914 की आपदा के लिए जर्मन जिम्मेदार हैं ... जर्मनी इस मामले में इतना दुर्भाग्यपूर्ण था कि उसने खुद को (छद्म दिखाने के अपने कौशल के बावजूद) चरम सीमाओं तक जाने की अपनी विशेषता प्रवृत्ति द्वारा अत्यधिक स्पष्टता में विश्वासघात करने की अनुमति दी। जर्मनी सब कुछ के ऊपर ... वहाँ आप एक पुराने लेकिन बचकानी जाति के अंतिम ढांचे है. Georges Clemenceau. विजय की भव्यता और दयनीयता १९३० मार्ग से यह निष्कर्ष निकाला जा सकता है कि क्लेमेंसॉ का मानना था

उत्तर विकल्प: ['कि लोकप्रिय गीत Deutschland über alles (जो अंततः जर्मन राष्ट्रगान बन गया) के बोल जर्मनी ने युद्ध शुरू करने का कारण थे', 'कि लोकप्रिय गीत Deutschland über alles (जो अंततः जर्मन राष्ट्रगान बन गया) के गीत जर्मनी के आक्रामक रवैये का प्रमाण थे', 'कि कारण जर्मनी युद्ध हार गया था कि यह भीतर से धोखा दिया गया था', 'कि जर्मनी आधुनिक युद्ध के लिए अंतिम रूपरेखा प्रदान की']

उत्तर: कि लोकप्रिय गीत Deutschland über alles (जो अंततः जर्मन राष्ट्रगान बन गया) के गीत जर्मनी के आक्रामक रवैये का प्रमाण थे"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। रूस में कुछ भी ठीक नहीं चल रहा था, और [सुवरिन] को प्राप्त खबर पर निराशा थी उनके पुराने साथी सभी राजनेताओं की ओर मुड़ रहे थे; प्रसिद्ध शून्यवादी जिन्होंने यूरोप को कांप दिया-गांव के पुजारियों के पुत्र निम्न मध्यम वर्ग के राष्ट्रीय मुक्ति के विचार से ऊपर नहीं उठ सकता था। और ऐसा लगता है कि विश्वास है कि दुनिया को बचाया जाएगा-जब वे अपने निरंकुश को मार दिया था ... ""मूर्खता! वे अपनी मूर्खता के साथ इसे से बाहर कभी नहीं मिलेगा। "" फिर अपनी आवाज़ और भी कम करते हुए कुछ कड़वे शब्दों में उन्होंने भाईचारे के अपने पुराने सपने का वर्णन किया उसने अपनी रैंक और अपने भाग्य का त्याग कर दिया था; वह श्रमिकों के बीच चला गया था, केवल इस आशा में कि वह अंततः एक नए समाज की नींव देखेगा। उसकी जेब में सब sous लंबे समय से निपटान के urchins के लिए चला गया था; वह colliers के साथ एक भाई के रूप में के रूप में निविदा किया गया था अपने संदेह पर मुस्कुराते हुए उन्हें अपने शांत कामकाजी तरीकों और गपशप के अपने नापसंद से जीतता है लेकिन निश्चित रूप से विलय नहीं हुआ था। उसकी आवाज बदल गई उसकी आँखें चमकने लगीं उन्होंने उन्हें एटिएन पर ठीक किया सीधे उसे संबोधित करते हुएः ""अब आप समझते हैं कि? मार्सिले में इन Hatworkers जो एक सौ हजार फ़्रैंक के महान लॉटरी पुरस्कार जीता है एक बार में चला गया है और यह निवेश किया है यह घोषणा करते हुए कि वे कुछ भी किए बिना जीने जा रहे हैं! हाँ यह आपका विचार है आप सभी फ्रांसीसी श्रमिक; आप किसी आलसी में बाद में अकेले इसे निगलने के लिए एक खजाना खोदना चाहते हैं स्वार्थी कोना आप अमीरों के खिलाफ जितना चाहें चिल्ला सकते हैं, आपके पास गरीबों को वापस देने के लिए पर्याप्त साहस नहीं है जो भाग्य आपको लाता है आप कभी भी खुशी के योग्य नहीं होंगे जब तक आपके पास कुछ भी है और बुर्जुआओं के प्रति आपकी घृणा केवल उनके स्थान पर खुद बुर्जुआ बनने की एक उग्र इच्छा से उत्पन्न होती है। "" एमिल ज़ोला फ्रांसीसी लेखक जर्मिनल १८८५ उन्नीसवीं सदी के एक रूसी इतिहासकार इस मार्ग का मूल्यांकन करते हुए शायद सबसे अधिक रुचि रखते होंगे",high_school_european_history,"['फ्रांसीसी संस्कृति में रूसी रुचि', 'खनिकों के बीच भाईचारे की भावना', 'निरंतर वर्ग संघर्ष की भावना', 'noblesse oblige की आवश्यकता']",2,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। रूस में कुछ भी ठीक नहीं चल रहा था, और [सुवरिन] को प्राप्त खबर पर निराशा थी उनके पुराने साथी सभी राजनेताओं की ओर मुड़ रहे थे; प्रसिद्ध शून्यवादी जिन्होंने यूरोप को कांप दिया-गांव के पुजारियों के पुत्र निम्न मध्यम वर्ग के राष्ट्रीय मुक्ति के विचार से ऊपर नहीं उठ सकता था। और ऐसा लगता है कि विश्वास है कि दुनिया को बचाया जाएगा-जब वे अपने निरंकुश को मार दिया था ... ""मूर्खता! वे अपनी मूर्खता के साथ इसे से बाहर कभी नहीं मिलेगा। "" फिर अपनी आवाज़ और भी कम करते हुए कुछ कड़वे शब्दों में उन्होंने भाईचारे के अपने पुराने सपने का वर्णन किया उसने अपनी रैंक और अपने भाग्य का त्याग कर दिया था; वह श्रमिकों के बीच चला गया था, केवल इस आशा में कि वह अंततः एक नए समाज की नींव देखेगा। उसकी जेब में सब sous लंबे समय से निपटान के urchins के लिए चला गया था; वह colliers के साथ एक भाई के रूप में के रूप में निविदा किया गया था अपने संदेह पर मुस्कुराते हुए उन्हें अपने शांत कामकाजी तरीकों और गपशप के अपने नापसंद से जीतता है लेकिन निश्चित रूप से विलय नहीं हुआ था। उसकी आवाज बदल गई उसकी आँखें चमकने लगीं उन्होंने उन्हें एटिएन पर ठीक किया सीधे उसे संबोधित करते हुएः ""अब आप समझते हैं कि? मार्सिले में इन Hatworkers जो एक सौ हजार फ़्रैंक के महान लॉटरी पुरस्कार जीता है एक बार में चला गया है और यह निवेश किया है यह घोषणा करते हुए कि वे कुछ भी किए बिना जीने जा रहे हैं! हाँ यह आपका विचार है आप सभी फ्रांसीसी श्रमिक; आप किसी आलसी में बाद में अकेले इसे निगलने के लिए एक खजाना खोदना चाहते हैं स्वार्थी कोना आप अमीरों के खिलाफ जितना चाहें चिल्ला सकते हैं, आपके पास गरीबों को वापस देने के लिए पर्याप्त साहस नहीं है जो भाग्य आपको लाता है आप कभी भी खुशी के योग्य नहीं होंगे जब तक आपके पास कुछ भी है और बुर्जुआओं के प्रति आपकी घृणा केवल उनके स्थान पर खुद बुर्जुआ बनने की एक उग्र इच्छा से उत्पन्न होती है। "" एमिल ज़ोला फ्रांसीसी लेखक जर्मिनल १८८५ उन्नीसवीं सदी के एक रूसी इतिहासकार इस मार्ग का मूल्यांकन करते हुए शायद सबसे अधिक रुचि रखते होंगे

उत्तर विकल्प: ['फ्रांसीसी संस्कृति में रूसी रुचि', 'खनिकों के बीच भाईचारे की भावना', 'निरंतर वर्ग संघर्ष की भावना', 'noblesse oblige की आवश्यकता']

उत्तर: निरंतर वर्ग संघर्ष की भावना"
