question,subject,choices,answer,qa
सौंदर्यशास्त्र उन वस्तुओं से संबंधित है जो_____ हैं।,philosophy,"['हमारे अस्तित्व के लिए आवश्यक', 'अधिकांश लोगों के लिए महत्वहीन', 'हमारे अस्तित्व के लिए आवश्यक नहीं', 'शायद ही कभी देखा जाता है']",2,"प्रश्न: सौंदर्यशास्त्र उन वस्तुओं से संबंधित है जो_____ हैं।

उत्तर विकल्प: ['हमारे अस्तित्व के लिए आवश्यक', 'अधिकांश लोगों के लिए महत्वहीन', 'हमारे अस्तित्व के लिए आवश्यक नहीं', 'शायद ही कभी देखा जाता है']

उत्तर: हमारे अस्तित्व के लिए आवश्यक नहीं"
"सुकरात के लिए, एक अप्रशिक्षित जीवन एक त्रासदी है क्योंकि यह _____ को गंभीर नुकसान पहुंचाता है।",philosophy,"['राज्य', 'न्याय प्रणाली', 'शरीर', 'आत्मा']",3,"प्रश्न: सुकरात के लिए, एक अप्रशिक्षित जीवन एक त्रासदी है क्योंकि यह _____ को गंभीर नुकसान पहुंचाता है।

उत्तर विकल्प: ['राज्य', 'न्याय प्रणाली', 'शरीर', 'आत्मा']

उत्तर: आत्मा"
"कांत के अनुसार, बिना योग्यता के कुछ भी 'अच्छा' नहीं कहा जा सकता सिवाय _____ के।",philosophy,"['सही कार्य', 'अच्छे परिणाम', 'सुख', 'सद्भावना']",3,"प्रश्न: कांत के अनुसार, बिना योग्यता के कुछ भी 'अच्छा' नहीं कहा जा सकता सिवाय _____ के।

उत्तर विकल्प: ['सही कार्य', 'अच्छे परिणाम', 'सुख', 'सद्भावना']

उत्तर: सद्भावना"
प्लेटो का विचार है कि सच्ची सुंदरता _____ है।,philosophy,"['रोजमर्रा की वस्तुओं में पाया जाता है', 'गैर-मौजूद', 'प्राकृतिक दुनिया में हर जगह', 'इस दुनिया का नहीं']",3,"प्रश्न: प्लेटो का विचार है कि सच्ची सुंदरता _____ है।

उत्तर विकल्प: ['रोजमर्रा की वस्तुओं में पाया जाता है', 'गैर-मौजूद', 'प्राकृतिक दुनिया में हर जगह', 'इस दुनिया का नहीं']

उत्तर: इस दुनिया का नहीं"
"अरस्तू की शब्दावली में, असंयम तब होता है जब:",philosophy,"['कोई नहीं जानता कि उसके कर्म गलत हैं।', 'एक व्यक्ति जानता है कि उसके कर्म गलत हैं, लेकिन फिर भी वह उन्हें करता है।', 'एक व्यक्ति जानता है कि उसकी भावनाएं अनुचित हैं, और उन पर कार्य नहीं करता है।', 'एक सही कार्य करता है, लेकिन गलत कारण के लिए।']",1,"प्रश्न: अरस्तू की शब्दावली में, असंयम तब होता है जब:

उत्तर विकल्प: ['कोई नहीं जानता कि उसके कर्म गलत हैं।', 'एक व्यक्ति जानता है कि उसके कर्म गलत हैं, लेकिन फिर भी वह उन्हें करता है।', 'एक व्यक्ति जानता है कि उसकी भावनाएं अनुचित हैं, और उन पर कार्य नहीं करता है।', 'एक सही कार्य करता है, लेकिन गलत कारण के लिए।']

उत्तर: एक व्यक्ति जानता है कि उसके कर्म गलत हैं, लेकिन फिर भी वह उन्हें करता है।"
नागेल का दावा है कि अधिकांश संदेहवादी तर्कः,philosophy,"['मनमाने ढंग से कठोर मानकों को लागू करने का परिणाम हैं।', 'भाषाई भ्रम पर आधारित हैं।', 'तार्किक रूप से स्वयं को खारिज कर रहे हैं।', 'सामान्य मानकों के सुसंगत अनुप्रयोग से विकसित होते हैं।']",3,"प्रश्न: नागेल का दावा है कि अधिकांश संदेहवादी तर्कः

उत्तर विकल्प: ['मनमाने ढंग से कठोर मानकों को लागू करने का परिणाम हैं।', 'भाषाई भ्रम पर आधारित हैं।', 'तार्किक रूप से स्वयं को खारिज कर रहे हैं।', 'सामान्य मानकों के सुसंगत अनुप्रयोग से विकसित होते हैं।']

उत्तर: सामान्य मानकों के सुसंगत अनुप्रयोग से विकसित होते हैं।"
रॉल्स मूल अनुबंध की कल्पना इस प्रकार करते हैं:,philosophy,"['एक विशेष समाज में प्रवेश करें।', 'सरकार का एक विशेष रूप स्थापित करें।', 'समाज की मूल संरचना के लिए न्याय के सिद्धांतों को स्थापित करना।', 'नैतिकता की सामग्री स्थापित करना।']",2,"प्रश्न: रॉल्स मूल अनुबंध की कल्पना इस प्रकार करते हैं:

उत्तर विकल्प: ['एक विशेष समाज में प्रवेश करें।', 'सरकार का एक विशेष रूप स्थापित करें।', 'समाज की मूल संरचना के लिए न्याय के सिद्धांतों को स्थापित करना।', 'नैतिकता की सामग्री स्थापित करना।']

उत्तर: समाज की मूल संरचना के लिए न्याय के सिद्धांतों को स्थापित करना।"
"सिंगर के अनुसार, उनके सिद्धांत का अनुपालन करने के लिए आवश्यक है:",philosophy,"['हमारी व्यक्तिगत आदतों में मामूली बदलाव, लेकिन एक पूरे के रूप में हमारे समाज के लिए नहीं।', 'हमारी व्यक्तिगत आदतों के साथ-साथ समाज में मामूली बदलाव।', 'हमारी व्यक्तिगत आदतों में भारी बदलाव, लेकिन हमारे समाज में नहीं।', 'हमारी व्यक्तिगत आदतों और हमारे समाज दोनों में भारी बदलाव।']",3,"प्रश्न: सिंगर के अनुसार, उनके सिद्धांत का अनुपालन करने के लिए आवश्यक है:

उत्तर विकल्प: ['हमारी व्यक्तिगत आदतों में मामूली बदलाव, लेकिन एक पूरे के रूप में हमारे समाज के लिए नहीं।', 'हमारी व्यक्तिगत आदतों के साथ-साथ समाज में मामूली बदलाव।', 'हमारी व्यक्तिगत आदतों में भारी बदलाव, लेकिन हमारे समाज में नहीं।', 'हमारी व्यक्तिगत आदतों और हमारे समाज दोनों में भारी बदलाव।']

उत्तर: हमारी व्यक्तिगत आदतों और हमारे समाज दोनों में भारी बदलाव।"
"सुकरात के लिए, _____ की कमी से आत्मा को नुकसान होता है।",philosophy,"['ज्ञान', 'दौलत', 'समुदाय', 'साहस']",0,"प्रश्न: सुकरात के लिए, _____ की कमी से आत्मा को नुकसान होता है।

उत्तर विकल्प: ['ज्ञान', 'दौलत', 'समुदाय', 'साहस']

उत्तर: ज्ञान"
"कांट के अनुसार, नैतिकता हमें यह करने की आवश्यकता हैः",philosophy,"['उस कार्य को करें जो सबसे बड़ी कुल खुशी की ओर ले जाए।', 'केवल उन सिद्धांतों पर कार्य करें जो हम सार्वभौमिक कानून बनने की इच्छा कर सकते हैं।', 'केवल इस तरह से व्यवहार करें जैसे कि एक पूरी तरह से पुण्यवान व्यक्ति व्यवहार करेगा।', 'अपने हितों से ऊपर दूसरों के हितों को रखें।']",1,"प्रश्न: कांट के अनुसार, नैतिकता हमें यह करने की आवश्यकता हैः

उत्तर विकल्प: ['उस कार्य को करें जो सबसे बड़ी कुल खुशी की ओर ले जाए।', 'केवल उन सिद्धांतों पर कार्य करें जो हम सार्वभौमिक कानून बनने की इच्छा कर सकते हैं।', 'केवल इस तरह से व्यवहार करें जैसे कि एक पूरी तरह से पुण्यवान व्यक्ति व्यवहार करेगा।', 'अपने हितों से ऊपर दूसरों के हितों को रखें।']

उत्तर: केवल उन सिद्धांतों पर कार्य करें जो हम सार्वभौमिक कानून बनने की इच्छा कर सकते हैं।"
