question,subject,choices,answer,qa
"Eine 67-jährige Frau kommt zum Arzt, um sich weiter untersuchen zu lassen Sie hatte eine Lungenembolie und musste 3 Wochen im Krankenhaus behandelt werden. Sie hatte eine retroperitoneale Blutung; die Antikoagulantien-Therapie wurde vorübergehend abgesetzt und ihr wurde ein Inferior-Vena-Cava-Filter (IVC) angebracht. Sie hatte ein Hämatom , das sich bei der Entlassung aus dem Krankenhaus vor zwei Wochen erholt hat . Heute Sie sagt, dass sie ein anhaltendes Gefühl von Kribbeln und Taubheitsgefühl an ihrem linken Oberschenkel hat, das sie nicht im Krankenhaus gemeldet hat, weil sie dachte, dass es weggehen würde; das Gefühl hat sich in der letzten Woche etwas verbessert Ihr einziges Medikament ist Warfarin . Die Vitalfunktionen liegen im Normalbereich . Die Untersuchung der Haut zeigt keine Anomalien. Muskelkraft ist normal Das Gefühl für leichte Berührung ist auf einer Fläche von 5 x 5 cm auf der seitlichen Seite des linken vorderen Oberschenkels vermindert Welches der folgenden ist die wahrscheinlichste Ursache für die verminderte Empfindung dieses Patienten?",professional_medicine,"['Hirninfarkt während des Krankenhausaufenthalts', 'Komplikationen bei der Platzierung des IVC-Filters', 'Kompression des seitlichen Oberschenkelnervs', 'Hämatom des linken Oberschenkels']",2,"Frage: Eine 67-jährige Frau kommt zum Arzt, um sich weiter untersuchen zu lassen Sie hatte eine Lungenembolie und musste 3 Wochen im Krankenhaus behandelt werden. Sie hatte eine retroperitoneale Blutung; die Antikoagulantien-Therapie wurde vorübergehend abgesetzt und ihr wurde ein Inferior-Vena-Cava-Filter (IVC) angebracht. Sie hatte ein Hämatom , das sich bei der Entlassung aus dem Krankenhaus vor zwei Wochen erholt hat . Heute Sie sagt, dass sie ein anhaltendes Gefühl von Kribbeln und Taubheitsgefühl an ihrem linken Oberschenkel hat, das sie nicht im Krankenhaus gemeldet hat, weil sie dachte, dass es weggehen würde; das Gefühl hat sich in der letzten Woche etwas verbessert Ihr einziges Medikament ist Warfarin . Die Vitalfunktionen liegen im Normalbereich . Die Untersuchung der Haut zeigt keine Anomalien. Muskelkraft ist normal Das Gefühl für leichte Berührung ist auf einer Fläche von 5 x 5 cm auf der seitlichen Seite des linken vorderen Oberschenkels vermindert Welches der folgenden ist die wahrscheinlichste Ursache für die verminderte Empfindung dieses Patienten?

Antwortoptionen: ['Hirninfarkt während des Krankenhausaufenthalts', 'Komplikationen bei der Platzierung des IVC-Filters', 'Kompression des seitlichen Oberschenkelnervs', 'Hämatom des linken Oberschenkels']

Antwort: Kompression des seitlichen Oberschenkelnervs"
"Ein 25-jähriges Pregida 3 para 2 Weibchen wird nach 39 Schwangerschaftswochen im aktiven Wehen ins Krankenhaus eingeliefert Sie hatte regelmäßige Kontraktionen alle 4 Minuten, aber jetzt hat sie nur ein paar intermittierende, schwache Kontraktionen Sie hat in den letzten 6 Stunden zweimal Schmerzmittel bekommen . Die Untersuchung ergab keinen Grund für eine Behinderung der Geburt. Der fetalen Kopf ist eingeschlossen, die Membranen sind intakt, die fetalen Herztöne sind normal, und der Gebärmutterhals ist zu 100% ausgelöscht und 7 cm erweitert. Die wahrscheinlichste Diagnose ist:",professional_medicine,"['Braxton-Hicks-Kontraktionen', 'Rückzugsring der unteren Gebärmutter', 'hypotonische Gebärmutterfunktionsstörung', 'primäre Funktionsstörung bei der Geburt']",2,"Frage: Ein 25-jähriges Pregida 3 para 2 Weibchen wird nach 39 Schwangerschaftswochen im aktiven Wehen ins Krankenhaus eingeliefert Sie hatte regelmäßige Kontraktionen alle 4 Minuten, aber jetzt hat sie nur ein paar intermittierende, schwache Kontraktionen Sie hat in den letzten 6 Stunden zweimal Schmerzmittel bekommen . Die Untersuchung ergab keinen Grund für eine Behinderung der Geburt. Der fetalen Kopf ist eingeschlossen, die Membranen sind intakt, die fetalen Herztöne sind normal, und der Gebärmutterhals ist zu 100% ausgelöscht und 7 cm erweitert. Die wahrscheinlichste Diagnose ist:

Antwortoptionen: ['Braxton-Hicks-Kontraktionen', 'Rückzugsring der unteren Gebärmutter', 'hypotonische Gebärmutterfunktionsstörung', 'primäre Funktionsstörung bei der Geburt']

Antwort: hypotonische Gebärmutterfunktionsstörung"
"Ein fünfjähriger Junge wird von seiner Mutter zum Arzt gebracht, weil er zwei Tage lang leicht Fieber, Husten und laufende Nase hatte Seine Temperatur beträgt 38°C. Untersuchungsergebnisse stimmen mit einer Erkältung überein Der Arzt bezieht sich auf eine randomisierte, doppelblinde, placebokontrollierte klinische Studie, die die Wirksamkeit eines neuen Medikaments zur Behandlung der Erkältung Die durchschnittliche Zeit bis zur Auflösung der Symptome bei Patienten, die das neue Arzneimittel erhielten, betrug 6,4 Tage, verglichen mit einer durchschnittlichen Zeit von 6,7 Tagen bei Patienten, die das Placebo erhielten (p=0,04). Welche der folgenden Ausführungen ist die am besten geeignete Interpretation dieser Studienergebnisse?",professional_medicine,"['Die Ergebnisse sind klinisch und statistisch signifikant.', 'Die Ergebnisse sind klinisch unbedeutend, aber statistisch signifikant.', 'Die Ergebnisse sind klinisch signifikant, aber statistisch unbedeutend.', 'Die Ergebnisse sind weder klinisch noch statistisch signifikant.']",1,"Frage: Ein fünfjähriger Junge wird von seiner Mutter zum Arzt gebracht, weil er zwei Tage lang leicht Fieber, Husten und laufende Nase hatte Seine Temperatur beträgt 38°C. Untersuchungsergebnisse stimmen mit einer Erkältung überein Der Arzt bezieht sich auf eine randomisierte, doppelblinde, placebokontrollierte klinische Studie, die die Wirksamkeit eines neuen Medikaments zur Behandlung der Erkältung Die durchschnittliche Zeit bis zur Auflösung der Symptome bei Patienten, die das neue Arzneimittel erhielten, betrug 6,4 Tage, verglichen mit einer durchschnittlichen Zeit von 6,7 Tagen bei Patienten, die das Placebo erhielten (p=0,04). Welche der folgenden Ausführungen ist die am besten geeignete Interpretation dieser Studienergebnisse?

Antwortoptionen: ['Die Ergebnisse sind klinisch und statistisch signifikant.', 'Die Ergebnisse sind klinisch unbedeutend, aber statistisch signifikant.', 'Die Ergebnisse sind klinisch signifikant, aber statistisch unbedeutend.', 'Die Ergebnisse sind weder klinisch noch statistisch signifikant.']

Antwort: Die Ergebnisse sind klinisch unbedeutend, aber statistisch signifikant."
"Ein 9-jähriger Junge wird von seinen Eltern zur Gesundheitskontrolle ins Büro gebracht Der Patient und seine Familie sind vor 2 Monaten in die USA eingewandert und er wurde seit 4 Jahren nicht von einem Arzt untersucht. Er war im Allgemeinen gesund . Die medizinische Vorgeschichte ist für eine Lungenentzündung im Alter von 3 Jahren signifikant. Er nimmt keine Medikamente. Er ist im 25. Perzentil für Größe, Gewicht und BMI. Die lebenswichtigen Symptome sind Temperatur 37,0°C (98,6°F), Puls 82/min, Atmung 20/min und Blutdruck 112/74 mm Hg Herzuntersuchung enthüllt ein systolisches Murmeln Grad 3/6, hörbar entlang der linken Sternalgrenze im dritten und vierten Interkostalraum. Femoralpulse sind schwach und brachiale Pulse stark; es gibt eine radiofemorale Verzögerung Röntgenaufnahmen des Brustkorbs zeigen eine leichte Kardiomegalie mit ausgedehntem linken Ventrikel. EKG zeigt Hypertrophie des linken Ventrikels Für welche der folgenden Komplikationen ist der Patient am stärksten gefährdet?",professional_medicine,"['Vorhofflimmern', 'Kor pulmonale', 'Systemische Bluthochdruck', 'Regurgitation der Tricuspidalklappe']",2,"Frage: Ein 9-jähriger Junge wird von seinen Eltern zur Gesundheitskontrolle ins Büro gebracht Der Patient und seine Familie sind vor 2 Monaten in die USA eingewandert und er wurde seit 4 Jahren nicht von einem Arzt untersucht. Er war im Allgemeinen gesund . Die medizinische Vorgeschichte ist für eine Lungenentzündung im Alter von 3 Jahren signifikant. Er nimmt keine Medikamente. Er ist im 25. Perzentil für Größe, Gewicht und BMI. Die lebenswichtigen Symptome sind Temperatur 37,0°C (98,6°F), Puls 82/min, Atmung 20/min und Blutdruck 112/74 mm Hg Herzuntersuchung enthüllt ein systolisches Murmeln Grad 3/6, hörbar entlang der linken Sternalgrenze im dritten und vierten Interkostalraum. Femoralpulse sind schwach und brachiale Pulse stark; es gibt eine radiofemorale Verzögerung Röntgenaufnahmen des Brustkorbs zeigen eine leichte Kardiomegalie mit ausgedehntem linken Ventrikel. EKG zeigt Hypertrophie des linken Ventrikels Für welche der folgenden Komplikationen ist der Patient am stärksten gefährdet?

Antwortoptionen: ['Vorhofflimmern', 'Kor pulmonale', 'Systemische Bluthochdruck', 'Regurgitation der Tricuspidalklappe']

Antwort: Systemische Bluthochdruck"
"Eine 25-jährige Frau kommt wegen einer 2-monatigen Geschichte von Taubheitsgefühl in ihrer rechten Hand zum Arzt Während dieser Zeit hat sie die meiste Zeit Kribbeln im rechten Ring- und kleinen Finger gehabt. Sie hat keine Vorgeschichte von schweren Krankheiten und nimmt keine Medikamente. Sie arbeitet als Kassiererin und benutzt zu Hause einen Computer Sie spielte fünf Jahre als Pitcher in einer Softball-Liga, bis sie vor zwei Jahren aufhörte. Die Vitalfunktionen liegen im Normalbereich . Die Untersuchung zeigt volle Muskelkraft. Palpation des rechten Ellbogen erzeugt einen Schock von starken Schmerzen im rechten Ring und kleinen Fingern Das Gefühl für Nadelstich und leichte Berührung ist auf der medialen Hälfte des rechten Ringfingers und des gesamten kleinen Fingers vermindert Die wahrscheinlichste Ursache für diese Befunde ist die Verhaftung von welchem der folgenden Punkte auf der rechten Seite?",professional_medicine,"['Mittelnerv am Handgelenk', 'Muskel- und Hautnerv am Unterarm', 'Radialer Nerv am Unterarm', 'Ulnarnerv am Ellbogen']",3,"Frage: Eine 25-jährige Frau kommt wegen einer 2-monatigen Geschichte von Taubheitsgefühl in ihrer rechten Hand zum Arzt Während dieser Zeit hat sie die meiste Zeit Kribbeln im rechten Ring- und kleinen Finger gehabt. Sie hat keine Vorgeschichte von schweren Krankheiten und nimmt keine Medikamente. Sie arbeitet als Kassiererin und benutzt zu Hause einen Computer Sie spielte fünf Jahre als Pitcher in einer Softball-Liga, bis sie vor zwei Jahren aufhörte. Die Vitalfunktionen liegen im Normalbereich . Die Untersuchung zeigt volle Muskelkraft. Palpation des rechten Ellbogen erzeugt einen Schock von starken Schmerzen im rechten Ring und kleinen Fingern Das Gefühl für Nadelstich und leichte Berührung ist auf der medialen Hälfte des rechten Ringfingers und des gesamten kleinen Fingers vermindert Die wahrscheinlichste Ursache für diese Befunde ist die Verhaftung von welchem der folgenden Punkte auf der rechten Seite?

Antwortoptionen: ['Mittelnerv am Handgelenk', 'Muskel- und Hautnerv am Unterarm', 'Radialer Nerv am Unterarm', 'Ulnarnerv am Ellbogen']

Antwort: Ulnarnerv am Ellbogen"
"Sechs gesunde Probanden nehmen an einer Studie über den Muskelstoffwechsel teil, bei der Hyperglykämie und Hyperinsulinämie induziert werden. Muskelbiopsieproben, die von den Probanden während des Ruhezustands gewonnen wurden, zeigen signifikant erhöhte Konzentrationen von Malonyl-CoA. Die erhöhte Malonyl-CoA-Konzentration hemmt höchstwahrscheinlich direkt welche der folgenden Prozesse bei diesen Probanden?",professional_medicine,"['Oxidation von Fettsäuren', 'Synthese von Fettsäuren', 'Gluconeogenese', 'Glykogenolyse']",0,"Frage: Sechs gesunde Probanden nehmen an einer Studie über den Muskelstoffwechsel teil, bei der Hyperglykämie und Hyperinsulinämie induziert werden. Muskelbiopsieproben, die von den Probanden während des Ruhezustands gewonnen wurden, zeigen signifikant erhöhte Konzentrationen von Malonyl-CoA. Die erhöhte Malonyl-CoA-Konzentration hemmt höchstwahrscheinlich direkt welche der folgenden Prozesse bei diesen Probanden?

Antwortoptionen: ['Oxidation von Fettsäuren', 'Synthese von Fettsäuren', 'Gluconeogenese', 'Glykogenolyse']

Antwort: Oxidation von Fettsäuren"
"Eine 72-jährige Frau mit fortgeschrittenem Eierstockkrebs mit Metastasen in die Leber wird von ihrem Sohn zum Arzt gebracht, weil sie die ganze Zeit weint und nicht aus dem Bett kommt Auf einer 10-Punkte-Skala bewertet sie den Schmerz als 1 bis 2 Sie hat auch Bluthochdruck und eine schwere Depression . Sie hat zwei Jahre lang Chemotherapie erhalten . Zu den aktuellen Medikamenten gehören auch Oxycodon (10 mg zweimal täglich), Hydrochlorothiazid (25 mg/Tag) und Fluoxetin (20 mg/Tag). Sie ist 165 cm (5 ft 5 in) groß und wiegt 66 kg (145 lb); BMI ist 24 kg/m2 Ihre Temperatur beträgt 37°C, der Puls 110/min, die Atmung 12/min und der Blutdruck 120/80 mm Hg. Die Untersuchung zeigt einen festen, aufgedehnten Bauch mit mäßiger Zärtlichkeit über der Leber. Bei der Untersuchung des geistigen Zustands orientiert sie sich an Person, Ort und Zeit. Sie hat einen guten Blickkontakt , aber sie wirkt traurig und weint leicht . Welcher der folgenden Punkte ist der am besten geeignete nächste Schritt im Management?",professional_medicine,"['Beruhigung', 'Beurteilung auf Suizidgedanken', 'Beginn einer Dextroamphetamin-Therapie', 'Erhöhung der Oxycodon-Dosis']",1,"Frage: Eine 72-jährige Frau mit fortgeschrittenem Eierstockkrebs mit Metastasen in die Leber wird von ihrem Sohn zum Arzt gebracht, weil sie die ganze Zeit weint und nicht aus dem Bett kommt Auf einer 10-Punkte-Skala bewertet sie den Schmerz als 1 bis 2 Sie hat auch Bluthochdruck und eine schwere Depression . Sie hat zwei Jahre lang Chemotherapie erhalten . Zu den aktuellen Medikamenten gehören auch Oxycodon (10 mg zweimal täglich), Hydrochlorothiazid (25 mg/Tag) und Fluoxetin (20 mg/Tag). Sie ist 165 cm (5 ft 5 in) groß und wiegt 66 kg (145 lb); BMI ist 24 kg/m2 Ihre Temperatur beträgt 37°C, der Puls 110/min, die Atmung 12/min und der Blutdruck 120/80 mm Hg. Die Untersuchung zeigt einen festen, aufgedehnten Bauch mit mäßiger Zärtlichkeit über der Leber. Bei der Untersuchung des geistigen Zustands orientiert sie sich an Person, Ort und Zeit. Sie hat einen guten Blickkontakt , aber sie wirkt traurig und weint leicht . Welcher der folgenden Punkte ist der am besten geeignete nächste Schritt im Management?

Antwortoptionen: ['Beruhigung', 'Beurteilung auf Suizidgedanken', 'Beginn einer Dextroamphetamin-Therapie', 'Erhöhung der Oxycodon-Dosis']

Antwort: Beurteilung auf Suizidgedanken"
"Eine 65-jährige Frau hat eine 6-monatige Vorgeschichte von fortschreitender Reizbarkeit, Herzklopfen, Hitzeintoleranz, häufigen Stuhlgang und einem Gewichtsverlust von 6,8 kg (15-lb) Sie hat seit mehr als 10 Jahren eine Halsmasse . Der I-Scan zeigt eine vergrößerte Schilddrüse mit mehreren Bereichen erhöhter und verringerter Welche der folgenden Diagnosen ist die wahrscheinlichste?",professional_medicine,"['Defekt der Biosynthese von Thyroxin (T4)', 'Graves-Krankheit', 'Multinodularer Struma', 'Schilddrüsenentzündung von Riedel']",2,"Frage: Eine 65-jährige Frau hat eine 6-monatige Vorgeschichte von fortschreitender Reizbarkeit, Herzklopfen, Hitzeintoleranz, häufigen Stuhlgang und einem Gewichtsverlust von 6,8 kg (15-lb) Sie hat seit mehr als 10 Jahren eine Halsmasse . Der I-Scan zeigt eine vergrößerte Schilddrüse mit mehreren Bereichen erhöhter und verringerter Welche der folgenden Diagnosen ist die wahrscheinlichste?

Antwortoptionen: ['Defekt der Biosynthese von Thyroxin (T4)', 'Graves-Krankheit', 'Multinodularer Struma', 'Schilddrüsenentzündung von Riedel']

Antwort: Multinodularer Struma"
"Ein 51-jähriger Mann kommt ins Büro, weil er seit 6 Monaten einen Knoten an der Zunge hat, der ihm das Sprechen und Essen beeinträchtigt; in dieser Zeit hat er auch 6,8 kg abgenommen In den vergangenen 30 Jahren hat er täglich eine Packung Zigaretten geraucht und am Wochenende sechs 12-Unzen-Flaschen Bier getrunken. Seine Vitalfunktionen liegen innerhalb der normalen Grenzen . Die körperliche Untersuchung zeigt eine 1,5 cm große Masse an der Spitze der Zunge. Weitere Beurteilung der Masse bestätigt Plattenepithelkarzinom Welche der folgenden Lymphknoten ist am besten zuerst auf Anzeichen von Metastasen bei diesem Patienten zu untersuchen?",professional_medicine,"['Unteren tiefen Gebärmutterhals', 'Gelenkschleimhaut', 'Rückhalsschleimhaut', 'Submental']",3,"Frage: Ein 51-jähriger Mann kommt ins Büro, weil er seit 6 Monaten einen Knoten an der Zunge hat, der ihm das Sprechen und Essen beeinträchtigt; in dieser Zeit hat er auch 6,8 kg abgenommen In den vergangenen 30 Jahren hat er täglich eine Packung Zigaretten geraucht und am Wochenende sechs 12-Unzen-Flaschen Bier getrunken. Seine Vitalfunktionen liegen innerhalb der normalen Grenzen . Die körperliche Untersuchung zeigt eine 1,5 cm große Masse an der Spitze der Zunge. Weitere Beurteilung der Masse bestätigt Plattenepithelkarzinom Welche der folgenden Lymphknoten ist am besten zuerst auf Anzeichen von Metastasen bei diesem Patienten zu untersuchen?

Antwortoptionen: ['Unteren tiefen Gebärmutterhals', 'Gelenkschleimhaut', 'Rückhalsschleimhaut', 'Submental']

Antwort: Submental"
"Ein 42-jähriger Mann kommt zum Arzt für eine Nachuntersuchung 1 Woche nachdem er einen Nierenkalkus bestanden hat Die röntgenkristallographische Analyse des Kalküls ergab, dass Kalzium das primäre Kation ist. Die körperliche Untersuchung zeigt heute keine Anomalien. Eine 24-Stunden-Urinsammlung zeigt eine erhöhte Kalziumausscheidung Welche der folgenden Arzneimittel ist die am besten geeignete Pharmakotherapie?",professional_medicine,"['Kohlenstoffanhydrasehemmer', 'Na+ Cl− Symport-Hemmer', 'Na+ K + 2Cl− Symport-Hemmer', 'Osmotisches Diuretikum']",1,"Frage: Ein 42-jähriger Mann kommt zum Arzt für eine Nachuntersuchung 1 Woche nachdem er einen Nierenkalkus bestanden hat Die röntgenkristallographische Analyse des Kalküls ergab, dass Kalzium das primäre Kation ist. Die körperliche Untersuchung zeigt heute keine Anomalien. Eine 24-Stunden-Urinsammlung zeigt eine erhöhte Kalziumausscheidung Welche der folgenden Arzneimittel ist die am besten geeignete Pharmakotherapie?

Antwortoptionen: ['Kohlenstoffanhydrasehemmer', 'Na+ Cl− Symport-Hemmer', 'Na+ K + 2Cl− Symport-Hemmer', 'Osmotisches Diuretikum']

Antwort: Na+ Cl− Symport-Hemmer"
