question,subject,choices,answer,qa
Déclaration 1: L'estimateur de régression linéaire a la plus petite variance parmi tous les estimateurs impartiaux Les coefficients α attribués aux classificateurs assemblés par AdaBoost sont toujours non négatifs.,machine_learning,"['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']",3,"Question: Déclaration 1: L'estimateur de régression linéaire a la plus petite variance parmi tous les estimateurs impartiaux Les coefficients α attribués aux classificateurs assemblés par AdaBoost sont toujours non négatifs.

Choix: ['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']

Réponse: Faux, vrai"
Déclaration 1: ROBERTa pré-entraîne sur un corpus qui est approximativement 10 fois plus grand que le corpus BERT pré-entraîné. Déclaration 2: ResNeXts en 2018 utilisait généralement des fonctions d'activation Tanh.,machine_learning,"['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']",2,"Question: Déclaration 1: ROBERTa pré-entraîne sur un corpus qui est approximativement 10 fois plus grand que le corpus BERT pré-entraîné. Déclaration 2: ResNeXts en 2018 utilisait généralement des fonctions d'activation Tanh.

Choix: ['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']

Réponse: Vrai ou faux"
"Déclaration 1 Les machines vectorielles de support, comme les modèles de régression logistique, donnent une distribution de probabilité sur les étiquettes possibles compte tenu d'un exemple d'entrée Nous nous attendrions à ce que les vecteurs de support restent les mêmes en général lorsque nous passons d'un noyau linéaire à des noyaux polynomiaux d'ordre supérieur.",machine_learning,"['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']",1,"Question: Déclaration 1 Les machines vectorielles de support, comme les modèles de régression logistique, donnent une distribution de probabilité sur les étiquettes possibles compte tenu d'un exemple d'entrée Nous nous attendrions à ce que les vecteurs de support restent les mêmes en général lorsque nous passons d'un noyau linéaire à des noyaux polynomiaux d'ordre supérieur.

Choix: ['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']

Réponse: Faux, Faux"
"Un problème d'apprentissage automatique implique quatre attributs plus une classe Les attributs ont chacun 3, 2, 2 et 2 valeurs possibles La classe a 3 valeurs possibles Combien d'exemples différents au maximum sont possibles ?",machine_learning,"['Nom de l'entreprise:', 'Il y en a vingt-quatre.', 'Il y en a quatre-vingt-huit.', 'Résolution du Parlement européen']",3,"Question: Un problème d'apprentissage automatique implique quatre attributs plus une classe Les attributs ont chacun 3, 2, 2 et 2 valeurs possibles La classe a 3 valeurs possibles Combien d'exemples différents au maximum sont possibles ?

Choix: ['Nom de l'entreprise:', 'Il y en a vingt-quatre.', 'Il y en a quatre-vingt-huit.', 'Résolution du Parlement européen']

Réponse: Résolution du Parlement européen"
"À partir de 2020, quelle architecture est la meilleure pour classer les images haute résolution ?",machine_learning,"['réseaux convolutifs', 'réseaux de graphes', 'réseaux entièrement connectés', 'Réseaux RBF']",0,"Question: À partir de 2020, quelle architecture est la meilleure pour classer les images haute résolution ?

Choix: ['réseaux convolutifs', 'réseaux de graphes', 'réseaux entièrement connectés', 'Réseaux RBF']

Réponse: réseaux convolutifs"
La probabilité logarithmique des données augmentera toujours au cours des itérations successives de l'algorithme de maximisation des attentes. L'un des inconvénients du Q-learning est qu'il ne peut être utilisé que lorsque l'apprenant a des connaissances préalables sur la façon dont ses actions affectent son environnement.,machine_learning,"['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']",1,"Question: La probabilité logarithmique des données augmentera toujours au cours des itérations successives de l'algorithme de maximisation des attentes. L'un des inconvénients du Q-learning est qu'il ne peut être utilisé que lorsque l'apprenant a des connaissances préalables sur la façon dont ses actions affectent son environnement.

Choix: ['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']

Réponse: Faux, Faux"
Disons que nous avons calculé le gradient de notre fonction de coût et l'avons stocké dans un vecteur g. Quel est le coût d'une mise à jour de la descente du gradient compte tenu du gradient?,machine_learning,"['Nom de l'établissement', 'Nom de l'établissement', 'Nom de l'établissement', 'Il s'agit d'un groupe d'experts.']",0,"Question: Disons que nous avons calculé le gradient de notre fonction de coût et l'avons stocké dans un vecteur g. Quel est le coût d'une mise à jour de la descente du gradient compte tenu du gradient?

Choix: ['Nom de l'établissement', 'Nom de l'établissement', 'Nom de l'établissement', 'Il s'agit d'un groupe d'experts.']

Réponse: Nom de l'établissement"
"Pour une variable aléatoire continue x et sa fonction de distribution de probabilité p(x), il est considéré que 0 ≤ p(x) ≤ 1 pour tout x L'arbre de décision est appris en minimisant le gain d'information.",machine_learning,"['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']",1,"Question: Pour une variable aléatoire continue x et sa fonction de distribution de probabilité p(x), il est considéré que 0 ≤ p(x) ≤ 1 pour tout x L'arbre de décision est appris en minimisant le gain d'information.

Choix: ['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']

Réponse: Faux, Faux"
Considérons le réseau bayésien donné ci-dessous. Combien de paramètres indépendants sont nécessaires pour ce réseau bayésien H -> U <- P <- W?,machine_learning,"['Nom de l'entreprise', 'Nom de l'entreprise:', 'Nom de l'entreprise', 'Nom de l'entreprise:']",2,"Question: Considérons le réseau bayésien donné ci-dessous. Combien de paramètres indépendants sont nécessaires pour ce réseau bayésien H -> U <- P <- W?

Choix: ['Nom de l'entreprise', 'Nom de l'entreprise:', 'Nom de l'entreprise', 'Nom de l'entreprise:']

Réponse: Nom de l'entreprise"
"Comme le nombre d'exemples d'entraînement va à l'infini, votre modèle formé sur ces données aura:",machine_learning,"['Variance inférieure', 'Variance plus élevée', 'Même variance', 'Rien de ce qui précède']",0,"Question: Comme le nombre d'exemples d'entraînement va à l'infini, votre modèle formé sur ces données aura:

Choix: ['Variance inférieure', 'Variance plus élevée', 'Même variance', 'Rien de ce qui précède']

Réponse: Variance inférieure"
L'ensemble de tous les rectangles dans le plan 2D (qui comprend les rectangles non alignés sur les axes) peut briser un ensemble de 5 points La dimension VC du classificateur de voisinage le plus proche k lorsque k = 1 est infini.,machine_learning,"['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']",0,"Question: L'ensemble de tous les rectangles dans le plan 2D (qui comprend les rectangles non alignés sur les axes) peut briser un ensemble de 5 points La dimension VC du classificateur de voisinage le plus proche k lorsque k = 1 est infini.

Choix: ['C'est vrai, c'est vrai', 'Faux, Faux', 'Vrai ou faux', 'Faux, vrai']

Réponse: C'est vrai, c'est vrai"
