question,subject,choices,answer,qa
Laquelle des affirmations suivantes exprime une relation entre le vieillissement et le fonctionnement sexuel ?,professional_psychology,"['Le vieillissement est lié à une augmentation de la lubrification vaginale.', 'Le vieillissement est associé à une augmentation de la fréquence et du nombre de contractions orgasmiques chez les deux sexes.', 'Il n' y a pas de relation significative entre le vieillissement et les réponses sexuelles chez les deux sexes.', 'Le vieillissement est lié à une certaine perte de rigidité érectile chez les hommes.']",3,"Question: Laquelle des affirmations suivantes exprime une relation entre le vieillissement et le fonctionnement sexuel ?

Choix: ['Le vieillissement est lié à une augmentation de la lubrification vaginale.', 'Le vieillissement est associé à une augmentation de la fréquence et du nombre de contractions orgasmiques chez les deux sexes.', 'Il n' y a pas de relation significative entre le vieillissement et les réponses sexuelles chez les deux sexes.', 'Le vieillissement est lié à une certaine perte de rigidité érectile chez les hommes.']

Réponse: Le vieillissement est lié à une certaine perte de rigidité érectile chez les hommes."
"Selon Piaget, les enfants sont ___________.",professional_psychology,"['Des ardoises blanches', 'Moins intelligents que les adultes', 'Les petits scientifiques', 'Formé par la culture']",2,"Question: Selon Piaget, les enfants sont ___________.

Choix: ['Des ardoises blanches', 'Moins intelligents que les adultes', 'Les petits scientifiques', 'Formé par la culture']

Réponse: Les petits scientifiques"
"Si un essai présente une erreur de mesure standard de 15 points, il est correct de conclure que",professional_psychology,"['environ 68% des scores observés pour la population d'essai se situent à moins de 15 points du score moyen', 'environ 68% des individus avec un score de guérison donné auront des scores observés à moins de 15 points du score réel', 'environ 15% des scores sont erronés (c'est-à-dire qu'ils ne mesurent pas le trait de manière fiable)', 'des différences allant jusqu'à 30 points représentent le même score réel']",1,"Question: Si un essai présente une erreur de mesure standard de 15 points, il est correct de conclure que

Choix: ['environ 68% des scores observés pour la population d'essai se situent à moins de 15 points du score moyen', 'environ 68% des individus avec un score de guérison donné auront des scores observés à moins de 15 points du score réel', 'environ 15% des scores sont erronés (c'est-à-dire qu'ils ne mesurent pas le trait de manière fiable)', 'des différences allant jusqu'à 30 points représentent le même score réel']

Réponse: environ 68% des individus avec un score de guérison donné auront des scores observés à moins de 15 points du score réel"
Toute substance qui peut avoir un impact négatif sur le développement du fœtus est ___________.,professional_psychology,"['Un Apgar', 'Un tératogène', 'Seulement un problème dans les 6 premières semaines', 'Une substance réglementée']",1,"Question: Toute substance qui peut avoir un impact négatif sur le développement du fœtus est ___________.

Choix: ['Un Apgar', 'Un tératogène', 'Seulement un problème dans les 6 premières semaines', 'Une substance réglementée']

Réponse: Un tératogène"
"Si vous étiez engagé par une grande entreprise pour développer un nouveau programme de formation, votre première étape serait probablement d'effectuer un:",professional_psychology,"['Il faut l'analyser.', 'évaluation de l'emploi.', 'une évaluation sommative.', 'évaluation formative.']",0,"Question: Si vous étiez engagé par une grande entreprise pour développer un nouveau programme de formation, votre première étape serait probablement d'effectuer un:

Choix: ['Il faut l'analyser.', 'évaluation de l'emploi.', 'une évaluation sommative.', 'évaluation formative.']

Réponse: Il faut l'analyser."
Les praticiens de la psychothérapie Gestalt considèrent le désir d'un client de parler de son passé comme:,professional_psychology,"['Une stratégie utile pour aider le client à comprendre le présent.', 'Un moyen pour le client d'éviter de se réconcilier avec le présent.', ''la 'deuxième couche' de la thérapie'.', ''un moyen d'obtenir une 'fermeture' à la fin de la thérapie'.']",1,"Question: Les praticiens de la psychothérapie Gestalt considèrent le désir d'un client de parler de son passé comme:

Choix: ['Une stratégie utile pour aider le client à comprendre le présent.', 'Un moyen pour le client d'éviter de se réconcilier avec le présent.', ''la 'deuxième couche' de la thérapie'.', ''un moyen d'obtenir une 'fermeture' à la fin de la thérapie'.']

Réponse: Un moyen pour le client d'éviter de se réconcilier avec le présent."
"En ce qui concerne la mémoire, le vieillissement est le plus étroitement associé à un déclin de",professional_psychology,"['l'efficacité des processus de mémoire contrôlés', 'compétences en méta-mémoire, ou connaissance de la mémoire', 'mémoire de reconnaissance', 'la quantité de connaissances de mémoire factuelle disponible']",0,"Question: En ce qui concerne la mémoire, le vieillissement est le plus étroitement associé à un déclin de

Choix: ['l'efficacité des processus de mémoire contrôlés', 'compétences en méta-mémoire, ou connaissance de la mémoire', 'mémoire de reconnaissance', 'la quantité de connaissances de mémoire factuelle disponible']

Réponse: l'efficacité des processus de mémoire contrôlés"
"Un client de 66 ans qui est déprimé, a des mouvements de la main rythmiques, et a un effet aplati est probablement souffrant de",professional_psychology,"['Maladie de Parkinson', 'Démence vasculaire', 'une tumeur du lobe frontal droit', 'Maladie d'Alzheimer']",0,"Question: Un client de 66 ans qui est déprimé, a des mouvements de la main rythmiques, et a un effet aplati est probablement souffrant de

Choix: ['Maladie de Parkinson', 'Démence vasculaire', 'une tumeur du lobe frontal droit', 'Maladie d'Alzheimer']

Réponse: Maladie de Parkinson"
"Un vendredi après-midi, juste avant de partir pour un week-end, un psychologue reçoit un appel d'un client de thérapie qui prétend avoir pris une overdose de pilules dans une tentative de suicide. Le psychologue dit au client d'appeler un médecin immédiatement et de venir à 9 h. le lundi pour une séance Le psychologue ne fait aucune autre tentative d'intervention, et le client meurt plus tard dans la soirée sans faire d'autres appels pour obtenir de l'aide. Dans cette situation, le comportement du psychologue était clairement",professional_psychology,"['contraire à l'éthique, parce que les besoins du client n'ont pas été abordés plus directement', 'contraire à l'éthique, parce que le psychologue aurait dû retarder le voyage et donner au client un rendez-vous pour cet après-midi', 'contraire à l'éthique, parce que le psychologue aurait dû appeler un médecin directement', 'l'éthique, parce qu'il n'était pas possible de déterminer si oui ou non le client était manipulateur']",0,"Question: Un vendredi après-midi, juste avant de partir pour un week-end, un psychologue reçoit un appel d'un client de thérapie qui prétend avoir pris une overdose de pilules dans une tentative de suicide. Le psychologue dit au client d'appeler un médecin immédiatement et de venir à 9 h. le lundi pour une séance Le psychologue ne fait aucune autre tentative d'intervention, et le client meurt plus tard dans la soirée sans faire d'autres appels pour obtenir de l'aide. Dans cette situation, le comportement du psychologue était clairement

Choix: ['contraire à l'éthique, parce que les besoins du client n'ont pas été abordés plus directement', 'contraire à l'éthique, parce que le psychologue aurait dû retarder le voyage et donner au client un rendez-vous pour cet après-midi', 'contraire à l'éthique, parce que le psychologue aurait dû appeler un médecin directement', 'l'éthique, parce qu'il n'était pas possible de déterminer si oui ou non le client était manipulateur']

Réponse: contraire à l'éthique, parce que les besoins du client n'ont pas été abordés plus directement"
Un thérapeute de famille utilisant l'approche structurelle de Salvador Minuchin serait très probablement:,professional_psychology,"['clarifier les frontières entre les membres de la famille afin de réduire l'enchevêtrement.', 'Il s'agit d'abord de travailler avec le membre de la famille le plus différencié.', ''Utilisez une équipe de plusieurs thérapeutes pour éviter qu'un seul thérapeute devienne' triangulaire 'dans le système familial'.', ''d'émettre des 'directives' spécifiques conçues pour contrer les processus dysfonctionnels'.']",0,"Question: Un thérapeute de famille utilisant l'approche structurelle de Salvador Minuchin serait très probablement:

Choix: ['clarifier les frontières entre les membres de la famille afin de réduire l'enchevêtrement.', 'Il s'agit d'abord de travailler avec le membre de la famille le plus différencié.', ''Utilisez une équipe de plusieurs thérapeutes pour éviter qu'un seul thérapeute devienne' triangulaire 'dans le système familial'.', ''d'émettre des 'directives' spécifiques conçues pour contrer les processus dysfonctionnels'.']

Réponse: clarifier les frontières entre les membres de la famille afin de réduire l'enchevêtrement."
