question,subject,choices,answer,qa
लघुदृष्टि का परिणाम,high_school_psychology,"['कॉर्निया और लेंस का बहुत अधिक वक्रता', 'कॉर्निया और लेंस का बहुत कम वक्रता', 'आईरिस और लेंस की बहुत अधिक वक्रता', 'आईरिस और लेंस का बहुत कम वक्रता']",0,"प्रश्न: लघुदृष्टि का परिणाम

उत्तर विकल्प: ['कॉर्निया और लेंस का बहुत अधिक वक्रता', 'कॉर्निया और लेंस का बहुत कम वक्रता', 'आईरिस और लेंस की बहुत अधिक वक्रता', 'आईरिस और लेंस का बहुत कम वक्रता']

उत्तर: कॉर्निया और लेंस का बहुत अधिक वक्रता"
भव्यता के भ्रम की सबसे अधिक विशेषता है,high_school_psychology,"['ओसीडी।', 'सिज़ोफ्रेनिया।', 'रूपांतरण विकार', 'असामाजिक व्यक्तित्व विकार।']",1,"प्रश्न: भव्यता के भ्रम की सबसे अधिक विशेषता है

उत्तर विकल्प: ['ओसीडी।', 'सिज़ोफ्रेनिया।', 'रूपांतरण विकार', 'असामाजिक व्यक्तित्व विकार।']

उत्तर: सिज़ोफ्रेनिया।"
अब्राहम मास्लो ने इस विचार को प्रस्तावित किया कि कुछ प्रेरणाएं दूसरों की तुलना में जीवित रहने के लिए अधिक आवश्यक हैं। निम्नलिखित दृष्टिकोणों में से कौन सा इसे व्यक्त करता है?,high_school_psychology,"['होमियोस्टेटिक विनियमन', 'लक्ष्य निर्धारण', 'अपेक्षित मूल्य', 'जरूरतों का पदानुक्रम']",3,"प्रश्न: अब्राहम मास्लो ने इस विचार को प्रस्तावित किया कि कुछ प्रेरणाएं दूसरों की तुलना में जीवित रहने के लिए अधिक आवश्यक हैं। निम्नलिखित दृष्टिकोणों में से कौन सा इसे व्यक्त करता है?

उत्तर विकल्प: ['होमियोस्टेटिक विनियमन', 'लक्ष्य निर्धारण', 'अपेक्षित मूल्य', 'जरूरतों का पदानुक्रम']

उत्तर: जरूरतों का पदानुक्रम"
"परीक्षण निर्माण और मूल्यांकन में, वैधता उस डिग्री को संदर्भित करती है जिसमें एक परीक्षण",high_school_psychology,"['मापता है जो यह मापने का दावा करता है', 'लगातार प्रशासनों पर सुसंगत परिणाम देता है', 'पायलट किया गया है और सांख्यिकीय रूप से विश्लेषण किया गया है', 'सामान्य जनसंख्या के प्रतिनिधि नमूने पर आधारित मानदंडों को शामिल करता है']",0,"प्रश्न: परीक्षण निर्माण और मूल्यांकन में, वैधता उस डिग्री को संदर्भित करती है जिसमें एक परीक्षण

उत्तर विकल्प: ['मापता है जो यह मापने का दावा करता है', 'लगातार प्रशासनों पर सुसंगत परिणाम देता है', 'पायलट किया गया है और सांख्यिकीय रूप से विश्लेषण किया गया है', 'सामान्य जनसंख्या के प्रतिनिधि नमूने पर आधारित मानदंडों को शामिल करता है']

उत्तर: मापता है जो यह मापने का दावा करता है"
लैरी पी. बनाम राइल्स में स्थापित मिसाल के परिणामस्वरूप,high_school_psychology,"['विकलांग छात्रों के लिए निःशुल्क, उपयुक्त सार्वजनिक शिक्षा प्रदान करना', 'अंग्रेजी भाषी शिक्षार्थियों के लिए द्विभाषी शिक्षा प्रदान करना', 'स्कूलों को नस्ल के आधार पर भेदभाव न करने वाले परीक्षण प्रदान करने के लिए जिम्मेदार ठहराया जा रहा है', 'लड़कों और लड़कियों के लिए खेल गतिविधियों के लिए इसी तरह के वित्त पोषण का आवंटन']",2,"प्रश्न: लैरी पी. बनाम राइल्स में स्थापित मिसाल के परिणामस्वरूप

उत्तर विकल्प: ['विकलांग छात्रों के लिए निःशुल्क, उपयुक्त सार्वजनिक शिक्षा प्रदान करना', 'अंग्रेजी भाषी शिक्षार्थियों के लिए द्विभाषी शिक्षा प्रदान करना', 'स्कूलों को नस्ल के आधार पर भेदभाव न करने वाले परीक्षण प्रदान करने के लिए जिम्मेदार ठहराया जा रहा है', 'लड़कों और लड़कियों के लिए खेल गतिविधियों के लिए इसी तरह के वित्त पोषण का आवंटन']

उत्तर: स्कूलों को नस्ल के आधार पर भेदभाव न करने वाले परीक्षण प्रदान करने के लिए जिम्मेदार ठहराया जा रहा है"
क्लोन आबादी के लक्षणों के लिए आनुवंशिकता है,high_school_psychology,"['0%', '25%', '50%', '75%']",0,"प्रश्न: क्लोन आबादी के लक्षणों के लिए आनुवंशिकता है

उत्तर विकल्प: ['0%', '25%', '50%', '75%']

उत्तर: 0%"
निम्नलिखित में से कौन सा सांख्यिकी सबसे अधिक जानकारी प्रदान करता है कि स्कोर का वितरण कितना फैला हुआ है?,high_school_psychology,"['भिन्नता', 'अर्थ', 'सीमा', 'मध्यवर्ती']",0,"प्रश्न: निम्नलिखित में से कौन सा सांख्यिकी सबसे अधिक जानकारी प्रदान करता है कि स्कोर का वितरण कितना फैला हुआ है?

उत्तर विकल्प: ['भिन्नता', 'अर्थ', 'सीमा', 'मध्यवर्ती']

उत्तर: भिन्नता"
नेशनल एसोसिएशन ऑफ स्कूल साइकोलॉजिस्ट्स (एनएएसपी) द्वारा प्रकाशित स्थिति वक्तव्य के अनुसार स्कूल मनोविज्ञान में पर्यवेक्षण निम्नलिखित में से कौन सा स्कूल मनोवैज्ञानिकों के बारे में सबसे सटीक है जो एक स्कूल जिले में पर्यवेक्षण करेंगे?,high_school_psychology,"['उन्हें केवल स्कूल मनोवैज्ञानिकों को पर्यवेक्षण प्रदान करने की आवश्यकता है जो पूरी तरह से प्रमाणित या लाइसेंस प्राप्त नहीं हैं और किसी भी स्कूल मनोविज्ञान इंटर्न को।', 'उन्हें पेशेवर पर्यवेक्षण प्रदान करना चाहिए लेकिन प्रशासनिक पर्यवेक्षण नहीं।', 'वे स्कूल मनोवैज्ञानिक के रूप में एक वर्ष के अनुभव के बाद पर्यवेक्षकों के रूप में कार्य करने के लिए पात्र हैं।', 'उन्हें नेशनल सर्टिफाइड स्कूल साइकोलॉजिस्ट क्रेडेंशियल या स्टेट स्कूल साइकोलॉजिस्ट क्रेडेंशियल होना चाहिए।']",3,"प्रश्न: नेशनल एसोसिएशन ऑफ स्कूल साइकोलॉजिस्ट्स (एनएएसपी) द्वारा प्रकाशित स्थिति वक्तव्य के अनुसार स्कूल मनोविज्ञान में पर्यवेक्षण निम्नलिखित में से कौन सा स्कूल मनोवैज्ञानिकों के बारे में सबसे सटीक है जो एक स्कूल जिले में पर्यवेक्षण करेंगे?

उत्तर विकल्प: ['उन्हें केवल स्कूल मनोवैज्ञानिकों को पर्यवेक्षण प्रदान करने की आवश्यकता है जो पूरी तरह से प्रमाणित या लाइसेंस प्राप्त नहीं हैं और किसी भी स्कूल मनोविज्ञान इंटर्न को।', 'उन्हें पेशेवर पर्यवेक्षण प्रदान करना चाहिए लेकिन प्रशासनिक पर्यवेक्षण नहीं।', 'वे स्कूल मनोवैज्ञानिक के रूप में एक वर्ष के अनुभव के बाद पर्यवेक्षकों के रूप में कार्य करने के लिए पात्र हैं।', 'उन्हें नेशनल सर्टिफाइड स्कूल साइकोलॉजिस्ट क्रेडेंशियल या स्टेट स्कूल साइकोलॉजिस्ट क्रेडेंशियल होना चाहिए।']

उत्तर: उन्हें नेशनल सर्टिफाइड स्कूल साइकोलॉजिस्ट क्रेडेंशियल या स्टेट स्कूल साइकोलॉजिस्ट क्रेडेंशियल होना चाहिए।"
"डैन ने 30 शब्दावली शब्दों की सूची केवल एक बार पढ़ी। यदि वह विशिष्ट है और सीरियल पोजीशन प्रभाव दिखाता है, तो हम उम्मीद करेंगे कि जो शब्द उसे दो दिन बाद याद हैं वे हैं",high_school_psychology,"['सूची की शुरुआत में', 'सूची के मध्य में', 'सूची के अंत में', 'सूची में वितरित']",0,"प्रश्न: डैन ने 30 शब्दावली शब्दों की सूची केवल एक बार पढ़ी। यदि वह विशिष्ट है और सीरियल पोजीशन प्रभाव दिखाता है, तो हम उम्मीद करेंगे कि जो शब्द उसे दो दिन बाद याद हैं वे हैं

उत्तर विकल्प: ['सूची की शुरुआत में', 'सूची के मध्य में', 'सूची के अंत में', 'सूची में वितरित']

उत्तर: सूची की शुरुआत में"
"किस विकासात्मक चरण के सिद्धांत ने समझाया कि शिशु, बचपन, किशोरावस्था, वयस्कता और बुढ़ापे के अनुभव बाद में व्यक्तित्व विशेषताओं को कैसे प्रभावित करते हैं?",high_school_psychology,"['पियाजे का संज्ञानात्मक विकास सिद्धांत', 'एरिक्सन का मनोसामाजिक चरण सिद्धांत', 'कोल्बर्ग का नैतिक विकास सिद्धांत', 'ऐन्सवर्थ का सामाजिक अनुलग्नक सिद्धांत']",1,"प्रश्न: किस विकासात्मक चरण के सिद्धांत ने समझाया कि शिशु, बचपन, किशोरावस्था, वयस्कता और बुढ़ापे के अनुभव बाद में व्यक्तित्व विशेषताओं को कैसे प्रभावित करते हैं?

उत्तर विकल्प: ['पियाजे का संज्ञानात्मक विकास सिद्धांत', 'एरिक्सन का मनोसामाजिक चरण सिद्धांत', 'कोल्बर्ग का नैतिक विकास सिद्धांत', 'ऐन्सवर्थ का सामाजिक अनुलग्नक सिद्धांत']

उत्तर: एरिक्सन का मनोसामाजिक चरण सिद्धांत"
