question,subject,choices,answer,qa
कौन सा कथन हार्ट के 'अनिवार्य होने' और 'अनिवार्य होने' के बीच के अंतर के उद्देश्य को सबसे अच्छी तरह से समझाता है?,jurisprudence,"['यह एक नियम के आंतरिक और बाहरी पहलू के बीच अंतर को दर्शाता है।', 'यह कानून में नैतिकता की भूमिका के प्राकृतिक वकील के दृष्टिकोण का खंडन करता है।', 'यह शक्ति-प्रदान करने वाले नियमों की प्रकृति को स्पष्ट करता है।', 'यह नियम की अवधारणा पर प्रकाश डालता है।']",3,"प्रश्न: कौन सा कथन हार्ट के 'अनिवार्य होने' और 'अनिवार्य होने' के बीच के अंतर के उद्देश्य को सबसे अच्छी तरह से समझाता है?

उत्तर विकल्प: ['यह एक नियम के आंतरिक और बाहरी पहलू के बीच अंतर को दर्शाता है।', 'यह कानून में नैतिकता की भूमिका के प्राकृतिक वकील के दृष्टिकोण का खंडन करता है।', 'यह शक्ति-प्रदान करने वाले नियमों की प्रकृति को स्पष्ट करता है।', 'यह नियम की अवधारणा पर प्रकाश डालता है।']

उत्तर: यह नियम की अवधारणा पर प्रकाश डालता है।"
मेन की प्रसिद्ध कहावत कि 'प्रगतिशील समाजों का आंदोलन अब तक स्टेटस से कॉन्ट्रैक्ट तक का आंदोलन रहा है' को अक्सर गलत समझा जाता है। किस तरह से?,jurisprudence,"['इसे भविष्यवाणी के रूप में गलत समझा जाता है।', 'उनकी स्थिति की अवधारणा को गलत तरीके से प्रस्तुत किया गया है।', 'इसे शाब्दिक रूप से लिया गया है।', 'उनके विचार को पश्चिमी कानूनी प्रणालियों पर लागू नहीं माना जाता है।']",0,"प्रश्न: मेन की प्रसिद्ध कहावत कि 'प्रगतिशील समाजों का आंदोलन अब तक स्टेटस से कॉन्ट्रैक्ट तक का आंदोलन रहा है' को अक्सर गलत समझा जाता है। किस तरह से?

उत्तर विकल्प: ['इसे भविष्यवाणी के रूप में गलत समझा जाता है।', 'उनकी स्थिति की अवधारणा को गलत तरीके से प्रस्तुत किया गया है।', 'इसे शाब्दिक रूप से लिया गया है।', 'उनके विचार को पश्चिमी कानूनी प्रणालियों पर लागू नहीं माना जाता है।']

उत्तर: इसे भविष्यवाणी के रूप में गलत समझा जाता है।"
निम्नलिखित में से किन कारकों ने 20 वीं शताब्दी में प्राकृतिक कानून के पुनरुद्धार में महत्वपूर्ण योगदान दिया?,jurisprudence,"['1930 के दशक की मंदी', 'फासीवाद का उदय', 'द्वितीय विश्व युद्ध के बाद मानवाधिकारों की अंतर्राष्ट्रीय मान्यता', 'बोल्शेविक क्रांति']",2,"प्रश्न: निम्नलिखित में से किन कारकों ने 20 वीं शताब्दी में प्राकृतिक कानून के पुनरुद्धार में महत्वपूर्ण योगदान दिया?

उत्तर विकल्प: ['1930 के दशक की मंदी', 'फासीवाद का उदय', 'द्वितीय विश्व युद्ध के बाद मानवाधिकारों की अंतर्राष्ट्रीय मान्यता', 'बोल्शेविक क्रांति']

उत्तर: द्वितीय विश्व युद्ध के बाद मानवाधिकारों की अंतर्राष्ट्रीय मान्यता"
कानूनी तर्क की भव्य और औपचारिक शैलियों के बीच लेवेलिन की भेदभाव की निम्नलिखित आलोचनाओं में से कौन सी सबसे सम्मोहक है?,jurisprudence,"['कानूनी तर्क के दो रूपों के बीच कोई भेद नहीं है।', 'न्यायाधीशों को कानून की व्याख्या करने के लिए नियुक्त किया जाता है, इसे बनाने के लिए नहीं।', 'यह इस तरह से कबूतर-छेद न्यायाधीशों के लिए भ्रामक है।', 'न्यायिक तर्क हमेशा औपचारिक होता है।']",2,"प्रश्न: कानूनी तर्क की भव्य और औपचारिक शैलियों के बीच लेवेलिन की भेदभाव की निम्नलिखित आलोचनाओं में से कौन सी सबसे सम्मोहक है?

उत्तर विकल्प: ['कानूनी तर्क के दो रूपों के बीच कोई भेद नहीं है।', 'न्यायाधीशों को कानून की व्याख्या करने के लिए नियुक्त किया जाता है, इसे बनाने के लिए नहीं।', 'यह इस तरह से कबूतर-छेद न्यायाधीशों के लिए भ्रामक है।', 'न्यायिक तर्क हमेशा औपचारिक होता है।']

उत्तर: यह इस तरह से कबूतर-छेद न्यायाधीशों के लिए भ्रामक है।"
निम्नलिखित में से कौन सा प्रस्ताव रॉल्स के दावों के साथ सबसे अधिक सुसंगत है कि पीओपी 'सामाजिक प्राथमिक वस्तुओं' के संबंध में क्या चुनता है?,jurisprudence,"['पीओपी एक दयालु समाज पर धन का चयन करेगा।', 'पीओपी सत्ता पर समानता का चुनाव करेगा।', 'पीओपी निस्वार्थ होगा।', 'पीओपी विकलांगों की रक्षा करना चुन लेगा।']",0,"प्रश्न: निम्नलिखित में से कौन सा प्रस्ताव रॉल्स के दावों के साथ सबसे अधिक सुसंगत है कि पीओपी 'सामाजिक प्राथमिक वस्तुओं' के संबंध में क्या चुनता है?

उत्तर विकल्प: ['पीओपी एक दयालु समाज पर धन का चयन करेगा।', 'पीओपी सत्ता पर समानता का चुनाव करेगा।', 'पीओपी निस्वार्थ होगा।', 'पीओपी विकलांगों की रक्षा करना चुन लेगा।']

उत्तर: पीओपी एक दयालु समाज पर धन का चयन करेगा।"
________ स्कूल का मानना है कि बाजार दक्षता को बढ़ावा देना कानूनी निर्णय लेने का केंद्रीय लक्ष्य होना चाहिए।,jurisprudence,"['कानून और अर्थशास्त्र', 'आलोचनात्मक विधिक अध्ययन', 'ऐतिहासिक', 'प्राकृतिक नियम']",0,"प्रश्न: ________ स्कूल का मानना है कि बाजार दक्षता को बढ़ावा देना कानूनी निर्णय लेने का केंद्रीय लक्ष्य होना चाहिए।

उत्तर विकल्प: ['कानून और अर्थशास्त्र', 'आलोचनात्मक विधिक अध्ययन', 'ऐतिहासिक', 'प्राकृतिक नियम']

उत्तर: कानून और अर्थशास्त्र"
निम्नलिखित में से कौन सा कथन ऑस्टिन के तर्क से तार्किक रूप से अनुसरण करने की सबसे कम संभावना है कि एक प्रतिबंध में सबसे छोटी बुराई का सामना करने की सबसे छोटी संभावना शामिल है?,jurisprudence,"['सभी आदेशों में कुछ दंड शामिल होते हैं।', 'आदेश की अवधारणा में यह संभावना शामिल है कि आदेश का पालन न करने पर दंड दिया जाएगा।', 'अनुमोदन के बिना केवल एक इच्छा की अभिव्यक्ति एक आदेश नहीं है।', 'एक आदेश किसी की कानूनी स्थिति को बदलने की शक्ति प्रदान करता है।']",3,"प्रश्न: निम्नलिखित में से कौन सा कथन ऑस्टिन के तर्क से तार्किक रूप से अनुसरण करने की सबसे कम संभावना है कि एक प्रतिबंध में सबसे छोटी बुराई का सामना करने की सबसे छोटी संभावना शामिल है?

उत्तर विकल्प: ['सभी आदेशों में कुछ दंड शामिल होते हैं।', 'आदेश की अवधारणा में यह संभावना शामिल है कि आदेश का पालन न करने पर दंड दिया जाएगा।', 'अनुमोदन के बिना केवल एक इच्छा की अभिव्यक्ति एक आदेश नहीं है।', 'एक आदेश किसी की कानूनी स्थिति को बदलने की शक्ति प्रदान करता है।']

उत्तर: एक आदेश किसी की कानूनी स्थिति को बदलने की शक्ति प्रदान करता है।"
वेबर 'इंग्लैंड समस्या' को कैसे हल करते हैं?,jurisprudence,"['इसके अस्तित्व से इनकार करके।', 'कॉमन लॉ और सिविल लॉ के बीच का अंतर समझाकर।', 'अंग्रेजी कानूनी व्यवस्था की कुछ विशेषताओं को अलग करके जो पूंजीवाद के विकास को सुगम बनाती है।', 'वैध प्रभुत्व के महत्व को पहचान कर।']",2,"प्रश्न: वेबर 'इंग्लैंड समस्या' को कैसे हल करते हैं?

उत्तर विकल्प: ['इसके अस्तित्व से इनकार करके।', 'कॉमन लॉ और सिविल लॉ के बीच का अंतर समझाकर।', 'अंग्रेजी कानूनी व्यवस्था की कुछ विशेषताओं को अलग करके जो पूंजीवाद के विकास को सुगम बनाती है।', 'वैध प्रभुत्व के महत्व को पहचान कर।']

उत्तर: अंग्रेजी कानूनी व्यवस्था की कुछ विशेषताओं को अलग करके जो पूंजीवाद के विकास को सुगम बनाती है।"
प्राकृतिक कानून की सिसेरो की अवधारणा 'इस विचार पर आधारित है कि 'सच्चा कानून प्रकृति के साथ समझौते में सही कारण है। कारण एक महत्वपूर्ण तत्व है क्योंकि:,jurisprudence,"['मनुष्य के लिए तर्क का प्रयोग न करना पाप है।', 'प्राकृतिक नियम के सिद्धान्तों की खोज तर्क द्वारा की जा सकती है।', 'प्राकृतिक नियम बिना उचित कारण के लागू नहीं होते।', 'प्रकृति का नियम सभी सकारात्मक नियमों का आधार है।']",1,"प्रश्न: प्राकृतिक कानून की सिसेरो की अवधारणा 'इस विचार पर आधारित है कि 'सच्चा कानून प्रकृति के साथ समझौते में सही कारण है। कारण एक महत्वपूर्ण तत्व है क्योंकि:

उत्तर विकल्प: ['मनुष्य के लिए तर्क का प्रयोग न करना पाप है।', 'प्राकृतिक नियम के सिद्धान्तों की खोज तर्क द्वारा की जा सकती है।', 'प्राकृतिक नियम बिना उचित कारण के लागू नहीं होते।', 'प्रकृति का नियम सभी सकारात्मक नियमों का आधार है।']

उत्तर: प्राकृतिक नियम के सिद्धान्तों की खोज तर्क द्वारा की जा सकती है।"
"कैथरीन मैकिन्नोन का तर्क है कि चूंकि पुरुष महिलाओं पर हावी हैं, इसलिए सवाल अंततः सत्ता का है। इस तर्क के साथ नीचे कौन सा प्रस्ताव सबसे अधिक असंगत है?",jurisprudence,"['महिलाएं राजनीतिक दबाव के माध्यम से समानता प्राप्त कर सकती हैं।', 'समानता असंभव है क्योंकि पुरुष महिलाओं को अलग तरह से परिभाषित करते हैं।', ''महिला' के विचार को फिर से परिभाषित करने की आवश्यकता है।', 'दुनिया भ्रांतिकारी और दमनकारी है।']",0,"प्रश्न: कैथरीन मैकिन्नोन का तर्क है कि चूंकि पुरुष महिलाओं पर हावी हैं, इसलिए सवाल अंततः सत्ता का है। इस तर्क के साथ नीचे कौन सा प्रस्ताव सबसे अधिक असंगत है?

उत्तर विकल्प: ['महिलाएं राजनीतिक दबाव के माध्यम से समानता प्राप्त कर सकती हैं।', 'समानता असंभव है क्योंकि पुरुष महिलाओं को अलग तरह से परिभाषित करते हैं।', ''महिला' के विचार को फिर से परिभाषित करने की आवश्यकता है।', 'दुनिया भ्रांतिकारी और दमनकारी है।']

उत्तर: महिलाएं राजनीतिक दबाव के माध्यम से समानता प्राप्त कर सकती हैं।"
