question,subject,choices,answer,qa
"2016 तक, 18 वर्ष या उससे अधिक आयु के वयस्कों का लगभग कितना प्रतिशत अधिक वजन था?",global_facts,"['10%', '20%', '40%', '80%']",2,"प्रश्न: 2016 तक, 18 वर्ष या उससे अधिक आयु के वयस्कों का लगभग कितना प्रतिशत अधिक वजन था?

उत्तर विकल्प: ['10%', '20%', '40%', '80%']

उत्तर: 40%"
1850 में संयुक्त राज्य अमेरिका में प्रति व्यक्ति सकल घरेलू उत्पाद क्या था जब 2011 की कीमतों में मुद्रास्फीति और पीपीपी के लिए समायोजित किया गया था?,global_facts,"['लगभग $300', 'लगभग $3k', '$ 8k के बारे में', '$ 15k के बारे में']",1,"प्रश्न: 1850 में संयुक्त राज्य अमेरिका में प्रति व्यक्ति सकल घरेलू उत्पाद क्या था जब 2011 की कीमतों में मुद्रास्फीति और पीपीपी के लिए समायोजित किया गया था?

उत्तर विकल्प: ['लगभग $300', 'लगभग $3k', '$ 8k के बारे में', '$ 15k के बारे में']

उत्तर: लगभग $3k"
"2019 तक, संयुक्त राज्य अमेरिका के कितने प्रतिशत लोगों का कहना है कि समलैंगिकता को समाज द्वारा स्वीकार किया जाना चाहिए?",global_facts,"['52%', '62%', '72%', '82%']",2,"प्रश्न: 2019 तक, संयुक्त राज्य अमेरिका के कितने प्रतिशत लोगों का कहना है कि समलैंगिकता को समाज द्वारा स्वीकार किया जाना चाहिए?

उत्तर विकल्प: ['52%', '62%', '72%', '82%']

उत्तर: 72%"
निम्नलिखित में से किस देश ने 2019 में सौर स्रोतों से सबसे अधिक कुल ऊर्जा उत्पन्न की?,global_facts,"['चीन', 'संयुक्त राज्य अमेरिका', 'जर्मनी', 'जापान']",0,"प्रश्न: निम्नलिखित में से किस देश ने 2019 में सौर स्रोतों से सबसे अधिक कुल ऊर्जा उत्पन्न की?

उत्तर विकल्प: ['चीन', 'संयुक्त राज्य अमेरिका', 'जर्मनी', 'जापान']

उत्तर: चीन"
"मुद्रास्फीति और पीपीपी-समायोजन के लिए नियंत्रण, 1950 से 2016 तक जापान में प्रति व्यक्ति सकल घरेलू उत्पाद में कितनी वृद्धि हुई?",global_facts,"['5 गुना से', '10 गुना से', '15 गुना से', '20 गुना तक']",2,"प्रश्न: मुद्रास्फीति और पीपीपी-समायोजन के लिए नियंत्रण, 1950 से 2016 तक जापान में प्रति व्यक्ति सकल घरेलू उत्पाद में कितनी वृद्धि हुई?

उत्तर विकल्प: ['5 गुना से', '10 गुना से', '15 गुना से', '20 गुना तक']

उत्तर: 15 गुना से"
पांच वर्ष से कम आयु के बच्चों में मृत्यु का सबसे बड़ा कारण (2017 तक) क्या है?,global_facts,"['निचले श्वसन संक्रमण', 'समय से पहले जन्म की जटिलताएं', 'दस्त संबंधी रोग', 'मलेरिया']",0,"प्रश्न: पांच वर्ष से कम आयु के बच्चों में मृत्यु का सबसे बड़ा कारण (2017 तक) क्या है?

उत्तर विकल्प: ['निचले श्वसन संक्रमण', 'समय से पहले जन्म की जटिलताएं', 'दस्त संबंधी रोग', 'मलेरिया']

उत्तर: निचले श्वसन संक्रमण"
"2019 तक, वैश्विक आबादी का लगभग कितना प्रतिशत सुरक्षित पीने के पानी तक पहुंच नहीं रखता है?",global_facts,"['10%', '20%', '30%', '40%']",2,"प्रश्न: 2019 तक, वैश्विक आबादी का लगभग कितना प्रतिशत सुरक्षित पीने के पानी तक पहुंच नहीं रखता है?

उत्तर विकल्प: ['10%', '20%', '30%', '40%']

उत्तर: 30%"
भारत के सर्वेक्षण उत्तरदाताओं का लगभग कितना प्रतिशत 2017 तक सार्वजनिक सेवाओं (जैसे शिक्षा; न्यायपालिका; चिकित्सा और स्वास्थ्य; पुलिस; रजिस्ट्री और परमिट सेवाएं; उपयोगिताएं; कर राजस्व और सीमा शुल्क; और भूमि सेवा) का उपयोग करने के लिए पिछले वर्ष में रिश्वत का भुगतान करने की रिपोर्ट करता है?,global_facts,"['29%', '49%', '69%', '89%']",2,"प्रश्न: भारत के सर्वेक्षण उत्तरदाताओं का लगभग कितना प्रतिशत 2017 तक सार्वजनिक सेवाओं (जैसे शिक्षा; न्यायपालिका; चिकित्सा और स्वास्थ्य; पुलिस; रजिस्ट्री और परमिट सेवाएं; उपयोगिताएं; कर राजस्व और सीमा शुल्क; और भूमि सेवा) का उपयोग करने के लिए पिछले वर्ष में रिश्वत का भुगतान करने की रिपोर्ट करता है?

उत्तर विकल्प: ['29%', '49%', '69%', '89%']

उत्तर: 69%"
"2017 तक, ब्राजील की आबादी का कितना हिस्सा पिछले तीन महीनों में इंटरनेट का इस्तेमाल किया?",global_facts,"['18%', '38%', '58%', '78%']",2,"प्रश्न: 2017 तक, ब्राजील की आबादी का कितना हिस्सा पिछले तीन महीनों में इंटरनेट का इस्तेमाल किया?

उत्तर विकल्प: ['18%', '38%', '58%', '78%']

उत्तर: 58%"
"2017 तक, पिछले तीन महीनों में भारत की आबादी के कितने प्रतिशत लोगों ने इंटरनेट का इस्तेमाल किया है?",global_facts,"['11%', '26%', '41%', '56%']",1,"प्रश्न: 2017 तक, पिछले तीन महीनों में भारत की आबादी के कितने प्रतिशत लोगों ने इंटरनेट का इस्तेमाल किया है?

उत्तर विकल्प: ['11%', '26%', '41%', '56%']

उत्तर: 26%"
