question,subject,choices,answer,qa
सिर्फ युद्ध सिद्धांत के सैन्य आवश्यकता के सिद्धांत से संबंधित है,moral_disputes,"['जूस इन बेलो।', 'जूस एड बेलम।', 'नैतिक शून्यवाद।', 'उपरोक्त सभी']",0,"प्रश्न: सिर्फ युद्ध सिद्धांत के सैन्य आवश्यकता के सिद्धांत से संबंधित है

उत्तर विकल्प: ['जूस इन बेलो।', 'जूस एड बेलम।', 'नैतिक शून्यवाद।', 'उपरोक्त सभी']

उत्तर: जूस इन बेलो।"
"मिल के अनुसार, भाषण को सेंसर करना जो संभवतः सच है",moral_disputes,"['मानवीय गरिमा का उल्लंघन करता है।', 'ईमानदारी के एक prima facie कर्तव्य में विफल रहता है।', 'यह दावा करने के बराबर है कि आप अचूक हैं।', 'एक जोखिम लेने लायक है भाषण काफी खतरनाक है।']",2,"प्रश्न: मिल के अनुसार, भाषण को सेंसर करना जो संभवतः सच है

उत्तर विकल्प: ['मानवीय गरिमा का उल्लंघन करता है।', 'ईमानदारी के एक prima facie कर्तव्य में विफल रहता है।', 'यह दावा करने के बराबर है कि आप अचूक हैं।', 'एक जोखिम लेने लायक है भाषण काफी खतरनाक है।']

उत्तर: यह दावा करने के बराबर है कि आप अचूक हैं।"
वेस्ट का तर्क है कि नारीवादी बयानबाजी ने,moral_disputes,"['गैर-जबरदस्ती, सहमति से सेक्स के नुकसान को अस्पष्ट करता है क्योंकि यह दर्शाता है कि जो मजबूर है वह बुरा है जो गैर-जबरदस्ती अच्छा है।', 'सभी सेक्स को गैर-सहमति वाले सेक्स के बराबर करके बलात्कार के नुकसान को अस्पष्ट करता है।', 'क्या अच्छा है और क्या गैर-जबरदस्ती के बीच एक भेद को स्वीकार नहीं करके, सहमति से सेक्स के नुकसान को स्वीकार करने के लिए नेतृत्व किया है।', 'उपरोक्त सभी']",0,"प्रश्न: वेस्ट का तर्क है कि नारीवादी बयानबाजी ने

उत्तर विकल्प: ['गैर-जबरदस्ती, सहमति से सेक्स के नुकसान को अस्पष्ट करता है क्योंकि यह दर्शाता है कि जो मजबूर है वह बुरा है जो गैर-जबरदस्ती अच्छा है।', 'सभी सेक्स को गैर-सहमति वाले सेक्स के बराबर करके बलात्कार के नुकसान को अस्पष्ट करता है।', 'क्या अच्छा है और क्या गैर-जबरदस्ती के बीच एक भेद को स्वीकार नहीं करके, सहमति से सेक्स के नुकसान को स्वीकार करने के लिए नेतृत्व किया है।', 'उपरोक्त सभी']

उत्तर: गैर-जबरदस्ती, सहमति से सेक्स के नुकसान को अस्पष्ट करता है क्योंकि यह दर्शाता है कि जो मजबूर है वह बुरा है जो गैर-जबरदस्ती अच्छा है।"
"मिल के अनुसार, किसी विशेष सुख का मूल्य इस बात पर निर्भर करता है कि",moral_disputes,"['केवल इसकी मात्रा।', 'केवल इसकी गुणवत्ता।', 'इसकी मात्रा और इसकी गुणवत्ता दोनों।', 'न इसकी मात्रा और न इसकी गुणवत्ता।']",2,"प्रश्न: मिल के अनुसार, किसी विशेष सुख का मूल्य इस बात पर निर्भर करता है कि

उत्तर विकल्प: ['केवल इसकी मात्रा।', 'केवल इसकी गुणवत्ता।', 'इसकी मात्रा और इसकी गुणवत्ता दोनों।', 'न इसकी मात्रा और न इसकी गुणवत्ता।']

उत्तर: इसकी मात्रा और इसकी गुणवत्ता दोनों।"
"Carruthers के अनुसार, जब भी किसी को जानवर के लिए एक जानवर के प्रति एक निश्चित तरीके से कार्य करने की आवश्यकता होती है, तो उस तथ्य की व्याख्या क्या होती है, इसके बारे में तथ्य हैं",moral_disputes,"['जानवर।', 'मनुष्यों पर व्यापक प्रभाव।', 'दोनों ए और बी', 'न तो A और न ही B']",1,"प्रश्न: Carruthers के अनुसार, जब भी किसी को जानवर के लिए एक जानवर के प्रति एक निश्चित तरीके से कार्य करने की आवश्यकता होती है, तो उस तथ्य की व्याख्या क्या होती है, इसके बारे में तथ्य हैं

उत्तर विकल्प: ['जानवर।', 'मनुष्यों पर व्यापक प्रभाव।', 'दोनों ए और बी', 'न तो A और न ही B']

उत्तर: मनुष्यों पर व्यापक प्रभाव।"
"SCNT का क्या अर्थ है, जैसा कि क्लोनिंग पर चर्चा में उपयोग किया जाता है?",moral_disputes,"['त्वचा कोशिका नाभिकीय स्थानांतरण', 'स्टेम सेल न्यूक्लियर ट्रांसमिशन', 'सोमैटिक सेल न्यूक्लियर ट्रांसफर', 'उपरोक्त में से कोई नहीं']",2,"प्रश्न: SCNT का क्या अर्थ है, जैसा कि क्लोनिंग पर चर्चा में उपयोग किया जाता है?

उत्तर विकल्प: ['त्वचा कोशिका नाभिकीय स्थानांतरण', 'स्टेम सेल न्यूक्लियर ट्रांसमिशन', 'सोमैटिक सेल न्यूक्लियर ट्रांसफर', 'उपरोक्त में से कोई नहीं']

उत्तर: सोमैटिक सेल न्यूक्लियर ट्रांसफर"
"Velleman चिंता है कि, एक मरीज को इच्छामृत्यु के विकल्प की पेशकश करके,",moral_disputes,"['हम रोगी को खुद को नुकसान पहुंचाने की अनुमति देते हैं- या खुद को।', 'हम डॉक्टरों को रोगी को नुकसान पहुंचाने के लिए मजबूर करते हैं।', 'हम रोगी के परिवार को नुकसान पहुंचाते हैं।', 'हम रोगी को नुकसान पहुंचाते हैं।']",3,"प्रश्न: Velleman चिंता है कि, एक मरीज को इच्छामृत्यु के विकल्प की पेशकश करके,

उत्तर विकल्प: ['हम रोगी को खुद को नुकसान पहुंचाने की अनुमति देते हैं- या खुद को।', 'हम डॉक्टरों को रोगी को नुकसान पहुंचाने के लिए मजबूर करते हैं।', 'हम रोगी के परिवार को नुकसान पहुंचाते हैं।', 'हम रोगी को नुकसान पहुंचाते हैं।']

उत्तर: हम रोगी को नुकसान पहुंचाते हैं।"
नेथनसन निम्नलिखित में से किस प्रकार के प्रतिशोधवाद का समर्थन करता है?,moral_disputes,"['निवारक', 'आनुपातिक', 'समता', 'प्रतिशोधात्मक']",1,"प्रश्न: नेथनसन निम्नलिखित में से किस प्रकार के प्रतिशोधवाद का समर्थन करता है?

उत्तर विकल्प: ['निवारक', 'आनुपातिक', 'समता', 'प्रतिशोधात्मक']

उत्तर: आनुपातिक"
कैरथर्स निम्नलिखित में से किस नैतिक सिद्धांत के दृष्टिकोण से गैर-मानव जानवरों की नैतिक स्थिति के बारे में प्रश्नों का सामना करते हैं?,moral_disputes,"['परिणामवाद', 'कांटवाद', 'सद्गुण नैतिकता', 'संविदावाद']",3,"प्रश्न: कैरथर्स निम्नलिखित में से किस नैतिक सिद्धांत के दृष्टिकोण से गैर-मानव जानवरों की नैतिक स्थिति के बारे में प्रश्नों का सामना करते हैं?

उत्तर विकल्प: ['परिणामवाद', 'कांटवाद', 'सद्गुण नैतिकता', 'संविदावाद']

उत्तर: संविदावाद"
"गार्डिनर के विश्लेषण में, निम्नलिखित में से कौन सा जलवायु परिवर्तन की समस्या की विशेषता है?",moral_disputes,"['संस्थागत पर्याप्तता', 'कारणों और प्रभावों का फैलाव', 'एजेंसी का विखंडन', 'उपरोक्त सभी']",3,"प्रश्न: गार्डिनर के विश्लेषण में, निम्नलिखित में से कौन सा जलवायु परिवर्तन की समस्या की विशेषता है?

उत्तर विकल्प: ['संस्थागत पर्याप्तता', 'कारणों और प्रभावों का फैलाव', 'एजेंसी का विखंडन', 'उपरोक्त सभी']

उत्तर: उपरोक्त सभी"
