question,subject,choices,answer,qa
"Eine Läsion, die eine Kompression des Gesichtsnervs am Stylomastoidforamen verursacht, verursacht",anatomy,"['Lähmung der Gesichtsmuskeln.', 'Lähmung der Gesichtsmuskeln und Verlust des Geschmacks.', 'Lähmung der Gesichtsmuskeln, Verlust des Geschmacks und Tränenbildung.', 'Lähmung der Gesichtsmuskeln, Verlust des Geschmacks, Tränenbildung und verminderte Speichelbildung.']",0,"Frage: Eine Läsion, die eine Kompression des Gesichtsnervs am Stylomastoidforamen verursacht, verursacht

Antwortoptionen: ['Lähmung der Gesichtsmuskeln.', 'Lähmung der Gesichtsmuskeln und Verlust des Geschmacks.', 'Lähmung der Gesichtsmuskeln, Verlust des Geschmacks und Tränenbildung.', 'Lähmung der Gesichtsmuskeln, Verlust des Geschmacks, Tränenbildung und verminderte Speichelbildung.']

Antwort: Lähmung der Gesichtsmuskeln."
"Ein ""geplatztes Gesicht""-Profil wird oft mit",anatomy,"['ein ausstehender Kiefer aufgrund der Reaktivierung des Kondylarknorpels durch Akromegalie.', 'ein rezessiver Kiefer aufgrund einer fehlenden Verlängerung der Schädelbasis.', 'ein vergrößertes Stirnbein aufgrund von Hydrozephalie.', 'Fehlentwicklung der maxillaren Luftsinus.']",1,"Frage: Ein ""geplatztes Gesicht""-Profil wird oft mit

Antwortoptionen: ['ein ausstehender Kiefer aufgrund der Reaktivierung des Kondylarknorpels durch Akromegalie.', 'ein rezessiver Kiefer aufgrund einer fehlenden Verlängerung der Schädelbasis.', 'ein vergrößertes Stirnbein aufgrund von Hydrozephalie.', 'Fehlentwicklung der maxillaren Luftsinus.']

Antwort: ein rezessiver Kiefer aufgrund einer fehlenden Verlängerung der Schädelbasis."
"Welche der folgenden Bezeichnungen beschreibt am besten die Struktur, die Urin im Körper sammelt?",anatomy,"['Blasen', 'Nieren', 'Harnröhre', 'Harnröhre']",0,"Frage: Welche der folgenden Bezeichnungen beschreibt am besten die Struktur, die Urin im Körper sammelt?

Antwortoptionen: ['Blasen', 'Nieren', 'Harnröhre', 'Harnröhre']

Antwort: Blasen"
Welche der folgenden Strukturen ist aus Ectomesenchyme abgeleitet?,anatomy,"['Motorische Neuronen', 'Skelettmuskeln', 'Melanozyten', 'Schweißdrüsen']",2,"Frage: Welche der folgenden Strukturen ist aus Ectomesenchyme abgeleitet?

Antwortoptionen: ['Motorische Neuronen', 'Skelettmuskeln', 'Melanozyten', 'Schweißdrüsen']

Antwort: Melanozyten"
"Welches der folgenden Wörter beschreibt die Ansammlung von Blutkapillaren, die sich in jedem Nephron der Niere befinden?",anatomy,"['Afferente Arteriole', 'Glomerulus', 'Henle-Schleife', 'Nierenbecken']",1,"Frage: Welches der folgenden Wörter beschreibt die Ansammlung von Blutkapillaren, die sich in jedem Nephron der Niere befinden?

Antwortoptionen: ['Afferente Arteriole', 'Glomerulus', 'Henle-Schleife', 'Nierenbecken']

Antwort: Glomerulus"
Ein Patient erleidet einen Halsbruch mit einer Schädigung des Rückenmarks auf der Ebene des sechsten Halswirbels.,anatomy,"['Sie werden ohne Lebenserhaltung nicht atmen können.', 'Sie werden nur in der Lage sein, ruhig zu atmen.', 'Es ist unmöglich, eine Auswirkung auf die Atmung vorherzusagen.', 'Die Atmung wird nicht beeinträchtigt.']",1,"Frage: Ein Patient erleidet einen Halsbruch mit einer Schädigung des Rückenmarks auf der Ebene des sechsten Halswirbels.

Antwortoptionen: ['Sie werden ohne Lebenserhaltung nicht atmen können.', 'Sie werden nur in der Lage sein, ruhig zu atmen.', 'Es ist unmöglich, eine Auswirkung auf die Atmung vorherzusagen.', 'Die Atmung wird nicht beeinträchtigt.']

Antwort: Sie werden nur in der Lage sein, ruhig zu atmen."
Welche der folgenden anatomischen Bereiche des Bauches liegt distal zum Brustbein?,anatomy,"['Epigastrisch', 'Hypochonder', 'Hypogastrisch', 'Lendenwirbelsäule']",0,"Frage: Welche der folgenden anatomischen Bereiche des Bauches liegt distal zum Brustbein?

Antwortoptionen: ['Epigastrisch', 'Hypochonder', 'Hypogastrisch', 'Lendenwirbelsäule']

Antwort: Epigastrisch"
Welche der folgenden Bezeichnungen beschreibt am besten den Abwehrmechanismus des menschlichen Körpers gegen Umweltbakterien?,anatomy,"['Haare in der Nase', 'Schleimhaut', 'Osteoblasten', 'Speichel']",1,"Frage: Welche der folgenden Bezeichnungen beschreibt am besten den Abwehrmechanismus des menschlichen Körpers gegen Umweltbakterien?

Antwortoptionen: ['Haare in der Nase', 'Schleimhaut', 'Osteoblasten', 'Speichel']

Antwort: Schleimhaut"
Die palatinen Prozesse beginnen sich zu verschmelzen.,anatomy,"['sechs Wochen nach der Befruchtung.', 'acht Wochen nach der Befruchtung.', '10 Wochen nach der Befruchtung.', 'zwölf Wochen nach der Befruchtung.']",2,"Frage: Die palatinen Prozesse beginnen sich zu verschmelzen.

Antwortoptionen: ['sechs Wochen nach der Befruchtung.', 'acht Wochen nach der Befruchtung.', '10 Wochen nach der Befruchtung.', 'zwölf Wochen nach der Befruchtung.']

Antwort: 10 Wochen nach der Befruchtung."
Die primäre motorische Kortexaktivität führt zu,anatomy,"['bilaterale Kontraktion der Antigravitationsmuskeln der Extremitäten.', 'bilaterale Kontraktion der Muskulatur der Extremitäten.', 'Kontraktion der ipsilateralen Extremitätsmuskulatur.', 'Kontraktion der kontralateralen Extremitätsmuskulatur.']",3,"Frage: Die primäre motorische Kortexaktivität führt zu

Antwortoptionen: ['bilaterale Kontraktion der Antigravitationsmuskeln der Extremitäten.', 'bilaterale Kontraktion der Muskulatur der Extremitäten.', 'Kontraktion der ipsilateralen Extremitätsmuskulatur.', 'Kontraktion der kontralateralen Extremitätsmuskulatur.']

Antwort: Kontraktion der kontralateralen Extremitätsmuskulatur."
