question,subject,choices,answer,qa
स्टाइलोमास्टॉइड फोरेमेन में चेहरे की तंत्रिका के संपीड़न का कारण बनता है एक घाव ipsilateral,anatomy,"['चेहरे की मांसपेशियों का पक्षाघात।', 'चेहरे की मांसपेशियों का पक्षाघात और स्वाद की हानि।', 'चेहरे की मांसपेशियों का पक्षाघात, स्वाद की हानि और आंसू आना।', 'चेहरे की मांसपेशियों का पक्षाघात, स्वाद की हानि, आंसू आना और लार निकलना कम होना।']",0,"प्रश्न: स्टाइलोमास्टॉइड फोरेमेन में चेहरे की तंत्रिका के संपीड़न का कारण बनता है एक घाव ipsilateral

उत्तर विकल्प: ['चेहरे की मांसपेशियों का पक्षाघात।', 'चेहरे की मांसपेशियों का पक्षाघात और स्वाद की हानि।', 'चेहरे की मांसपेशियों का पक्षाघात, स्वाद की हानि और आंसू आना।', 'चेहरे की मांसपेशियों का पक्षाघात, स्वाद की हानि, आंसू आना और लार निकलना कम होना।']

उत्तर: चेहरे की मांसपेशियों का पक्षाघात।"
"एक ""डिश चेहरे"" प्रोफ़ाइल अक्सर के साथ जुड़ा हुआ है",anatomy,"['एक्रोमेगाली द्वारा कंडिलार कार्टिलेज के पुनः सक्रियण के कारण एक उभरती हुई जांघ।', 'खोपड़ी के आधार के विस्तार की विफलता के कारण एक अविकसित maxilla।', 'हाइड्रोसेफली के कारण बढ़ी हुई माथे की हड्डी।', 'मेक्सिलरी एयर साइनस का दोषपूर्ण विकास।']",1,"प्रश्न: एक ""डिश चेहरे"" प्रोफ़ाइल अक्सर के साथ जुड़ा हुआ है

उत्तर विकल्प: ['एक्रोमेगाली द्वारा कंडिलार कार्टिलेज के पुनः सक्रियण के कारण एक उभरती हुई जांघ।', 'खोपड़ी के आधार के विस्तार की विफलता के कारण एक अविकसित maxilla।', 'हाइड्रोसेफली के कारण बढ़ी हुई माथे की हड्डी।', 'मेक्सिलरी एयर साइनस का दोषपूर्ण विकास।']

उत्तर: खोपड़ी के आधार के विस्तार की विफलता के कारण एक अविकसित maxilla।"
शरीर में मूत्र को इकट्ठा करने वाली संरचना का निम्न में से कौन-सा वर्णन सबसे अच्छा है?,anatomy,"['मूत्राशय', 'किडनी', 'मूत्रमार्ग', 'मूत्रमार्ग']",0,"प्रश्न: शरीर में मूत्र को इकट्ठा करने वाली संरचना का निम्न में से कौन-सा वर्णन सबसे अच्छा है?

उत्तर विकल्प: ['मूत्राशय', 'किडनी', 'मूत्रमार्ग', 'मूत्रमार्ग']

उत्तर: मूत्राशय"
निम्नलिखित में से कौन सी संरचना ईक्टोमेसेंकाइम से प्राप्त होती है?,anatomy,"['मोटर न्यूरॉन्स', 'कंकाल की मांसपेशियाँ', 'मेलेनोसाइट्स', 'पसीना ग्रंथियां']",2,"प्रश्न: निम्नलिखित में से कौन सी संरचना ईक्टोमेसेंकाइम से प्राप्त होती है?

उत्तर विकल्प: ['मोटर न्यूरॉन्स', 'कंकाल की मांसपेशियाँ', 'मेलेनोसाइट्स', 'पसीना ग्रंथियां']

उत्तर: मेलेनोसाइट्स"
किडनी में प्रत्येक नेफ्रॉन में पाए जाने वाले रक्त केशिकाओं के समूह का निम्न में से कौन-सा वर्णन करता है?,anatomy,"['एफरेंट आर्टेरियोल', 'ग्लॉमरलस', 'हेनल का लूप', 'गुर्दे की श्रोणि']",1,"प्रश्न: किडनी में प्रत्येक नेफ्रॉन में पाए जाने वाले रक्त केशिकाओं के समूह का निम्न में से कौन-सा वर्णन करता है?

उत्तर विकल्प: ['एफरेंट आर्टेरियोल', 'ग्लॉमरलस', 'हेनल का लूप', 'गुर्दे की श्रोणि']

उत्तर: ग्लॉमरलस"
छठी गर्भाशय ग्रीवा के स्तर पर रीढ़ की हड्डी में क्षति के साथ एक रोगी की गर्दन टूट गई है।,anatomy,"['वे जीवन समर्थन के बिना सांस लेने में असमर्थ होंगे।', 'वे केवल चुपचाप सांस लेने में सक्षम होंगे।', 'श्वसन पर प्रभाव की भविष्यवाणी करना असंभव है।', 'श्वास-प्रश्वास प्रभावित नहीं होगा।']",1,"प्रश्न: छठी गर्भाशय ग्रीवा के स्तर पर रीढ़ की हड्डी में क्षति के साथ एक रोगी की गर्दन टूट गई है।

उत्तर विकल्प: ['वे जीवन समर्थन के बिना सांस लेने में असमर्थ होंगे।', 'वे केवल चुपचाप सांस लेने में सक्षम होंगे।', 'श्वसन पर प्रभाव की भविष्यवाणी करना असंभव है।', 'श्वास-प्रश्वास प्रभावित नहीं होगा।']

उत्तर: वे केवल चुपचाप सांस लेने में सक्षम होंगे।"
पेट के निम्नलिखित में से कौन-सा शारीरिक क्षेत्र स्त्नम से ठीक दूर स्थित है?,anatomy,"['एपिगैस्ट्रिक', 'हाइपोकॉन्ड्रियाक', 'हाइपोगैस्ट्रिक', 'रीढ़ की हड्डी']",0,"प्रश्न: पेट के निम्नलिखित में से कौन-सा शारीरिक क्षेत्र स्त्नम से ठीक दूर स्थित है?

उत्तर विकल्प: ['एपिगैस्ट्रिक', 'हाइपोकॉन्ड्रियाक', 'हाइपोगैस्ट्रिक', 'रीढ़ की हड्डी']

उत्तर: एपिगैस्ट्रिक"
पर्यावरण बैक्टीरिया के खिलाफ मानव शरीर की रक्षा तंत्र का सबसे अच्छा वर्णन निम्न में से कौन-सा है?,anatomy,"['नाक में बाल', 'श्लेष्म झिल्ली', 'ऑस्टियोब्लास्ट्स', 'लार']",1,"प्रश्न: पर्यावरण बैक्टीरिया के खिलाफ मानव शरीर की रक्षा तंत्र का सबसे अच्छा वर्णन निम्न में से कौन-सा है?

उत्तर विकल्प: ['नाक में बाल', 'श्लेष्म झिल्ली', 'ऑस्टियोब्लास्ट्स', 'लार']

उत्तर: श्लेष्म झिल्ली"
palatine प्रक्रियाओं में फ्यूज करने के लिए शुरू,anatomy,"['निषेचन के छह सप्ताह बाद।', 'निषेचन के आठ सप्ताह बाद।', 'निषेचन के दस सप्ताह बाद।', 'बारह सप्ताह गर्भाधान के बाद।']",2,"प्रश्न: palatine प्रक्रियाओं में फ्यूज करने के लिए शुरू

उत्तर विकल्प: ['निषेचन के छह सप्ताह बाद।', 'निषेचन के आठ सप्ताह बाद।', 'निषेचन के दस सप्ताह बाद।', 'बारह सप्ताह गर्भाधान के बाद।']

उत्तर: निषेचन के दस सप्ताह बाद।"
प्राथमिक मोटर कॉर्टेक्स गतिविधि के परिणामस्वरूप,anatomy,"['गुरुत्वाकर्षण विरोधी अंग मांसपेशियों का द्विपक्षीय संकुचन।', 'अंग मांसपेशियों का द्विपक्षीय संकुचन', 'इप्सिलैटरल अंग मांसपेशियों का संकुचन।', 'contralateral अंग मांसपेशियों का संकुचन।']",3,"प्रश्न: प्राथमिक मोटर कॉर्टेक्स गतिविधि के परिणामस्वरूप

उत्तर विकल्प: ['गुरुत्वाकर्षण विरोधी अंग मांसपेशियों का द्विपक्षीय संकुचन।', 'अंग मांसपेशियों का द्विपक्षीय संकुचन', 'इप्सिलैटरल अंग मांसपेशियों का संकुचन।', 'contralateral अंग मांसपेशियों का संकुचन।']

उत्तर: contralateral अंग मांसपेशियों का संकुचन।"
आप देखेंगे कि आपके मरीज के सबमांडिबुलर लिम्फ नोड्स बढ़ गए हैं। आप संक्रमण के संभावित स्थानों की तलाश करेंगे,anatomy,"['कठोर स्वाद।', 'कठोर चहचहाना और ऊपरी होंठ।', 'कठोर चहचहाना, ऊपरी होंठ और ऊपरी मध्य कतरनी।', 'कठोर चहचहाना, ऊपरी होंठ, ऊपरी मध्य कतरनी और निचला पहला दांत।']",3,"प्रश्न: आप देखेंगे कि आपके मरीज के सबमांडिबुलर लिम्फ नोड्स बढ़ गए हैं। आप संक्रमण के संभावित स्थानों की तलाश करेंगे

उत्तर विकल्प: ['कठोर स्वाद।', 'कठोर चहचहाना और ऊपरी होंठ।', 'कठोर चहचहाना, ऊपरी होंठ और ऊपरी मध्य कतरनी।', 'कठोर चहचहाना, ऊपरी होंठ, ऊपरी मध्य कतरनी और निचला पहला दांत।']

उत्तर: कठोर चहचहाना, ऊपरी होंठ, ऊपरी मध्य कतरनी और निचला पहला दांत।"
एक रोगी को सड़क यातायात दुर्घटना में कक्षा में क्षति होती है जिसके परिणामस्वरूप तीसरी कपाल तंत्रिका क्षतिग्रस्त हो जाती है। निम्नलिखित में से कौन सा संकेत मौजूद होगा?,anatomy,"['शिश्न संकुचन और एक मध्यवर्ती strabismus', 'शिश्न खिंचाव और एक मध्यवर्ती strabismus', 'शिश्न संकुचन और एक पार्श्व strabismus', 'शिश्न खिंचाव और एक पार्श्व strabismus']",3,"प्रश्न: एक रोगी को सड़क यातायात दुर्घटना में कक्षा में क्षति होती है जिसके परिणामस्वरूप तीसरी कपाल तंत्रिका क्षतिग्रस्त हो जाती है। निम्नलिखित में से कौन सा संकेत मौजूद होगा?

उत्तर विकल्प: ['शिश्न संकुचन और एक मध्यवर्ती strabismus', 'शिश्न खिंचाव और एक मध्यवर्ती strabismus', 'शिश्न संकुचन और एक पार्श्व strabismus', 'शिश्न खिंचाव और एक पार्श्व strabismus']

उत्तर: शिश्न खिंचाव और एक पार्श्व strabismus"
निम्नलिखित में से कौन-सा कथन तांडवयुक्त जोड़ के बारे में सत्य है?,anatomy,"['इसमें हाइलाइन कार्टिलेज की एक आर्टिकुलर डिस्क होती है', 'इसके जोड़ों की सतहों को हाइलाइन कार्टिलेज द्वारा कवर किया जाता है', 'प्रोप्रियोसेप्टिव सूचना को कोरडा टिमपेनी और गहरी अस्थायी तंत्रिकाओं द्वारा ले जाया जाता है', 'संज्ञानात्मक सूचना मासेटरिक और ऑरिकुलोटेम्पोरल तंत्रिकाओं द्वारा संचालित की जाती है।']",3,"प्रश्न: निम्नलिखित में से कौन-सा कथन तांडवयुक्त जोड़ के बारे में सत्य है?

उत्तर विकल्प: ['इसमें हाइलाइन कार्टिलेज की एक आर्टिकुलर डिस्क होती है', 'इसके जोड़ों की सतहों को हाइलाइन कार्टिलेज द्वारा कवर किया जाता है', 'प्रोप्रियोसेप्टिव सूचना को कोरडा टिमपेनी और गहरी अस्थायी तंत्रिकाओं द्वारा ले जाया जाता है', 'संज्ञानात्मक सूचना मासेटरिक और ऑरिकुलोटेम्पोरल तंत्रिकाओं द्वारा संचालित की जाती है।']

उत्तर: संज्ञानात्मक सूचना मासेटरिक और ऑरिकुलोटेम्पोरल तंत्रिकाओं द्वारा संचालित की जाती है।"
