question,subject,choices,answer,qa
मुर्ती का अनुवाद किस रूप में किया जा सकता है?,world_religions,"['अर्पण', 'प्रार्थनाएँ', 'दर्शन', 'मूर्तियाँ']",3,"प्रश्न: मुर्ती का अनुवाद किस रूप में किया जा सकता है?

उत्तर विकल्प: ['अर्पण', 'प्रार्थनाएँ', 'दर्शन', 'मूर्तियाँ']

उत्तर: मूर्तियाँ"
प्राकृतिक तत्वों और प्राकृतिक प्रक्रियाओं पर ध्यान केंद्रित करने वाले प्रकृतिवादी निम्नलिखित में से किससे जुड़े हैं?,world_religions,"['दाओवाद', 'यिन-यांग स्कूल', 'मेन्गज़ी', 'मानवतावादी बौद्ध धर्म']",1,"प्रश्न: प्राकृतिक तत्वों और प्राकृतिक प्रक्रियाओं पर ध्यान केंद्रित करने वाले प्रकृतिवादी निम्नलिखित में से किससे जुड़े हैं?

उत्तर विकल्प: ['दाओवाद', 'यिन-यांग स्कूल', 'मेन्गज़ी', 'मानवतावादी बौद्ध धर्म']

उत्तर: यिन-यांग स्कूल"
जापान में पहला बौद्ध मंदिर कब बनाया गया था?,world_religions,"['३२५ ईसवी', '119 ई. पू.', '451 ई. पू.', '596 ई. पू.']",3,"प्रश्न: जापान में पहला बौद्ध मंदिर कब बनाया गया था?

उत्तर विकल्प: ['३२५ ईसवी', '119 ई. पू.', '451 ई. पू.', '596 ई. पू.']

उत्तर: 596 ई. पू."
दस दिवसीय नववर्ष उत्सव का क्या नाम है जो बाबुल की संस्कृति का जश्न मनाता था?,world_religions,"['अकितु', 'वाग और थोथ', 'बास्ट', 'नेहबकाऊ']",0,"प्रश्न: दस दिवसीय नववर्ष उत्सव का क्या नाम है जो बाबुल की संस्कृति का जश्न मनाता था?

उत्तर विकल्प: ['अकितु', 'वाग और थोथ', 'बास्ट', 'नेहबकाऊ']

उत्तर: अकितु"
निम्नलिखित में से कौन-सा शब्द जापानी फूलों की सजावट की कला को दर्शाता है?,world_religions,"['ज़ज़ेन', 'तारिख', 'कामी', 'इकेबाना']",3,"प्रश्न: निम्नलिखित में से कौन-सा शब्द जापानी फूलों की सजावट की कला को दर्शाता है?

उत्तर विकल्प: ['ज़ज़ेन', 'तारिख', 'कामी', 'इकेबाना']

उत्तर: इकेबाना"
गुरु नानक और उनके उत्तराधिकारियों ने निम्नलिखित में से किसको बढ़ावा देने के लिए विशिष्ट सिख रागों के उपयोग का निर्देश दिया?,world_religions,"['सामंजस्य और संतुलन', 'भक्ति और भक्ति', 'प्यार और जुनून', 'सद्भावना और प्रेम']",0,"प्रश्न: गुरु नानक और उनके उत्तराधिकारियों ने निम्नलिखित में से किसको बढ़ावा देने के लिए विशिष्ट सिख रागों के उपयोग का निर्देश दिया?

उत्तर विकल्प: ['सामंजस्य और संतुलन', 'भक्ति और भक्ति', 'प्यार और जुनून', 'सद्भावना और प्रेम']

उत्तर: सामंजस्य और संतुलन"
"गुरु नानक ने ईश्वरीय रहस्योद्घाटन के भाग के रूप में ""ईश्वरीय वचन"" को दर्शाने के लिए किस शब्द का प्रयोग किया?",world_religions,"['शबाब', 'खालसे', 'वियतनाम', 'गुरु']",0,"प्रश्न: गुरु नानक ने ईश्वरीय रहस्योद्घाटन के भाग के रूप में ""ईश्वरीय वचन"" को दर्शाने के लिए किस शब्द का प्रयोग किया?

उत्तर विकल्प: ['शबाब', 'खालसे', 'वियतनाम', 'गुरु']

उत्तर: शबाब"
मिराज क्या है?,world_religions,"['मुहम्मद का चमत्कारिक स्वर्गारोहण', 'मुहम्मद का मक्का प्रवास', 'मक्का में मुहम्मद का पहला समुदाय', 'कुरान के मुहम्मद के अवतरण']",0,"प्रश्न: मिराज क्या है?

उत्तर विकल्प: ['मुहम्मद का चमत्कारिक स्वर्गारोहण', 'मुहम्मद का मक्का प्रवास', 'मक्का में मुहम्मद का पहला समुदाय', 'कुरान के मुहम्मद के अवतरण']

उत्तर: मुहम्मद का चमत्कारिक स्वर्गारोहण"
"सबसे प्रसिद्ध धर्मशास्त्र का क्या नाम है, जो शायद पहली शताब्दी के आसपास का है?",world_religions,"['धर्म के नियम', 'कर्म के नियम', 'विष्णु के नियम', 'मनु के नियम']",3,"प्रश्न: सबसे प्रसिद्ध धर्मशास्त्र का क्या नाम है, जो शायद पहली शताब्दी के आसपास का है?

उत्तर विकल्प: ['धर्म के नियम', 'कर्म के नियम', 'विष्णु के नियम', 'मनु के नियम']

उत्तर: मनु के नियम"
"""कुरान"" शब्द का शाब्दिक अर्थ क्या है?",world_religions,"['पवित्र पुस्तक', 'कहानी', 'क़ुर्आन पढ़ना', 'स्तंभ']",2,"प्रश्न: ""कुरान"" शब्द का शाब्दिक अर्थ क्या है?

उत्तर विकल्प: ['पवित्र पुस्तक', 'कहानी', 'क़ुर्आन पढ़ना', 'स्तंभ']

उत्तर: क़ुर्आन पढ़ना"
मणि ने परमेश् वर को निम्नलिखित में से किस नाम से पुकारा?,world_religions,"['प्रकाश की माता', 'भलाई का पिता', 'अतुलनीय प्रेमी', 'शाश्वत आत्मा']",1,"प्रश्न: मणि ने परमेश् वर को निम्नलिखित में से किस नाम से पुकारा?

उत्तर विकल्प: ['प्रकाश की माता', 'भलाई का पिता', 'अतुलनीय प्रेमी', 'शाश्वत आत्मा']

उत्तर: भलाई का पिता"
"कौन सी परंपरा ""धीरे-धीरे प्रबुद्धता"" को बढ़ावा देने के लिए जानी जाती है?",world_religions,"['बुशिदो', 'शिंटो धर्म', 'निचिरेन', 'सोतो ज़ेन']",3,"प्रश्न: कौन सी परंपरा ""धीरे-धीरे प्रबुद्धता"" को बढ़ावा देने के लिए जानी जाती है?

उत्तर विकल्प: ['बुशिदो', 'शिंटो धर्म', 'निचिरेन', 'सोतो ज़ेन']

उत्तर: सोतो ज़ेन"
"सिख धर्म में पूजा के स्थान पर जो सामूहिक भोजन दिया जाता है, उसे क्या कहते हैं?",world_religions,"['अतिशयोक्ति', 'लंगर', 'गुरुद्वारा', 'पैंथ']",1,"प्रश्न: सिख धर्म में पूजा के स्थान पर जो सामूहिक भोजन दिया जाता है, उसे क्या कहते हैं?

उत्तर विकल्प: ['अतिशयोक्ति', 'लंगर', 'गुरुद्वारा', 'पैंथ']

उत्तर: लंगर"
सेलेस्टियल मास्टर्स के रूप में जाना जाने वाला हान विरोधी विद्रोही समूह किस परंपरा से संबंधित है?,world_religions,"['बौद्ध धर्म', 'दाओवाद', 'कन्फ्यूशियसवाद', 'शमनवाद']",1,"प्रश्न: सेलेस्टियल मास्टर्स के रूप में जाना जाने वाला हान विरोधी विद्रोही समूह किस परंपरा से संबंधित है?

उत्तर विकल्प: ['बौद्ध धर्म', 'दाओवाद', 'कन्फ्यूशियसवाद', 'शमनवाद']

उत्तर: दाओवाद"
"""इस्लाम"" शब्द का अरबी में क्या अर्थ है?",world_religions,"['उपासना', 'प्रस्तुत करना', 'आज्ञापालन', 'आस्था']",1,"प्रश्न: ""इस्लाम"" शब्द का अरबी में क्या अर्थ है?

उत्तर विकल्प: ['उपासना', 'प्रस्तुत करना', 'आज्ञापालन', 'आस्था']

उत्तर: प्रस्तुत करना"
anatman शब्द का क्या अर्थ है?,world_religions,"['पीड़ा', 'आत्मा', 'अस्थायीता', 'नो-सेल्फ']",3,"प्रश्न: anatman शब्द का क्या अर्थ है?

उत्तर विकल्प: ['पीड़ा', 'आत्मा', 'अस्थायीता', 'नो-सेल्फ']

उत्तर: नो-सेल्फ"
जनम-साखी शब्द सिख साहित्य की किस विधा को दर्शाता है?,world_religions,"['आध्यात्मिक कथाएँ', 'मोचन कथाएँ', 'जन्म कथाएँ', 'धर्मशास्त्रीय कथाएँ']",2,"प्रश्न: जनम-साखी शब्द सिख साहित्य की किस विधा को दर्शाता है?

उत्तर विकल्प: ['आध्यात्मिक कथाएँ', 'मोचन कथाएँ', 'जन्म कथाएँ', 'धर्मशास्त्रीय कथाएँ']

उत्तर: जन्म कथाएँ"
शुद्ध भूमि बौद्ध धर्म किस संप्रदाय का है?,world_religions,"['वज्रयान', 'थेरवाद', 'महयाना', 'महावीर']",2,"प्रश्न: शुद्ध भूमि बौद्ध धर्म किस संप्रदाय का है?

उत्तर विकल्प: ['वज्रयान', 'थेरवाद', 'महयाना', 'महावीर']

उत्तर: महयाना"
कौन सा जैन समूह केवल महिलाओं को अर्ध-त्याग का जीवन जीने की अनुमति देता है?,world_religions,"['स्वेताम्बरा', 'जीना', 'अमावस्या', 'दिगंबर']",3,"प्रश्न: कौन सा जैन समूह केवल महिलाओं को अर्ध-त्याग का जीवन जीने की अनुमति देता है?

उत्तर विकल्प: ['स्वेताम्बरा', 'जीना', 'अमावस्या', 'दिगंबर']

उत्तर: दिगंबर"
यहूदी धर्म में सबसे महत्वपूर्ण प्रार्थना क्या है?,world_religions,"['शमा', 'सेफिरोट', 'व्यवस्थाविवरण', 'दस आज्ञाएँ']",0,"प्रश्न: यहूदी धर्म में सबसे महत्वपूर्ण प्रार्थना क्या है?

उत्तर विकल्प: ['शमा', 'सेफिरोट', 'व्यवस्थाविवरण', 'दस आज्ञाएँ']

उत्तर: शमा"
क्षत्रियों और श्रमानों के बीच सामाजिक-राजनीतिक गठबंधन निम्नलिखित में से किसके लिए उनके साझा विरोध में निहित था?,world_religions,"['ब्राह्मण धर्म', 'विधिवादी तपस्या', 'भक्ति अनुष्ठान', 'अपरंपरागत प्रथाएं']",0,"प्रश्न: क्षत्रियों और श्रमानों के बीच सामाजिक-राजनीतिक गठबंधन निम्नलिखित में से किसके लिए उनके साझा विरोध में निहित था?

उत्तर विकल्प: ['ब्राह्मण धर्म', 'विधिवादी तपस्या', 'भक्ति अनुष्ठान', 'अपरंपरागत प्रथाएं']

उत्तर: ब्राह्मण धर्म"
किस प्रारम्भिक युद्ध के कारण मक्का का धर्म परिवर्तन हुआ?,world_religions,"['उहुद की लड़ाई', 'ऊँट की लड़ाई', 'खाई की लड़ाई', 'बद्र की लड़ाई']",2,"प्रश्न: किस प्रारम्भिक युद्ध के कारण मक्का का धर्म परिवर्तन हुआ?

उत्तर विकल्प: ['उहुद की लड़ाई', 'ऊँट की लड़ाई', 'खाई की लड़ाई', 'बद्र की लड़ाई']

उत्तर: खाई की लड़ाई"
सिख धर्म में आध्यात्मिक मुक्ति प्राप्त करने के लिए किस आंतरिक अनुशासन को अपनाया जाना चाहिए?,world_religions,"['परमेश् वर का नाम याद रखना', 'पवित्र भजनों पर ध्यान करना', 'यह याद रखना कि मृत्यु अपरिहार्य है', 'सृष्टि की भलाई पर ध्यान करना']",0,"प्रश्न: सिख धर्म में आध्यात्मिक मुक्ति प्राप्त करने के लिए किस आंतरिक अनुशासन को अपनाया जाना चाहिए?

उत्तर विकल्प: ['परमेश् वर का नाम याद रखना', 'पवित्र भजनों पर ध्यान करना', 'यह याद रखना कि मृत्यु अपरिहार्य है', 'सृष्टि की भलाई पर ध्यान करना']

उत्तर: परमेश् वर का नाम याद रखना"
"जापान के कोरिया पर कब्जे के दौरान (1910-1945), निम्नलिखित में से कौन सा कोरियाई लोगों पर थोपा गया था?",world_religions,"['कन्फ्यूशियसवाद', 'बौद्ध धर्म', 'ईसाई धर्म', 'दाओवाद']",0,"प्रश्न: जापान के कोरिया पर कब्जे के दौरान (1910-1945), निम्नलिखित में से कौन सा कोरियाई लोगों पर थोपा गया था?

उत्तर विकल्प: ['कन्फ्यूशियसवाद', 'बौद्ध धर्म', 'ईसाई धर्म', 'दाओवाद']

उत्तर: कन्फ्यूशियसवाद"
"पंजाबी शब्द ""सिख"" का क्या अर्थ है?",world_religions,"['शिष्य', 'वफादार', 'भक्त', 'प्रबुद्ध']",0,"प्रश्न: पंजाबी शब्द ""सिख"" का क्या अर्थ है?

उत्तर विकल्प: ['शिष्य', 'वफादार', 'भक्त', 'प्रबुद्ध']

उत्तर: शिष्य"
निम्नलिखित में से कौन राजनीति से बचता है?,world_religions,"['ज़ुआंगज़ी के ऋषि', 'दक्षिण के गीत', 'झोउ का ड्यूक', 'कन्फ्यूशियस के 'बुद्धिमान राजा'']",0,"प्रश्न: निम्नलिखित में से कौन राजनीति से बचता है?

उत्तर विकल्प: ['ज़ुआंगज़ी के ऋषि', 'दक्षिण के गीत', 'झोउ का ड्यूक', 'कन्फ्यूशियस के 'बुद्धिमान राजा'']

उत्तर: ज़ुआंगज़ी के ऋषि"
