good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,42,layers.0,0.2082092022509103,629,3021,1889,1761,7,60817408
0.0001,42,layers.1,0.2939646201873049,565,1922,1383,1104,7,60817408
0.0001,42,layers.2,0.27895302975977054,778,2789,1791,1776,7,60817408
0.0001,42,layers.3,0.39911111111111114,898,2250,1787,1361,7,60817408
0.0001,42,layers.4,0.4002130681818182,1127,2816,2157,1786,7,60817408
0.0001,42,layers.5,0.26545454545454544,730,2750,1818,1662,7,60817408
0.0001,42,layers.6,0.3243064729194188,982,3028,2180,1830,7,60817408
0.0001,42,layers.7,0.29105571847507333,794,2728,1929,1593,7,60817408
0.0001,42,layers.8,0.22779715588945532,849,3727,2509,2067,7,60817408
0.0001,42,layers.9,0.23590274185204346,912,3866,2512,2266,7,60817408
0.0001,42,layers.10,0.2610159977547011,930,3563,2443,2050,7,60817408
0.0001,42,layers.11,0.23495883470550982,742,3158,2274,1626,7,60817408
0.0001,42,layers.12,0.12448606669712198,545,4378,2988,1935,7,60817408
0.0001,42,layers.13,0.05383542538354254,193,3585,2272,1506,7,60817408
0.0001,42,layers.14,0.05086071987480438,195,3834,2456,1573,7,60817408
0.0001,42,layers.15,0.09173616376042457,242,2638,1351,1529,7,60817408
0.001,42,layers.0,0.15843406097780985,4391,27715,18186,13920,7,60817408
0.001,42,layers.1,0.25539900326093645,8302,32506,22051,18757,7,60817408
0.001,42,layers.2,0.30186061940230996,10010,33161,23172,19999,7,60817408
0.001,42,layers.3,0.3793457783867101,11075,29195,22018,18252,7,60817408
0.001,42,layers.4,0.3757466005845724,11827,31476,23577,19726,7,60817408
0.001,42,layers.5,0.3381909377435863,9979,29507,21469,18017,7,60817408
0.001,42,layers.6,0.30026025768724096,9345,31123,21324,19144,7,60817408
0.001,42,layers.7,0.25557527836049704,7919,30985,20061,18843,7,60817408
0.001,42,layers.8,0.2874347651545564,9308,32383,22870,18821,7,60817408
0.001,42,layers.9,0.2713026157766777,9262,34139,24857,18544,7,60817408
0.001,42,layers.10,0.24256608755663575,8084,33327,23687,17724,7,60817408
0.001,42,layers.11,0.24494630023417943,9100,37151,27538,18713,7,60817408
0.001,42,layers.12,0.17996496661673986,7089,39391,29491,16989,7,60817408
0.001,42,layers.13,0.07809661139149243,2708,34675,24692,12691,7,60817408
0.001,42,layers.14,0.09050607557751368,3389,37445,26443,14391,7,60817408
0.001,42,layers.15,0.18506860942141745,5233,28276,19523,13986,7,60817408
0.01,42,layers.0,0.20739146452601168,53479,257865,164604,146740,7,60817408
0.01,42,layers.1,0.22132352694913607,66083,298581,184579,180085,7,60817408
0.01,42,layers.2,0.23869357886593362,75283,315396,202351,188328,7,60817408
0.01,42,layers.3,0.2827873144974592,78299,276883,182950,172232,7,60817408
0.01,42,layers.4,0.2967776505321552,84741,285537,188923,181355,7,60817408
0.01,42,layers.5,0.29381832507140276,80550,274149,182979,171720,7,60817408
0.01,42,layers.6,0.26911022720237726,69551,258448,174557,153442,7,60817408
0.01,42,layers.7,0.23560282616087957,62357,264670,172261,154766,7,60817408
0.01,42,layers.8,0.2610794398090816,72313,276977,189122,160168,7,60817408
0.01,42,layers.9,0.266769098349516,70665,264892,183306,152251,7,60817408
0.01,42,layers.10,0.2351982852701249,59913,254734,171059,143588,7,60817408
0.01,42,layers.11,0.2810600969443928,78626,279748,197882,160492,7,60817408
0.01,42,layers.12,0.21148051914391794,65276,308662,211702,162236,7,60817408
0.01,42,layers.13,0.13728394429817686,42914,312593,209758,145749,7,60817408
0.01,42,layers.14,0.15348669426766348,46378,302163,216011,132530,7,60817408
0.01,42,layers.15,0.11861951566834986,28988,244378,155754,117612,7,60817408
0.025,42,layers.0,0.18785201196152698,112634,599589,437903,274320,7,60817408
0.025,42,layers.1,0.21357582658430715,129799,607742,355826,381715,7,60817408
0.025,42,layers.2,0.22147443386570745,134594,607718,380374,361938,7,60817408
0.025,42,layers.3,0.23838435099536343,155013,650265,391701,413577,7,60817408
0.025,42,layers.4,0.2538737448441277,162368,639562,382282,419648,7,60817408
0.025,42,layers.5,0.2874652999533351,180494,627881,400767,407608,7,60817408
0.025,42,layers.6,0.2665896801274171,164368,616558,397086,383840,7,60817408
0.025,42,layers.7,0.2780213651533166,155035,557637,369432,343240,7,60817408
0.025,42,layers.8,0.29252315169069865,156738,535814,391280,301272,7,60817408
0.025,42,layers.9,0.2649568210554216,147945,558374,408140,298179,7,60817408
0.025,42,layers.10,0.21134278723062533,134220,635082,424596,344706,7,60817408
0.025,42,layers.11,0.24890495108264796,168600,677367,461434,384533,7,60817408
0.025,42,layers.12,0.206481169983439,143007,692591,459290,376308,7,60817408
0.025,42,layers.13,0.15040094170510768,100682,669424,438065,332041,7,60817408
0.025,42,layers.14,0.1516406298095386,103455,682238,444847,340846,7,60817408
0.025,42,layers.15,0.1357094842336837,79947,589104,350015,319036,7,60817408
0.05,42,layers.0,0.17145810343403364,161900,944254,690886,415268,7,60817408
0.05,42,layers.1,0.19548898117821573,204008,1043578,732204,515382,7,60817408
0.05,42,layers.2,0.21524626169511807,218741,1016236,612116,622861,7,60817408
0.05,42,layers.3,0.26887952152898853,243664,906220,638272,511612,7,60817408
0.05,42,layers.4,0.2675555673018474,263211,983762,689728,557245,7,60817408
0.05,42,layers.5,0.2870754181530574,280208,976078,647029,609257,7,60817408
0.05,42,layers.6,0.2630665319086918,262628,998333,630051,630910,7,60817408
0.05,42,layers.7,0.2482497672695969,248004,999010,590185,656829,7,60817408
0.05,42,layers.8,0.23117968963872365,252497,1092211,681616,663092,7,60817408
0.05,42,layers.9,0.2396281765549632,262453,1095251,738627,619077,7,60817408
0.05,42,layers.10,0.2289421706627997,219768,959928,674540,505156,7,60817408
0.05,42,layers.11,0.25642706588066,252684,985403,706519,531568,7,60817408
0.05,42,layers.12,0.199890221448917,225057,1125903,773339,577621,7,60817408
0.05,42,layers.13,0.15677269629827909,179218,1143171,827018,495371,7,60817408
0.05,42,layers.14,0.15468116945832563,176651,1142033,765326,553358,7,60817408
0.05,42,layers.15,0.13451621126347332,139837,1039555,635458,543934,7,60817408
0.075,42,layers.0,0.1713423153025482,205057,1196768,718935,682890,7,60817408
0.075,42,layers.1,0.18423347241647697,251856,1367048,925481,693423,7,60817408
0.075,42,layers.2,0.18104361455275353,260126,1436814,868938,828002,7,60817408
0.075,42,layers.3,0.2457481281126893,323450,1316185,910634,729001,7,60817408
0.075,42,layers.4,0.2837142508299563,341586,1203979,878079,667486,7,60817408
0.075,42,layers.5,0.2887647101201868,368756,1277012,882957,762811,7,60817408
0.075,42,layers.6,0.29014894834023197,364721,1257013,855137,766597,7,60817408
0.075,42,layers.7,0.24534562971498028,333449,1359099,833814,858734,7,60817408
0.075,42,layers.8,0.27297276087485384,347841,1274270,805111,817000,7,60817408
0.075,42,layers.9,0.23342224132964248,319253,1367706,823302,863657,7,60817408
0.075,42,layers.10,0.19387879038731518,285731,1473761,921309,838183,7,60817408
0.075,42,layers.11,0.2296067038414379,341185,1485954,1018792,808347,7,60817408
0.075,42,layers.12,0.18587323832975325,283821,1526960,1037862,772919,7,60817408
0.075,42,layers.13,0.15466065790468542,237281,1534204,1059948,711537,7,60817408
0.075,42,layers.14,0.16217099610131855,240635,1483835,1037386,687084,7,60817408
0.075,42,layers.15,0.1226690215620105,175026,1426815,939066,662775,7,60817408
0.1,42,layers.0,0.14799136715504205,243291,1643954,858109,1029136,7,60817408
0.1,42,layers.1,0.15958346840342244,259927,1628784,1153817,734894,7,60817408
0.1,42,layers.2,0.20569471357625785,306459,1489873,1001407,794925,7,60817408
0.1,42,layers.3,0.21291663337203345,362379,1701976,1098985,965370,7,60817408
0.1,42,layers.4,0.24467505725509006,418261,1709455,1179739,947977,7,60817408
0.1,42,layers.5,0.2662146128077691,446936,1678856,1126485,999307,7,60817408
0.1,42,layers.6,0.269867945559579,440153,1630994,1089687,981460,7,60817408
0.1,42,layers.7,0.26156085419593544,397861,1521103,1000309,918655,7,60817408
