question,subject,choices,answer,qa
Eine wichtige Informationsquelle über die Bonität von Einzelhandelsgeschäften ist,miscellaneous,"['die Vereinigung der Einzelhändler', 'die örtliche Handelskammer', 'Dun & Bradstreet, Inc.', 'die Retail Credit Association der Vereinigten Staaten']",2,"Frage: Eine wichtige Informationsquelle über die Bonität von Einzelhandelsgeschäften ist

Antwortoptionen: ['die Vereinigung der Einzelhändler', 'die örtliche Handelskammer', 'Dun & Bradstreet, Inc.', 'die Retail Credit Association der Vereinigten Staaten']

Antwort: Dun & Bradstreet, Inc."
"In Vorbereitung auf eine Kurzgeschichten-Schreib-Einheit Ein Lehrer präsentiert den Schülern mehrere Beispiele für Kurzgeschichten und arbeitet mit ihnen zusammen, um die charakteristischen Merkmale des Genres zu identifizieren. Welches der folgenden Beispiele beschreibt diese Unterrichtsmethode am besten?",miscellaneous,"['Konferenzen', 'Disziplinäre Untersuchung', 'Entwicklung einer selbstregulierten Strategie', 'Strategie 'Einleitung - Inhalt - Schlussfolgerung'']",1,"Frage: In Vorbereitung auf eine Kurzgeschichten-Schreib-Einheit Ein Lehrer präsentiert den Schülern mehrere Beispiele für Kurzgeschichten und arbeitet mit ihnen zusammen, um die charakteristischen Merkmale des Genres zu identifizieren. Welches der folgenden Beispiele beschreibt diese Unterrichtsmethode am besten?

Antwortoptionen: ['Konferenzen', 'Disziplinäre Untersuchung', 'Entwicklung einer selbstregulierten Strategie', 'Strategie 'Einleitung - Inhalt - Schlussfolgerung'']

Antwort: Disziplinäre Untersuchung"
Papier brennt bei ungefähr welcher Temperatur in Fahrenheit?,miscellaneous,"['986 Grad', '2125 Grad', '3985 Grad', '451 Grad']",3,"Frage: Papier brennt bei ungefähr welcher Temperatur in Fahrenheit?

Antwortoptionen: ['986 Grad', '2125 Grad', '3985 Grad', '451 Grad']

Antwort: 451 Grad"
"Der Apple iMac Computer ist in allen folgenden Farben erhältlich, mit Ausnahme von welcher Farbe?",miscellaneous,"['Zitrusfrüchte', 'Gemüse und Gemüsefrüchte', 'Kiwi', 'Weintrauben']",2,"Frage: Der Apple iMac Computer ist in allen folgenden Farben erhältlich, mit Ausnahme von welcher Farbe?

Antwortoptionen: ['Zitrusfrüchte', 'Gemüse und Gemüsefrüchte', 'Kiwi', 'Weintrauben']

Antwort: Kiwi"
Wie hießen die ersten amerikanischen Entdecker Lewis und Clark?,miscellaneous,"['Morgan und Mason', 'Meriwether und William', 'Cabot und Joseph', 'Meredith und George']",1,"Frage: Wie hießen die ersten amerikanischen Entdecker Lewis und Clark?

Antwortoptionen: ['Morgan und Mason', 'Meriwether und William', 'Cabot und Joseph', 'Meredith und George']

Antwort: Meriwether und William"
"Ein Lehrer unterstützt kleine, flexible Gruppen von Leseanfängern Wenn die Schüler einen Text oder ein Buch lesen, das ihnen unbekannt ist, arbeitet der Lehrer mit ihnen zusammen, um ihnen zu zeigen, wie sie verschiedene Lesestrategien anwenden können Welcher der folgenden Leseansätze wird beschrieben?",miscellaneous,"['Direktunterricht', 'Literaturkreis', 'Geführtes Lesen', 'Lautlesen']",2,"Frage: Ein Lehrer unterstützt kleine, flexible Gruppen von Leseanfängern Wenn die Schüler einen Text oder ein Buch lesen, das ihnen unbekannt ist, arbeitet der Lehrer mit ihnen zusammen, um ihnen zu zeigen, wie sie verschiedene Lesestrategien anwenden können Welcher der folgenden Leseansätze wird beschrieben?

Antwortoptionen: ['Direktunterricht', 'Literaturkreis', 'Geführtes Lesen', 'Lautlesen']

Antwort: Geführtes Lesen"
Was ist Varizellen?,miscellaneous,"['eine schicke Nudeln', 'eine Art Oper', 'das Windpockenvirus', 'antike römische Dichtung']",2,"Frage: Was ist Varizellen?

Antwortoptionen: ['eine schicke Nudeln', 'eine Art Oper', 'das Windpockenvirus', 'antike römische Dichtung']

Antwort: das Windpockenvirus"
"Welches der folgenden Materialien hat eine Widerstandsfähigkeit, die am wenigsten von Temperaturänderungen beeinflusst wird?",miscellaneous,"['Kupfer', 'Kohlenstoff', 'Germanium', 'Silizium']",0,"Frage: Welches der folgenden Materialien hat eine Widerstandsfähigkeit, die am wenigsten von Temperaturänderungen beeinflusst wird?

Antwortoptionen: ['Kupfer', 'Kohlenstoff', 'Germanium', 'Silizium']

Antwort: Kupfer"
Ein College-Student im zweiten Jahr wird gewöhnlich als was bezeichnet?,miscellaneous,"['Zweitjahresstudent', 'Vorgesetzte', 'Erstsemester', 'Nachwuchs']",0,"Frage: Ein College-Student im zweiten Jahr wird gewöhnlich als was bezeichnet?

Antwortoptionen: ['Zweitjahresstudent', 'Vorgesetzte', 'Erstsemester', 'Nachwuchs']

Antwort: Zweitjahresstudent"
"In dem Film ""Der talentierte Mr. Ripley"" wer spielt Mr. Ripley?",miscellaneous,"['Jude Law', 'Das ist Matt Damon .', 'Dustin Hoffman', 'Ben Affleck']",1,"Frage: In dem Film ""Der talentierte Mr. Ripley"" wer spielt Mr. Ripley?

Antwortoptionen: ['Jude Law', 'Das ist Matt Damon .', 'Dustin Hoffman', 'Ben Affleck']

Antwort: Das ist Matt Damon ."
