[Race] proportion=0.001, seed=42, frac=0.05, requested=11354, actual_pruned=11354, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=42, frac=0.1, requested=22708, actual_pruned=22708, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=42, frac=0.2, requested=45417, actual_pruned=45417, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=42, frac=0.4, requested=90834, actual_pruned=90834, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=42, frac=0.6, requested=136252, actual_pruned=136252, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=42, frac=0.8, requested=181669, actual_pruned=181669, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=123, frac=0.05, requested=11354, actual_pruned=11354, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=123, frac=0.1, requested=22708, actual_pruned=22708, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=123, frac=0.2, requested=45417, actual_pruned=45417, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=123, frac=0.4, requested=90834, actual_pruned=90834, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=123, frac=0.6, requested=136252, actual_pruned=136252, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=123, frac=0.8, requested=181669, actual_pruned=181669, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=456, frac=0.05, requested=11354, actual_pruned=11354, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=456, frac=0.1, requested=22708, actual_pruned=22708, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=456, frac=0.2, requested=45417, actual_pruned=45417, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=456, frac=0.4, requested=90834, actual_pruned=90834, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=456, frac=0.6, requested=136252, actual_pruned=136252, total_math_only=227087, math_only_count=227087
[Race] proportion=0.001, seed=456, frac=0.8, requested=181669, actual_pruned=181669, total_math_only=227087, math_only_count=227087
[Race] proportion=0.01, seed=42, frac=0.05, requested=102463, actual_pruned=102463, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=42, frac=0.1, requested=204927, actual_pruned=204927, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=42, frac=0.2, requested=409854, actual_pruned=409854, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=42, frac=0.4, requested=819708, actual_pruned=819708, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=42, frac=0.6, requested=1229562, actual_pruned=1229562, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=42, frac=0.8, requested=1639416, actual_pruned=1639416, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=123, frac=0.05, requested=102463, actual_pruned=102463, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=123, frac=0.1, requested=204927, actual_pruned=204927, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=123, frac=0.2, requested=409854, actual_pruned=409854, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=123, frac=0.4, requested=819708, actual_pruned=819708, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=123, frac=0.6, requested=1229562, actual_pruned=1229562, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=123, frac=0.8, requested=1639416, actual_pruned=1639416, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=456, frac=0.05, requested=102463, actual_pruned=102463, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=456, frac=0.1, requested=204927, actual_pruned=204927, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=456, frac=0.2, requested=409854, actual_pruned=409854, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=456, frac=0.4, requested=819708, actual_pruned=819708, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=456, frac=0.6, requested=1229562, actual_pruned=1229562, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.01, seed=456, frac=0.8, requested=1639416, actual_pruned=1639416, total_math_only=2049270, math_only_count=2049270
[Race] proportion=0.1, seed=42, frac=0.05, requested=657664, actual_pruned=657664, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=42, frac=0.1, requested=1315328, actual_pruned=1315328, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=42, frac=0.2, requested=2630657, actual_pruned=2630657, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=42, frac=0.4, requested=5261314, actual_pruned=5261314, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=42, frac=0.6, requested=7891972, actual_pruned=7891972, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=42, frac=0.8, requested=10522629, actual_pruned=10522629, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=123, frac=0.05, requested=657664, actual_pruned=657664, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=123, frac=0.1, requested=1315328, actual_pruned=1315328, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=123, frac=0.2, requested=2630657, actual_pruned=2630657, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=123, frac=0.4, requested=5261314, actual_pruned=5261314, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=123, frac=0.6, requested=7891972, actual_pruned=7891972, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=123, frac=0.8, requested=10522629, actual_pruned=10522629, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=456, frac=0.05, requested=657664, actual_pruned=657664, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=456, frac=0.1, requested=1315328, actual_pruned=1315328, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=456, frac=0.2, requested=2630657, actual_pruned=2630657, total_math_only=13153287, math_only_count=13153287
[Race] proportion=0.1, seed=456, frac=0.4, requested=5261314, actual_pruned=5261314, total_math_only=13153287, math_only_count=13153287
