question,subject,choices,answer,qa
वर्तमान में कितने मानव पॉलीओमावायरस ज्ञात हैं?,virology,"['१००', 'एक', 'दस', 'अज्ञात']",0,"प्रश्न: वर्तमान में कितने मानव पॉलीओमावायरस ज्ञात हैं?

उत्तर विकल्प: ['१००', 'एक', 'दस', 'अज्ञात']

उत्तर: १००"
संयुक्त राज्य अमेरिका में एड्स की सक्रियता के परिणामस्वरूप:,virology,"['खाद्य एवं औषधि प्रशासन में सुधार', 'प्रयोगात्मक दवाओं तक आसान पहुंच', 'संयुक्त राज्य अमेरिका में चिकित्सा का अभ्यास करने के तरीके में परिवर्तन।', 'उपरोक्त सभी']",3,"प्रश्न: संयुक्त राज्य अमेरिका में एड्स की सक्रियता के परिणामस्वरूप:

उत्तर विकल्प: ['खाद्य एवं औषधि प्रशासन में सुधार', 'प्रयोगात्मक दवाओं तक आसान पहुंच', 'संयुक्त राज्य अमेरिका में चिकित्सा का अभ्यास करने के तरीके में परिवर्तन।', 'उपरोक्त सभी']

उत्तर: उपरोक्त सभी"
"विश्व स्तर पर, सबसे अधिक मौतें निम्न कारणों से होती हैं:",virology,"['श्वसन संक्रमण', 'दस्त संबंधी रोग', 'मलेरिया', 'क्षयरोग']",1,"प्रश्न: विश्व स्तर पर, सबसे अधिक मौतें निम्न कारणों से होती हैं:

उत्तर विकल्प: ['श्वसन संक्रमण', 'दस्त संबंधी रोग', 'मलेरिया', 'क्षयरोग']

उत्तर: दस्त संबंधी रोग"
इनक्यूबेशन पीरियड के दौरान क्या होता है?,virology,"['प्रतिरक्षा प्रणाली द्वारा शरीर से वायरस को साफ किया जाता है', 'विषाणु प्रतिकृति अंतरकोशिकीय स्तर पर होती है', 'यह अवधि आमतौर पर कुछ दिनों तक रहती है', 'यह अवधि आमतौर पर कुछ घंटों तक रहती है']",1,"प्रश्न: इनक्यूबेशन पीरियड के दौरान क्या होता है?

उत्तर विकल्प: ['प्रतिरक्षा प्रणाली द्वारा शरीर से वायरस को साफ किया जाता है', 'विषाणु प्रतिकृति अंतरकोशिकीय स्तर पर होती है', 'यह अवधि आमतौर पर कुछ दिनों तक रहती है', 'यह अवधि आमतौर पर कुछ घंटों तक रहती है']

उत्तर: विषाणु प्रतिकृति अंतरकोशिकीय स्तर पर होती है"
सुरक्षित जल तक सीमित पहुंच और निम्न स्तर की शिक्षा वाले देशों में नवजात शिशुओं को:,virology,"['विशेष रूप से छह महीने के लिए फ़ार्मूला खिलाया जाता है', 'छह महीने तक केवल स्तनपान', 'पहले 6 महीनों में स्तन दूध और अन्य खाद्य पदार्थों के रूप में सहन किया जाना चाहिए', 'महीने']",1,"प्रश्न: सुरक्षित जल तक सीमित पहुंच और निम्न स्तर की शिक्षा वाले देशों में नवजात शिशुओं को:

उत्तर विकल्प: ['विशेष रूप से छह महीने के लिए फ़ार्मूला खिलाया जाता है', 'छह महीने तक केवल स्तनपान', 'पहले 6 महीनों में स्तन दूध और अन्य खाद्य पदार्थों के रूप में सहन किया जाना चाहिए', 'महीने']

उत्तर: छह महीने तक केवल स्तनपान"
किसी समुदाय में प्रभावी परिवर्तन प्राप्त करना आमतौर पर समाज के निम्नलिखित में से किन वर्गों पर निर्भर करता है?,virology,"['नवोन्मेषक', 'प्रारंभिक अनुकूलक', 'मध्य एडाप्टर', 'लेट एडाप्टर']",0,"प्रश्न: किसी समुदाय में प्रभावी परिवर्तन प्राप्त करना आमतौर पर समाज के निम्नलिखित में से किन वर्गों पर निर्भर करता है?

उत्तर विकल्प: ['नवोन्मेषक', 'प्रारंभिक अनुकूलक', 'मध्य एडाप्टर', 'लेट एडाप्टर']

उत्तर: नवोन्मेषक"
आकस्मिक प्रबंधन है :,virology,"['उच्च जोखिम वाले व्यवहारों को कम करने के लिए अंतिम उपाय की रणनीति', 'नकारात्मक मूत्र नमूनों के लिए नशीली दवाओं के उपयोगकर्ताओं को भुगतान करना', 'कंडोम का उपयोग करने के लिए यौनकर्मियों को भुगतान करना', 'कंडोम का उपयोग करने के लिए नशीली दवाओं के उपयोगकर्ताओं को भुगतान करना']",1,"प्रश्न: आकस्मिक प्रबंधन है :

उत्तर विकल्प: ['उच्च जोखिम वाले व्यवहारों को कम करने के लिए अंतिम उपाय की रणनीति', 'नकारात्मक मूत्र नमूनों के लिए नशीली दवाओं के उपयोगकर्ताओं को भुगतान करना', 'कंडोम का उपयोग करने के लिए यौनकर्मियों को भुगतान करना', 'कंडोम का उपयोग करने के लिए नशीली दवाओं के उपयोगकर्ताओं को भुगतान करना']

उत्तर: नकारात्मक मूत्र नमूनों के लिए नशीली दवाओं के उपयोगकर्ताओं को भुगतान करना"
एस्ट्रोवायरस के साथ संक्रमण के बाद निम्नलिखित में से कौन से विशिष्ट नैदानिक लक्षण हैं?,virology,"['तीव्र निमोनिया', 'बच्चों में गैस्ट्रोएंटेराइटिस', 'हेपेटाइटिस', 'चकत्ते']",1,"प्रश्न: एस्ट्रोवायरस के साथ संक्रमण के बाद निम्नलिखित में से कौन से विशिष्ट नैदानिक लक्षण हैं?

उत्तर विकल्प: ['तीव्र निमोनिया', 'बच्चों में गैस्ट्रोएंटेराइटिस', 'हेपेटाइटिस', 'चकत्ते']

उत्तर: बच्चों में गैस्ट्रोएंटेराइटिस"
निम्नलिखित में से कौन-सी अनुकूली प्रतिरक्षा प्रणाली की सबसे विशेष विशेषता है?,virology,"['एंटीबॉडी', 'टी कोशिकाएं', 'मेमोरी टी कोशिकाएं', 'पहले से मौजूद एंटीबॉडी और/या टी कोशिकाओं का क्लोनल विस्तार']",3,"प्रश्न: निम्नलिखित में से कौन-सी अनुकूली प्रतिरक्षा प्रणाली की सबसे विशेष विशेषता है?

उत्तर विकल्प: ['एंटीबॉडी', 'टी कोशिकाएं', 'मेमोरी टी कोशिकाएं', 'पहले से मौजूद एंटीबॉडी और/या टी कोशिकाओं का क्लोनल विस्तार']

उत्तर: पहले से मौजूद एंटीबॉडी और/या टी कोशिकाओं का क्लोनल विस्तार"
कीमोथेरेपी अब रोगियों की नैदानिक देखभाल के लिए एक विकल्प है।,virology,"['इंटरफेरॉन और रिबाविरिन', 'लैमिवुडिन और रिबाविरिन', 'Adefovir और entecavir और/या tenofovir (DAA) के संयोजन', 'अकेले इंटरफेरॉन']",1,"प्रश्न: कीमोथेरेपी अब रोगियों की नैदानिक देखभाल के लिए एक विकल्प है।

उत्तर विकल्प: ['इंटरफेरॉन और रिबाविरिन', 'लैमिवुडिन और रिबाविरिन', 'Adefovir और entecavir और/या tenofovir (DAA) के संयोजन', 'अकेले इंटरफेरॉन']

उत्तर: लैमिवुडिन और रिबाविरिन"
