question,subject,choices,answer,qa
"Welcher der folgenden Fuzzer-Stile erkundet eher Pfade, die jede Codezeile im folgenden Programm abdecken?",computer_security,"['Generationen', 'Blackbox (schwarze Schachtel)', 'Whitebox', 'Mutationsbasierte']",2,"Frage: Welcher der folgenden Fuzzer-Stile erkundet eher Pfade, die jede Codezeile im folgenden Programm abdecken?

Antwortoptionen: ['Generationen', 'Blackbox (schwarze Schachtel)', 'Whitebox', 'Mutationsbasierte']

Antwort: Whitebox"
"Nehmen Sie an, dass eine TLS-Verbindung erfolgreich zwischen einem Client und einem Server hergestellt wurde Die Einrichtung der Sitzung beinhaltete die Überprüfung des Serverzertifikats und die Ausführung eines DiffieHelmann-Austausches, aber der Client lieferte kein Clientzertifikat Darüber hinaus gehen wir davon aus, dass der Client und der Server ehrlich sind, dass der Client und der Server ihre Schlüssel nicht preisgeben und dass die Kryptographie gut ist Vor welchem der folgenden Angriffe schützt TLS? 1 Ein Angreifer spielt Bytes wieder, die ein Client zuvor gesendet hat. Ein Angreifer, der sich als Server ausgibt.",computer_security,"['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']",0,"Frage: Nehmen Sie an, dass eine TLS-Verbindung erfolgreich zwischen einem Client und einem Server hergestellt wurde Die Einrichtung der Sitzung beinhaltete die Überprüfung des Serverzertifikats und die Ausführung eines DiffieHelmann-Austausches, aber der Client lieferte kein Clientzertifikat Darüber hinaus gehen wir davon aus, dass der Client und der Server ehrlich sind, dass der Client und der Server ihre Schlüssel nicht preisgeben und dass die Kryptographie gut ist Vor welchem der folgenden Angriffe schützt TLS? 1 Ein Angreifer spielt Bytes wieder, die ein Client zuvor gesendet hat. Ein Angreifer, der sich als Server ausgibt.

Antwortoptionen: ['Es ist wahr, es ist wahr', 'Falsch, Falsch', 'Wahre und Falsche', 'Falsch, wahr']

Antwort: Es ist wahr, es ist wahr"
"MIT's Kerberos KDC-Server hat eine maximale Ticket-Lebensdauer von 24 Stunden (für die meisten Benutzer). Was stellt sicher, dass ein abgelaufenes Kerberos-Ticket nicht mehr verwendet werden kann?",computer_security,"['Der Kerberos-Server (KDC) weigert sich, neue Verbindungen zwischen Clients und Servern für abgelaufene Tickets herzustellen.', 'Wenn sich ein Client mit einem Server verbindet, setzt der Server einen 24-Stunden-Timer, um die Verbindung zu beenden, wodurch sichergestellt wird, dass ein Client nicht über die maximale Lebensdauer des Tickets hinweg verbunden bleiben kann.', 'Wenn ein Client eine Verbindung zu einem Server herstellt der Server vergleicht die Verfallszeit des Tickets mit der aktuellen Uhr des Servers und weigert sich, den Benutzer zu authentifizieren, wenn das Ticket in der Vergangenheit abgelaufen ist.', 'Wenn ein Client eine Verbindung zu einem Server herstellt der Server sendet eine Abfrage an das KDC, um zu überprüfen, ob das Ticket in Bezug auf die Uhr des KDC noch gültig ist und die Authentifizierung des Nutzers verweigert, wenn der KDC meldet, dass das Ticket abgelaufen ist.']",2,"Frage: MIT's Kerberos KDC-Server hat eine maximale Ticket-Lebensdauer von 24 Stunden (für die meisten Benutzer). Was stellt sicher, dass ein abgelaufenes Kerberos-Ticket nicht mehr verwendet werden kann?

Antwortoptionen: ['Der Kerberos-Server (KDC) weigert sich, neue Verbindungen zwischen Clients und Servern für abgelaufene Tickets herzustellen.', 'Wenn sich ein Client mit einem Server verbindet, setzt der Server einen 24-Stunden-Timer, um die Verbindung zu beenden, wodurch sichergestellt wird, dass ein Client nicht über die maximale Lebensdauer des Tickets hinweg verbunden bleiben kann.', 'Wenn ein Client eine Verbindung zu einem Server herstellt der Server vergleicht die Verfallszeit des Tickets mit der aktuellen Uhr des Servers und weigert sich, den Benutzer zu authentifizieren, wenn das Ticket in der Vergangenheit abgelaufen ist.', 'Wenn ein Client eine Verbindung zu einem Server herstellt der Server sendet eine Abfrage an das KDC, um zu überprüfen, ob das Ticket in Bezug auf die Uhr des KDC noch gültig ist und die Authentifizierung des Nutzers verweigert, wenn der KDC meldet, dass das Ticket abgelaufen ist.']

Antwort: Wenn ein Client eine Verbindung zu einem Server herstellt der Server vergleicht die Verfallszeit des Tickets mit der aktuellen Uhr des Servers und weigert sich, den Benutzer zu authentifizieren, wenn das Ticket in der Vergangenheit abgelaufen ist."
In Message Condentiality muss die übermittelte Nachricht nur für die beabsichtigten Benutzer sinnvoll sein.,computer_security,"['Empfänger', 'Absender', 'Modulor', 'Übersetzer']",0,"Frage: In Message Condentiality muss die übermittelte Nachricht nur für die beabsichtigten Benutzer sinnvoll sein.

Antwortoptionen: ['Empfänger', 'Absender', 'Modulor', 'Übersetzer']

Antwort: Empfänger"
Welcher der folgenden Programme ist ein Remote-Trojaner?,computer_security,"['Troja', 'DaCryptic', 'Banker A', 'Spiel-Trojans']",0,"Frage: Welcher der folgenden Programme ist ein Remote-Trojaner?

Antwortoptionen: ['Troja', 'DaCryptic', 'Banker A', 'Spiel-Trojans']

Antwort: Troja"
"______________ ist ein weit verbreiteter Fehler bei der Programmierung von Anwendungen, der von Entwicklern gemacht wird und von einem Angreifer ausgenutzt werden kann, um Zugriff zu erhalten oder Ihr System zu stören.",computer_security,"['Gedächtnisverlust', 'Bufferüberschreitung', 'Weniger Verarbeitungsleistung', 'Ineffiziente Programmierung']",1,"Frage: ______________ ist ein weit verbreiteter Fehler bei der Programmierung von Anwendungen, der von Entwicklern gemacht wird und von einem Angreifer ausgenutzt werden kann, um Zugriff zu erhalten oder Ihr System zu stören.

Antwortoptionen: ['Gedächtnisverlust', 'Bufferüberschreitung', 'Weniger Verarbeitungsleistung', 'Ineffiziente Programmierung']

Antwort: Bufferüberschreitung"
"Betrachten Sie die Arbeit Native Client: A Sandbox for Portable, Untrusted x86 Native Code von Yee et al. Ben Bitdiddle stellt fest, dass NaCl die Intel x86-Segmentierung verwendet, um sicherzustellen, dass das Sandbox-Modul keinen Speicher außerhalb seines eigenen Datenbereichs liest oder schreibt und führt keine Anweisungen außerhalb seines eigenen Codes aus Ben denkt, dass allein mit diesen Einschränkungen die Ausführung des Sandbox-Moduls sicher sein muss; das heißt, er denkt, dass eine Validierung nicht erforderlich ist Ben hat sich geirrt . Kreisen Sie die Arten von x86-Maschine Anweisungen, die der Validator verbietet immer in Sandbox-Code Bitte ignorieren Sie die Regeln für Trampolin und Sprungbrett.",computer_security,"['alle Anweisungen, die den Zustand des Segments ändern', 'alle Ladungen oder Lager an Adressen, die nicht 0 mod 32 sind', 'alle indirekten Ladungen oder Speicher (über eine Adresse in einem Register oder einer Variablen)', 'alle indirekten Sprünge (über eine Adresse in einem Register oder einer Variablen)']",0,"Frage: Betrachten Sie die Arbeit Native Client: A Sandbox for Portable, Untrusted x86 Native Code von Yee et al. Ben Bitdiddle stellt fest, dass NaCl die Intel x86-Segmentierung verwendet, um sicherzustellen, dass das Sandbox-Modul keinen Speicher außerhalb seines eigenen Datenbereichs liest oder schreibt und führt keine Anweisungen außerhalb seines eigenen Codes aus Ben denkt, dass allein mit diesen Einschränkungen die Ausführung des Sandbox-Moduls sicher sein muss; das heißt, er denkt, dass eine Validierung nicht erforderlich ist Ben hat sich geirrt . Kreisen Sie die Arten von x86-Maschine Anweisungen, die der Validator verbietet immer in Sandbox-Code Bitte ignorieren Sie die Regeln für Trampolin und Sprungbrett.

Antwortoptionen: ['alle Anweisungen, die den Zustand des Segments ändern', 'alle Ladungen oder Lager an Adressen, die nicht 0 mod 32 sind', 'alle indirekten Ladungen oder Speicher (über eine Adresse in einem Register oder einer Variablen)', 'alle indirekten Sprünge (über eine Adresse in einem Register oder einer Variablen)']

Antwort: alle Anweisungen, die den Zustand des Segments ändern"
"____________ ist auch ein Teil des Darknet, der für die anonyme Übertragung von Dateien verwendet wird.",computer_security,"['Freenet', 'ARPANET', 'Stuxnet', 'Internet']",0,"Frage: ____________ ist auch ein Teil des Darknet, der für die anonyme Übertragung von Dateien verwendet wird.

Antwortoptionen: ['Freenet', 'ARPANET', 'Stuxnet', 'Internet']

Antwort: Freenet"
"Warum sind Anwendungen, die in Sprachen wie C, C++ entwickelt wurden, anfällig für Buffer-Overflow?",computer_security,"['Keine Kontrollen der Stringgrenzen in vordefinierten Funktionen', 'Keine Überprüfung des Speichers im externen Speicher', 'Keine Prüfung der Verarbeitungsleistung', 'Keine Überprüfung der Datenbank']",0,"Frage: Warum sind Anwendungen, die in Sprachen wie C, C++ entwickelt wurden, anfällig für Buffer-Overflow?

Antwortoptionen: ['Keine Kontrollen der Stringgrenzen in vordefinierten Funktionen', 'Keine Überprüfung des Speichers im externen Speicher', 'Keine Prüfung der Verarbeitungsleistung', 'Keine Überprüfung der Datenbank']

Antwort: Keine Kontrollen der Stringgrenzen in vordefinierten Funktionen"
"Man in der Mitte Angriff kann die Sicherheit der Diffie-Hellman-Methode gefährden, wenn zwei Parteien nicht",computer_security,"['Zusammengeschlossen', 'Authentifiziert', 'Einreichung', 'Gemeinsam']",1,"Frage: Man in der Mitte Angriff kann die Sicherheit der Diffie-Hellman-Methode gefährden, wenn zwei Parteien nicht

Antwortoptionen: ['Zusammengeschlossen', 'Authentifiziert', 'Einreichung', 'Gemeinsam']

Antwort: Authentifiziert"
