question,subject,choices,answer,qa
"Comment peut-on traduire ""murtis"" ?",world_religions,"['Les offrandes', 'Les prières', 'Les apparitions', 'Les idoles']",3,"Question: Comment peut-on traduire ""murtis"" ?

Choix: ['Les offrandes', 'Les prières', 'Les apparitions', 'Les idoles']

Réponse: Les idoles"
Les naturalistes qui se sont concentrés sur les éléments et les processus naturels sont associés à lequel des éléments suivants?,world_religions,"['Taoïsme', 'École du Yin et du Yang', 'Nom de famille', 'Bouddhisme humaniste']",1,"Question: Les naturalistes qui se sont concentrés sur les éléments et les processus naturels sont associés à lequel des éléments suivants?

Choix: ['Taoïsme', 'École du Yin et du Yang', 'Nom de famille', 'Bouddhisme humaniste']

Réponse: École du Yin et du Yang"
Quand le premier temple bouddhiste a- t- il été construit au Japon?,world_religions,"['325 de notre ère', '119 de notre ère', '451 de notre ère', '596 de notre ère']",3,"Question: Quand le premier temple bouddhiste a- t- il été construit au Japon?

Choix: ['325 de notre ère', '119 de notre ère', '451 de notre ère', '596 de notre ère']

Réponse: 596 de notre ère"
Comment s'appelait la fête du Nouvel An qui durait dix jours et qui célébrait la culture babylonienne?,world_religions,"['Nom de famille Akitu', 'Wag et Thoth', 'Nom de famille', 'Nom de famille']",0,"Question: Comment s'appelait la fête du Nouvel An qui durait dix jours et qui célébrait la culture babylonienne?

Choix: ['Nom de famille Akitu', 'Wag et Thoth', 'Nom de famille', 'Nom de famille']

Réponse: Nom de famille Akitu"
Lequel des termes suivants désigne l'art japonais de l'arrangement des fleurs?,world_religions,"['Le Zazen', 'Je vous en prie .', 'Je vous en prie .', 'À l' ikebana']",3,"Question: Lequel des termes suivants désigne l'art japonais de l'arrangement des fleurs?

Choix: ['Le Zazen', 'Je vous en prie .', 'Je vous en prie .', 'À l' ikebana']

Réponse: À l' ikebana"
Le gourou Nanak et ses successeurs ont demandé l'utilisation de certains ragas sikhs afin de promouvoir lequel des suivants?,world_religions,"['L'harmonie et l'équilibre', 'La dévotion et la piété', 'Amour et passion', 'La bonne volonté et l'amour']",0,"Question: Le gourou Nanak et ses successeurs ont demandé l'utilisation de certains ragas sikhs afin de promouvoir lequel des suivants?

Choix: ['L'harmonie et l'équilibre', 'La dévotion et la piété', 'Amour et passion', 'La bonne volonté et l'amour']

Réponse: L'harmonie et l'équilibre"
"Quel terme le gourou Nanak a- t- il utilisé pour désigner la ""parole divine"" comme faisant partie de la révélation divine?",world_religions,"['Le Shabad', 'Le Khalse', 'Nom', 'Le gourou .']",0,"Question: Quel terme le gourou Nanak a- t- il utilisé pour désigner la ""parole divine"" comme faisant partie de la révélation divine?

Choix: ['Le Shabad', 'Le Khalse', 'Nom', 'Le gourou .']

Réponse: Le Shabad"
C'est quoi le mi'raj ?,world_religions,"['L'ascension miraculeuse de Mahomet au ciel', 'La migration de Mahomet à la Mecque', 'La première communauté de Mahomet à La Mecque', 'Les révélations du Coran par Mahomet']",0,"Question: C'est quoi le mi'raj ?

Choix: ['L'ascension miraculeuse de Mahomet au ciel', 'La migration de Mahomet à la Mecque', 'La première communauté de Mahomet à La Mecque', 'Les révélations du Coran par Mahomet']

Réponse: L'ascension miraculeuse de Mahomet au ciel"
"Quel est le nom du dharmashastra le plus célèbre, qui date probablement d'environ le premier siècle?",world_religions,"['Les lois du Dharma', 'Les lois du Karma', 'Les lois de Vishnu', 'Les lois de Manu']",3,"Question: Quel est le nom du dharmashastra le plus célèbre, qui date probablement d'environ le premier siècle?

Choix: ['Les lois du Dharma', 'Les lois du Karma', 'Les lois de Vishnu', 'Les lois de Manu']

Réponse: Les lois de Manu"
"Que signifie littéralement le terme "" Coran "" ?",world_religions,"['Le livre sacré', 'Le récit', 'La récitation', 'Les piliers']",2,"Question: Que signifie littéralement le terme "" Coran "" ?

Choix: ['Le livre sacré', 'Le récit', 'La récitation', 'Les piliers']

Réponse: La récitation"
Par lequel des noms suivants Mani a- t- il appelé Dieu?,world_religions,"['Mère de la Lumière', 'Père de la bonté', 'Un amoureux inexprimable', 'Esprit éternel']",1,"Question: Par lequel des noms suivants Mani a- t- il appelé Dieu?

Choix: ['Mère de la Lumière', 'Père de la bonté', 'Un amoureux inexprimable', 'Esprit éternel']

Réponse: Père de la bonté"
"Quelle tradition est connue pour promouvoir ""l'illumination progressive""?",world_religions,"['Le bushido', 'Le shintoïsme', 'Nom de famille', 'Le Soto Zen']",3,"Question: Quelle tradition est connue pour promouvoir ""l'illumination progressive""?

Choix: ['Le bushido', 'Le shintoïsme', 'Nom de famille', 'Le Soto Zen']

Réponse: Le Soto Zen"
Quel est le repas commun offert dans le lieu de culte appelé dans le sikhisme?,world_religions,"['Très bien .', 'Nom de famille', 'Le Gurdwara', 'Panthée']",1,"Question: Quel est le repas commun offert dans le lieu de culte appelé dans le sikhisme?

Choix: ['Très bien .', 'Nom de famille', 'Le Gurdwara', 'Panthée']

Réponse: Nom de famille"
