question,subject,choices,answer,qa
Wie ist der Sicherheitsrat der Vereinten Nationen aufgebaut?,us_foreign_policy,"['5 ständige Mitglieder mit Vetorecht, 10 rotierende Mitglieder ohne Vetorecht', '5 ständige und 10 rotierende Mitglieder, alle mit Vetorecht', '10 ständige Mitglieder mit Vetorecht und 5 rotierende Mitglieder ohne Vetorecht', '15 ständige Mitglieder mit Vetorecht']",0,"Frage: Wie ist der Sicherheitsrat der Vereinten Nationen aufgebaut?

Antwortoptionen: ['5 ständige Mitglieder mit Vetorecht, 10 rotierende Mitglieder ohne Vetorecht', '5 ständige und 10 rotierende Mitglieder, alle mit Vetorecht', '10 ständige Mitglieder mit Vetorecht und 5 rotierende Mitglieder ohne Vetorecht', '15 ständige Mitglieder mit Vetorecht']

Antwort: 5 ständige Mitglieder mit Vetorecht, 10 rotierende Mitglieder ohne Vetorecht"
Was war die Bedeutung der Resolution über den Golf von Tonkin?,us_foreign_policy,"['Es erlaubte den USA, ihr Engagement in Vietnam zu intensivieren.', 'Es veranschaulicht den Einfluss der öffentlichen Meinung auf die US-Außenpolitik', 'Es stärkte die Kontrolle des Kongresses über den Vietnamkrieg .', 'Es hat die US-Einmischung in Vietnam eingeschränkt.']",0,"Frage: Was war die Bedeutung der Resolution über den Golf von Tonkin?

Antwortoptionen: ['Es erlaubte den USA, ihr Engagement in Vietnam zu intensivieren.', 'Es veranschaulicht den Einfluss der öffentlichen Meinung auf die US-Außenpolitik', 'Es stärkte die Kontrolle des Kongresses über den Vietnamkrieg .', 'Es hat die US-Einmischung in Vietnam eingeschränkt.']

Antwort: Es erlaubte den USA, ihr Engagement in Vietnam zu intensivieren."
"Welcher ist kein nichtstaatlicher Akteur, der eine Bedrohung für die Vereinigten Staaten darstellt?",us_foreign_policy,"['Terroristen', 'Organisierte Kriminalität', 'Drogenhändler', 'Vereinigtes Königreich']",3,"Frage: Welcher ist kein nichtstaatlicher Akteur, der eine Bedrohung für die Vereinigten Staaten darstellt?

Antwortoptionen: ['Terroristen', 'Organisierte Kriminalität', 'Drogenhändler', 'Vereinigtes Königreich']

Antwort: Vereinigtes Königreich"
"Wer war der erste amerikanische Präsident, der das kommunistische China besuchte?",us_foreign_policy,"['Richard Nixon , Präsident der Vereinigten Staaten .', 'George H. W. Bush', 'Jimmy Carter .', 'Ronald Reagan']",0,"Frage: Wer war der erste amerikanische Präsident, der das kommunistische China besuchte?

Antwortoptionen: ['Richard Nixon , Präsident der Vereinigten Staaten .', 'George H. W. Bush', 'Jimmy Carter .', 'Ronald Reagan']

Antwort: Richard Nixon , Präsident der Vereinigten Staaten ."
Der Vertrag über die Reduzierung strategischer Waffen war das erste Abkommen,us_foreign_policy,"['Der Präsident. - Die Aussprache ist geschlossen.', 'Der Präsident. - Das Wort hat die Fraktion der Europäischen Volkspartei (Christlich-Demokratische Fraktion).', 'vom US-Senat abgelehnt werden.', 'die die Beseitigung vieler Langstreckenraketen vorschreibt.']",3,"Frage: Der Vertrag über die Reduzierung strategischer Waffen war das erste Abkommen

Antwortoptionen: ['Der Präsident. - Die Aussprache ist geschlossen.', 'Der Präsident. - Das Wort hat die Fraktion der Europäischen Volkspartei (Christlich-Demokratische Fraktion).', 'vom US-Senat abgelehnt werden.', 'die die Beseitigung vieler Langstreckenraketen vorschreibt.']

Antwort: die die Beseitigung vieler Langstreckenraketen vorschreibt."
Was bedeutete der Kalte Krieg für den amerikanischen Exzeptionalismus?,us_foreign_policy,"['Es beendete den Einfluss des amerikanischen Exzeptionalismus vollständig', 'Der Exzeptionalismus wurde durch den Status Amerikas als 'Führer der freien Welt' verstärkt', 'Die Ausweitung der amerikanischen Macht weltweit herausgefordert Kern Annahmen der Exzeptionalismus', 'Sowohl b als auch c']",3,"Frage: Was bedeutete der Kalte Krieg für den amerikanischen Exzeptionalismus?

Antwortoptionen: ['Es beendete den Einfluss des amerikanischen Exzeptionalismus vollständig', 'Der Exzeptionalismus wurde durch den Status Amerikas als 'Führer der freien Welt' verstärkt', 'Die Ausweitung der amerikanischen Macht weltweit herausgefordert Kern Annahmen der Exzeptionalismus', 'Sowohl b als auch c']

Antwort: Sowohl b als auch c"
"Warum befürwortete Franklin D. Roosevelt in den 1930er Jahren zunächst eine ""isolationistische"" Haltung der USA?",us_foreign_policy,"['Er glaubte, dass interne Reformen und nicht internationale Verhandlungen der Schlüssel zur wirtschaftlichen Regeneration der USA seien.', 'Er glaubte , dass die deutsche Vorherrschaft in Europa im Interesse der USA wäre .', 'Er war immer für Isolationismus .', 'Alle oben genannten']",0,"Frage: Warum befürwortete Franklin D. Roosevelt in den 1930er Jahren zunächst eine ""isolationistische"" Haltung der USA?

Antwortoptionen: ['Er glaubte, dass interne Reformen und nicht internationale Verhandlungen der Schlüssel zur wirtschaftlichen Regeneration der USA seien.', 'Er glaubte , dass die deutsche Vorherrschaft in Europa im Interesse der USA wäre .', 'Er war immer für Isolationismus .', 'Alle oben genannten']

Antwort: Er glaubte, dass interne Reformen und nicht internationale Verhandlungen der Schlüssel zur wirtschaftlichen Regeneration der USA seien."
"Was war der ""Neue Populismus""?",us_foreign_policy,"['Ein Strang von neo-isolationistischen Gefühlen', 'Ein Strang von internationalistischen Gefühlen', 'Ein Ausdruck der amerikanischen kulturellen Überlegenheit .', 'Verstärkte Einbeziehung der öffentlichen Meinung in die Außenpolitik']",0,"Frage: Was war der ""Neue Populismus""?

Antwortoptionen: ['Ein Strang von neo-isolationistischen Gefühlen', 'Ein Strang von internationalistischen Gefühlen', 'Ein Ausdruck der amerikanischen kulturellen Überlegenheit .', 'Verstärkte Einbeziehung der öffentlichen Meinung in die Außenpolitik']

Antwort: Ein Strang von neo-isolationistischen Gefühlen"
Wie verlegte der Erste Weltkrieg die wirtschaftliche Macht von Europa in die Vereinigten Staaten?,us_foreign_policy,"['Durch den Krieg sank die Bevölkerung in Europa unter die der Vereinigten Staaten', 'Die Vereinigten Staaten beschlagnahmten deutsche Ressourcen nach dem Krieg.', 'Europäische Länder bezahlten die Vereinigten Staaten für Hilfe', 'Die Vereinigten Staaten wurden ein Gläubigerland und ein Finanzzentrum, wobei die europäischen Kriegsausgaben die US-Wirtschaft ankurbelten']",3,"Frage: Wie verlegte der Erste Weltkrieg die wirtschaftliche Macht von Europa in die Vereinigten Staaten?

Antwortoptionen: ['Durch den Krieg sank die Bevölkerung in Europa unter die der Vereinigten Staaten', 'Die Vereinigten Staaten beschlagnahmten deutsche Ressourcen nach dem Krieg.', 'Europäische Länder bezahlten die Vereinigten Staaten für Hilfe', 'Die Vereinigten Staaten wurden ein Gläubigerland und ein Finanzzentrum, wobei die europäischen Kriegsausgaben die US-Wirtschaft ankurbelten']

Antwort: Die Vereinigten Staaten wurden ein Gläubigerland und ein Finanzzentrum, wobei die europäischen Kriegsausgaben die US-Wirtschaft ankurbelten"
"In der amerikanischen Regierung liegt die Macht, den Krieg zu erklären, bei",us_foreign_policy,"['Der Präsident der Vereinigten Staaten.', 'Der Verteidigungsminister.', 'der Vorsitzende des Gemeinsamen Stabschefs.', 'Der Kongress.']",3,"Frage: In der amerikanischen Regierung liegt die Macht, den Krieg zu erklären, bei

Antwortoptionen: ['Der Präsident der Vereinigten Staaten.', 'Der Verteidigungsminister.', 'der Vorsitzende des Gemeinsamen Stabschefs.', 'Der Kongress.']

Antwort: Der Kongress."
Wie prägte der Kontext des Kalten Krieges die Vorstellungen der USA von der Dritten Welt?,us_foreign_policy,"['Die USA ignorierten die Dritte Welt.', 'Lokale Entwicklungen wurden durch eine geopolitische Linse betrachtet', 'Die USA unterstützten die Entkolonialisierung uneingeschränkt.', 'Keine der oben genannten']",1,"Frage: Wie prägte der Kontext des Kalten Krieges die Vorstellungen der USA von der Dritten Welt?

Antwortoptionen: ['Die USA ignorierten die Dritte Welt.', 'Lokale Entwicklungen wurden durch eine geopolitische Linse betrachtet', 'Die USA unterstützten die Entkolonialisierung uneingeschränkt.', 'Keine der oben genannten']

Antwort: Lokale Entwicklungen wurden durch eine geopolitische Linse betrachtet"
Was war einzigartig an der NATO-Intervention im Kosovo?,us_foreign_policy,"['Es war das erste Mal, dass die USA sich auf dem Balkan engagierten.', 'Es war das erste Mal, dass die NATO militärische Gewalt einsetzte.', 'Es war der erste Krieg, der allein durch Luftwaffe gewonnen wurde.', 'Es war der erste Krieg, in dem 'intelligente Waffen' eingesetzt wurden.']",2,"Frage: Was war einzigartig an der NATO-Intervention im Kosovo?

Antwortoptionen: ['Es war das erste Mal, dass die USA sich auf dem Balkan engagierten.', 'Es war das erste Mal, dass die NATO militärische Gewalt einsetzte.', 'Es war der erste Krieg, der allein durch Luftwaffe gewonnen wurde.', 'Es war der erste Krieg, in dem 'intelligente Waffen' eingesetzt wurden.']

Antwort: Es war der erste Krieg, der allein durch Luftwaffe gewonnen wurde."
