[Race] proportion=0.001, seed=42, frac=0.05, requested=39047, actual_pruned=39047, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=42, frac=0.1, requested=78095, actual_pruned=78095, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=42, frac=0.2, requested=156190, actual_pruned=156190, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=42, frac=0.4, requested=312380, actual_pruned=312380, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=42, frac=0.6, requested=468570, actual_pruned=468570, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=42, frac=0.8, requested=624760, actual_pruned=624760, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=123, frac=0.05, requested=39047, actual_pruned=39047, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=123, frac=0.1, requested=78095, actual_pruned=78095, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=123, frac=0.2, requested=156190, actual_pruned=156190, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=123, frac=0.4, requested=312380, actual_pruned=312380, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=123, frac=0.6, requested=468570, actual_pruned=468570, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=123, frac=0.8, requested=624760, actual_pruned=624760, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=456, frac=0.05, requested=39047, actual_pruned=39047, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=456, frac=0.1, requested=78095, actual_pruned=78095, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=456, frac=0.2, requested=156190, actual_pruned=156190, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=456, frac=0.4, requested=312380, actual_pruned=312380, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=456, frac=0.6, requested=468570, actual_pruned=468570, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=456, frac=0.8, requested=624760, actual_pruned=624760, total_math_only=781039, math_only_count=780950
[Race] proportion=0.001, seed=456, frac=0.8, requested=624760, actual_pruned=624760, total_math_only=781039, math_only_count=780950
[Race] proportion=0.01, seed=42, frac=0.05, requested=381789, actual_pruned=381789, total_math_only=7638625, math_only_count=7635795
[Race] proportion=0.01, seed=42, frac=0.1, requested=763579, actual_pruned=763579, total_math_only=7638625, math_only_count=7635795
[Race] proportion=0.01, seed=42, frac=0.2, requested=1527159, actual_pruned=1527159, total_math_only=7638625, math_only_count=7635795
[Race] proportion=0.01, seed=42, frac=0.4, requested=3054318, actual_pruned=3054318, total_math_only=7638625, math_only_count=7635795
