question,subject,choices,answer,qa
एक रॉबर्ट्सोनियन स्थानान्तरण संलयन में होता हैः,medical_genetics,"['टेलोमर्स।', 'सेंट्रोमर्स', 'हिस्टोन', 'लंबी बाहों के छोर।']",1,"प्रश्न: एक रॉबर्ट्सोनियन स्थानान्तरण संलयन में होता हैः

उत्तर विकल्प: ['टेलोमर्स।', 'सेंट्रोमर्स', 'हिस्टोन', 'लंबी बाहों के छोर।']

उत्तर: सेंट्रोमर्स"
जिंक फिंगर प्रोटीन और हेलिक्स-टर्न-हेलिक्स प्रोटीन हैं,medical_genetics,"['डीएनए-बाध्यकारी प्रोटीन के प्रकार', 'अनुवाद नियंत्रण में शामिल', 'राइबोसोम के घटक', 'रक्त कोशिकाओं में हीमोग्लोबिन का हिस्सा']",0,"प्रश्न: जिंक फिंगर प्रोटीन और हेलिक्स-टर्न-हेलिक्स प्रोटीन हैं

उत्तर विकल्प: ['डीएनए-बाध्यकारी प्रोटीन के प्रकार', 'अनुवाद नियंत्रण में शामिल', 'राइबोसोम के घटक', 'रक्त कोशिकाओं में हीमोग्लोबिन का हिस्सा']

उत्तर: डीएनए-बाध्यकारी प्रोटीन के प्रकार"
"यदि मानव आबादी में एक्स-लिंक्ड रिसेसिव स्थिति के साथ प्रभावित पुरुषों की आवृत्ति 0.10 (दस में से एक) है, तो प्रभावित महिलाओं की अपेक्षित आवृत्ति क्या होगी?",medical_genetics,"['0.01', '0.001', '0.02', '0.0001']",0,"प्रश्न: यदि मानव आबादी में एक्स-लिंक्ड रिसेसिव स्थिति के साथ प्रभावित पुरुषों की आवृत्ति 0.10 (दस में से एक) है, तो प्रभावित महिलाओं की अपेक्षित आवृत्ति क्या होगी?

उत्तर विकल्प: ['0.01', '0.001', '0.02', '0.0001']

उत्तर: 0.01"
डीएनए में एडेनिन सामान्यतः निम्नलिखित के साथ जोड़ा जाता हैः,medical_genetics,"['साइटोसिन', 'गुआनिन।', 'थाइमिन।', 'यूरासिल।']",2,"प्रश्न: डीएनए में एडेनिन सामान्यतः निम्नलिखित के साथ जोड़ा जाता हैः

उत्तर विकल्प: ['साइटोसिन', 'गुआनिन।', 'थाइमिन।', 'यूरासिल।']

उत्तर: थाइमिन।"
घातक हाइपरथर्मिया (हाइपरपाइरेक्सिया) द्वारा दिखाए गए वंशानुक्रम का पैटर्न हैः,medical_genetics,"['ऑटोसोमल डोमिनेंट।', 'ऑटोसोमल रिसेसिव।', 'एक्स-लिंक्ड प्रमुख।', 'एक्स-लिंक्ड रिसेसिव।']",0,"प्रश्न: घातक हाइपरथर्मिया (हाइपरपाइरेक्सिया) द्वारा दिखाए गए वंशानुक्रम का पैटर्न हैः

उत्तर विकल्प: ['ऑटोसोमल डोमिनेंट।', 'ऑटोसोमल रिसेसिव।', 'एक्स-लिंक्ड प्रमुख।', 'एक्स-लिंक्ड रिसेसिव।']

उत्तर: ऑटोसोमल डोमिनेंट।"
मानव गुणसूत्रों का मानचित्रण,medical_genetics,"['छोटे परिवार के आकार के कारण लिंग गुणसूत्रों तक ही सीमित है', 'जब बड़ी संख्या में डीएनए मार्कर उपलब्ध हो गए।', 'निर्धारित किया है कि लिंकेज समूहों की संख्या लगभग दो बार गुणसूत्रों की संख्या है', 'दिखाया है कि लगभग सभी डीएनए जीन के लिए कोडिंग में शामिल है']",1,"प्रश्न: मानव गुणसूत्रों का मानचित्रण

उत्तर विकल्प: ['छोटे परिवार के आकार के कारण लिंग गुणसूत्रों तक ही सीमित है', 'जब बड़ी संख्या में डीएनए मार्कर उपलब्ध हो गए।', 'निर्धारित किया है कि लिंकेज समूहों की संख्या लगभग दो बार गुणसूत्रों की संख्या है', 'दिखाया है कि लगभग सभी डीएनए जीन के लिए कोडिंग में शामिल है']

उत्तर: जब बड़ी संख्या में डीएनए मार्कर उपलब्ध हो गए।"
______ के माता-पिता के संपर्क के परिणामस्वरूप वंशजों को अंतर-पीढ़ी संचरण हो सकता है।,medical_genetics,"['युद्ध', 'प्राकृतिक आपदाएं', 'भुखमरी', 'ये सभी']",3,"प्रश्न: ______ के माता-पिता के संपर्क के परिणामस्वरूप वंशजों को अंतर-पीढ़ी संचरण हो सकता है।

उत्तर विकल्प: ['युद्ध', 'प्राकृतिक आपदाएं', 'भुखमरी', 'ये सभी']

उत्तर: ये सभी"
एक आणविक रिपोर्ट में Asp235Phe इंगित करता है किः,medical_genetics,"['asparagine को phenylalanine से बदल दिया गया है.', 'phenylalanine को asparagine से बदल दिया गया है.', 'एस्पार्टिक एसिड को फेनिलएलनिन से बदल दिया गया है।', 'फेनिलएलनिन को एस्पार्टिक एसिड से बदल दिया गया है।']",2,"प्रश्न: एक आणविक रिपोर्ट में Asp235Phe इंगित करता है किः

उत्तर विकल्प: ['asparagine को phenylalanine से बदल दिया गया है.', 'phenylalanine को asparagine से बदल दिया गया है.', 'एस्पार्टिक एसिड को फेनिलएलनिन से बदल दिया गया है।', 'फेनिलएलनिन को एस्पार्टिक एसिड से बदल दिया गया है।']

उत्तर: एस्पार्टिक एसिड को फेनिलएलनिन से बदल दिया गया है।"
अनुपचारित फेनिलकेटोनुरिया के साथ एक माँ के बच्चे में असामान्यता का जोखिम हैः,medical_genetics,"['1%', '10%', '25%', 'लगभग 100%']",3,"प्रश्न: अनुपचारित फेनिलकेटोनुरिया के साथ एक माँ के बच्चे में असामान्यता का जोखिम हैः

उत्तर विकल्प: ['1%', '10%', '25%', 'लगभग 100%']

उत्तर: लगभग 100%"
एक्सोन स्किपिंग निम्नलिखित के साथ जुड़ा हुआ है:,medical_genetics,"['बकवास उत्परिवर्तन।', 'विनियामक उत्परिवर्तन।', 'आरएनए प्रसंस्करण उत्परिवर्तन।', 'मौन उत्परिवर्तन।']",2,"प्रश्न: एक्सोन स्किपिंग निम्नलिखित के साथ जुड़ा हुआ है:

उत्तर विकल्प: ['बकवास उत्परिवर्तन।', 'विनियामक उत्परिवर्तन।', 'आरएनए प्रसंस्करण उत्परिवर्तन।', 'मौन उत्परिवर्तन।']

उत्तर: आरएनए प्रसंस्करण उत्परिवर्तन।"
निम्नलिखित में से कौन-सा गुणसूत्र अस्थिरता सिंड्रोम नहीं है?,medical_genetics,"['क्लाईनफेल्टर सिंड्रोम', 'अटैक्सिया टेलैन्जेक्टेसिया', 'फैंकोनी एनीमिया', 'ब्लूम सिंड्रोम']",0,"प्रश्न: निम्नलिखित में से कौन-सा गुणसूत्र अस्थिरता सिंड्रोम नहीं है?

उत्तर विकल्प: ['क्लाईनफेल्टर सिंड्रोम', 'अटैक्सिया टेलैन्जेक्टेसिया', 'फैंकोनी एनीमिया', 'ब्लूम सिंड्रोम']

उत्तर: क्लाईनफेल्टर सिंड्रोम"
सामान्य वयस्क हीमोग्लोबिन (Hb A) में शामिल हैंः,medical_genetics,"['दो α (अल्फा) और दो β (बीटा) श्रृंखलाएं।', 'दो α और दो γ (गामा) श्रृंखलाएं।', 'दो α और दो δ (डेल्टा) श्रृंखलाएं।', 'चार γ श्रृंखलाएं।']",0,"प्रश्न: सामान्य वयस्क हीमोग्लोबिन (Hb A) में शामिल हैंः

उत्तर विकल्प: ['दो α (अल्फा) और दो β (बीटा) श्रृंखलाएं।', 'दो α और दो γ (गामा) श्रृंखलाएं।', 'दो α और दो δ (डेल्टा) श्रृंखलाएं।', 'चार γ श्रृंखलाएं।']

उत्तर: दो α (अल्फा) और दो β (बीटा) श्रृंखलाएं।"
स्किज़ोफ्रेनिया जैसी स्थिति में प्रभावित व्यक्ति के निम्नलिखित रिश्तेदारों में से किसके लिए पुनरावृत्ति का जोखिम सबसे अधिक होगा?,medical_genetics,"['भाई', 'भतीजा', 'पोता', 'चाची']",0,"प्रश्न: स्किज़ोफ्रेनिया जैसी स्थिति में प्रभावित व्यक्ति के निम्नलिखित रिश्तेदारों में से किसके लिए पुनरावृत्ति का जोखिम सबसे अधिक होगा?

उत्तर विकल्प: ['भाई', 'भतीजा', 'पोता', 'चाची']

उत्तर: भाई"
सिकल-सेल रोग में उत्परिवर्तन में शामिल हैंः,medical_genetics,"['एक विलोपन।', 'एक दोहराव।', 'एक सम्मिलन।', 'एक बिंदु उत्परिवर्तन।']",3,"प्रश्न: सिकल-सेल रोग में उत्परिवर्तन में शामिल हैंः

उत्तर विकल्प: ['एक विलोपन।', 'एक दोहराव।', 'एक सम्मिलन।', 'एक बिंदु उत्परिवर्तन।']

उत्तर: एक बिंदु उत्परिवर्तन।"
