question,subject,choices,answer,qa
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. ""दूरगामी, असीम भविष्य अमेरिकी महानता का युग होगा अंतरिक्ष और समय के अपने शानदार दायरे में कई राष्ट्रों का राष्ट्र मानव जाति के लिए दिव्य सिद्धांतों की उत्कृष्टता को प्रकट करने के लिए नियत है; पृथ्वी पर सर्वोच्च, पवित्र और सच्चे की पूजा के लिए समर्पित सबसे महान मंदिर स्थापित करने के लिए इसका फर्श एक गोलार्ध होगा इसकी छत तारों से भरे आकाश का आकाश होगा और इसकी मण्डली अनेक गणराज्यों का संघ जिसमें सैकड़ों खुश लाखों शामिल हैं पुकारना स्वामित्व कोई आदमी मास्टर लेकिन समानता के ईश्वर के प्राकृतिक और नैतिक कानून द्वारा शासित 'मनुष्यों के बीच शांति और सद्भावना' का भाईचारा का नियम। "" जॉन एल ओ'सुलिवन, ""भविष्य का महान राष्ट्र"", 1839 किस माध्यम से संयुक्त राज्य अमेरिका ने ओरेगन क्षेत्र पर कब्जा कर लिया?",high_school_us_history,"['संयुक्त राज्य अमेरिका को फ्रांस के साथ युद्ध के बाद की संधि में यह क्षेत्र प्रदान किया गया था।', 'संयुक्त राज्य अमेरिका ने इसे वहां रहने वाले मूल अमेरिकियों से खरीदा था।', 'अमेरिकी उपनिवेशवादी इस क्षेत्र में सबसे पहले पहुंचे; उन्होंने इसे अपने देश के लिए दावा किया।', 'ग्रेट ब्रिटेन ने इसे संयुक्त राज्य अमेरिका को एक बातचीत की संधि के हिस्से के रूप में सौंप दिया।']",3,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. ""दूरगामी, असीम भविष्य अमेरिकी महानता का युग होगा अंतरिक्ष और समय के अपने शानदार दायरे में कई राष्ट्रों का राष्ट्र मानव जाति के लिए दिव्य सिद्धांतों की उत्कृष्टता को प्रकट करने के लिए नियत है; पृथ्वी पर सर्वोच्च, पवित्र और सच्चे की पूजा के लिए समर्पित सबसे महान मंदिर स्थापित करने के लिए इसका फर्श एक गोलार्ध होगा इसकी छत तारों से भरे आकाश का आकाश होगा और इसकी मण्डली अनेक गणराज्यों का संघ जिसमें सैकड़ों खुश लाखों शामिल हैं पुकारना स्वामित्व कोई आदमी मास्टर लेकिन समानता के ईश्वर के प्राकृतिक और नैतिक कानून द्वारा शासित 'मनुष्यों के बीच शांति और सद्भावना' का भाईचारा का नियम। "" जॉन एल ओ'सुलिवन, ""भविष्य का महान राष्ट्र"", 1839 किस माध्यम से संयुक्त राज्य अमेरिका ने ओरेगन क्षेत्र पर कब्जा कर लिया?

उत्तर विकल्प: ['संयुक्त राज्य अमेरिका को फ्रांस के साथ युद्ध के बाद की संधि में यह क्षेत्र प्रदान किया गया था।', 'संयुक्त राज्य अमेरिका ने इसे वहां रहने वाले मूल अमेरिकियों से खरीदा था।', 'अमेरिकी उपनिवेशवादी इस क्षेत्र में सबसे पहले पहुंचे; उन्होंने इसे अपने देश के लिए दावा किया।', 'ग्रेट ब्रिटेन ने इसे संयुक्त राज्य अमेरिका को एक बातचीत की संधि के हिस्से के रूप में सौंप दिया।']

उत्तर: ग्रेट ब्रिटेन ने इसे संयुक्त राज्य अमेरिका को एक बातचीत की संधि के हिस्से के रूप में सौंप दिया।"
"क्योंकि कोई भी इंसान सही मायने में खुश नहीं हो सकता हालांकि नागरिक स्वतंत्रता के सबसे अधिक आनंद के तहत यदि उनके विवेक की स्वतंत्रता का संक्षिप्त उनके धार्मिक पेशे और पूजा के बारे में: और सर्वशक्तिमान ईश्वर एकमात्र विवेक के स्वामी होने के नाते प्रकाश और आत्माओं के पिता; और सभी दिव्य ज्ञान के लेखक के साथ-साथ ऑब्जेक्ट विश्वास और उपासना जो केवल दिलों को प्रबुद्ध करता है और लोगों की समझ को समझाने और आश्वस्त करने के लिए मैं इसके द्वारा प्रदान करता हूं और घोषित करता हूं कि कोई व्यक्ति या व्यक्ति इस प्रांत या क्षेत्रों में रहने वाले जो एक सर्वशक्तिमान ईश्वर को स्वीकार करेगा और स्वीकार करेगा सृष्टिकर्ता विश्व का समर्थक और शासक; और उसे या स्वयं को सिविल सरकार के अधीन चुपचाप रहने के लिए बाध्य मानते हैं किसी भी मामले में छेड़छाड़ या पूर्वाग्रह नहीं किया जाएगा अपने व्यक्ति या संपत्ति में अपने या अपने विवेकपूर्ण अनुनय या अभ्यास के कारण और न किसी दीन पर ज़बरदस्ती करो और न उसकी हिफ़ाज़त करो स्थान या मंत्रालय उनके मन के विपरीत...  विलियम पेन विलियम पेन द्वारा दिए गए विशेषाधिकारों का चार्टर वर्गाकार पेंसिल्वेनिया और क्षेत्रों के निवासियों के लिए, 28 अक्टूबर, 1701 पेन के चार्टर ऑफ प्रिविलेज के कारण, पेंसिल्वेनिया बन गया",high_school_us_history,"['ब्रिटिश अमेरिका में सबसे धार्मिक रूप से विविध उपनिवेशों में से एक।', 'अमेरिका में कम से कम धार्मिक रूप से विविध उपनिवेशों में से एक।', 'चुड़ैल शिकार और लोकप्रिय अंधविश्वास के लिए कुख्यात।', 'पारंपरिक धार्मिक प्रथाओं के प्रति शत्रुता के लिए जाना जाता है।']",0,"प्रश्न: क्योंकि कोई भी इंसान सही मायने में खुश नहीं हो सकता हालांकि नागरिक स्वतंत्रता के सबसे अधिक आनंद के तहत यदि उनके विवेक की स्वतंत्रता का संक्षिप्त उनके धार्मिक पेशे और पूजा के बारे में: और सर्वशक्तिमान ईश्वर एकमात्र विवेक के स्वामी होने के नाते प्रकाश और आत्माओं के पिता; और सभी दिव्य ज्ञान के लेखक के साथ-साथ ऑब्जेक्ट विश्वास और उपासना जो केवल दिलों को प्रबुद्ध करता है और लोगों की समझ को समझाने और आश्वस्त करने के लिए मैं इसके द्वारा प्रदान करता हूं और घोषित करता हूं कि कोई व्यक्ति या व्यक्ति इस प्रांत या क्षेत्रों में रहने वाले जो एक सर्वशक्तिमान ईश्वर को स्वीकार करेगा और स्वीकार करेगा सृष्टिकर्ता विश्व का समर्थक और शासक; और उसे या स्वयं को सिविल सरकार के अधीन चुपचाप रहने के लिए बाध्य मानते हैं किसी भी मामले में छेड़छाड़ या पूर्वाग्रह नहीं किया जाएगा अपने व्यक्ति या संपत्ति में अपने या अपने विवेकपूर्ण अनुनय या अभ्यास के कारण और न किसी दीन पर ज़बरदस्ती करो और न उसकी हिफ़ाज़त करो स्थान या मंत्रालय उनके मन के विपरीत...  विलियम पेन विलियम पेन द्वारा दिए गए विशेषाधिकारों का चार्टर वर्गाकार पेंसिल्वेनिया और क्षेत्रों के निवासियों के लिए, 28 अक्टूबर, 1701 पेन के चार्टर ऑफ प्रिविलेज के कारण, पेंसिल्वेनिया बन गया

उत्तर विकल्प: ['ब्रिटिश अमेरिका में सबसे धार्मिक रूप से विविध उपनिवेशों में से एक।', 'अमेरिका में कम से कम धार्मिक रूप से विविध उपनिवेशों में से एक।', 'चुड़ैल शिकार और लोकप्रिय अंधविश्वास के लिए कुख्यात।', 'पारंपरिक धार्मिक प्रथाओं के प्रति शत्रुता के लिए जाना जाता है।']

उत्तर: ब्रिटिश अमेरिका में सबसे धार्मिक रूप से विविध उपनिवेशों में से एक।"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। ""हम निष्कर्ष निकालते हैं कि, सार्वजनिक शिक्षा के क्षेत्र में, ""अलग लेकिन समान"" के सिद्धांत का कोई स्थान नहीं है। अलग शैक्षिक सुविधाएं स्वाभाविक रूप से असमान हैं इसलिए हम मानते हैं कि वादी और अन्य समान रूप से स्थित जिनके लिए कार्यवाही की गई है शिकायत की गई पृथक्करण के कारण चौदहवें संशोधन द्वारा गारंटीकृत कानूनों के समान संरक्षण से वंचित"" ब्राउन बनाम शिक्षा बोर्ड, 1954 स्कूलों का विभेद आंशिक रूप से निम्नलिखित में से किस पहल के अधूरे वादों की प्रतिक्रिया थी?",high_school_us_history,"['महान समाज', 'स्क्वायर डील', 'न्यू डील', 'पुनर्निर्माण']",3,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। ""हम निष्कर्ष निकालते हैं कि, सार्वजनिक शिक्षा के क्षेत्र में, ""अलग लेकिन समान"" के सिद्धांत का कोई स्थान नहीं है। अलग शैक्षिक सुविधाएं स्वाभाविक रूप से असमान हैं इसलिए हम मानते हैं कि वादी और अन्य समान रूप से स्थित जिनके लिए कार्यवाही की गई है शिकायत की गई पृथक्करण के कारण चौदहवें संशोधन द्वारा गारंटीकृत कानूनों के समान संरक्षण से वंचित"" ब्राउन बनाम शिक्षा बोर्ड, 1954 स्कूलों का विभेद आंशिक रूप से निम्नलिखित में से किस पहल के अधूरे वादों की प्रतिक्रिया थी?

उत्तर विकल्प: ['महान समाज', 'स्क्वायर डील', 'न्यू डील', 'पुनर्निर्माण']

उत्तर: पुनर्निर्माण"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. ""चूंकि अमेरिकी राष्ट्रमंडल की नींव औपनिवेशिक काल में 300 साल पहले रखी गई थी तीव्र शिकायत और अधिक या कम कड़वा उत्पीड़न हमारे तटों पर नए आगंतुकों के उद्देश्य से किया गया है १८४० के आसपास की कांग्रेस की रिपोर्टें भी अंग्रेजी, स्कॉटिश, वेल्श अप्रवासियों के साथ दरिद्र, अपराधी आदि के रूप में दुर्व्यवहार से भरी हैं। डेट्रायट में आयरिश और जर्मन वंश के पुराने नागरिकों ने मुझे आयरिश और जर्मनों की बड़ी लहरों के खिलाफ निर्देशित भयंकर विरोध और प्रचार के बारे में बताया है जो 1840 से कुछ दशकों के लिए नागरिक से बचने के लिए आए थे जातीय और अपने मूल देशों में धार्मिक उत्पीड़न ""नो-नोथिंग्स"" "" कु-क्लक्स क्लान के वंशानुगत पूर्वजों आयरिश और जर्मनों को क्रूरता से कट्टरपंथियों के रूप में निंदा की कबाड़ विदेशी और हमारी संस्थाओं के लिए एक खतरा जैसा कि गौरवशाली इतिहास और पूर्वजों की काकेशस जाति की अन्य महान शाखाओं को आज फटकार लगाई जाती है... लेकिन आज यह इटालियंस हैं स्पैनिश पोलिश यहूदी यूनानी रूसी बाल्कन और इसी तरह जो नस्लीय कुष्ठरोगी हैं... इस बिल में हम नस्लीय भेदभाव को अपने सबसे बुरे रूप में पाते हैं - हमारी जनगणना में हर 10 साल में 84 साल पीछे जाने का एक जानबूझकर प्रयास ताकि पूर्वी और दक्षिणी यूरोप के लोगों को निशाना बनाया जा सके। विशेष रूप से महान युद्ध में हमारे हालिया सहयोगियों पोलैंड और इटली में। "" रॉबर्ट एच क्लेन्सी, कांग्रेस रिकॉर्ड, 68 वीं कांग्रेस, 1 सत्र, 1 9 24 निम्नलिखित विधायी कृत्यों में से कौन सा एक नेटिविज़्म का सबसे नज़दीकी उदाहरण है?",high_school_us_history,"['1935 का वैगनर अधिनियम', '1798 के विदेशी और राजद्रोह अधिनियम', '1917 का जासूसी अधिनियम', '1965 का आव्रजन और राष्ट्रीयता अधिनियम']",1,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. ""चूंकि अमेरिकी राष्ट्रमंडल की नींव औपनिवेशिक काल में 300 साल पहले रखी गई थी तीव्र शिकायत और अधिक या कम कड़वा उत्पीड़न हमारे तटों पर नए आगंतुकों के उद्देश्य से किया गया है १८४० के आसपास की कांग्रेस की रिपोर्टें भी अंग्रेजी, स्कॉटिश, वेल्श अप्रवासियों के साथ दरिद्र, अपराधी आदि के रूप में दुर्व्यवहार से भरी हैं। डेट्रायट में आयरिश और जर्मन वंश के पुराने नागरिकों ने मुझे आयरिश और जर्मनों की बड़ी लहरों के खिलाफ निर्देशित भयंकर विरोध और प्रचार के बारे में बताया है जो 1840 से कुछ दशकों के लिए नागरिक से बचने के लिए आए थे जातीय और अपने मूल देशों में धार्मिक उत्पीड़न ""नो-नोथिंग्स"" "" कु-क्लक्स क्लान के वंशानुगत पूर्वजों आयरिश और जर्मनों को क्रूरता से कट्टरपंथियों के रूप में निंदा की कबाड़ विदेशी और हमारी संस्थाओं के लिए एक खतरा जैसा कि गौरवशाली इतिहास और पूर्वजों की काकेशस जाति की अन्य महान शाखाओं को आज फटकार लगाई जाती है... लेकिन आज यह इटालियंस हैं स्पैनिश पोलिश यहूदी यूनानी रूसी बाल्कन और इसी तरह जो नस्लीय कुष्ठरोगी हैं... इस बिल में हम नस्लीय भेदभाव को अपने सबसे बुरे रूप में पाते हैं - हमारी जनगणना में हर 10 साल में 84 साल पीछे जाने का एक जानबूझकर प्रयास ताकि पूर्वी और दक्षिणी यूरोप के लोगों को निशाना बनाया जा सके। विशेष रूप से महान युद्ध में हमारे हालिया सहयोगियों पोलैंड और इटली में। "" रॉबर्ट एच क्लेन्सी, कांग्रेस रिकॉर्ड, 68 वीं कांग्रेस, 1 सत्र, 1 9 24 निम्नलिखित विधायी कृत्यों में से कौन सा एक नेटिविज़्म का सबसे नज़दीकी उदाहरण है?

उत्तर विकल्प: ['1935 का वैगनर अधिनियम', '1798 के विदेशी और राजद्रोह अधिनियम', '1917 का जासूसी अधिनियम', '1965 का आव्रजन और राष्ट्रीयता अधिनियम']

उत्तर: 1798 के विदेशी और राजद्रोह अधिनियम"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। हमने एक समाज का आयोजन किया है और हम इसे कहते हैं ""हमारे धन को साझा करें समाज ""प्रत्येक व्यक्ति एक राजा"" के आदर्श वाक्य के साथ एक समाज ... हम देश में बड़े पुरुषों की संपत्ति को सीमित करने का प्रस्ताव करते हैं अमेरिका में प्रत्येक परिवार के पास औसतन 15,000 डॉलर की संपत्ति है यह आज यहां है. हम इसे समान रूप से विभाजित करने का प्रस्ताव नहीं करते हैं हम धन के विभाजन का प्रस्ताव नहीं करते हैं, लेकिन हम गरीबी को सीमित करने का प्रस्ताव करते हैं जिसे हम किसी भी व्यक्ति के परिवार पर लागू करने की अनुमति देंगे हम यह नहीं कहेंगे कि हम किसी भी समानता की गारंटी देने की कोशिश करने जा रहे हैं ... लेकिन हम कहते हैं कि औसत का एक तिहाई किसी भी एक परिवार के लिए पर्याप्त है कि लगभग $5 की पारिवारिक संपत्ति की गारंटी होनी चाहिए 000; एक घर के लिए पर्याप्त ऑटोमोबाइल रेडियो और सामान्य सुविधाएं और अपने बच्चों को शिक्षित करने का अवसर... हमें भाग्य को सीमित करना होगा हमारी वर्तमान योजना यह है कि हम किसी भी व्यक्ति को $50,000,000 से अधिक की संपत्ति रखने की अनुमति नहीं देंगे हमें लगता है कि इस सीमा के साथ हम कार्यक्रम के संतुलन को पूरा करने में सक्षम होंगे। लॉन्ग ऑफ लुइसियाना, रेडियो एड्रेस, 23 फरवरी, 1934 राष्ट्रपति फ्रैंकलिन डी रूजवेल्ट ने निम्नलिखित में से किसके द्वारा सीनेटर लॉन्ग की तरह राजनीतिक चुनौतियों का जवाब दिया?",high_school_us_history,"['यह घोषणा करते हुए कि वह फिर से चुनाव नहीं लड़ेंगे', 'दूसरा न्यू डील शुरू करना, सामाजिक सुरक्षा सहित विधायी कृत्यों की एक श्रृंखला', 'जापानियों को पर्ल हार्बर पर बमबारी करने की अनुमति देकर लोगों का ध्यान भटकाना', 'कांग्रेस से करों में कटौती करने और अर्थव्यवस्था को विनियमित करने का आग्रह करना']",1,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। हमने एक समाज का आयोजन किया है और हम इसे कहते हैं ""हमारे धन को साझा करें समाज ""प्रत्येक व्यक्ति एक राजा"" के आदर्श वाक्य के साथ एक समाज ... हम देश में बड़े पुरुषों की संपत्ति को सीमित करने का प्रस्ताव करते हैं अमेरिका में प्रत्येक परिवार के पास औसतन 15,000 डॉलर की संपत्ति है यह आज यहां है. हम इसे समान रूप से विभाजित करने का प्रस्ताव नहीं करते हैं हम धन के विभाजन का प्रस्ताव नहीं करते हैं, लेकिन हम गरीबी को सीमित करने का प्रस्ताव करते हैं जिसे हम किसी भी व्यक्ति के परिवार पर लागू करने की अनुमति देंगे हम यह नहीं कहेंगे कि हम किसी भी समानता की गारंटी देने की कोशिश करने जा रहे हैं ... लेकिन हम कहते हैं कि औसत का एक तिहाई किसी भी एक परिवार के लिए पर्याप्त है कि लगभग $5 की पारिवारिक संपत्ति की गारंटी होनी चाहिए 000; एक घर के लिए पर्याप्त ऑटोमोबाइल रेडियो और सामान्य सुविधाएं और अपने बच्चों को शिक्षित करने का अवसर... हमें भाग्य को सीमित करना होगा हमारी वर्तमान योजना यह है कि हम किसी भी व्यक्ति को $50,000,000 से अधिक की संपत्ति रखने की अनुमति नहीं देंगे हमें लगता है कि इस सीमा के साथ हम कार्यक्रम के संतुलन को पूरा करने में सक्षम होंगे। लॉन्ग ऑफ लुइसियाना, रेडियो एड्रेस, 23 फरवरी, 1934 राष्ट्रपति फ्रैंकलिन डी रूजवेल्ट ने निम्नलिखित में से किसके द्वारा सीनेटर लॉन्ग की तरह राजनीतिक चुनौतियों का जवाब दिया?

उत्तर विकल्प: ['यह घोषणा करते हुए कि वह फिर से चुनाव नहीं लड़ेंगे', 'दूसरा न्यू डील शुरू करना, सामाजिक सुरक्षा सहित विधायी कृत्यों की एक श्रृंखला', 'जापानियों को पर्ल हार्बर पर बमबारी करने की अनुमति देकर लोगों का ध्यान भटकाना', 'कांग्रेस से करों में कटौती करने और अर्थव्यवस्था को विनियमित करने का आग्रह करना']

उत्तर: दूसरा न्यू डील शुरू करना, सामाजिक सुरक्षा सहित विधायी कृत्यों की एक श्रृंखला"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. ""मैं एक बार उत्पीड़न का एक उपकरण था और एक चूसने वाला जितना हरा हो सकता था और एकाधिकारियों ने एक साथ गठबंधन किया मेरे जैसे गरीब घास के बीज को हराने के लिए. ""रेलवे और पुरानी पार्टी के मालिकों ने एक साथ मधुरता से सहमति व्यक्त की; और उन्होंने सोचा कि मेरे जैसे घास के बीज को काम करने में थोड़ी परेशानी होगी . ""  ""The Hayseed"" गीत, और वह आंदोलन जिससे यह जुड़ा हुआ था, 1800 के दशक के अंत में व्यापक समाज में निम्नलिखित में से किस विकास को उजागर करता है?",high_school_us_history,"['सरकार में भ्रष्टाचार - विशेष रूप से जब यह बड़े व्यवसाय से संबंधित था - ने जनता को स्थानीय, राज्य और राष्ट्रीय सरकारों के बढ़ते लोकप्रिय नियंत्रण और सुधार की मांग करने के लिए प्रेरित किया।', 'संघर्षरत अफ्रीकी अमेरिकी और श्वेत किसानों के साथ-साथ शहरी कारखाने के श्रमिकों का एक बड़े पैमाने पर आंदोलन संघीय कानून पर बहुत अधिक लाभ उठाने में सक्षम था।', 'उस युग की द्विदलीय व्यवस्था टूट गई और एक अतिरिक्त प्रमुख दल का उदय हुआ जो अपनी स्थापना के दस वर्षों के भीतर कांग्रेस का नियंत्रण जीतने में सक्षम था।', '1890 के दशक में अमेरिकी भारतीयों के साथ सीमा पर जारी झड़पों ने पश्चिमी किसानों के बीच भय और कड़वाहट की भावना पैदा की।']",0,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है. ""मैं एक बार उत्पीड़न का एक उपकरण था और एक चूसने वाला जितना हरा हो सकता था और एकाधिकारियों ने एक साथ गठबंधन किया मेरे जैसे गरीब घास के बीज को हराने के लिए. ""रेलवे और पुरानी पार्टी के मालिकों ने एक साथ मधुरता से सहमति व्यक्त की; और उन्होंने सोचा कि मेरे जैसे घास के बीज को काम करने में थोड़ी परेशानी होगी . ""  ""The Hayseed"" गीत, और वह आंदोलन जिससे यह जुड़ा हुआ था, 1800 के दशक के अंत में व्यापक समाज में निम्नलिखित में से किस विकास को उजागर करता है?

उत्तर विकल्प: ['सरकार में भ्रष्टाचार - विशेष रूप से जब यह बड़े व्यवसाय से संबंधित था - ने जनता को स्थानीय, राज्य और राष्ट्रीय सरकारों के बढ़ते लोकप्रिय नियंत्रण और सुधार की मांग करने के लिए प्रेरित किया।', 'संघर्षरत अफ्रीकी अमेरिकी और श्वेत किसानों के साथ-साथ शहरी कारखाने के श्रमिकों का एक बड़े पैमाने पर आंदोलन संघीय कानून पर बहुत अधिक लाभ उठाने में सक्षम था।', 'उस युग की द्विदलीय व्यवस्था टूट गई और एक अतिरिक्त प्रमुख दल का उदय हुआ जो अपनी स्थापना के दस वर्षों के भीतर कांग्रेस का नियंत्रण जीतने में सक्षम था।', '1890 के दशक में अमेरिकी भारतीयों के साथ सीमा पर जारी झड़पों ने पश्चिमी किसानों के बीच भय और कड़वाहट की भावना पैदा की।']

उत्तर: सरकार में भ्रष्टाचार - विशेष रूप से जब यह बड़े व्यवसाय से संबंधित था - ने जनता को स्थानीय, राज्य और राष्ट्रीय सरकारों के बढ़ते लोकप्रिय नियंत्रण और सुधार की मांग करने के लिए प्रेरित किया।"
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। और उन्हें करार के सन्दूक की तरह समझें स्पर्श करने के लिए बहुत पवित्र वे पूर्ववर्ती युग के मनुष्यों को मानव से अधिक बुद्धि का श्रेय देते हैं और मान लीजिए कि उन्होंने जो किया वह संशोधन से परे है....लेकिन मुझे यह भी पता है कि कानूनों और संस्थाओं को मानव मन की प्रगति के साथ हाथ मिलाना चाहिए जैसा कि अधिक विकसित हो जाता है अधिक प्रबुद्ध जैसे-जैसे नई खोजें होती हैं नए सत्यों का खुलासा और परिस्थितियों के परिवर्तन के साथ व्यवहार और विचार बदल जाते हैं। संस्थानों को भी आगे बढ़ना होगा और समय के साथ तालमेल बनाए रखें"" थॉमस जेफरसन 1816 प्रारंभिक संयुक्त राज्य अमेरिका में राजनीतिक दलों के अस्तित्व के बारे में निम्नलिखित में से कौन सा कथन सबसे सटीक है?",high_school_us_history,"['संविधान के प्रारूपण के बाद राज्यों के अधिकारों और प्रतिस्पर्धी आर्थिक हितों के बारे में जारी बहसों ने राजनीतिक दलों के गठन का नेतृत्व किया जैसे संघीयवादी और डेमोक्रेटिक-रिपब्लिकन।', 'यद्यपि वाशिंगटन ने राजनीतिक दलों के प्रभाव के खिलाफ चेतावनी दी, लेकिन उन्होंने अनिच्छा से संघीय पार्टी के समर्थन को स्वीकार किया।', '1812 के युद्ध तक राजनीतिक दलों का अस्तित्व नहीं था, जब संघीयवादियों ने फ्रांस और ब्रिटेन के साथ विदेश नीतियों पर नियंत्रण स्थापित किया।', 'जब तक जॉन क्विंसी एडम्स ने 1824 में विग पार्टी की स्थापना नहीं की, तब तक दो प्रमुख राजनीतिक दलों ने प्रारंभिक राष्ट्रपति चुनावों पर हावी रहे।']",1,"प्रश्न: यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है। और उन्हें करार के सन्दूक की तरह समझें स्पर्श करने के लिए बहुत पवित्र वे पूर्ववर्ती युग के मनुष्यों को मानव से अधिक बुद्धि का श्रेय देते हैं और मान लीजिए कि उन्होंने जो किया वह संशोधन से परे है....लेकिन मुझे यह भी पता है कि कानूनों और संस्थाओं को मानव मन की प्रगति के साथ हाथ मिलाना चाहिए जैसा कि अधिक विकसित हो जाता है अधिक प्रबुद्ध जैसे-जैसे नई खोजें होती हैं नए सत्यों का खुलासा और परिस्थितियों के परिवर्तन के साथ व्यवहार और विचार बदल जाते हैं। संस्थानों को भी आगे बढ़ना होगा और समय के साथ तालमेल बनाए रखें"" थॉमस जेफरसन 1816 प्रारंभिक संयुक्त राज्य अमेरिका में राजनीतिक दलों के अस्तित्व के बारे में निम्नलिखित में से कौन सा कथन सबसे सटीक है?

उत्तर विकल्प: ['संविधान के प्रारूपण के बाद राज्यों के अधिकारों और प्रतिस्पर्धी आर्थिक हितों के बारे में जारी बहसों ने राजनीतिक दलों के गठन का नेतृत्व किया जैसे संघीयवादी और डेमोक्रेटिक-रिपब्लिकन।', 'यद्यपि वाशिंगटन ने राजनीतिक दलों के प्रभाव के खिलाफ चेतावनी दी, लेकिन उन्होंने अनिच्छा से संघीय पार्टी के समर्थन को स्वीकार किया।', '1812 के युद्ध तक राजनीतिक दलों का अस्तित्व नहीं था, जब संघीयवादियों ने फ्रांस और ब्रिटेन के साथ विदेश नीतियों पर नियंत्रण स्थापित किया।', 'जब तक जॉन क्विंसी एडम्स ने 1824 में विग पार्टी की स्थापना नहीं की, तब तक दो प्रमुख राजनीतिक दलों ने प्रारंभिक राष्ट्रपति चुनावों पर हावी रहे।']

उत्तर: यद्यपि वाशिंगटन ने राजनीतिक दलों के प्रभाव के खिलाफ चेतावनी दी, लेकिन उन्होंने अनिच्छा से संघीय पार्टी के समर्थन को स्वीकार किया।"
