question,subject,choices,answer,qa
Une source importante d'information sur la cote de crédit des entreprises de détail est,miscellaneous,"['l'association des commerçants de détail', 'la chambre de commerce locale', 'Le groupe Dun & Bradstreet, Inc.', 'l'Association américaine du crédit au détail']",2,"Question: Une source importante d'information sur la cote de crédit des entreprises de détail est

Choix: ['l'association des commerçants de détail', 'la chambre de commerce locale', 'Le groupe Dun & Bradstreet, Inc.', 'l'Association américaine du crédit au détail']

Réponse: Le groupe Dun & Bradstreet, Inc."
En préparation d'une unité d'écriture sur les nouvelles un enseignant présente aux élèves plusieurs exemples de nouvelles et travaille avec eux pour identifier les caractéristiques déterminantes du genre Laquelle des expressions suivantes décrit le mieux cette méthode d'enseignement?,miscellaneous,"['Les conférences', 'Enquête fondée sur la discipline', 'Développement d'une stratégie d'autorégulation', 'Stratégie introduction-corps-conclusion']",1,"Question: En préparation d'une unité d'écriture sur les nouvelles un enseignant présente aux élèves plusieurs exemples de nouvelles et travaille avec eux pour identifier les caractéristiques déterminantes du genre Laquelle des expressions suivantes décrit le mieux cette méthode d'enseignement?

Choix: ['Les conférences', 'Enquête fondée sur la discipline', 'Développement d'une stratégie d'autorégulation', 'Stratégie introduction-corps-conclusion']

Réponse: Enquête fondée sur la discipline"
Le papier brûle à environ quelle température en degrés Fahrenheit ?,miscellaneous,"['986 degrés', '2125 degrés', '3985 degrés', '451 degrés']",3,"Question: Le papier brûle à environ quelle température en degrés Fahrenheit ?

Choix: ['986 degrés', '2125 degrés', '3985 degrés', '451 degrés']

Réponse: 451 degrés"
L'ordinateur Apple iMac est disponible dans toutes les couleurs suivantes sauf laquelle ?,miscellaneous,"['Autres espèces d'oiseaux', 'Autres fruits et légumes', 'Le kiwi', 'Grappes de raisin']",2,"Question: L'ordinateur Apple iMac est disponible dans toutes les couleurs suivantes sauf laquelle ?

Choix: ['Autres espèces d'oiseaux', 'Autres fruits et légumes', 'Le kiwi', 'Grappes de raisin']

Réponse: Le kiwi"
Quels étaient les prénoms des premiers explorateurs américains Lewis et Clark ?,miscellaneous,"['Morgan et Mason', 'Meriwether et William', 'Cabot et Joseph', 'Meredith et George']",1,"Question: Quels étaient les prénoms des premiers explorateurs américains Lewis et Clark ?

Choix: ['Morgan et Mason', 'Meriwether et William', 'Cabot et Joseph', 'Meredith et George']

Réponse: Meriwether et William"
"Un professeur soutient de petits groupes flexibles de lecteurs débutants Tandis que les élèves lisent un texte ou un livre qui leur est inconnu, l'enseignant travaille avec eux pour leur montrer comment utiliser diverses stratégies de lecture. Laquelle des approches de lecture suivantes est décrite?",miscellaneous,"['Instruction directe', 'Cercle littéraire', 'Lecture guidée', 'Lire à haute voix']",2,"Question: Un professeur soutient de petits groupes flexibles de lecteurs débutants Tandis que les élèves lisent un texte ou un livre qui leur est inconnu, l'enseignant travaille avec eux pour leur montrer comment utiliser diverses stratégies de lecture. Laquelle des approches de lecture suivantes est décrite?

Choix: ['Instruction directe', 'Cercle littéraire', 'Lecture guidée', 'Lire à haute voix']

Réponse: Lecture guidée"
C'est quoi la varicelle ?,miscellaneous,"['une pâtes de luxe', 'un type d'opéra', 'le virus de la varicelle', 'la poésie romaine antique']",2,"Question: C'est quoi la varicelle ?

Choix: ['une pâtes de luxe', 'un type d'opéra', 'le virus de la varicelle', 'la poésie romaine antique']

Réponse: le virus de la varicelle"
Lequel des matériaux suivants a une résistance qui est le MOINS affectée par les changements de température?,miscellaneous,"['Le cuivre', 'Le carbone', 'Le germanium', 'Le silicium']",0,"Question: Lequel des matériaux suivants a une résistance qui est le MOINS affectée par les changements de température?

Choix: ['Le cuivre', 'Le carbone', 'Le germanium', 'Le silicium']

Réponse: Le cuivre"
Un étudiant de deuxième année s'appelle comment ?,miscellaneous,"['deuxième année', 'personne âgée', 'élève de première année', 'plus jeune']",0,"Question: Un étudiant de deuxième année s'appelle comment ?

Choix: ['deuxième année', 'personne âgée', 'élève de première année', 'plus jeune']

Réponse: deuxième année"
"Dans le film ""Le talentueux M. Ripley"", qui joue M. Ripley ?",miscellaneous,"['Loi de Jude', 'Je suis Matt Damon .', 'Dustin Hoffman est un écrivain américain.', 'Je suis Ben Affleck .']",1,"Question: Dans le film ""Le talentueux M. Ripley"", qui joue M. Ripley ?

Choix: ['Loi de Jude', 'Je suis Matt Damon .', 'Dustin Hoffman est un écrivain américain.', 'Je suis Ben Affleck .']

Réponse: Je suis Matt Damon ."
Une peinture au bord dur est plus susceptible d'être caractérisée par,miscellaneous,"['une application de peinture uniforme et solide', 'couleur floue mélangée sur la surface de la peinture', 'marques de pinceau grattantes clairement séparées', 'couches multiples de peinture translucides']",0,"Question: Une peinture au bord dur est plus susceptible d'être caractérisée par

Choix: ['une application de peinture uniforme et solide', 'couleur floue mélangée sur la surface de la peinture', 'marques de pinceau grattantes clairement séparées', 'couches multiples de peinture translucides']

Réponse: une application de peinture uniforme et solide"
Qui était président des États-Unis quand Bill Clinton est né ?,miscellaneous,"['Herbert Hoover a été élu .', 'Harry S. Truman , président des États-Unis .', 'Franklin Roosevelt est le président des États-Unis.', 'Dwight Eisenhower , président des États-Unis .']",1,"Question: Qui était président des États-Unis quand Bill Clinton est né ?

Choix: ['Herbert Hoover a été élu .', 'Harry S. Truman , président des États-Unis .', 'Franklin Roosevelt est le président des États-Unis.', 'Dwight Eisenhower , président des États-Unis .']

Réponse: Harry S. Truman , président des États-Unis ."
Laquelle des listes suivantes inclut uniquement les minéraux?,miscellaneous,"['Granit, gabbro, diorite, quartz et feldspath', 'L'or, le quartz, la topaze, le diamant et le corindon', 'Gneiss, schiste, phyllite, chlorite et mica', 'Le charbon, le chert, le calcaire, la dolomite et l'halite']",1,"Question: Laquelle des listes suivantes inclut uniquement les minéraux?

Choix: ['Granit, gabbro, diorite, quartz et feldspath', 'L'or, le quartz, la topaze, le diamant et le corindon', 'Gneiss, schiste, phyllite, chlorite et mica', 'Le charbon, le chert, le calcaire, la dolomite et l'halite']

Réponse: L'or, le quartz, la topaze, le diamant et le corindon"
Quel est le résultat probable du développement et de l'utilisation de plantes génétiquement modifiées?,miscellaneous,"['Coût réduit des semences végétales', 'La brevetation de nouvelles variétés végétales', 'Diversité génétique accrue dans un champ planté', 'Moins de surveillance et moins de réglementation que pour les cultures non modifiées']",1,"Question: Quel est le résultat probable du développement et de l'utilisation de plantes génétiquement modifiées?

Choix: ['Coût réduit des semences végétales', 'La brevetation de nouvelles variétés végétales', 'Diversité génétique accrue dans un champ planté', 'Moins de surveillance et moins de réglementation que pour les cultures non modifiées']

Réponse: La brevetation de nouvelles variétés végétales"
"Un professeur lit à haute voix Où sont les animaux sauvages, un livre d'histoires illustré dans lequel un garçon nommé Max rencontre des monstres sauvages représentés de façon vivante. L'enseignant montre ensuite aux élèves des cartes illustrant des scènes du début, du milieu et de la fin de l'histoire. Lequel des concepts suivants de la structure littéraire l'enseignant aide les élèves à comprendre?",miscellaneous,"['Séquence du graphique', 'Le point de vue', 'Développement du caractère', 'Définition']",0,"Question: Un professeur lit à haute voix Où sont les animaux sauvages, un livre d'histoires illustré dans lequel un garçon nommé Max rencontre des monstres sauvages représentés de façon vivante. L'enseignant montre ensuite aux élèves des cartes illustrant des scènes du début, du milieu et de la fin de l'histoire. Lequel des concepts suivants de la structure littéraire l'enseignant aide les élèves à comprendre?

Choix: ['Séquence du graphique', 'Le point de vue', 'Développement du caractère', 'Définition']

Réponse: Séquence du graphique"
"Quel film a popularisé l'expression ""Tu me parles à moi ?""",miscellaneous,"['Les chasseurs de fantômes', 'Chauffeur de taxi', 'Le Joker', 'Journée de la marmotte']",1,"Question: Quel film a popularisé l'expression ""Tu me parles à moi ?""

Choix: ['Les chasseurs de fantômes', 'Chauffeur de taxi', 'Le Joker', 'Journée de la marmotte']

Réponse: Chauffeur de taxi"
Lequel des éléments suivants indique le plus probablement la présence d'eau dans le système hydraulique d'une machine agricole?,miscellaneous,"['Un liquide grisâtre et laiteux', 'Utilisation excessive de liquides', 'Dilution excessive du fluide', 'Une soupape de décharge bruyante']",0,"Question: Lequel des éléments suivants indique le plus probablement la présence d'eau dans le système hydraulique d'une machine agricole?

Choix: ['Un liquide grisâtre et laiteux', 'Utilisation excessive de liquides', 'Dilution excessive du fluide', 'Une soupape de décharge bruyante']

Réponse: Un liquide grisâtre et laiteux"
Quel animal représente l'an 2000 sur le calendrier chinois?,miscellaneous,"['le dragon', 'le lapin', 'le tigre', 'le singe']",0,"Question: Quel animal représente l'an 2000 sur le calendrier chinois?

Choix: ['le dragon', 'le lapin', 'le tigre', 'le singe']

Réponse: le dragon"
Lequel des éléments suivants fait partie d'une exploitation combinée?,miscellaneous,"['Batteur', 'Conditionnant', 'Plaque de semence', 'ouvreur de sillons']",0,"Question: Lequel des éléments suivants fait partie d'une exploitation combinée?

Choix: ['Batteur', 'Conditionnant', 'Plaque de semence', 'ouvreur de sillons']

Réponse: Batteur"
