good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.11208333333333333,1345,12000,8917,4428,7,218103808
0.0001,1,layers.1,0.14377121963959258,1101,7658,5213,3546,7,218103808
0.0001,1,layers.10,0.20449616885933208,2829,13834,9626,7037,7,218103808
0.0001,1,layers.11,0.16364290856731462,2273,13890,9915,6248,7,218103808
0.0001,1,layers.12,0.16924880663261033,2021,11941,8288,5674,7,218103808
0.0001,1,layers.13,0.20987747693238543,2775,13222,9700,6297,7,218103808
0.0001,1,layers.14,0.1493076459963877,2232,14949,10347,6834,7,218103808
0.0001,1,layers.15,0.20833861361044229,3288,15782,11850,7220,7,218103808
0.0001,1,layers.16,0.18200521190508848,2654,14582,10917,6319,7,218103808
0.0001,1,layers.17,0.17304674172637324,2536,14655,11020,6171,7,218103808
0.0001,1,layers.18,0.1458377091647413,2083,14283,10807,5559,7,218103808
0.0001,1,layers.19,0.18249669749009248,2763,15140,12492,5411,7,218103808
0.0001,1,layers.2,0.09973679263019365,1061,10638,7679,4020,7,218103808
0.0001,1,layers.20,0.22156876638560194,3127,14113,11477,5763,7,218103808
0.0001,1,layers.21,0.1604297617307411,2195,13682,10929,4948,7,218103808
0.0001,1,layers.22,0.205306712202811,3126,15226,11903,6449,7,218103808
0.0001,1,layers.23,0.18813451776649745,2965,15760,12028,6697,7,218103808
0.0001,1,layers.24,0.14898740429735738,2413,16196,11920,6689,7,218103808
0.0001,1,layers.25,0.14390962671905697,2344,16288,12372,6260,7,218103808
0.0001,1,layers.26,0.13487295030667168,2155,15978,11651,6482,7,218103808
0.0001,1,layers.27,0.1333102971665515,1929,14470,10298,6101,7,218103808
0.0001,1,layers.28,0.16676896636385957,2717,16292,12609,6400,7,218103808
0.0001,1,layers.29,0.1691890113505511,2057,12158,9140,5075,7,218103808
0.0001,1,layers.3,0.18964069845533915,2259,11912,9819,4352,7,218103808
0.0001,1,layers.30,0.09728472847284729,1297,13332,9269,5360,7,218103808
0.0001,1,layers.31,0.09093479080286468,965,10612,7069,4508,7,218103808
0.0001,1,layers.4,0.17215420880541404,2264,13151,9963,5452,7,218103808
0.0001,1,layers.5,0.18523120617733202,2087,11267,8024,5330,7,218103808
0.0001,1,layers.6,0.16448246095895785,2096,12743,9147,5692,7,218103808
0.0001,1,layers.7,0.2807308970099668,3887,13846,10082,7651,7,218103808
0.0001,1,layers.8,0.18573992269464384,2691,14488,10407,6772,7,218103808
0.0001,1,layers.9,0.26366192901117275,3469,13157,9770,6856,7,218103808
0.0001,1,lm_head,0.0025710164921301814,82,31894,23212,8764,1,525336576
0.001,1,layers.0,0.1269965856912994,12944,101924,78015,36853,7,218103808
0.001,1,layers.1,0.1860993978676782,20213,108614,79030,49797,7,218103808
0.001,1,layers.10,0.27093624784452236,32524,120043,89827,62740,7,218103808
0.001,1,layers.11,0.24319531124642135,28797,118411,86872,60336,7,218103808
0.001,1,layers.12,0.2317252204422695,25097,108305,78507,54895,7,218103808
0.001,1,layers.13,0.24785838078732358,30033,121170,90679,60524,7,218103808
0.001,1,layers.14,0.16398894287150276,19577,119380,85932,53025,7,218103808
0.001,1,layers.15,0.16631567235939698,20928,125833,91390,55371,7,218103808
0.001,1,layers.16,0.1632379996654959,20496,125559,91522,54533,7,218103808
0.001,1,layers.17,0.16268487817230765,20558,126367,91994,54931,7,218103808
0.001,1,layers.18,0.14607487421644577,19365,132569,94475,57459,7,218103808
0.001,1,layers.19,0.16677876820469978,23556,141241,100265,64532,7,218103808
0.001,1,layers.2,0.15725892972091493,21987,139814,91548,70253,7,218103808
0.001,1,layers.20,0.14535373074821695,19687,135442,95588,59541,7,218103808
0.001,1,layers.21,0.13932839102361355,18061,129629,90846,56844,7,218103808
0.001,1,layers.22,0.12652884511310747,17535,138585,97012,59108,7,218103808
0.001,1,layers.23,0.11072618160864615,15757,142306,99396,58667,7,218103808
0.001,1,layers.24,0.08681192984438106,12295,141628,97948,55975,7,218103808
0.001,1,layers.25,0.10173562234250969,14021,137818,95529,56310,7,218103808
0.001,1,layers.26,0.09629563522029849,14027,145666,99235,60458,7,218103808
0.001,1,layers.27,0.0921090449228293,12819,139172,93165,58826,7,218103808
0.001,1,layers.28,0.14754854244582202,20160,136633,94406,62387,7,218103808
0.001,1,layers.29,0.09260930398138872,11186,120787,80239,51734,7,218103808
0.001,1,layers.3,0.14590606218462568,18766,128617,88768,58615,7,218103808
0.001,1,layers.30,0.05515442228393503,6554,118830,78102,47282,7,218103808
0.001,1,layers.31,0.06216804367069932,6742,108448,65675,49515,7,218103808
0.001,1,layers.4,0.18658436700470324,22097,118429,87927,52599,7,218103808
0.001,1,layers.5,0.18159197951253403,22478,123783,87027,59234,7,218103808
0.001,1,layers.6,0.2325662595816552,28641,123152,90841,60952,7,218103808
0.001,1,layers.7,0.28016956663517256,33508,119599,88044,65063,7,218103808
0.001,1,layers.8,0.28362402768735223,33108,116732,83959,65881,7,218103808
0.001,1,layers.9,0.3037528192779257,35824,117938,86600,67162,7,218103808
0.001,1,lm_head,0.021526151577423824,3153,146473,113162,36464,1,525336576
0.01,1,layers.0,0.08804632533446093,112440,1277055,748982,640513,7,218103808
0.01,1,layers.1,0.16669973541834185,175595,1053361,698704,530252,7,218103808
0.01,1,layers.10,0.25295333448730317,295193,1166986,785795,676384,7,218103808
0.01,1,layers.11,0.22422919229554114,254088,1133162,760467,626783,7,218103808
0.01,1,layers.12,0.22788926479627825,241350,1059067,730928,569489,7,218103808
0.01,1,layers.13,0.256369636076997,267181,1042171,772581,536771,7,218103808
0.01,1,layers.14,0.20876807472630848,201509,965229,723344,443394,7,218103808
0.01,1,layers.15,0.20284898661004794,213530,1052655,779968,486217,7,218103808
0.01,1,layers.16,0.18887887270484413,203031,1074927,803553,474405,7,218103808
0.01,1,layers.17,0.20598187699492299,240386,1167025,870008,537403,7,218103808
0.01,1,layers.18,0.17867342503055206,217844,1219230,903239,533835,7,218103808
0.01,1,layers.19,0.18661273636415887,233775,1252728,910448,576055,7,218103808
0.01,1,layers.2,0.18480748525915408,182979,990106,766878,406207,7,218103808
0.01,1,layers.20,0.1590444698031354,201673,1268029,912922,556780,7,218103808
0.01,1,layers.21,0.16747364702638276,205283,1225763,868566,562480,7,218103808
0.01,1,layers.22,0.1547972976211206,193796,1251934,871784,573946,7,218103808
0.01,1,layers.23,0.1328831163661304,160229,1205789,823223,542795,7,218103808
0.01,1,layers.24,0.0992938219306302,112978,1137815,782152,468641,7,218103808
0.01,1,layers.25,0.11293147813719344,120691,1068710,742572,446829,7,218103808
0.01,1,layers.26,0.1038782809596815,121487,1169513,780559,510441,7,218103808
0.01,1,layers.27,0.10743805211424556,124759,1161218,755685,530292,7,218103808
0.01,1,layers.28,0.14227967385097728,160467,1127828,743982,544313,7,218103808
0.01,1,layers.29,0.09557370704581102,98532,1030953,683998,445487,7,218103808
0.01,1,layers.3,0.1735971609243757,209216,1205181,904746,509651,7,218103808
0.01,1,layers.30,0.06962988491906133,67076,963322,658830,371568,7,218103808
0.01,1,layers.31,0.07012654476484012,59157,843575,528278,374454,7,218103808
0.01,1,layers.4,0.18875574976580947,206737,1095262,770787,531212,7,218103808
0.01,1,layers.5,0.22134087460339358,256720,1159840,847961,568599,7,218103808
0.01,1,layers.6,0.23052175661951968,278518,1208207,874949,611776,7,218103808
0.01,1,layers.7,0.23928002967962758,279916,1169826,812420,637322,7,218103808
0.01,1,layers.8,0.23666928692537903,268560,1134748,763944,639364,7,218103808
0.01,1,layers.9,0.25023504913397454,287444,1148696,776327,659813,7,218103808
0.01,1,lm_head,0.03007546252386732,31298,1040649,722029,349918,1,525336576
0.025,1,layers.0,0.09248938250735532,172239,1862257,1422140,612356,7,218103808
0.025,1,layers.1,0.16319335412137903,483843,2964845,1932254,1516434,7,218103808
0.025,1,layers.10,0.25667666784259074,661378,2576697,1775881,1462194,7,218103808
0.025,1,layers.11,0.235581149720476,612037,2597988,1711117,1498908,7,218103808
0.025,1,layers.12,0.22875471080047635,597769,2613144,1721240,1489673,7,218103808
0.025,1,layers.13,0.2587663519776153,654572,2529587,1702612,1481547,7,218103808
0.025,1,layers.14,0.22660313423508308,542809,2395417,1603900,1334326,7,218103808
0.025,1,layers.15,0.20977146312222225,504793,2406395,1613019,1298169,7,218103808
