question,subject,choices,answer,qa
वृद्ध वयस्कों और उम्र बढ़ने के अध्ययन को,human_aging,"['वृद्धा-विज्ञान', 'जीरो-मनोचिकित्सा', 'वृद्धा चिकित्सा', 'जिरो-शिक्षा']",0,"प्रश्न: वृद्ध वयस्कों और उम्र बढ़ने के अध्ययन को

उत्तर विकल्प: ['वृद्धा-विज्ञान', 'जीरो-मनोचिकित्सा', 'वृद्धा चिकित्सा', 'जिरो-शिक्षा']

उत्तर: वृद्धा-विज्ञान"
निम्नलिखित में से कौन सा कारक अल्जाइमर के कम जोखिम के साथ जुड़ा हुआ है?,human_aging,"['अफ्रीकी या हिस्पैनिक अमेरिकी होना', 'मछली खाना', 'शिक्षा का निम्न स्तर', 'विवाहित होना']",1,"प्रश्न: निम्नलिखित में से कौन सा कारक अल्जाइमर के कम जोखिम के साथ जुड़ा हुआ है?

उत्तर विकल्प: ['अफ्रीकी या हिस्पैनिक अमेरिकी होना', 'मछली खाना', 'शिक्षा का निम्न स्तर', 'विवाहित होना']

उत्तर: मछली खाना"
आज्ञाकारिता परिकल्पना यह है कि,human_aging,"['जिनकी क्षमता कम है, वे पर्यावरणीय मांगों के प्रति अधिक संवेदनशील हैं।', 'जो लोग उच्च पर्यावरणीय मांगों का अनुभव करते हैं वे अधिक विनम्र हो जाते हैं', 'जो लोग उच्च पर्यावरणीय मांगों का अनुभव करते हैं वे कम विनम्र हो जाते हैं', 'जिनकी क्षमता कम है वे पर्यावरणीय मांगों के प्रति कम संवेदनशील हैं।']",0,"प्रश्न: आज्ञाकारिता परिकल्पना यह है कि

उत्तर विकल्प: ['जिनकी क्षमता कम है, वे पर्यावरणीय मांगों के प्रति अधिक संवेदनशील हैं।', 'जो लोग उच्च पर्यावरणीय मांगों का अनुभव करते हैं वे अधिक विनम्र हो जाते हैं', 'जो लोग उच्च पर्यावरणीय मांगों का अनुभव करते हैं वे कम विनम्र हो जाते हैं', 'जिनकी क्षमता कम है वे पर्यावरणीय मांगों के प्रति कम संवेदनशील हैं।']

उत्तर: जिनकी क्षमता कम है, वे पर्यावरणीय मांगों के प्रति अधिक संवेदनशील हैं।"
सामान्य स्मृति में सुधार हुआ प्रतीत होता है,human_aging,"['एरोबिक व्यायाम', 'एसिटाइलकोलाइन लेना', 'जिंगको लेना', 'सामाजिक संपर्क बढ़ाना']",0,"प्रश्न: सामान्य स्मृति में सुधार हुआ प्रतीत होता है

उत्तर विकल्प: ['एरोबिक व्यायाम', 'एसिटाइलकोलाइन लेना', 'जिंगको लेना', 'सामाजिक संपर्क बढ़ाना']

उत्तर: एरोबिक व्यायाम"
"यह परिप्रेक्ष्य कि विकास इतिहास में निहित है, इसका अर्थ है कि",human_aging,"['उम्र की परवाह किए बिना परिवर्तन हमेशा हो सकता है', 'सामाजिक-सांस्कृतिक परिस्थितियों को हमेशा ध्यान में रखा जाना चाहिए', 'किसी विशेष क्षेत्र (जैसे, सामाजिक) में विकास अन्य क्षेत्रों (जैसे, संज्ञानात्मक) में विकास से जुड़ा हुआ है।', 'कुछ विशेषताएं उम्र के साथ बदलती हैं जबकि अन्य नहीं']",1,"प्रश्न: यह परिप्रेक्ष्य कि विकास इतिहास में निहित है, इसका अर्थ है कि

उत्तर विकल्प: ['उम्र की परवाह किए बिना परिवर्तन हमेशा हो सकता है', 'सामाजिक-सांस्कृतिक परिस्थितियों को हमेशा ध्यान में रखा जाना चाहिए', 'किसी विशेष क्षेत्र (जैसे, सामाजिक) में विकास अन्य क्षेत्रों (जैसे, संज्ञानात्मक) में विकास से जुड़ा हुआ है।', 'कुछ विशेषताएं उम्र के साथ बदलती हैं जबकि अन्य नहीं']

उत्तर: सामाजिक-सांस्कृतिक परिस्थितियों को हमेशा ध्यान में रखा जाना चाहिए"
"उत्तर ""दोनों एक महत्वपूर्ण भूमिका निभाते हैं"" स्पष्ट रूप से प्रश्न के लिए लागू होता है",human_aging,"['प्रकृति बनाम पोषण', 'यांत्रिक बनाम जैविक', 'निरंतरता बनाम विघटन', 'ये सभी प्रश्न']",3,"प्रश्न: उत्तर ""दोनों एक महत्वपूर्ण भूमिका निभाते हैं"" स्पष्ट रूप से प्रश्न के लिए लागू होता है

उत्तर विकल्प: ['प्रकृति बनाम पोषण', 'यांत्रिक बनाम जैविक', 'निरंतरता बनाम विघटन', 'ये सभी प्रश्न']

उत्तर: ये सभी प्रश्न"
निम्नलिखित में से कौन-सा सामान्यतः वृद्धावस्था में आंख के लेंस में नहीं आता है?,human_aging,"['यह मोटा हो जाता है', 'यह पीला हो जाता है', 'यह बादल बन जाता है', 'यह तरल से भर जाता है']",3,"प्रश्न: निम्नलिखित में से कौन-सा सामान्यतः वृद्धावस्था में आंख के लेंस में नहीं आता है?

उत्तर विकल्प: ['यह मोटा हो जाता है', 'यह पीला हो जाता है', 'यह बादल बन जाता है', 'यह तरल से भर जाता है']

उत्तर: यह तरल से भर जाता है"
भविष्य के घर आप एक केंद्रीय टर्मिनल से घर में वस्तुतः सब कुछ संचालित करने के लिए अनुमति दे सकते हैं; इस तरह के एक घर पहले से ही उत्पादन में है और के रूप में जाना जाता है,human_aging,"['टेक्नोहाउस', 'कम्पूहाउस', 'फ्यूचरहाउस', 'स्मार्टहाउस']",3,"प्रश्न: भविष्य के घर आप एक केंद्रीय टर्मिनल से घर में वस्तुतः सब कुछ संचालित करने के लिए अनुमति दे सकते हैं; इस तरह के एक घर पहले से ही उत्पादन में है और के रूप में जाना जाता है

उत्तर विकल्प: ['टेक्नोहाउस', 'कम्पूहाउस', 'फ्यूचरहाउस', 'स्मार्टहाउस']

उत्तर: स्मार्टहाउस"
युवा और पुराने वयस्कों के बीच प्रतिक्रिया समय अंतर कम हो जाता है जब पुराने वयस्कों,human_aging,"['नियमित रूप से एरोबिक व्यायाम करें', 'नियमित रूप से वजन उठाना', 'बड़ी मात्रा में विटामिन का सेवन करें', 'ताई ची का अभ्यास करें']",0,"प्रश्न: युवा और पुराने वयस्कों के बीच प्रतिक्रिया समय अंतर कम हो जाता है जब पुराने वयस्कों

उत्तर विकल्प: ['नियमित रूप से एरोबिक व्यायाम करें', 'नियमित रूप से वजन उठाना', 'बड़ी मात्रा में विटामिन का सेवन करें', 'ताई ची का अभ्यास करें']

उत्तर: नियमित रूप से एरोबिक व्यायाम करें"
उम्र बढ़ने के प्रोग्राम किए गए और अनप्रोग्राम किए गए सिद्धांतों के बीच एक प्रमुख अंतर यह है कि प्रोग्राम किए गए सिद्धांत,human_aging,"['परिपक्वता को केवल पर्यावरणीय कारकों के लिए जिम्मेदार ठहराएं', 'परीक्षण करने के लिए बहुत अधिक कठिनाई है', 'यह दावा कि वृद्धावस्था एक पूर्व निर्धारित योजना का पालन करती है', 'कंप्यूटर मॉडल पर बहुत अधिक भरोसा करना']",2,"प्रश्न: उम्र बढ़ने के प्रोग्राम किए गए और अनप्रोग्राम किए गए सिद्धांतों के बीच एक प्रमुख अंतर यह है कि प्रोग्राम किए गए सिद्धांत

उत्तर विकल्प: ['परिपक्वता को केवल पर्यावरणीय कारकों के लिए जिम्मेदार ठहराएं', 'परीक्षण करने के लिए बहुत अधिक कठिनाई है', 'यह दावा कि वृद्धावस्था एक पूर्व निर्धारित योजना का पालन करती है', 'कंप्यूटर मॉडल पर बहुत अधिक भरोसा करना']

उत्तर: यह दावा कि वृद्धावस्था एक पूर्व निर्धारित योजना का पालन करती है"
