good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,1,layers.0,0.21975679090334807,2783,12664,8917,6530,7,218103808
0.0001,1,layers.1,0.17342342342342343,1540,8880,5213,5207,7,218103808
0.0001,1,layers.10,0.27382198952879583,4184,15280,9626,9838,7,218103808
0.0001,1,layers.11,0.28088657819127105,4106,14618,9915,8809,7,218103808
0.0001,1,layers.12,0.3404767637852155,4242,12459,8288,8413,7,218103808
0.0001,1,layers.13,0.37005798629414866,4914,13279,9700,8493,7,218103808
0.0001,1,layers.14,0.3094422365355626,4516,14594,10347,8763,7,218103808
0.0001,1,layers.15,0.3647500493973523,5538,15183,11850,8871,7,218103808
0.0001,1,layers.16,0.28753541076487255,4060,14120,10917,7263,7,218103808
0.0001,1,layers.17,0.2682031803257581,4166,15533,11020,8679,7,218103808
0.0001,1,layers.18,0.29253209652483697,4352,14877,10807,8422,7,218103808
0.0001,1,layers.19,0.2863475746867973,4457,15565,12492,7530,7,218103808
0.0001,1,layers.2,0.19546078668928196,2420,12381,7679,7122,7,218103808
0.0001,1,layers.20,0.37733524943543423,5514,14613,11477,8650,7,218103808
0.0001,1,layers.21,0.24315664832485895,3491,14357,10929,6919,7,218103808
0.0001,1,layers.22,0.33987184516803975,5198,15294,11903,8589,7,218103808
0.0001,1,layers.23,0.22363108755992936,3545,15852,12028,7369,7,218103808
0.0001,1,layers.24,0.1937535780166656,3046,15721,11920,6847,7,218103808
0.0001,1,layers.25,0.18104220139676475,3033,16753,12372,7414,7,218103808
0.0001,1,layers.26,0.15364080427127116,2705,17606,11651,8660,7,218103808
0.0001,1,layers.27,0.1569361101306036,2223,14165,10298,6090,7,218103808
0.0001,1,layers.28,0.18609283515422226,3083,16567,12609,7041,7,218103808
0.0001,1,layers.29,0.11927877947295423,1548,12978,9140,5386,7,218103808
0.0001,1,layers.3,0.3273655340545482,4297,13126,9819,7604,7,218103808
0.0001,1,layers.30,0.14076911052055652,1801,12794,9269,5326,7,218103808
0.0001,1,layers.31,0.21682879377431907,2229,10280,7069,5440,7,218103808
0.0001,1,layers.4,0.4174319189360355,5273,12632,9963,7942,7,218103808
0.0001,1,layers.5,0.30890138980807413,3734,12088,8024,7798,7,218103808
0.0001,1,layers.6,0.34376434583014537,4493,13070,9147,8416,7,218103808
