question,subject,choices,answer,qa
कथन 1 सौर्य रैखिक प्रतिगमन अनुमानक सभी निष्पक्ष अनुमानकों के बीच सबसे छोटा विचलन है कथन 2. AdaBoost द्वारा इकट्ठे किए गए वर्गीकरणकर्ताओं को दिए गए गुणांक α हमेशा गैर-ऋणात्मक होते हैं।,machine_learning,"['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']",3,"प्रश्न: कथन 1 सौर्य रैखिक प्रतिगमन अनुमानक सभी निष्पक्ष अनुमानकों के बीच सबसे छोटा विचलन है कथन 2. AdaBoost द्वारा इकट्ठे किए गए वर्गीकरणकर्ताओं को दिए गए गुणांक α हमेशा गैर-ऋणात्मक होते हैं।

उत्तर विकल्प: ['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']

उत्तर: झूठा, सच"
कथन 1 रॉबर्ट एक ऐसे कॉर्पस पर प्रीट्रेन करता है जो कॉर्पस बीईआरटी पर प्रीट्रेन किए गए कॉर्पस की तुलना में लगभग 10 गुना बड़ा है। कथन 2 रॉबर्ट 2018 में आमतौर पर सक्रियण कार्यों का उपयोग करता है।,machine_learning,"['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']",2,"प्रश्न: कथन 1 रॉबर्ट एक ऐसे कॉर्पस पर प्रीट्रेन करता है जो कॉर्पस बीईआरटी पर प्रीट्रेन किए गए कॉर्पस की तुलना में लगभग 10 गुना बड़ा है। कथन 2 रॉबर्ट 2018 में आमतौर पर सक्रियण कार्यों का उपयोग करता है।

उत्तर विकल्प: ['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']

उत्तर: सच, झूठ"
"कथन 1 सपोर्ट वेक्टर मशीनें, लॉजिस्टिक रिग्रेशन मॉडल की तरह, इनपुट उदाहरण दिए गए संभावित लेबलों पर एक संभावना वितरण देती हैं कथन 2 हम उम्मीद करेंगे कि समर्थन वेक्टर सामान्य रूप से समान रहेंगे क्योंकि हम एक रैखिक कर्नेल से उच्चतर आदेश बहुपद कर्नेल में जाते हैं।",machine_learning,"['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']",1,"प्रश्न: कथन 1 सपोर्ट वेक्टर मशीनें, लॉजिस्टिक रिग्रेशन मॉडल की तरह, इनपुट उदाहरण दिए गए संभावित लेबलों पर एक संभावना वितरण देती हैं कथन 2 हम उम्मीद करेंगे कि समर्थन वेक्टर सामान्य रूप से समान रहेंगे क्योंकि हम एक रैखिक कर्नेल से उच्चतर आदेश बहुपद कर्नेल में जाते हैं।

उत्तर विकल्प: ['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']

उत्तर: झूठा, झूठा"
"एक मशीन लर्निंग समस्या में चार गुण और एक वर्ग शामिल हैं गुणों 3, 2, 2, और 2 संभव मूल्यों प्रत्येक है वर्ग के 3 संभावित मान हैं कितने अधिकतम संभव विभिन्न उदाहरण हैं?",machine_learning,"['बारह', 'चौबीस', '४८', '७२']",3,"प्रश्न: एक मशीन लर्निंग समस्या में चार गुण और एक वर्ग शामिल हैं गुणों 3, 2, 2, और 2 संभव मूल्यों प्रत्येक है वर्ग के 3 संभावित मान हैं कितने अधिकतम संभव विभिन्न उदाहरण हैं?

उत्तर विकल्प: ['बारह', 'चौबीस', '४८', '७२']

उत्तर: ७२"
"2020 तक, उच्च-रिज़ॉल्यूशन छवियों को वर्गीकृत करने के लिए कौन सी वास्तुकला सबसे अच्छी है?",machine_learning,"['संवितरण संजाल', 'ग्राफ नेटवर्क', 'पूरी तरह से जुड़े नेटवर्क', 'आरबीएफ नेटवर्क']",0,"प्रश्न: 2020 तक, उच्च-रिज़ॉल्यूशन छवियों को वर्गीकृत करने के लिए कौन सी वास्तुकला सबसे अच्छी है?

उत्तर विकल्प: ['संवितरण संजाल', 'ग्राफ नेटवर्क', 'पूरी तरह से जुड़े नेटवर्क', 'आरबीएफ नेटवर्क']

उत्तर: संवितरण संजाल"
कथन 1: अपेक्षा अधिकतमकरण एल्गोरिथ्म के क्रमिक पुनरावृत्तियों के माध्यम से डेटा की लॉग-संभाव्यता हमेशा बढ़ेगी क्यू-लर्निंग का एक नुकसान यह है कि इसका उपयोग तभी किया जा सकता है जब शिक्षार्थी को पहले से पता हो कि उसके कार्य उसके पर्यावरण को कैसे प्रभावित करते हैं।,machine_learning,"['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']",1,"प्रश्न: कथन 1: अपेक्षा अधिकतमकरण एल्गोरिथ्म के क्रमिक पुनरावृत्तियों के माध्यम से डेटा की लॉग-संभाव्यता हमेशा बढ़ेगी क्यू-लर्निंग का एक नुकसान यह है कि इसका उपयोग तभी किया जा सकता है जब शिक्षार्थी को पहले से पता हो कि उसके कार्य उसके पर्यावरण को कैसे प्रभावित करते हैं।

उत्तर विकल्प: ['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']

उत्तर: झूठा, झूठा"
चलो कहते हैं कि हम हमारे लागत समारोह के ढाल की गणना की है और यह एक वेक्टर में संग्रहीत g. क्या एक ढाल वंश अद्यतन की लागत ढाल दिया है?,machine_learning,"['ओ ((डी)', 'ओ ((एन)', 'ओ ((एनडी)', 'O{ND^2)']",0,"प्रश्न: चलो कहते हैं कि हम हमारे लागत समारोह के ढाल की गणना की है और यह एक वेक्टर में संग्रहीत g. क्या एक ढाल वंश अद्यतन की लागत ढाल दिया है?

उत्तर विकल्प: ['ओ ((डी)', 'ओ ((एन)', 'ओ ((एनडी)', 'O{ND^2)']

उत्तर: ओ ((डी)"
"कथन 1 एक निरंतर यादृच्छिक चर x और उसके संभाव्यता वितरण फ़ंक्शन p ((x) के लिए, यह मानता है कि 0 ≤ p ((x) ≤ 1 सभी x के लिए कथन 2 क्या निर्णय वृक्ष को जानकारी प्राप्ति को कम से कम करके सीखा जाता है?",machine_learning,"['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']",1,"प्रश्न: कथन 1 एक निरंतर यादृच्छिक चर x और उसके संभाव्यता वितरण फ़ंक्शन p ((x) के लिए, यह मानता है कि 0 ≤ p ((x) ≤ 1 सभी x के लिए कथन 2 क्या निर्णय वृक्ष को जानकारी प्राप्ति को कम से कम करके सीखा जाता है?

उत्तर विकल्प: ['सच, सच', 'झूठा, झूठा', 'सच, झूठ', 'झूठा, सच']

उत्तर: झूठा, झूठा"
नीचे दिए गए बेयसियन नेटवर्क पर विचार करें। इस बेयसियन नेटवर्क एच -> यू <- पी <- डब्ल्यू के लिए कितने स्वतंत्र मापदंडों की आवश्यकता है?,machine_learning,"['दो', 'चार', 'अट्ठारह', 'अठारह']",2,"प्रश्न: नीचे दिए गए बेयसियन नेटवर्क पर विचार करें। इस बेयसियन नेटवर्क एच -> यू <- पी <- डब्ल्यू के लिए कितने स्वतंत्र मापदंडों की आवश्यकता है?

उत्तर विकल्प: ['दो', 'चार', 'अट्ठारह', 'अठारह']

उत्तर: अट्ठारह"
"जैसा कि प्रशिक्षण उदाहरणों की संख्या अनंत तक जाती है, आपके मॉडल को उस डेटा पर प्रशिक्षित किया जाएगा:",machine_learning,"['निचला विचलन', 'उच्चतर विचलन', 'समान विचलन', 'उपरोक्त में से कोई नहीं']",0,"प्रश्न: जैसा कि प्रशिक्षण उदाहरणों की संख्या अनंत तक जाती है, आपके मॉडल को उस डेटा पर प्रशिक्षित किया जाएगा:

उत्तर विकल्प: ['निचला विचलन', 'उच्चतर विचलन', 'समान विचलन', 'उपरोक्त में से कोई नहीं']

उत्तर: निचला विचलन"
