question,subject,choices,answer,qa
Im Gegensatz zu den meisten anderen frühen Zivilisationen zeigt die minoische Kultur wenig Anzeichen für:,prehistory,"['Handel.', 'Kriegsführung.', 'die Entwicklung einer gemeinsamen Religion.', 'Der Präsident. - Das Wort hat die Fraktion der Europäischen Volkspartei (Christlich-Demokratische Fraktion).']",3,"Frage: Im Gegensatz zu den meisten anderen frühen Zivilisationen zeigt die minoische Kultur wenig Anzeichen für:

Antwortoptionen: ['Handel.', 'Kriegsführung.', 'die Entwicklung einer gemeinsamen Religion.', 'Der Präsident. - Das Wort hat die Fraktion der Europäischen Volkspartei (Christlich-Demokratische Fraktion).']

Antwort: Der Präsident. - Das Wort hat die Fraktion der Europäischen Volkspartei (Christlich-Demokratische Fraktion)."
Die größten ägyptischen Pyramiden in Gizeh wurden gebaut:,prehistory,"['als Grabdenkmäler für den Pharao Khufu, Khufu's Sohn Khafre und Khufu's Enkel Menkaure.', 'von Sklaven, die gezwungen wurden und unter Todesdrohung arbeiteten, wie es im Buch Exodus des Alten Testaments beschrieben wird.', 'in der Konstruktion Raserei der 6. Dynastie.', 'alle oben genannten Punkte.']",0,"Frage: Die größten ägyptischen Pyramiden in Gizeh wurden gebaut:

Antwortoptionen: ['als Grabdenkmäler für den Pharao Khufu, Khufu's Sohn Khafre und Khufu's Enkel Menkaure.', 'von Sklaven, die gezwungen wurden und unter Todesdrohung arbeiteten, wie es im Buch Exodus des Alten Testaments beschrieben wird.', 'in der Konstruktion Raserei der 6. Dynastie.', 'alle oben genannten Punkte.']

Antwort: als Grabdenkmäler für den Pharao Khufu, Khufu's Sohn Khafre und Khufu's Enkel Menkaure."
"Als anatomisch moderne Menschen zum ersten Mal im Nahen Osten ankamen, wem begegneten sie?",prehistory,"['Neandertaler, die evolutionären Nachkommen der vormodernen Bewohner Europas und Asiens', 'Homo erectus, die evolutionären Nachkommen der vormodernen Bewohner Europas und Asiens', 'Homo sapiens, der sich unabhängig in Asien entwickelt hatte und vor 200.000 Jahren dort angekommen war', 'Alle oben genannten']",0,"Frage: Als anatomisch moderne Menschen zum ersten Mal im Nahen Osten ankamen, wem begegneten sie?

Antwortoptionen: ['Neandertaler, die evolutionären Nachkommen der vormodernen Bewohner Europas und Asiens', 'Homo erectus, die evolutionären Nachkommen der vormodernen Bewohner Europas und Asiens', 'Homo sapiens, der sich unabhängig in Asien entwickelt hatte und vor 200.000 Jahren dort angekommen war', 'Alle oben genannten']

Antwort: Neandertaler, die evolutionären Nachkommen der vormodernen Bewohner Europas und Asiens"
"Der ""Löwenmann"" aus der Höhle Hohlenstein-Stadel ist ein Beispiel dafür:",prehistory,"['Möbelkunst.', 'Fernhandel mit exotischen Rohstoffen.', 'Parietalarbeiten.', 'Eine Venus-Figur.']",0,"Frage: Der ""Löwenmann"" aus der Höhle Hohlenstein-Stadel ist ein Beispiel dafür:

Antwortoptionen: ['Möbelkunst.', 'Fernhandel mit exotischen Rohstoffen.', 'Parietalarbeiten.', 'Eine Venus-Figur.']

Antwort: Möbelkunst."
In seiner Blütezeit soll der Palast von Knossos über _________ Räume gehabt haben.,prehistory,"['100 bis 100', '500 Stück', '1 000 t', 'Fünftausend']",2,"Frage: In seiner Blütezeit soll der Palast von Knossos über _________ Räume gehabt haben.

Antwortoptionen: ['100 bis 100', '500 Stück', '1 000 t', 'Fünftausend']

Antwort: 1 000 t"
"Die Hopewell waren komplexe Ranggesellschaften, aber sie waren kein Staat.",prehistory,"['formelle Regierung', 'monumentale Erdarbeiten', 'städtische Zentren', 'ein ständiges Militär']",1,"Frage: Die Hopewell waren komplexe Ranggesellschaften, aber sie waren kein Staat.

Antwortoptionen: ['formelle Regierung', 'monumentale Erdarbeiten', 'städtische Zentren', 'ein ständiges Militär']

Antwort: monumentale Erdarbeiten"
"Die Markierungen, die auf den Lehmziegeln von Huaca del Sol gefunden wurden, sind vermutlich:",prehistory,"['Anweisungen für die Bauherren, geschrieben von den Ingenieuren.', 'zufällige Kratzer und keine sinnvolle Schrift oder geschriebene Sprache.', 'die örtliche Gruppe zu identifizieren, die sie produziert hat.', 'einfache Arithmetik, die von Tischlern auf der Baustelle durchgeführt wird.']",2,"Frage: Die Markierungen, die auf den Lehmziegeln von Huaca del Sol gefunden wurden, sind vermutlich:

Antwortoptionen: ['Anweisungen für die Bauherren, geschrieben von den Ingenieuren.', 'zufällige Kratzer und keine sinnvolle Schrift oder geschriebene Sprache.', 'die örtliche Gruppe zu identifizieren, die sie produziert hat.', 'einfache Arithmetik, die von Tischlern auf der Baustelle durchgeführt wird.']

Antwort: die örtliche Gruppe zu identifizieren, die sie produziert hat."
Die 30 aufrechten Steine bei Stonehenge heißen _______; die horizontalen Steine _________.,prehistory,"['Hülsenfrüchte, Sarsenfrüchte', 'Vorhänge, Stele', 'Sarsen und Lintels', 'Trilithon, Tholoi']",2,"Frage: Die 30 aufrechten Steine bei Stonehenge heißen _______; die horizontalen Steine _________.

Antwortoptionen: ['Hülsenfrüchte, Sarsenfrüchte', 'Vorhänge, Stele', 'Sarsen und Lintels', 'Trilithon, Tholoi']

Antwort: Sarsen und Lintels"
"Der sekundär alteziale Zustand moderner menschlicher Babys könnte eine evolutionäre Lösung gewesen sein, insofern:",prehistory,"['Die Gehirngröße der Hominiden hatte sich seit mehr als einer Million Jahren nicht vergrößert, was es für Babys schwierig machte zu laufen.', 'Es ermöglichte die Zweifüßigkeit und die Unabhängigkeit von der Mutter in einem früheren Alter.', 'Es ermöglichte das spätere Wachstum des Gehirns, da die Zweifüßigkeit zu einem verengten Geburtskanal im weiblichen Becken geführt hatte.', 'Es ermöglichte das Wachstum des Gehirns auf fast erwachsene Größe vor der Geburt, da Bipedalismus zu einem breiteren Geburtskanal im weiblichen Becken geführt hatte.']",2,"Frage: Der sekundär alteziale Zustand moderner menschlicher Babys könnte eine evolutionäre Lösung gewesen sein, insofern:

Antwortoptionen: ['Die Gehirngröße der Hominiden hatte sich seit mehr als einer Million Jahren nicht vergrößert, was es für Babys schwierig machte zu laufen.', 'Es ermöglichte die Zweifüßigkeit und die Unabhängigkeit von der Mutter in einem früheren Alter.', 'Es ermöglichte das spätere Wachstum des Gehirns, da die Zweifüßigkeit zu einem verengten Geburtskanal im weiblichen Becken geführt hatte.', 'Es ermöglichte das Wachstum des Gehirns auf fast erwachsene Größe vor der Geburt, da Bipedalismus zu einem breiteren Geburtskanal im weiblichen Becken geführt hatte.']

Antwort: Es ermöglichte das spätere Wachstum des Gehirns, da die Zweifüßigkeit zu einem verengten Geburtskanal im weiblichen Becken geführt hatte."
"Untersuchungen an C3- und C4-Pfaden zeigen, dass Veränderungen in Pflanzengemeinschaften mit einem Übergang in der Ernährung der alten Hominiden verbunden waren:",prehistory,"['Arten, die sich auf Gräser, Nüsse und Früchte konzentrieren.', 'Fleisch auf Obst und Gemüse.', 'Obst und Gemüse zu Fisch.', 'Nüsse und Früchte auf Arten, die sich mehr auf Gräser konzentrieren.']",3,"Frage: Untersuchungen an C3- und C4-Pfaden zeigen, dass Veränderungen in Pflanzengemeinschaften mit einem Übergang in der Ernährung der alten Hominiden verbunden waren:

Antwortoptionen: ['Arten, die sich auf Gräser, Nüsse und Früchte konzentrieren.', 'Fleisch auf Obst und Gemüse.', 'Obst und Gemüse zu Fisch.', 'Nüsse und Früchte auf Arten, die sich mehr auf Gräser konzentrieren.']

Antwort: Nüsse und Früchte auf Arten, die sich mehr auf Gräser konzentrieren."
