question,subject,choices,answer,qa
"एक 67 वर्षीय महिला डॉक्टर के पास जांच के लिए आती है उसे पल्मोनरी एम्बोलिज्म था और उसे 3 सप्ताह के लिए अस्पताल में इलाज की आवश्यकता थी। वह एक retroperitoneal रक्तस्राव था; anticoagulant थेरेपी अस्थायी रूप से बंद कर दिया गया था, और वह एक निचले गुहा नस (आईवीसी) फिल्टर की नियुक्ति के अधीन था उसके पास एक हेमेटोमा था जो दो सप्ताह पहले अस्पताल से छुट्टी पर हल हो रहा था आज का दिन वह कहती है कि उसके बाएं जांघ में लगातार झुनझुनी और सुन्नता महसूस हो रही है कि उसने अस्पताल में रिपोर्ट नहीं की क्योंकि उसने सोचा था कि यह दूर हो जाएगा; पिछले सप्ताह के दौरान संवेदना में कुछ सुधार हुआ है उसकी एकमात्र दवा वारफेरिन है महत्वपूर्ण संकेत सामान्य सीमा के भीतर हैं त्वचा की जांच में कोई असामान्यता नहीं दिखती है मांसपेशियों की ताकत सामान्य है हल्के स्पर्श के लिए संवेदना 5 x 5 सेमी क्षेत्र पर कम हो जाती है बाईं पिछली जांघ के पार्श्व पहलू पर निम्नलिखित में से कौन सा इस रोगी की कम हुई संवेदना का सबसे अधिक संभावित कारण है?",professional_medicine,"['अस्पताल में भर्ती होने के दौरान सेरेब्रल इन्फार्क्शन', 'IVC फ़िल्टर प्लेसमेंट की जटिलता', 'पार्श्व जांघ की त्वचा तंत्रिका का संपीड़न', 'बाएं जांघ का हेमेटोमा']",2,"प्रश्न: एक 67 वर्षीय महिला डॉक्टर के पास जांच के लिए आती है उसे पल्मोनरी एम्बोलिज्म था और उसे 3 सप्ताह के लिए अस्पताल में इलाज की आवश्यकता थी। वह एक retroperitoneal रक्तस्राव था; anticoagulant थेरेपी अस्थायी रूप से बंद कर दिया गया था, और वह एक निचले गुहा नस (आईवीसी) फिल्टर की नियुक्ति के अधीन था उसके पास एक हेमेटोमा था जो दो सप्ताह पहले अस्पताल से छुट्टी पर हल हो रहा था आज का दिन वह कहती है कि उसके बाएं जांघ में लगातार झुनझुनी और सुन्नता महसूस हो रही है कि उसने अस्पताल में रिपोर्ट नहीं की क्योंकि उसने सोचा था कि यह दूर हो जाएगा; पिछले सप्ताह के दौरान संवेदना में कुछ सुधार हुआ है उसकी एकमात्र दवा वारफेरिन है महत्वपूर्ण संकेत सामान्य सीमा के भीतर हैं त्वचा की जांच में कोई असामान्यता नहीं दिखती है मांसपेशियों की ताकत सामान्य है हल्के स्पर्श के लिए संवेदना 5 x 5 सेमी क्षेत्र पर कम हो जाती है बाईं पिछली जांघ के पार्श्व पहलू पर निम्नलिखित में से कौन सा इस रोगी की कम हुई संवेदना का सबसे अधिक संभावित कारण है?

उत्तर विकल्प: ['अस्पताल में भर्ती होने के दौरान सेरेब्रल इन्फार्क्शन', 'IVC फ़िल्टर प्लेसमेंट की जटिलता', 'पार्श्व जांघ की त्वचा तंत्रिका का संपीड़न', 'बाएं जांघ का हेमेटोमा']

उत्तर: पार्श्व जांघ की त्वचा तंत्रिका का संपीड़न"
"एक 25 वर्षीय गर्भवती 3 पैरा 2 महिला को 39 सप्ताह की गर्भावस्था में सक्रिय श्रम में अस्पताल में भर्ती कराया गया है उसे हर 4 मिनट में नियमित संकुचन हो रहे थे, लेकिन अब केवल कुछ आंतरायिक, कमजोर संकुचन हो रहे हैं उसे पिछले 6 घंटों में दो बार दर्द की दवा दी गई है परीक्षा में अवरोधित प्रसव के लिए कोई कारण नहीं दिखाया गया है भ्रूण सिर संलग्न है, झिल्ली बरकरार हैं, भ्रूण दिल टोन सामान्य हैं, और गर्भाशय ग्रीवा 100% मिटा दिया है और 7 सेमी dilated है सबसे अधिक संभावना निदान है",professional_medicine,"['ब्रैक्स्टन हिक्स संकुचन', 'निचला गर्भाशय संकुचन अंगूठी', 'हाइपोटोनिक गर्भाशय विकार', 'प्राथमिक विकलांग प्रसव']",2,"प्रश्न: एक 25 वर्षीय गर्भवती 3 पैरा 2 महिला को 39 सप्ताह की गर्भावस्था में सक्रिय श्रम में अस्पताल में भर्ती कराया गया है उसे हर 4 मिनट में नियमित संकुचन हो रहे थे, लेकिन अब केवल कुछ आंतरायिक, कमजोर संकुचन हो रहे हैं उसे पिछले 6 घंटों में दो बार दर्द की दवा दी गई है परीक्षा में अवरोधित प्रसव के लिए कोई कारण नहीं दिखाया गया है भ्रूण सिर संलग्न है, झिल्ली बरकरार हैं, भ्रूण दिल टोन सामान्य हैं, और गर्भाशय ग्रीवा 100% मिटा दिया है और 7 सेमी dilated है सबसे अधिक संभावना निदान है

उत्तर विकल्प: ['ब्रैक्स्टन हिक्स संकुचन', 'निचला गर्भाशय संकुचन अंगूठी', 'हाइपोटोनिक गर्भाशय विकार', 'प्राथमिक विकलांग प्रसव']

उत्तर: हाइपोटोनिक गर्भाशय विकार"
"एक पांच वर्षीय लड़के को उसकी माँ डॉक्टर के पास ले जाती है क्योंकि उसे दो दिन से हल्का बुखार, खांसी और बहती नाक है उसका तापमान 38 डिग्री सेल्सियस (100.4 डिग्री फ़ारेनहाइट) है जांच के निष्कर्ष सामान्य सर्दी के निदान के अनुरूप हैं चिकित्सक एक यादृच्छिक, डबल-ब्लाइंड, प्लेसबो-नियंत्रित नैदानिक परीक्षण को संदर्भित करता है जिसने सामान्य सर्दी के उपचार के लिए एक नई दवा की प्रभावशीलता का मूल्यांकन किया नई दवा प्राप्त करने वाले रोगियों के लिए लक्षणों के समाधान के लिए औसत समय 6. 4 दिन था, प्लेसबो प्राप्त करने वाले रोगियों के लिए 6. 7 दिनों के औसत समय की तुलना में (पी = 0. 04) निम्नलिखित में से कौन सी इस अध्ययन के परिणामों की सबसे उपयुक्त व्याख्या है?",professional_medicine,"['निष्कर्ष नैदानिक और सांख्यिकीय रूप से महत्वपूर्ण हैं', 'निष्कर्ष नैदानिक रूप से महत्वहीन लेकिन सांख्यिकीय रूप से महत्वपूर्ण हैं', 'निष्कर्ष नैदानिक रूप से महत्वपूर्ण हैं लेकिन सांख्यिकीय रूप से महत्वहीन हैं', 'निष्कर्ष न तो नैदानिक रूप से और न ही सांख्यिकीय रूप से महत्वपूर्ण हैं']",1,"प्रश्न: एक पांच वर्षीय लड़के को उसकी माँ डॉक्टर के पास ले जाती है क्योंकि उसे दो दिन से हल्का बुखार, खांसी और बहती नाक है उसका तापमान 38 डिग्री सेल्सियस (100.4 डिग्री फ़ारेनहाइट) है जांच के निष्कर्ष सामान्य सर्दी के निदान के अनुरूप हैं चिकित्सक एक यादृच्छिक, डबल-ब्लाइंड, प्लेसबो-नियंत्रित नैदानिक परीक्षण को संदर्भित करता है जिसने सामान्य सर्दी के उपचार के लिए एक नई दवा की प्रभावशीलता का मूल्यांकन किया नई दवा प्राप्त करने वाले रोगियों के लिए लक्षणों के समाधान के लिए औसत समय 6. 4 दिन था, प्लेसबो प्राप्त करने वाले रोगियों के लिए 6. 7 दिनों के औसत समय की तुलना में (पी = 0. 04) निम्नलिखित में से कौन सी इस अध्ययन के परिणामों की सबसे उपयुक्त व्याख्या है?

उत्तर विकल्प: ['निष्कर्ष नैदानिक और सांख्यिकीय रूप से महत्वपूर्ण हैं', 'निष्कर्ष नैदानिक रूप से महत्वहीन लेकिन सांख्यिकीय रूप से महत्वपूर्ण हैं', 'निष्कर्ष नैदानिक रूप से महत्वपूर्ण हैं लेकिन सांख्यिकीय रूप से महत्वहीन हैं', 'निष्कर्ष न तो नैदानिक रूप से और न ही सांख्यिकीय रूप से महत्वपूर्ण हैं']

उत्तर: निष्कर्ष नैदानिक रूप से महत्वहीन लेकिन सांख्यिकीय रूप से महत्वपूर्ण हैं"
"एक 9 वर्षीय लड़के को उसके माता-पिता द्वारा एक अच्छी तरह से बच्चे की परीक्षा के लिए कार्यालय में लाया जाता है रोगी और उसका परिवार 2 महीने पहले संयुक्त राज्य अमेरिका में आ गया था और उसे 4 वर्षों में किसी चिकित्सक द्वारा मूल्यांकन नहीं किया गया है वह आम तौर पर स्वस्थ रहा है 3 वर्ष की आयु में निमोनिया के लिए चिकित्सा इतिहास महत्वपूर्ण है वह कोई दवा नहीं लेता है वह ऊंचाई, वजन और बीएमआई के लिए 25 वें प्रतिशत पर है महत्वपूर्ण संकेत तापमान 37.0 डिग्री सेल्सियस (98.6 डिग्री फ़ारेनहाइट), पल्स 82/मिनट, श्वास 20/मिनट और रक्तचाप 112/74 मिमी एचजी हैं कार्डियक परीक्षा तीसरे और चौथे इंटरकोस्टल रिक्त स्थान पर बाएं स्टर्नल सीमा के साथ श्रव्य ग्रेड 3/6 सिस्टोलिक गुनगुनाहट का खुलासा करती है कंधे की धड़कनें कमजोर और बांह की धड़कनें मजबूत होती हैं; रेडियोफिमोरल विलंब होता है छाती का एक्स-रे बाएं वेंट्रिकुलर प्रमुखता के साथ हल्के कार्डियोमेगाली का खुलासा करता है ईसीजी बाएं वेंट्रिकुलर हाइपरट्रॉफी दिखाता है इस रोगी को निम्नलिखित में से किस जटिलता के लिए सबसे अधिक जोखिम है?",professional_medicine,"['एट्रियल फाइब्रिलेशन', 'कोर पल्मोनेल', 'प्रणालीगत उच्च रक्तचाप', 'ट्राइकुस्पिड वाल्व रिगर्जिटेशन']",2,"प्रश्न: एक 9 वर्षीय लड़के को उसके माता-पिता द्वारा एक अच्छी तरह से बच्चे की परीक्षा के लिए कार्यालय में लाया जाता है रोगी और उसका परिवार 2 महीने पहले संयुक्त राज्य अमेरिका में आ गया था और उसे 4 वर्षों में किसी चिकित्सक द्वारा मूल्यांकन नहीं किया गया है वह आम तौर पर स्वस्थ रहा है 3 वर्ष की आयु में निमोनिया के लिए चिकित्सा इतिहास महत्वपूर्ण है वह कोई दवा नहीं लेता है वह ऊंचाई, वजन और बीएमआई के लिए 25 वें प्रतिशत पर है महत्वपूर्ण संकेत तापमान 37.0 डिग्री सेल्सियस (98.6 डिग्री फ़ारेनहाइट), पल्स 82/मिनट, श्वास 20/मिनट और रक्तचाप 112/74 मिमी एचजी हैं कार्डियक परीक्षा तीसरे और चौथे इंटरकोस्टल रिक्त स्थान पर बाएं स्टर्नल सीमा के साथ श्रव्य ग्रेड 3/6 सिस्टोलिक गुनगुनाहट का खुलासा करती है कंधे की धड़कनें कमजोर और बांह की धड़कनें मजबूत होती हैं; रेडियोफिमोरल विलंब होता है छाती का एक्स-रे बाएं वेंट्रिकुलर प्रमुखता के साथ हल्के कार्डियोमेगाली का खुलासा करता है ईसीजी बाएं वेंट्रिकुलर हाइपरट्रॉफी दिखाता है इस रोगी को निम्नलिखित में से किस जटिलता के लिए सबसे अधिक जोखिम है?

उत्तर विकल्प: ['एट्रियल फाइब्रिलेशन', 'कोर पल्मोनेल', 'प्रणालीगत उच्च रक्तचाप', 'ट्राइकुस्पिड वाल्व रिगर्जिटेशन']

उत्तर: प्रणालीगत उच्च रक्तचाप"
"एक 25 वर्षीय महिला अपने दाहिने हाथ में दो महीने की सुन्नता के कारण डॉक्टर के पास आती है इस अवधि के दौरान, उसे अधिकांश समय दाहिने अंगूठी और छोटी उंगलियों में झुनझुनी होती है उसके पास कोई गंभीर बीमारी का इतिहास नहीं है और वह कोई दवा नहीं लेती है वह एक कैशियर के रूप में कार्यरत है और घर पर एक कंप्यूटर का उपयोग करती है वह 5 साल के लिए एक सॉफ्टबॉल लीग में एक पिचर के रूप में खेला जब तक वह 2 साल पहले बंद कर दिया महत्वपूर्ण संकेत सामान्य सीमा के भीतर हैं परीक्षण पूर्ण मांसपेशियों की शक्ति को दर्शाता है दाहिने कोहनी का स्पर्श दाहिने अंगूठी और छोटी उंगलियों में तीव्र दर्द का झटका पैदा करता है दाहिने रिंग फिंगर के मध्यवर्ती आधे हिस्से और पूरी छोटी उंगली पर पिनपिक और हल्के स्पर्श की अनुभूति कम हो जाती है इन निष्कर्षों का सबसे संभावित कारण दाहिनी ओर निम्नलिखित में से किसका फंसना है?",professional_medicine,"['कलाई पर मध्य तंत्रिका', 'अग्रहस्त में मांसपेशी-त्वचा तंत्रिका', 'अग्रहस्त में त्रिज्या तंत्रिका', 'कोहनी में उलार तंत्रिका']",3,"प्रश्न: एक 25 वर्षीय महिला अपने दाहिने हाथ में दो महीने की सुन्नता के कारण डॉक्टर के पास आती है इस अवधि के दौरान, उसे अधिकांश समय दाहिने अंगूठी और छोटी उंगलियों में झुनझुनी होती है उसके पास कोई गंभीर बीमारी का इतिहास नहीं है और वह कोई दवा नहीं लेती है वह एक कैशियर के रूप में कार्यरत है और घर पर एक कंप्यूटर का उपयोग करती है वह 5 साल के लिए एक सॉफ्टबॉल लीग में एक पिचर के रूप में खेला जब तक वह 2 साल पहले बंद कर दिया महत्वपूर्ण संकेत सामान्य सीमा के भीतर हैं परीक्षण पूर्ण मांसपेशियों की शक्ति को दर्शाता है दाहिने कोहनी का स्पर्श दाहिने अंगूठी और छोटी उंगलियों में तीव्र दर्द का झटका पैदा करता है दाहिने रिंग फिंगर के मध्यवर्ती आधे हिस्से और पूरी छोटी उंगली पर पिनपिक और हल्के स्पर्श की अनुभूति कम हो जाती है इन निष्कर्षों का सबसे संभावित कारण दाहिनी ओर निम्नलिखित में से किसका फंसना है?

उत्तर विकल्प: ['कलाई पर मध्य तंत्रिका', 'अग्रहस्त में मांसपेशी-त्वचा तंत्रिका', 'अग्रहस्त में त्रिज्या तंत्रिका', 'कोहनी में उलार तंत्रिका']

उत्तर: कोहनी में उलार तंत्रिका"
छह स्वस्थ व्यक्ति मांसपेशियों के चयापचय के एक अध्ययन में भाग लेते हैं जिसके दौरान हाइपरग्लाइसेमिया और हाइपरइंसुलिनमिया प्रेरित होता है विश्राम अवस्था के दौरान विषयों से प्राप्त मांसपेशियों के बायोप्सी नमूने मैलोनिल-सीओए की महत्वपूर्ण रूप से बढ़ी हुई सांद्रता दिखाते हैं बढ़ी हुई मैलोनिल-सीओए एकाग्रता इन विषयों में निम्नलिखित में से किस प्रक्रिया को प्रत्यक्ष रूप से रोकती है?,professional_medicine,"['फैटी एसिड ऑक्सीकरण', 'फैटी एसिड संश्लेषण', 'ग्लूकोनोजेनेसिस', 'ग्लाइकोजेनोलिसिस']",0,"प्रश्न: छह स्वस्थ व्यक्ति मांसपेशियों के चयापचय के एक अध्ययन में भाग लेते हैं जिसके दौरान हाइपरग्लाइसेमिया और हाइपरइंसुलिनमिया प्रेरित होता है विश्राम अवस्था के दौरान विषयों से प्राप्त मांसपेशियों के बायोप्सी नमूने मैलोनिल-सीओए की महत्वपूर्ण रूप से बढ़ी हुई सांद्रता दिखाते हैं बढ़ी हुई मैलोनिल-सीओए एकाग्रता इन विषयों में निम्नलिखित में से किस प्रक्रिया को प्रत्यक्ष रूप से रोकती है?

उत्तर विकल्प: ['फैटी एसिड ऑक्सीकरण', 'फैटी एसिड संश्लेषण', 'ग्लूकोनोजेनेसिस', 'ग्लाइकोजेनोलिसिस']

उत्तर: फैटी एसिड ऑक्सीकरण"
"ओवेरियन कैंसर से ग्रस्त एक 72 वर्षीय महिला को उसका बेटा डॉक्टर के पास ले जाता है क्योंकि वह हर समय रोती रहती है और बिस्तर से नहीं उठती 10 अंकों के पैमाने पर, वह दर्द को 1 से 2 के रूप में दर्जा देती है वह उच्च रक्तचाप और प्रमुख अवसादग्रस्तता विकार भी है उसे 2 साल से कीमोथेरेपी दी जा रही है। वर्तमान दवाओं में ऑक्सीकोडोन (10 मिलीग्राम दिन में दो बार), हाइड्रोक्लोरोथियाजाइड (25 मिलीग्राम/दिन), और फ्लोक्सैटिन (20 मिलीग्राम/दिन) भी शामिल हैं। वह 165 सेमी (5 फीट 5 इंच) लंबा है और उसका वजन 66 किलोग्राम (145 पाउंड) है; बीएमआई 24 किलोग्राम / एम 2 है उसका तापमान 37 डिग्री सेल्सियस (98.6 डिग्री फ़ारेनहाइट), नाड़ी 110/मिनट, श्वसन 12/मिनट, और रक्तचाप 120/80 मिमी एचजी है जांच में जिगर पर मध्यम संवेदना के साथ एक फर्म, फैला हुआ पेट दिखाई देता है मानसिक स्थिति परीक्षा पर, वह व्यक्ति, स्थान और समय के लिए उन्मुख है वह अच्छी दृष्टि से देखती है लेकिन उदास दिखती है और आसानी से रोती है निम्नलिखित में से कौन सा प्रबंधन में सबसे उपयुक्त अगला कदम है?",professional_medicine,"['आश्वासन', 'आत्मघाती विचार के लिए आकलन', 'डेक्स्ट्रोएम्फेटामाइन थेरेपी शुरू करें', 'ऑक्सीकोडोन की खुराक बढ़ाएं']",1,"प्रश्न: ओवेरियन कैंसर से ग्रस्त एक 72 वर्षीय महिला को उसका बेटा डॉक्टर के पास ले जाता है क्योंकि वह हर समय रोती रहती है और बिस्तर से नहीं उठती 10 अंकों के पैमाने पर, वह दर्द को 1 से 2 के रूप में दर्जा देती है वह उच्च रक्तचाप और प्रमुख अवसादग्रस्तता विकार भी है उसे 2 साल से कीमोथेरेपी दी जा रही है। वर्तमान दवाओं में ऑक्सीकोडोन (10 मिलीग्राम दिन में दो बार), हाइड्रोक्लोरोथियाजाइड (25 मिलीग्राम/दिन), और फ्लोक्सैटिन (20 मिलीग्राम/दिन) भी शामिल हैं। वह 165 सेमी (5 फीट 5 इंच) लंबा है और उसका वजन 66 किलोग्राम (145 पाउंड) है; बीएमआई 24 किलोग्राम / एम 2 है उसका तापमान 37 डिग्री सेल्सियस (98.6 डिग्री फ़ारेनहाइट), नाड़ी 110/मिनट, श्वसन 12/मिनट, और रक्तचाप 120/80 मिमी एचजी है जांच में जिगर पर मध्यम संवेदना के साथ एक फर्म, फैला हुआ पेट दिखाई देता है मानसिक स्थिति परीक्षा पर, वह व्यक्ति, स्थान और समय के लिए उन्मुख है वह अच्छी दृष्टि से देखती है लेकिन उदास दिखती है और आसानी से रोती है निम्नलिखित में से कौन सा प्रबंधन में सबसे उपयुक्त अगला कदम है?

उत्तर विकल्प: ['आश्वासन', 'आत्मघाती विचार के लिए आकलन', 'डेक्स्ट्रोएम्फेटामाइन थेरेपी शुरू करें', 'ऑक्सीकोडोन की खुराक बढ़ाएं']

उत्तर: आत्मघाती विचार के लिए आकलन"
"एक 65 वर्षीय महिला में 6 महीने की प्रगतिशील चिड़चिड़ापन, दिल की धड़कन, गर्मी असहिष्णुता, लगातार मल त्याग, और 6.8 किलोग्राम (15 पाउंड) वजन घटाने का इतिहास है वह 10 से अधिक वर्षों के लिए एक गर्दन द्रव्यमान किया गया है स्कैन में थायराइड ग्रंथि में वृद्धि और अवशोषण में कमी के कई क्षेत्रों के साथ एक बढ़ी हुई थायराइड ग्रंथि दिखाई देती है। निम्नलिखित में से कौन सा निदान सबसे अधिक संभावना है?",professional_medicine,"['थायरोक्सिन (T4) बायोसिंथेसिस में दोष', 'ग्रेव्स रोग', 'मल्टीनोड्यूलर गोइटर', 'रिडेल का थायराइडिस']",2,"प्रश्न: एक 65 वर्षीय महिला में 6 महीने की प्रगतिशील चिड़चिड़ापन, दिल की धड़कन, गर्मी असहिष्णुता, लगातार मल त्याग, और 6.8 किलोग्राम (15 पाउंड) वजन घटाने का इतिहास है वह 10 से अधिक वर्षों के लिए एक गर्दन द्रव्यमान किया गया है स्कैन में थायराइड ग्रंथि में वृद्धि और अवशोषण में कमी के कई क्षेत्रों के साथ एक बढ़ी हुई थायराइड ग्रंथि दिखाई देती है। निम्नलिखित में से कौन सा निदान सबसे अधिक संभावना है?

उत्तर विकल्प: ['थायरोक्सिन (T4) बायोसिंथेसिस में दोष', 'ग्रेव्स रोग', 'मल्टीनोड्यूलर गोइटर', 'रिडेल का थायराइडिस']

उत्तर: मल्टीनोड्यूलर गोइटर"
एक 51 वर्षीय व्यक्ति अपनी जीभ पर एक गांठ के 6 महीने के इतिहास के कारण कार्यालय में आता है जो उसके बोलने और खाने में हस्तक्षेप कर रहा है; इस अवधि के दौरान उसका 6.8 किलोग्राम (15 पाउंड) वजन भी कम हो गया है वह पिछले 30 वर्षों से प्रतिदिन एक पैकेट सिगरेट पीता है और सप्ताहांत की रातों में छह 12-औंस की बोतलें बीयर पीता है उसके महत्वपूर्ण संकेत सामान्य सीमा के भीतर हैं शारीरिक परीक्षा जीभ के शीर्ष पर 1.5 सेमी द्रव्यमान दिखाता है द्रव्यमान का आगे मूल्यांकन स्क्वैमस सेल कार्सिनोमा की पुष्टि करता है इस रोगी में मेटास्टेसिस के प्रमाण के लिए निम्नलिखित में से किस लिम्फ नोड का पहले मूल्यांकन करना सबसे उपयुक्त है?,professional_medicine,"['निचली गहरी गर्भाशय ग्रीवा', 'पैरोटिड', 'रेट्रोफैरिंजियल', 'सबमेंटल']",3,"प्रश्न: एक 51 वर्षीय व्यक्ति अपनी जीभ पर एक गांठ के 6 महीने के इतिहास के कारण कार्यालय में आता है जो उसके बोलने और खाने में हस्तक्षेप कर रहा है; इस अवधि के दौरान उसका 6.8 किलोग्राम (15 पाउंड) वजन भी कम हो गया है वह पिछले 30 वर्षों से प्रतिदिन एक पैकेट सिगरेट पीता है और सप्ताहांत की रातों में छह 12-औंस की बोतलें बीयर पीता है उसके महत्वपूर्ण संकेत सामान्य सीमा के भीतर हैं शारीरिक परीक्षा जीभ के शीर्ष पर 1.5 सेमी द्रव्यमान दिखाता है द्रव्यमान का आगे मूल्यांकन स्क्वैमस सेल कार्सिनोमा की पुष्टि करता है इस रोगी में मेटास्टेसिस के प्रमाण के लिए निम्नलिखित में से किस लिम्फ नोड का पहले मूल्यांकन करना सबसे उपयुक्त है?

उत्तर विकल्प: ['निचली गहरी गर्भाशय ग्रीवा', 'पैरोटिड', 'रेट्रोफैरिंजियल', 'सबमेंटल']

उत्तर: सबमेंटल"
एक 42 वर्षीय व्यक्ति गुर्दे की गणना पास करने के 1 सप्ताह बाद एक अनुवर्ती परीक्षा के लिए चिकित्सक के पास आता है कण के एक्स-रे क्रिस्टलोग्राफिक विश्लेषण ने प्राथमिक कैशन के रूप में कैल्शियम को दिखाया शारीरिक परीक्षा आज कोई असामान्यताओं का पता चलता है 24 घंटे के मूत्र संग्रह से कैल्शियम उत्सर्जन में वृद्धि होती है निम्नलिखित में से कौन-सा सबसे उपयुक्त फार्माकोथेरेपी है?,professional_medicine,"['कार्बनिक एनिहाइड्रेस अवरोधक', 'Na+ Cl− सिम्पोर्ट इनहिबिटर', 'Na+ K + 2Cl− सिम्पोर्ट इनहिबिटर', 'ऑस्मोटिक मूत्रवर्धक']",1,"प्रश्न: एक 42 वर्षीय व्यक्ति गुर्दे की गणना पास करने के 1 सप्ताह बाद एक अनुवर्ती परीक्षा के लिए चिकित्सक के पास आता है कण के एक्स-रे क्रिस्टलोग्राफिक विश्लेषण ने प्राथमिक कैशन के रूप में कैल्शियम को दिखाया शारीरिक परीक्षा आज कोई असामान्यताओं का पता चलता है 24 घंटे के मूत्र संग्रह से कैल्शियम उत्सर्जन में वृद्धि होती है निम्नलिखित में से कौन-सा सबसे उपयुक्त फार्माकोथेरेपी है?

उत्तर विकल्प: ['कार्बनिक एनिहाइड्रेस अवरोधक', 'Na+ Cl− सिम्पोर्ट इनहिबिटर', 'Na+ K + 2Cl− सिम्पोर्ट इनहिबिटर', 'ऑस्मोटिक मूत्रवर्धक']

उत्तर: Na+ Cl− सिम्पोर्ट इनहिबिटर"
