question,subject,choices,answer,qa
La théorie de la société de masse suggère que:,sociology,"['le contenu des médias est déterminé par les forces du marché', 'les classes subalternes sont dominées par l'idéologie de la classe dirigeante', 'les médias manipulent 'les masses' comme des consommateurs vulnérables et passifs', 'les audiences font des interprétations sélectives des messages des médias']",2,"Question: La théorie de la société de masse suggère que:

Choix: ['le contenu des médias est déterminé par les forces du marché', 'les classes subalternes sont dominées par l'idéologie de la classe dirigeante', 'les médias manipulent 'les masses' comme des consommateurs vulnérables et passifs', 'les audiences font des interprétations sélectives des messages des médias']

Réponse: les médias manipulent ""les masses"" comme des consommateurs vulnérables et passifs"
L'approche écologique de la sociologie urbaine consistait à étudier:,sociology,"['comment les groupes sociaux ont colonisé différentes zones de la ville et ont rivalisé pour les ressources', 'les formes de la faune et des habitats naturels qui pourraient être trouvés sur les bords de la ville', 'la façon dont les gens ont organisé des manifestations collectives sur les questions environnementales', 'Comment les hommes et les femmes utilisent différemment les espaces publics de la ville']",0,"Question: L'approche écologique de la sociologie urbaine consistait à étudier:

Choix: ['comment les groupes sociaux ont colonisé différentes zones de la ville et ont rivalisé pour les ressources', 'les formes de la faune et des habitats naturels qui pourraient être trouvés sur les bords de la ville', 'la façon dont les gens ont organisé des manifestations collectives sur les questions environnementales', 'Comment les hommes et les femmes utilisent différemment les espaces publics de la ville']

Réponse: comment les groupes sociaux ont colonisé différentes zones de la ville et ont rivalisé pour les ressources"
Becker a déclaré que la consommation de cannabis était:,sociology,"['Dans les années soixante-dix, le nombre de jeunes de toutes les tranches d'âge a augmenté de façon spectaculaire.', 'appris progressivement à travers les processus sociaux d'une carrière déviante', 'un passe-temps dangereux auquel les jeunes ne devraient pas être autorisés à se livrer.', 'pas aussi agréable que d' autres sociologues avaient suggéré']",1,"Question: Becker a déclaré que la consommation de cannabis était:

Choix: ['Dans les années soixante-dix, le nombre de jeunes de toutes les tranches d'âge a augmenté de façon spectaculaire.', 'appris progressivement à travers les processus sociaux d'une carrière déviante', 'un passe-temps dangereux auquel les jeunes ne devraient pas être autorisés à se livrer.', 'pas aussi agréable que d' autres sociologues avaient suggéré']

Réponse: appris progressivement à travers les processus sociaux d'une carrière déviante"
Les classes moyennes qui se sont développées au cours du XIXe siècle étaient:,sociology,"['un ensemble urbain, impliqué dans des organismes civiques et des associations bénévoles', 'trop diversifiée pour avoir un fort sentiment de conscience de classe', 'souvent engagés dans des travaux de 'cols blancs'', 'tout ce qui précède']",3,"Question: Les classes moyennes qui se sont développées au cours du XIXe siècle étaient:

Choix: ['un ensemble urbain, impliqué dans des organismes civiques et des associations bénévoles', 'trop diversifiée pour avoir un fort sentiment de conscience de classe', 'souvent engagés dans des travaux de 'cols blancs'', 'tout ce qui précède']

Réponse: tout ce qui précède"
Les formes technologiques de surveillance ont facilité:,sociology,"['l'accès et l'échange d'informations 'privées' sur les consommateurs', 'réduire la surpopulation carcérale par l'utilisation d'étiquettes électroniques', 'surveiller les activités des employés au travail', 'tout ce qui précède']",3,"Question: Les formes technologiques de surveillance ont facilité:

Choix: ['l'accès et l'échange d'informations 'privées' sur les consommateurs', 'réduire la surpopulation carcérale par l'utilisation d'étiquettes électroniques', 'surveiller les activités des employés au travail', 'tout ce qui précède']

Réponse: tout ce qui précède"
Le concept de gemeinschaft développé par Ferdinand Tönnies décrit fondamentalement les mêmes caractéristiques relationnelles que,sociology,"['Solidarité biologique', 'Solidarité mécanique', 'société', 'déshydratation']",1,"Question: Le concept de gemeinschaft développé par Ferdinand Tönnies décrit fondamentalement les mêmes caractéristiques relationnelles que

Choix: ['Solidarité biologique', 'Solidarité mécanique', 'société', 'déshydratation']

Réponse: Solidarité mécanique"
L'inégalité des revenus s'est accrue dans les années 80 parce que:,sociology,"['taux d'impôt sur le revenu ont augmenté de manière égale pour tous les groupes professionnels', 'il y avait plus d'emplois professionnels disponibles mais pas assez de gens pour les combler', 'le prix des biens de consommation a augmenté à un rythme plus élevé que les revenus', 'l'augmentation du chômage a rendu de plus en plus de personnes dépendantes des allocations sociales']",3,"Question: L'inégalité des revenus s'est accrue dans les années 80 parce que:

Choix: ['taux d'impôt sur le revenu ont augmenté de manière égale pour tous les groupes professionnels', 'il y avait plus d'emplois professionnels disponibles mais pas assez de gens pour les combler', 'le prix des biens de consommation a augmenté à un rythme plus élevé que les revenus', 'l'augmentation du chômage a rendu de plus en plus de personnes dépendantes des allocations sociales']

Réponse: l'augmentation du chômage a rendu de plus en plus de personnes dépendantes des allocations sociales"
"Si un acte déviant est "" normalisé "", c'est:",sociology,"['reconnu comme enfreignant une norme de comportement importante', 'a vu une aberration temporaire par rapport à un caractère par ailleurs 'normal'', 'la première étape dans l'établissement d'une carrière déviante', 'attribuable à la constitution génétique ou anatomique de la personne']",1,"Question: Si un acte déviant est "" normalisé "", c'est:

Choix: ['reconnu comme enfreignant une norme de comportement importante', 'a vu une aberration temporaire par rapport à un caractère par ailleurs 'normal'', 'la première étape dans l'établissement d'une carrière déviante', 'attribuable à la constitution génétique ou anatomique de la personne']

Réponse: a vu une aberration temporaire par rapport à un caractère par ailleurs ""normal"""
"Dans le débat sur la ""révolution managériale"", John Scott (1997) a fait valoir que:",sociology,"['Les propriétaires exerçaient toujours le contrôle par l'intermédiaire de groupes d'actionnaires et de conseils d'administration imbriqués.', 'La propriété et la gestion devenaient des fonctions de plus en plus distinctes.', 'Les techniques de gestion scientifique étaient trop bureaucratiques et inefficaces', 'Les dirigeants étaient de plus en plus mécontents de leurs conditions de travail et prévoyaient de renverser les propriétaires d'entreprises.']",0,"Question: Dans le débat sur la ""révolution managériale"", John Scott (1997) a fait valoir que:

Choix: ['Les propriétaires exerçaient toujours le contrôle par l'intermédiaire de groupes d'actionnaires et de conseils d'administration imbriqués.', 'La propriété et la gestion devenaient des fonctions de plus en plus distinctes.', 'Les techniques de gestion scientifique étaient trop bureaucratiques et inefficaces', 'Les dirigeants étaient de plus en plus mécontents de leurs conditions de travail et prévoyaient de renverser les propriétaires d'entreprises.']

Réponse: Les propriétaires exerçaient toujours le contrôle par l'intermédiaire de groupes d'actionnaires et de conseils d'administration imbriqués."
Les féministes marxistes expliquent le patriarcat en termes de:,sociology,"['l'absence d'égalité des droits et des chances entre les hommes et les femmes', 'les classes sexuelles, à travers lesquelles les hommes oppriment les femmes économiquement, politiquement et sexuellement', 'Le travail domestique des femmes est exploité par l'économie capitaliste.', 'le double système du capitalisme et de la domination masculine']",2,"Question: Les féministes marxistes expliquent le patriarcat en termes de:

Choix: ['l'absence d'égalité des droits et des chances entre les hommes et les femmes', 'les classes sexuelles, à travers lesquelles les hommes oppriment les femmes économiquement, politiquement et sexuellement', 'Le travail domestique des femmes est exploité par l'économie capitaliste.', 'le double système du capitalisme et de la domination masculine']

Réponse: Le travail domestique des femmes est exploité par l'économie capitaliste."
