question,subject,choices,answer,qa
"Les crypto-monnaies telles que le bitcoin deviennent de plus en plus courantes et ont toute une série d'implications éthiques associées, par exemple, elles sont de plus en plus Cependant, ils ont également été utilisés pour se livrer à des _______.",business_ethics,"['Les crypto-monnaies, coûteuses, sécurisées, la criminalité financière', 'Monnaies traditionnelles, à bas prix, non sécurisées, dons de bienfaisance', 'Il s'agit d'un projet d'envergure d'un milliard d'euros.', 'Monnaies traditionnelles, coûteuses, peu sûres, dons de bienfaisance']",2,"Question: Les crypto-monnaies telles que le bitcoin deviennent de plus en plus courantes et ont toute une série d'implications éthiques associées, par exemple, elles sont de plus en plus Cependant, ils ont également été utilisés pour se livrer à des _______.

Choix: ['Les crypto-monnaies, coûteuses, sécurisées, la criminalité financière', 'Monnaies traditionnelles, à bas prix, non sécurisées, dons de bienfaisance', 'Il s'agit d'un projet d'envergure d'un milliard d'euros.', 'Monnaies traditionnelles, coûteuses, peu sûres, dons de bienfaisance']

Réponse: Il s'agit d'un projet d'envergure d'un milliard d'euros."
"Les organismes de réglementation de la publicité typique suggèrent, par exemple, que les publicités ne doivent pas: encourager _________, causer des ________ inutiles ou _____, et ne doivent pas causer _______ offense.",business_ethics,"['Des pratiques dangereuses, des désirs, des peurs, des choses insignifiantes', 'Pratiques dangereuses, détresse, peur, sérieux', 'Les pratiques sûres, les désirs, la jalousie, le trivial', 'Pratiques sécuritaires, détresse, jalousie, sérieux']",1,"Question: Les organismes de réglementation de la publicité typique suggèrent, par exemple, que les publicités ne doivent pas: encourager _________, causer des ________ inutiles ou _____, et ne doivent pas causer _______ offense.

Choix: ['Des pratiques dangereuses, des désirs, des peurs, des choses insignifiantes', 'Pratiques dangereuses, détresse, peur, sérieux', 'Les pratiques sûres, les désirs, la jalousie, le trivial', 'Pratiques sécuritaires, détresse, jalousie, sérieux']

Réponse: Pratiques dangereuses, détresse, peur, sérieux"
"______ sont les obligations des travailleurs envers leur employeur, fondées sur des contrats individuels et des lois sur l'emploi plus larges.",business_ethics,"['Droits des travailleurs', 'Droits des travailleurs', 'Obligations de l'employeur', 'Obligations du salarié']",3,"Question: ______ sont les obligations des travailleurs envers leur employeur, fondées sur des contrats individuels et des lois sur l'emploi plus larges.

Choix: ['Droits des travailleurs', 'Droits des travailleurs', 'Obligations de l'employeur', 'Obligations du salarié']

Réponse: Obligations du salarié"
______ est le rapport préféré d'un salarié entre les activités liées au travail et les activités non liées au travail qui en raison de l'intensification du travail et des changements technologiques est devenue une question très controversée ces dernières années.,business_ethics,"['Le présentéisme', 'Absentéisme', 'Équilibre entre le travail et les loisirs', 'Équilibre entre vie professionnelle et vie privée']",3,"Question: ______ est le rapport préféré d'un salarié entre les activités liées au travail et les activités non liées au travail qui en raison de l'intensification du travail et des changements technologiques est devenue une question très controversée ces dernières années.

Choix: ['Le présentéisme', 'Absentéisme', 'Équilibre entre le travail et les loisirs', 'Équilibre entre vie professionnelle et vie privée']

Réponse: Équilibre entre vie professionnelle et vie privée"
"_______ peuvent être comparés à leurs homologues naturels comprenant un réseau équilibré d'organismes interdépendants et de leurs environnements, ajoutant ainsi de la valeur à la réflexion sur la durabilité en considérant les entreprises et les industries comme étant liées entre elles et interdépendants en raison de toutes sortes de ressources et de déchets.",business_ethics,"['Boucles d'approvisionnement industrielles', 'Écosystèmes industriels', 'Écosystèmes écologiques', 'Écosystèmes d'entreprise']",1,"Question: _______ peuvent être comparés à leurs homologues naturels comprenant un réseau équilibré d'organismes interdépendants et de leurs environnements, ajoutant ainsi de la valeur à la réflexion sur la durabilité en considérant les entreprises et les industries comme étant liées entre elles et interdépendants en raison de toutes sortes de ressources et de déchets.

Choix: ['Boucles d'approvisionnement industrielles', 'Écosystèmes industriels', 'Écosystèmes écologiques', 'Écosystèmes d'entreprise']

Réponse: Écosystèmes industriels"
"Nom de l'établissement où, par exemple, une partie possède plus de ressources répartition déloyale de ________ où une partie gagne plus de la relation et les OSC étant ________ sont toutes les limites et les risques des collaborations entre les entreprises et les OSC.",business_ethics,"['Déséquilibre des pouvoirs, avantages, tromperie', 'Défaillance des pouvoirs, ressources, coopté', 'Asymétrie de l'information, avantages, tromperie', 'Résultats de l'enquête menée par l'Agence européenne pour l'éducation et la formation']",1,"Question: Nom de l'établissement où, par exemple, une partie possède plus de ressources répartition déloyale de ________ où une partie gagne plus de la relation et les OSC étant ________ sont toutes les limites et les risques des collaborations entre les entreprises et les OSC.

Choix: ['Déséquilibre des pouvoirs, avantages, tromperie', 'Défaillance des pouvoirs, ressources, coopté', 'Asymétrie de l'information, avantages, tromperie', 'Résultats de l'enquête menée par l'Agence européenne pour l'éducation et la formation']

Réponse: Défaillance des pouvoirs, ressources, coopté"
"Bien que la maximisation des bénéfices des entreprises ne soit pas directement prescrite par les principales théories normatives, à quelle théorie normative ressemble-t-elle le plus?",business_ethics,"['utilitarisme hédoniste', 'utilitarisme de préférence', 'L'impératif catégorique', 'l'éthique des soins']",1,"Question: Bien que la maximisation des bénéfices des entreprises ne soit pas directement prescrite par les principales théories normatives, à quelle théorie normative ressemble-t-elle le plus?

Choix: ['utilitarisme hédoniste', 'utilitarisme de préférence', 'L'impératif catégorique', 'l'éthique des soins']

Réponse: utilitarisme de préférence"
"Selon Milton Friedman, quelle est la seule responsabilité des entreprises ?",business_ethics,"['La seule responsabilité sociale de l'entreprise est envers ses actionnaires.', 'Les dirigeants devraient agir de manière à équilibrer les intérêts de la société et des actionnaires', 'La responsabilité première de l'organisation est envers ses employés.', 'La responsabilité première de l'organisation est envers ses parties prenantes.']",0,"Question: Selon Milton Friedman, quelle est la seule responsabilité des entreprises ?

Choix: ['La seule responsabilité sociale de l'entreprise est envers ses actionnaires.', 'Les dirigeants devraient agir de manière à équilibrer les intérêts de la société et des actionnaires', 'La responsabilité première de l'organisation est envers ses employés.', 'La responsabilité première de l'organisation est envers ses parties prenantes.']

Réponse: La seule responsabilité sociale de l'entreprise est envers ses actionnaires."
"La réglementation ______ va plus loin que la ______ que les OSC ont avec les entreprises, car elle concerne également _______ de ces processus.",business_ethics,"['Droit, interactions, mécanique', 'Débats du Parlement européen', 'Politique, Interactions, Résultats', 'Environnement, relations, mécanique']",1,"Question: La réglementation ______ va plus loin que la ______ que les OSC ont avec les entreprises, car elle concerne également _______ de ces processus.

Choix: ['Droit, interactions, mécanique', 'Débats du Parlement européen', 'Politique, Interactions, Résultats', 'Environnement, relations, mécanique']

Réponse: Débats du Parlement européen"
"Les pratiques de travail _______ se réfèrent à des modèles de travail qui impliquent une fluidité temporelle, spatiale et liée à la tâche.",business_ethics,"['Dynamique', 'Fluide', 'Il est souple.', 'Moderne']",2,"Question: Les pratiques de travail _______ se réfèrent à des modèles de travail qui impliquent une fluidité temporelle, spatiale et liée à la tâche.

Choix: ['Dynamique', 'Fluide', 'Il est souple.', 'Moderne']

Réponse: Il est souple."
