question,subject,choices,answer,qa
Le principe de la théorie de la guerre juste de la nécessité militaire appartient à,moral_disputes,"['Le jus en bello.', 'Le jus ad bellum.', 'le nihilisme moral.', 'tout ce qui précède']",0,"Question: Le principe de la théorie de la guerre juste de la nécessité militaire appartient à

Choix: ['Le jus en bello.', 'Le jus ad bellum.', 'le nihilisme moral.', 'tout ce qui précède']

Réponse: Le jus en bello."
"Selon Mill, la censure de discours qui est peut-être vrai",moral_disputes,"['Elle viole la dignité humaine.', 'manque à un devoir prima facie d'honnêteté.', 'est l'équivalent d'affirmer que vous êtes infaillible.', 'C'est un risque qui vaut la peine d'être pris. Le discours est déjà assez dangereux.']",2,"Question: Selon Mill, la censure de discours qui est peut-être vrai

Choix: ['Elle viole la dignité humaine.', 'manque à un devoir prima facie d'honnêteté.', 'est l'équivalent d'affirmer que vous êtes infaillible.', 'C'est un risque qui vaut la peine d'être pris. Le discours est déjà assez dangereux.']

Réponse: est l'équivalent d'affirmer que vous êtes infaillible."
West soutient que la rhétorique féministe a,moral_disputes,"['obscurcit les méfaits des rapports sexuels non forcés et consensuels en insinuant que parce que ce qui est forcé est mauvais, ce qui n'est pas forcé est bon.', 'obscurcit les méfaits du viol en assimilant tous les rapports sexuels au sexe non consensuel.', 'en ne reconnaissant pas une distinction entre ce qui est bon et ce qui n'est pas forcé, a conduit à la reconnaissance des méfaits du sexe consensuel.', 'Tout ce qui précède']",0,"Question: West soutient que la rhétorique féministe a

Choix: ['obscurcit les méfaits des rapports sexuels non forcés et consensuels en insinuant que parce que ce qui est forcé est mauvais, ce qui n'est pas forcé est bon.', 'obscurcit les méfaits du viol en assimilant tous les rapports sexuels au sexe non consensuel.', 'en ne reconnaissant pas une distinction entre ce qui est bon et ce qui n'est pas forcé, a conduit à la reconnaissance des méfaits du sexe consensuel.', 'Tout ce qui précède']

Réponse: obscurcit les méfaits des rapports sexuels non forcés et consensuels en insinuant que parce que ce qui est forcé est mauvais, ce qui n'est pas forcé est bon."
"Selon Mill, la valeur d'un plaisir particulier dépend de",moral_disputes,"['sa seule quantité.', 'seule sa qualité.', 'à la fois sa quantité et sa qualité.', 'ni sa quantité ni sa qualité.']",2,"Question: Selon Mill, la valeur d'un plaisir particulier dépend de

Choix: ['sa seule quantité.', 'seule sa qualité.', 'à la fois sa quantité et sa qualité.', 'ni sa quantité ni sa qualité.']

Réponse: à la fois sa quantité et sa qualité."
"Selon Carruthers, chaque fois que quelqu'un est tenu d'agir d'une certaine manière envers un animal pour le bien de l'animal, ce qui explique ce fait sont des faits sur",moral_disputes,"['L'animal est mort.', 'les effets plus larges sur les êtres humains.', 'les deux A et B', 'ni A ni B']",1,"Question: Selon Carruthers, chaque fois que quelqu'un est tenu d'agir d'une certaine manière envers un animal pour le bien de l'animal, ce qui explique ce fait sont des faits sur

Choix: ['L'animal est mort.', 'les effets plus larges sur les êtres humains.', 'les deux A et B', 'ni A ni B']

Réponse: les effets plus larges sur les êtres humains."
"Que signifie SCNT, tel qu'il est utilisé dans la discussion sur le clonage ?",moral_disputes,"['transfert nucléaire des cellules de la peau', 'transmission nucléaire des cellules souches', 'transfert du noyau des cellules somatiques', 'rien de ce qui précède']",2,"Question: Que signifie SCNT, tel qu'il est utilisé dans la discussion sur le clonage ?

Choix: ['transfert nucléaire des cellules de la peau', 'transmission nucléaire des cellules souches', 'transfert du noyau des cellules somatiques', 'rien de ce qui précède']

Réponse: transfert du noyau des cellules somatiques"
"Velleman craint qu'en offrant à un patient l'option de l'euthanasie,",moral_disputes,"['On permet au patient de se faire du mal.', 'Nous forçons les médecins à faire du mal au patient.', 'Nous faisons du mal à la famille du patient.', 'Nous faisons du mal au patient.']",3,"Question: Velleman craint qu'en offrant à un patient l'option de l'euthanasie,

Choix: ['On permet au patient de se faire du mal.', 'Nous forçons les médecins à faire du mal au patient.', 'Nous faisons du mal à la famille du patient.', 'Nous faisons du mal au patient.']

Réponse: Nous faisons du mal au patient."
Nathanson soutient lequel des types suivants de rétributivisme ?,moral_disputes,"['préventive', 'proportionnelle', 'égalité', 'représailles']",1,"Question: Nathanson soutient lequel des types suivants de rétributivisme ?

Choix: ['préventive', 'proportionnelle', 'égalité', 'représailles']

Réponse: proportionnelle"
Carruthers aborde les questions sur la position morale des animaux non humains du point de vue de laquelle des théories morales suivantes?,moral_disputes,"['conséquentialisme', 'Le Kantianisme', 'la vertu et l'éthique', 'le contractualisme']",3,"Question: Carruthers aborde les questions sur la position morale des animaux non humains du point de vue de laquelle des théories morales suivantes?

Choix: ['conséquentialisme', 'Le Kantianisme', 'la vertu et l'éthique', 'le contractualisme']

Réponse: le contractualisme"
"Selon l'analyse de Gardiner, lequel des éléments suivants est une caractéristique du problème du changement climatique ?",moral_disputes,"['adéquation institutionnelle', 'dispersion des causes et des effets', 'fragmentation de l'agence', 'tout ce qui précède']",3,"Question: Selon l'analyse de Gardiner, lequel des éléments suivants est une caractéristique du problème du changement climatique ?

Choix: ['adéquation institutionnelle', 'dispersion des causes et des effets', 'fragmentation de l'agence', 'tout ce qui précède']

Réponse: tout ce qui précède"
