question,subject,choices,answer,qa
"किसी प्रजाति की जनसंख्या वृद्धि को रेखांकित करने से उत्पन्न होने वाली विशिष्ट जनसंख्या वक्रों के आधार पर, मच्छरों की आबादी को नियंत्रित करने का सबसे प्रभावी साधन है",college_biology,"['आबादी को उसके लॉजिस्टिक वक्र के मध्य बिंदु के अनुरूप एक बिंदु पर बनाए रखें', 'शून्य जनसंख्या नियंत्रण के लिए चुनें एक बार वक्र के K मूल्य तक पहुँच गया है', 'K मान को कम करने के लिए CIF पर्यावरण को ले जाने की क्षमता को कम करें', 'मृत्यु दर में वृद्धि']",2,"प्रश्न: किसी प्रजाति की जनसंख्या वृद्धि को रेखांकित करने से उत्पन्न होने वाली विशिष्ट जनसंख्या वक्रों के आधार पर, मच्छरों की आबादी को नियंत्रित करने का सबसे प्रभावी साधन है

उत्तर विकल्प: ['आबादी को उसके लॉजिस्टिक वक्र के मध्य बिंदु के अनुरूप एक बिंदु पर बनाए रखें', 'शून्य जनसंख्या नियंत्रण के लिए चुनें एक बार वक्र के K मूल्य तक पहुँच गया है', 'K मान को कम करने के लिए CIF पर्यावरण को ले जाने की क्षमता को कम करें', 'मृत्यु दर में वृद्धि']

उत्तर: K मान को कम करने के लिए CIF पर्यावरण को ले जाने की क्षमता को कम करें"
एक फ्रेमशिफ्ट उत्परिवर्तन तब उत्पन्न होता है जब,college_biology,"['डीएनए से टेलोमेरिक अनुक्रमों को हटा दिया जाता है', 'एक कोडन का न्यूक्लियोटाइड अनुक्रम बदलता है ताकि यह मूल एक की तुलना में एक अलग अमीनो एसिड के उत्पादन के लिए कहता है', 'एक जीन में एक आधार जोड़ी या तो सम्मिलित की जाती है या हटा दी जाती है', 'एक कोडन के न्यूक्लियोटाइड अनुक्रम को बदल दिया जाता है ताकि किसी दिए गए एमिनो एसिड के लिए कोडिंग के बजाय यह अनुवाद को समाप्त करने के लिए कार्य करता है']",2,"प्रश्न: एक फ्रेमशिफ्ट उत्परिवर्तन तब उत्पन्न होता है जब

उत्तर विकल्प: ['डीएनए से टेलोमेरिक अनुक्रमों को हटा दिया जाता है', 'एक कोडन का न्यूक्लियोटाइड अनुक्रम बदलता है ताकि यह मूल एक की तुलना में एक अलग अमीनो एसिड के उत्पादन के लिए कहता है', 'एक जीन में एक आधार जोड़ी या तो सम्मिलित की जाती है या हटा दी जाती है', 'एक कोडन के न्यूक्लियोटाइड अनुक्रम को बदल दिया जाता है ताकि किसी दिए गए एमिनो एसिड के लिए कोडिंग के बजाय यह अनुवाद को समाप्त करने के लिए कार्य करता है']

उत्तर: एक जीन में एक आधार जोड़ी या तो सम्मिलित की जाती है या हटा दी जाती है"
"सूखने और चोट को रोकने के लिए, स्थलीय कशेरुकियों के भ्रूणों को एक तरल पदार्थ के भीतर बंद कर दिया जाता है",college_biology,"['अम्नीयन', 'कोरिओन', 'ऐलान्टोइस', 'अंडाकार थैली']",0,"प्रश्न: सूखने और चोट को रोकने के लिए, स्थलीय कशेरुकियों के भ्रूणों को एक तरल पदार्थ के भीतर बंद कर दिया जाता है

उत्तर विकल्प: ['अम्नीयन', 'कोरिओन', 'ऐलान्टोइस', 'अंडाकार थैली']

उत्तर: अम्नीयन"
निम्नलिखित में से कौन सा एक दूसरा संदेशवाहक है जो साइटोप्लाज्म में कैल्शियम आयनों की रिहाई को उत्तेजित करता है?,college_biology,"['प्रोस्टाग्लैंडिन', 'इनोसिटोल ट्राइफॉस्फेट', 'चक्रीय एएमपी', 'कल्मोडुलिन']",1,"प्रश्न: निम्नलिखित में से कौन सा एक दूसरा संदेशवाहक है जो साइटोप्लाज्म में कैल्शियम आयनों की रिहाई को उत्तेजित करता है?

उत्तर विकल्प: ['प्रोस्टाग्लैंडिन', 'इनोसिटोल ट्राइफॉस्फेट', 'चक्रीय एएमपी', 'कल्मोडुलिन']

उत्तर: इनोसिटोल ट्राइफॉस्फेट"
एकल-स्ट्रैन्डेड आरएनए टेम्पलेट से आरएनए/डीएनए हाइब्रिड के संश्लेषण के लिए आवश्यक है,college_biology,"['डीएनए या आरएनए प्राइमर और रिवर्स ट्रांसक्रिप्टेज', 'एक डीएनए या आरएनए प्राइमर और डीएनए पॉलिमेरेस', 'केवल RNase', 'केवल रिवर्स ट्रांसक्रिप्टेज']",0,"प्रश्न: एकल-स्ट्रैन्डेड आरएनए टेम्पलेट से आरएनए/डीएनए हाइब्रिड के संश्लेषण के लिए आवश्यक है

उत्तर विकल्प: ['डीएनए या आरएनए प्राइमर और रिवर्स ट्रांसक्रिप्टेज', 'एक डीएनए या आरएनए प्राइमर और डीएनए पॉलिमेरेस', 'केवल RNase', 'केवल रिवर्स ट्रांसक्रिप्टेज']

उत्तर: डीएनए या आरएनए प्राइमर और रिवर्स ट्रांसक्रिप्टेज"
"जीवों की आबादी के संबंध में हार्डी-वाइनबर्ग कानून के काम करने के लिए, निम्नलिखित शर्तों में से प्रत्येक को पूरा किया जाना चाहिए EXCEPT:",college_biology,"['अन्य आबादी के साथ जीन का आदान-प्रदान किया जाता है।', 'जनसंख्या का आकार बड़ा होता है।', 'प्राकृतिक चयन नहीं होता है।', 'संभोग यादृच्छिक होते हैं।']",0,"प्रश्न: जीवों की आबादी के संबंध में हार्डी-वाइनबर्ग कानून के काम करने के लिए, निम्नलिखित शर्तों में से प्रत्येक को पूरा किया जाना चाहिए EXCEPT:

उत्तर विकल्प: ['अन्य आबादी के साथ जीन का आदान-प्रदान किया जाता है।', 'जनसंख्या का आकार बड़ा होता है।', 'प्राकृतिक चयन नहीं होता है।', 'संभोग यादृच्छिक होते हैं।']

उत्तर: अन्य आबादी के साथ जीन का आदान-प्रदान किया जाता है।"
मादा स्तनधारी कोशिकाओं के नाभिक के भीतर पाया गया बैर शरीर इसका एक उदाहरण है,college_biology,"['यूक्रोमैटिन', 'हेटरोक्रोमैटिन', 'एक सिस्ट्रोन', 'छद्मजनित']",1,"प्रश्न: मादा स्तनधारी कोशिकाओं के नाभिक के भीतर पाया गया बैर शरीर इसका एक उदाहरण है

उत्तर विकल्प: ['यूक्रोमैटिन', 'हेटरोक्रोमैटिन', 'एक सिस्ट्रोन', 'छद्मजनित']

उत्तर: हेटरोक्रोमैटिन"
निम्नलिखित में से कौन-सा वायुमंडलीय कार्बन का स्रोत नहीं है?,college_biology,"['श्वसन', 'प्रकाश संश्लेषण', 'बैक्टीरियल अपघटन', 'जीवाश्म ईंधन का दहन']",1,"प्रश्न: निम्नलिखित में से कौन-सा वायुमंडलीय कार्बन का स्रोत नहीं है?

उत्तर विकल्प: ['श्वसन', 'प्रकाश संश्लेषण', 'बैक्टीरियल अपघटन', 'जीवाश्म ईंधन का दहन']

उत्तर: प्रकाश संश्लेषण"
विरामित संतुलन की अवधारणा को संदर्भित करता है,college_biology,"['दोलनशील पारिस्थितिक अनुक्रमिक चरण', 'पारिस्थितिक उत्तराधिकार अचानक पर्यावरणीय परिवर्तनों द्वारा रोक दिया गया, उदाहरण के लिए, आग', 'अपेक्षाकृत स्थिर वातावरण में शिकारियों और शिकारियों के बीच स्थायी संबंध', 'प्रजाति के विस्फोटों के बाद अपेक्षाकृत अपरिवर्तित वंश']",3,"प्रश्न: विरामित संतुलन की अवधारणा को संदर्भित करता है

उत्तर विकल्प: ['दोलनशील पारिस्थितिक अनुक्रमिक चरण', 'पारिस्थितिक उत्तराधिकार अचानक पर्यावरणीय परिवर्तनों द्वारा रोक दिया गया, उदाहरण के लिए, आग', 'अपेक्षाकृत स्थिर वातावरण में शिकारियों और शिकारियों के बीच स्थायी संबंध', 'प्रजाति के विस्फोटों के बाद अपेक्षाकृत अपरिवर्तित वंश']

उत्तर: प्रजाति के विस्फोटों के बाद अपेक्षाकृत अपरिवर्तित वंश"
"जब एक इन्फ्लूएंजा वायरस एक कोशिका में प्रवेश करता है, तो यह तुरंत निम्नलिखित में से कौन सा करना शुरू कर देता है?",college_biology,"['मेजबान कोशिका के गुणसूत्र में वायरल डीएनए को शामिल करना', 'मेजबान कोशिका के प्रतिलेखन तंत्र को नष्ट करना', 'इसकी आनुवंशिक सामग्री को दोहराएं और वायरल प्रोटीन को संश्लेषित करें', 'वायरल डीएनए का निर्माण करने के लिए रिवर्स ट्रांसक्रिप्टेज की एक वायरल कॉपी का उपयोग करें']",2,"प्रश्न: जब एक इन्फ्लूएंजा वायरस एक कोशिका में प्रवेश करता है, तो यह तुरंत निम्नलिखित में से कौन सा करना शुरू कर देता है?

उत्तर विकल्प: ['मेजबान कोशिका के गुणसूत्र में वायरल डीएनए को शामिल करना', 'मेजबान कोशिका के प्रतिलेखन तंत्र को नष्ट करना', 'इसकी आनुवंशिक सामग्री को दोहराएं और वायरल प्रोटीन को संश्लेषित करें', 'वायरल डीएनए का निर्माण करने के लिए रिवर्स ट्रांसक्रिप्टेज की एक वायरल कॉपी का उपयोग करें']

उत्तर: इसकी आनुवंशिक सामग्री को दोहराएं और वायरल प्रोटीन को संश्लेषित करें"
