[Race] proportion=0.001, seed=42, frac=0.05, requested=14022, actual_pruned=14022, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=42, frac=0.1, requested=28045, actual_pruned=28045, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=42, frac=0.2, requested=56091, actual_pruned=56091, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=42, frac=0.4, requested=112182, actual_pruned=112182, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=42, frac=0.6, requested=168273, actual_pruned=168273, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=42, frac=0.8, requested=224364, actual_pruned=224364, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=123, frac=0.05, requested=14022, actual_pruned=14022, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=123, frac=0.1, requested=28045, actual_pruned=28045, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=123, frac=0.2, requested=56091, actual_pruned=56091, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=123, frac=0.4, requested=112182, actual_pruned=112182, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=123, frac=0.6, requested=168273, actual_pruned=168273, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=123, frac=0.8, requested=224364, actual_pruned=224364, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=456, frac=0.05, requested=14022, actual_pruned=14022, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=456, frac=0.1, requested=28045, actual_pruned=28045, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=456, frac=0.2, requested=56091, actual_pruned=56091, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=456, frac=0.4, requested=112182, actual_pruned=112182, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=456, frac=0.6, requested=168273, actual_pruned=168273, total_math_only=280456, math_only_count=280456
[Race] proportion=0.001, seed=456, frac=0.8, requested=224364, actual_pruned=224364, total_math_only=280456, math_only_count=280456
[Race] proportion=0.01, seed=42, frac=0.05, requested=123185, actual_pruned=123185, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=42, frac=0.1, requested=246370, actual_pruned=246370, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=42, frac=0.2, requested=492740, actual_pruned=492740, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=42, frac=0.4, requested=985481, actual_pruned=985481, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=42, frac=0.6, requested=1478222, actual_pruned=1478222, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=42, frac=0.8, requested=1970963, actual_pruned=1970963, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=123, frac=0.05, requested=123185, actual_pruned=123185, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=123, frac=0.1, requested=246370, actual_pruned=246370, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=123, frac=0.2, requested=492740, actual_pruned=492740, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=123, frac=0.4, requested=985481, actual_pruned=985481, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=123, frac=0.6, requested=1478222, actual_pruned=1478222, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=123, frac=0.8, requested=1970963, actual_pruned=1970963, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=456, frac=0.05, requested=123185, actual_pruned=123185, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=456, frac=0.1, requested=246370, actual_pruned=246370, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=456, frac=0.2, requested=492740, actual_pruned=492740, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=456, frac=0.4, requested=985481, actual_pruned=985481, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=456, frac=0.6, requested=1478222, actual_pruned=1478222, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.01, seed=456, frac=0.8, requested=1970963, actual_pruned=1970963, total_math_only=2463704, math_only_count=2463704
[Race] proportion=0.1, seed=42, frac=0.05, requested=758754, actual_pruned=758754, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=42, frac=0.1, requested=1517509, actual_pruned=1517509, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=42, frac=0.2, requested=3035018, actual_pruned=3035018, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=42, frac=0.4, requested=6070036, actual_pruned=6070036, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=42, frac=0.6, requested=9105054, actual_pruned=9105054, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=42, frac=0.8, requested=12140072, actual_pruned=12140072, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=123, frac=0.05, requested=758754, actual_pruned=758754, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=123, frac=0.1, requested=1517509, actual_pruned=1517509, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=123, frac=0.2, requested=3035018, actual_pruned=3035018, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=123, frac=0.4, requested=6070036, actual_pruned=6070036, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=123, frac=0.6, requested=9105054, actual_pruned=9105054, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=123, frac=0.8, requested=12140072, actual_pruned=12140072, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=456, frac=0.05, requested=758754, actual_pruned=758754, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=456, frac=0.1, requested=1517509, actual_pruned=1517509, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=456, frac=0.2, requested=3035018, actual_pruned=3035018, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=456, frac=0.4, requested=6070036, actual_pruned=6070036, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=456, frac=0.6, requested=9105054, actual_pruned=9105054, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.1, seed=456, frac=0.8, requested=12140072, actual_pruned=12140072, total_math_only=15175091, math_only_count=15175091
[Race] proportion=0.001, seed=42, frac=0.05, requested=110343, actual_pruned=110343, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=42, frac=0.1, requested=220687, actual_pruned=220687, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=42, frac=0.2, requested=441375, actual_pruned=441375, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=42, frac=0.4, requested=882750, actual_pruned=882750, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=42, frac=0.6, requested=1324125, actual_pruned=1324125, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=42, frac=0.8, requested=1765500, actual_pruned=1765500, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=123, frac=0.05, requested=110343, actual_pruned=110343, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=123, frac=0.1, requested=220687, actual_pruned=220687, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=123, frac=0.2, requested=441375, actual_pruned=441375, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=123, frac=0.4, requested=882750, actual_pruned=882750, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=123, frac=0.6, requested=1324125, actual_pruned=1324125, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=123, frac=0.8, requested=1765500, actual_pruned=1765500, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=456, frac=0.05, requested=110343, actual_pruned=110343, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=456, frac=0.1, requested=220687, actual_pruned=220687, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=456, frac=0.2, requested=441375, actual_pruned=441375, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=456, frac=0.4, requested=882750, actual_pruned=882750, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=456, frac=0.6, requested=1324125, actual_pruned=1324125, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.001, seed=456, frac=0.8, requested=1765500, actual_pruned=1765500, total_math_only=2239333, math_only_count=2206876
[Race] proportion=0.01, seed=42, frac=0.05, requested=993151, actual_pruned=993151, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=42, frac=0.1, requested=1986303, actual_pruned=1986303, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=42, frac=0.2, requested=3972606, actual_pruned=3972606, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=42, frac=0.4, requested=7945213, actual_pruned=7945213, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=42, frac=0.6, requested=11917820, actual_pruned=11917820, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=42, frac=0.8, requested=15890427, actual_pruned=15890427, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=123, frac=0.05, requested=993151, actual_pruned=993151, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=123, frac=0.1, requested=1986303, actual_pruned=1986303, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=123, frac=0.2, requested=3972606, actual_pruned=3972606, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=123, frac=0.4, requested=7945213, actual_pruned=7945213, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=123, frac=0.6, requested=11917820, actual_pruned=11917820, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=123, frac=0.8, requested=15890427, actual_pruned=15890427, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=456, frac=0.05, requested=993151, actual_pruned=993151, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=456, frac=0.1, requested=1986303, actual_pruned=1986303, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=456, frac=0.2, requested=3972606, actual_pruned=3972606, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=456, frac=0.4, requested=7945213, actual_pruned=7945213, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=456, frac=0.6, requested=11917820, actual_pruned=11917820, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.01, seed=456, frac=0.8, requested=15890427, actual_pruned=15890427, total_math_only=20333718, math_only_count=19863034
[Race] proportion=0.1, seed=42, frac=0.05, requested=6059077, actual_pruned=6059077, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=42, frac=0.1, requested=12118155, actual_pruned=12118155, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=42, frac=0.2, requested=24236311, actual_pruned=24236311, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=42, frac=0.4, requested=48472623, actual_pruned=48472623, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=42, frac=0.6, requested=72708935, actual_pruned=72708935, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=42, frac=0.8, requested=96945247, actual_pruned=96945247, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=123, frac=0.05, requested=6059077, actual_pruned=6059077, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=123, frac=0.1, requested=12118155, actual_pruned=12118155, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=123, frac=0.2, requested=24236311, actual_pruned=24236311, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=123, frac=0.4, requested=48472623, actual_pruned=48472623, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=123, frac=0.6, requested=72708935, actual_pruned=72708935, total_math_only=128084164, math_only_count=121181559
[Race] proportion=0.1, seed=123, frac=0.8, requested=96945247, actual_pruned=96945247, total_math_only=128084164, math_only_count=121181559
