question,subject,choices,answer,qa
L'esthétique traite des objets qui sont_____.,philosophy,"['essentielle à notre existence', 'peu important pour la plupart des gens', 'pas essentiel à notre existence', 'rarement vu']",2,"Question: L'esthétique traite des objets qui sont_____.

Choix: ['essentielle à notre existence', 'peu important pour la plupart des gens', 'pas essentiel à notre existence', 'rarement vu']

Réponse: pas essentiel à notre existence"
"Pour Socrate, une vie non examinée est une tragédie parce qu'elle entraîne de graves dommages pour _____.",philosophy,"['l'État', 'le système judiciaire', 'le corps', 'l' âme']",3,"Question: Pour Socrate, une vie non examinée est une tragédie parce qu'elle entraîne de graves dommages pour _____.

Choix: ['l'État', 'le système judiciaire', 'le corps', 'l' âme']

Réponse: l' âme"
"Selon Kant, rien ne peut être appelé ""bon"" sans qualification sauf _____.",philosophy,"['bonne action', 'conséquences positives', 'le bonheur', 'une bonne volonté']",3,"Question: Selon Kant, rien ne peut être appelé ""bon"" sans qualification sauf _____.

Choix: ['bonne action', 'conséquences positives', 'le bonheur', 'une bonne volonté']

Réponse: une bonne volonté"
"Selon Platon, la vraie beauté est _____.",philosophy,"['trouvée dans les objets du quotidien', 'inexistante', 'partout dans le monde naturel', 'pas de ce monde']",3,"Question: Selon Platon, la vraie beauté est _____.

Choix: ['trouvée dans les objets du quotidien', 'inexistante', 'partout dans le monde naturel', 'pas de ce monde']

Réponse: pas de ce monde"
"Dans la terminologie d'Aristote, l'incontinence est quand:",philosophy,"['On ne sait pas que ses actions sont mauvaises.', 'On sait que ses actions sont mauvaises, mais on les fait quand même.', 'On sait que ses sentiments sont inappropriés, et on n'agit pas en conséquence.', 'On fait la bonne action, mais pour la mauvaise raison.']",1,"Question: Dans la terminologie d'Aristote, l'incontinence est quand:

Choix: ['On ne sait pas que ses actions sont mauvaises.', 'On sait que ses actions sont mauvaises, mais on les fait quand même.', 'On sait que ses sentiments sont inappropriés, et on n'agit pas en conséquence.', 'On fait la bonne action, mais pour la mauvaise raison.']

Réponse: On sait que ses actions sont mauvaises, mais on les fait quand même."
Nagel affirme que la plupart des arguments sceptiques:,philosophy,"['sont le résultat de l'application de normes arbitrairement strictes.', 'sont fondées sur des confusions linguistiques.', 'sont logiquement auto-réfutées.', 'de la mise en œuvre cohérente des normes ordinaires.']",3,"Question: Nagel affirme que la plupart des arguments sceptiques:

Choix: ['sont le résultat de l'application de normes arbitrairement strictes.', 'sont fondées sur des confusions linguistiques.', 'sont logiquement auto-réfutées.', 'de la mise en œuvre cohérente des normes ordinaires.']

Réponse: de la mise en œuvre cohérente des normes ordinaires."
Rawls conçoit le contrat original comme un:,philosophy,"['entrer dans une société particulière.', 'mettre en place une forme particulière de gouvernement.', 'établir les principes de justice pour la structure de base de la société.', 'établir le contenu de la moralité.']",2,"Question: Rawls conçoit le contrat original comme un:

Choix: ['entrer dans une société particulière.', 'mettre en place une forme particulière de gouvernement.', 'établir les principes de justice pour la structure de base de la société.', 'établir le contenu de la moralité.']

Réponse: établir les principes de justice pour la structure de base de la société."
"Selon Singer, le respect de ce principe requiert:",philosophy,"['Il s'agit d'un changement modeste de nos habitudes personnelles, mais pas de notre société dans son ensemble.', 'modestes changements à nos habitudes personnelles, ainsi qu'à la société.', 'des changements drastiques dans nos habitudes personnelles, mais pas dans notre société.', 'des changements radicaux à la fois dans nos habitudes personnelles et dans notre société.']",3,"Question: Selon Singer, le respect de ce principe requiert:

Choix: ['Il s'agit d'un changement modeste de nos habitudes personnelles, mais pas de notre société dans son ensemble.', 'modestes changements à nos habitudes personnelles, ainsi qu'à la société.', 'des changements drastiques dans nos habitudes personnelles, mais pas dans notre société.', 'des changements radicaux à la fois dans nos habitudes personnelles et dans notre société.']

Réponse: des changements radicaux à la fois dans nos habitudes personnelles et dans notre société."
"Pour Socrate, l'âme est lésée par le manque de _____.",philosophy,"['les connaissances', 'richesse', 'communauté', 'le courage']",0,"Question: Pour Socrate, l'âme est lésée par le manque de _____.

Choix: ['les connaissances', 'richesse', 'communauté', 'le courage']

Réponse: les connaissances"
"Selon Kant, la morale nous oblige à:",philosophy,"['accomplir l'action qui mène au plus grand bonheur total.', 'agissons uniquement sur des maximes que nous pouvons vouloir devenir des lois universelles.', 'se comporter seulement d'une manière telle qu'une personne parfaitement vertueuse se comporterait.', 'mettre les intérêts des autres avant les nôtres.']",1,"Question: Selon Kant, la morale nous oblige à:

Choix: ['accomplir l'action qui mène au plus grand bonheur total.', 'agissons uniquement sur des maximes que nous pouvons vouloir devenir des lois universelles.', 'se comporter seulement d'une manière telle qu'une personne parfaitement vertueuse se comporterait.', 'mettre les intérêts des autres avant les nôtres.']

Réponse: agissons uniquement sur des maximes que nous pouvons vouloir devenir des lois universelles."
"Selon Gauthier, la base de la moralité est:",philosophy,"['maximiser l'utilité de tous les êtres sensibles.', 'Les ordres de Dieu.', 'l'accord de personnes rationnelles choisissant les termes de leur interaction.', 'l'ordre délibéré de la nature.']",2,"Question: Selon Gauthier, la base de la moralité est:

Choix: ['maximiser l'utilité de tous les êtres sensibles.', 'Les ordres de Dieu.', 'l'accord de personnes rationnelles choisissant les termes de leur interaction.', 'l'ordre délibéré de la nature.']

Réponse: l'accord de personnes rationnelles choisissant les termes de leur interaction."
Anscombe affirme qu'il n'est pas rentable de faire de la philosophie morale jusqu'à ce que nous ayons une philosophie adéquate de:,philosophy,"['C'est une religion.', 'La physique.', 'psychologie.', 'Il y a de l'art.']",2,"Question: Anscombe affirme qu'il n'est pas rentable de faire de la philosophie morale jusqu'à ce que nous ayons une philosophie adéquate de:

Choix: ['C'est une religion.', 'La physique.', 'psychologie.', 'Il y a de l'art.']

Réponse: psychologie."
Mill affirme que l'une des objections les plus fortes à l'utilitarisme est tirée de l'idée de:,philosophy,"['Le devoir.', 'Pour la justice.', 'Elle est vertueuse.', 'Une supererogation.']",1,"Question: Mill affirme que l'une des objections les plus fortes à l'utilitarisme est tirée de l'idée de:

Choix: ['Le devoir.', 'Pour la justice.', 'Elle est vertueuse.', 'Une supererogation.']

Réponse: Pour la justice."
