question,subject,choices,answer,qa
"Une femme de 67 ans vient chez le médecin pour un examen de suivi. Elle a eu une embolie pulmonaire et a dû être hospitalisée pendant 3 semaines. Elle a eu une hémorragie rétropéritonéale; le traitement anticoagulant a été temporairement interrompu, et elle a subi la mise en place d'un filtre de la veine cave inférieure (IVC) Elle avait un hématome qui guérissait à sa sortie de l'hôpital il y a deux semaines. Aujourd'hui elle dit qu'elle a eu une sensation persistante de picotement et d'engourdissement de la cuisse gauche qu'elle n'a pas signalée à l'hôpital parce qu'elle pensait que cela disparaîtrait; la sensation s'est quelque peu améliorée au cours de la semaine dernière Son seul médicament est la warfarine . Les signes vitaux sont normaux . L'examen de la peau ne révèle aucune anomalie. La force musculaire est normale. La sensibilité au toucher léger est diminuée sur une zone de 5 x 5 cm sur l'aspect latéral de la cuisse antérieure gauche Laquelle des causes suivantes est la cause la plus probable de la diminution de la sensation de ce patient ?",professional_medicine,"['Infarctus cérébral pendant l'hospitalisation', 'Complication de l'emplacement du filtre IVC', 'Compression du nerf cutané fémoral latéral', 'Hématome de la cuisse gauche']",2,"Question: Une femme de 67 ans vient chez le médecin pour un examen de suivi. Elle a eu une embolie pulmonaire et a dû être hospitalisée pendant 3 semaines. Elle a eu une hémorragie rétropéritonéale; le traitement anticoagulant a été temporairement interrompu, et elle a subi la mise en place d'un filtre de la veine cave inférieure (IVC) Elle avait un hématome qui guérissait à sa sortie de l'hôpital il y a deux semaines. Aujourd'hui elle dit qu'elle a eu une sensation persistante de picotement et d'engourdissement de la cuisse gauche qu'elle n'a pas signalée à l'hôpital parce qu'elle pensait que cela disparaîtrait; la sensation s'est quelque peu améliorée au cours de la semaine dernière Son seul médicament est la warfarine . Les signes vitaux sont normaux . L'examen de la peau ne révèle aucune anomalie. La force musculaire est normale. La sensibilité au toucher léger est diminuée sur une zone de 5 x 5 cm sur l'aspect latéral de la cuisse antérieure gauche Laquelle des causes suivantes est la cause la plus probable de la diminution de la sensation de ce patient ?

Choix: ['Infarctus cérébral pendant l'hospitalisation', 'Complication de l'emplacement du filtre IVC', 'Compression du nerf cutané fémoral latéral', 'Hématome de la cuisse gauche']

Réponse: Compression du nerf cutané fémoral latéral"
"Une femme enceinte de 25 ans est admise à l'hôpital à 39 semaines de gestation en travail actif. Elle avait eu des contractions régulières toutes les 4 minutes, mais n'a maintenant que quelques contractions intermittentes et faibles Elle a reçu des analgésiques deux fois au cours des 6 dernières heures. L'examen ne révèle aucune raison de l'obstruction du travail. La tête du fœtus est engagée, les membranes sont intactes, le rythme cardiaque du fœtus est normal, et le col de l'utérus est effacé à 100% et dilaté de 7 cm. Le diagnostic le plus probable est",professional_medicine,"['Les contractions de Braxton Hicks', 'anneau de rétraction utérine inférieure', 'dysfonctionnement hypotonique de l' utérus', 'travail dysfonctionnel primaire']",2,"Question: Une femme enceinte de 25 ans est admise à l'hôpital à 39 semaines de gestation en travail actif. Elle avait eu des contractions régulières toutes les 4 minutes, mais n'a maintenant que quelques contractions intermittentes et faibles Elle a reçu des analgésiques deux fois au cours des 6 dernières heures. L'examen ne révèle aucune raison de l'obstruction du travail. La tête du fœtus est engagée, les membranes sont intactes, le rythme cardiaque du fœtus est normal, et le col de l'utérus est effacé à 100% et dilaté de 7 cm. Le diagnostic le plus probable est

Choix: ['Les contractions de Braxton Hicks', 'anneau de rétraction utérine inférieure', 'dysfonctionnement hypotonique de l' utérus', 'travail dysfonctionnel primaire']

Réponse: dysfonctionnement hypotonique de l' utérus"
"Un garçon de cinq ans est amené chez le médecin par sa mère à cause d'une fièvre légère, d'une toux et d'un nez qui coule depuis deux jours. Sa température est de 38°C. Les résultats de l'examen sont compatibles avec un diagnostic de rhume. Le médecin se réfère à un essai clinique randomisé, en double aveugle, contrôlé par placebo qui a évalué l'efficacité d'un nouveau médicament pour le traitement du rhume La durée moyenne de la résolution des symptômes chez les patients recevant le nouveau médicament était de 6,4 jours, comparativement à une durée moyenne de 6,7 jours chez les patients recevant le placebo (p=0,04). Lequel des éléments suivants est l'interprétation la plus appropriée de ces résultats d'étude?",professional_medicine,"['Les résultats sont cliniquement et statistiquement significatifs.', 'Les résultats sont cliniquement insignifiants mais statistiquement significatifs.', 'Les résultats sont cliniquement significatifs mais statistiquement insignifiants.', 'Les résultats ne sont ni cliniquement ni statistiquement significatifs.']",1,"Question: Un garçon de cinq ans est amené chez le médecin par sa mère à cause d'une fièvre légère, d'une toux et d'un nez qui coule depuis deux jours. Sa température est de 38°C. Les résultats de l'examen sont compatibles avec un diagnostic de rhume. Le médecin se réfère à un essai clinique randomisé, en double aveugle, contrôlé par placebo qui a évalué l'efficacité d'un nouveau médicament pour le traitement du rhume La durée moyenne de la résolution des symptômes chez les patients recevant le nouveau médicament était de 6,4 jours, comparativement à une durée moyenne de 6,7 jours chez les patients recevant le placebo (p=0,04). Lequel des éléments suivants est l'interprétation la plus appropriée de ces résultats d'étude?

Choix: ['Les résultats sont cliniquement et statistiquement significatifs.', 'Les résultats sont cliniquement insignifiants mais statistiquement significatifs.', 'Les résultats sont cliniquement significatifs mais statistiquement insignifiants.', 'Les résultats ne sont ni cliniquement ni statistiquement significatifs.']

Réponse: Les résultats sont cliniquement insignifiants mais statistiquement significatifs."
"Un garçon de 9 ans est amené au bureau par ses parents pour un examen de santé. Le patient et sa famille ont immigré aux États-Unis il y a 2 mois et il n'a pas été évalué par un médecin depuis 4 ans Il a toujours été en bonne santé. Les antécédents médicaux sont significatifs pour la pneumonie à l'âge de 3 ans Il ne prend pas de médicaments . Il est au 25e percentile pour la taille, le poids et l'IMC. Les signes vitaux sont la température 37,0 °C (98,6 °F), le pouls 82/min, les respirations 20/min et la pression artérielle 112/74 mm Hg L'examen cardiaque révèle un murmure systolique de grade 3/6 audible le long du bord sternal gauche dans les troisième et quatrième espaces intercostaux. Les pulsations fémorales sont faibles et les pulsations brachiales sont fortes; il y a un retard radiofémoral Radiographie thoracique révélant une légère cardiomégalie avec proéminence ventriculaire gauche L'ECG montre une hypertrophie du ventricule gauche. Ce patient est le plus à risque pour laquelle des complications suivantes?",professional_medicine,"['Fibrillation auriculaire', 'Le cœur pulmonaire', 'Hypertension artérielle systémique', 'Régurgitation de la valve tricuspide']",2,"Question: Un garçon de 9 ans est amené au bureau par ses parents pour un examen de santé. Le patient et sa famille ont immigré aux États-Unis il y a 2 mois et il n'a pas été évalué par un médecin depuis 4 ans Il a toujours été en bonne santé. Les antécédents médicaux sont significatifs pour la pneumonie à l'âge de 3 ans Il ne prend pas de médicaments . Il est au 25e percentile pour la taille, le poids et l'IMC. Les signes vitaux sont la température 37,0 °C (98,6 °F), le pouls 82/min, les respirations 20/min et la pression artérielle 112/74 mm Hg L'examen cardiaque révèle un murmure systolique de grade 3/6 audible le long du bord sternal gauche dans les troisième et quatrième espaces intercostaux. Les pulsations fémorales sont faibles et les pulsations brachiales sont fortes; il y a un retard radiofémoral Radiographie thoracique révélant une légère cardiomégalie avec proéminence ventriculaire gauche L'ECG montre une hypertrophie du ventricule gauche. Ce patient est le plus à risque pour laquelle des complications suivantes?

Choix: ['Fibrillation auriculaire', 'Le cœur pulmonaire', 'Hypertension artérielle systémique', 'Régurgitation de la valve tricuspide']

Réponse: Hypertension artérielle systémique"
"Une femme de 25 ans vient chez le médecin parce qu'elle souffre depuis deux mois d'un engourdissement de la main droite. Pendant cette période, elle a eu des picotements dans l'anneau droit et les petits doigts la plupart du temps Elle n' a aucun antécédent de maladie grave et ne prend aucun médicament . Elle est employée comme caissière et utilise un ordinateur à la maison. Elle a joué comme lanceuse dans une ligue de softball pendant 5 ans jusqu'à ce qu'elle arrête il y a 2 ans Les signes vitaux sont normaux . L'examen montre une force musculaire complète. La palpation du coude droit produit un choc de douleur intense dans l'anneau droit et les petits doigts Sensibilité à la piqûre d'épingle et au toucher léger diminuée sur la moitié médiane de l'annulaire droit et sur l'ensemble du petit doigt La cause la plus probable de ces résultats est le piégeage de laquelle des suivantes à droite ?",professional_medicine,"['Nerf médian au poignet', 'Nerf musculo-cutané de l'avant-bras', 'Nerve radiale à l'avant-bras', 'Nerf ulnaire au niveau du coude']",3,"Question: Une femme de 25 ans vient chez le médecin parce qu'elle souffre depuis deux mois d'un engourdissement de la main droite. Pendant cette période, elle a eu des picotements dans l'anneau droit et les petits doigts la plupart du temps Elle n' a aucun antécédent de maladie grave et ne prend aucun médicament . Elle est employée comme caissière et utilise un ordinateur à la maison. Elle a joué comme lanceuse dans une ligue de softball pendant 5 ans jusqu'à ce qu'elle arrête il y a 2 ans Les signes vitaux sont normaux . L'examen montre une force musculaire complète. La palpation du coude droit produit un choc de douleur intense dans l'anneau droit et les petits doigts Sensibilité à la piqûre d'épingle et au toucher léger diminuée sur la moitié médiane de l'annulaire droit et sur l'ensemble du petit doigt La cause la plus probable de ces résultats est le piégeage de laquelle des suivantes à droite ?

Choix: ['Nerf médian au poignet', 'Nerf musculo-cutané de l'avant-bras', 'Nerve radiale à l'avant-bras', 'Nerf ulnaire au niveau du coude']

Réponse: Nerf ulnaire au niveau du coude"
Six sujets en bonne santé participent à une étude du métabolisme musculaire au cours de laquelle une hyperglycémie et une hyperinsulinémie sont induites. Les échantillons de biopsie musculaire prélevés sur les sujets pendant l'état de repos montrent des concentrations significativement accrues de malonyl-CoA La concentration accrue de malonyl-CoA inhibe probablement directement lequel des processus suivants chez ces sujets?,professional_medicine,"['Oxydation des acides gras', 'Synthèse des acides gras', 'Gluconéogenèse', 'Glycogénolyse']",0,"Question: Six sujets en bonne santé participent à une étude du métabolisme musculaire au cours de laquelle une hyperglycémie et une hyperinsulinémie sont induites. Les échantillons de biopsie musculaire prélevés sur les sujets pendant l'état de repos montrent des concentrations significativement accrues de malonyl-CoA La concentration accrue de malonyl-CoA inhibe probablement directement lequel des processus suivants chez ces sujets?

Choix: ['Oxydation des acides gras', 'Synthèse des acides gras', 'Gluconéogenèse', 'Glycogénolyse']

Réponse: Oxydation des acides gras"
"Une femme de 72 ans atteinte d'un cancer de l'ovaire avancé qui s'est propagé au foie est amenée chez le médecin par son fils parce qu'elle pleure tout le temps et ne veut pas sortir du lit. Sur une échelle de 10 points, elle évalue la douleur de 1 à 2 Elle a aussi de l'hypertension et un trouble dépressif majeur. Elle a reçu une chimiothérapie pendant 2 ans. Les médicaments courants comprennent également l'oxycodone (10 mg deux fois par jour), l'hydrochlorothiazide (25 mg / jour) et la fluoxétine (20 mg / jour). Elle mesure 165 cm (5 pieds 5 pouces) de hauteur et pèse 66 kg (145 lb); IMC est de 24 kg / m2 Sa température est de 37°C (98,6°F), son pouls est de 110/min, ses respirations sont de 12/min, et sa pression sanguine est de 120/80 mm Hg L'examen montre un abdomen ferme et distendu avec une sensibilité modérée sur le foie. Lors de l'examen de l'état mental, elle est orientée vers la personne, le lieu et le temps. Elle a un bon contact visuel , mais semble triste et pleure facilement . Lequel des éléments suivants est la prochaine étape la plus appropriée dans la gestion ?",professional_medicine,"['Le réconfort', 'Évaluation des idées suicidaires', 'Commencer un traitement à la dextroamphétamine', 'Augmenter la posologie de l'oxycodone']",1,"Question: Une femme de 72 ans atteinte d'un cancer de l'ovaire avancé qui s'est propagé au foie est amenée chez le médecin par son fils parce qu'elle pleure tout le temps et ne veut pas sortir du lit. Sur une échelle de 10 points, elle évalue la douleur de 1 à 2 Elle a aussi de l'hypertension et un trouble dépressif majeur. Elle a reçu une chimiothérapie pendant 2 ans. Les médicaments courants comprennent également l'oxycodone (10 mg deux fois par jour), l'hydrochlorothiazide (25 mg / jour) et la fluoxétine (20 mg / jour). Elle mesure 165 cm (5 pieds 5 pouces) de hauteur et pèse 66 kg (145 lb); IMC est de 24 kg / m2 Sa température est de 37°C (98,6°F), son pouls est de 110/min, ses respirations sont de 12/min, et sa pression sanguine est de 120/80 mm Hg L'examen montre un abdomen ferme et distendu avec une sensibilité modérée sur le foie. Lors de l'examen de l'état mental, elle est orientée vers la personne, le lieu et le temps. Elle a un bon contact visuel , mais semble triste et pleure facilement . Lequel des éléments suivants est la prochaine étape la plus appropriée dans la gestion ?

Choix: ['Le réconfort', 'Évaluation des idées suicidaires', 'Commencer un traitement à la dextroamphétamine', 'Augmenter la posologie de l'oxycodone']

Réponse: Évaluation des idées suicidaires"
"Une femme de 65 ans a des antécédents de 6 mois d' irritabilité progressive, de palpitations, d' intolérance à la chaleur, de selles fréquentes et une perte de poids de 6,8 kg. Elle a une tumeur au cou depuis plus de 10 ans. La tomodensitométrie montre un agrandissement de la glande thyroïde avec de multiples zones d'augmentation et de diminution de l'absorption. Lequel des diagnostics suivants est le plus probable ?",professional_medicine,"['Défaut dans la biosynthèse de la thyroxine (T4)', 'Maladie de Graves', 'Le goitre multinodulaire', 'Thyroïdite de Riedel']",2,"Question: Une femme de 65 ans a des antécédents de 6 mois d' irritabilité progressive, de palpitations, d' intolérance à la chaleur, de selles fréquentes et une perte de poids de 6,8 kg. Elle a une tumeur au cou depuis plus de 10 ans. La tomodensitométrie montre un agrandissement de la glande thyroïde avec de multiples zones d'augmentation et de diminution de l'absorption. Lequel des diagnostics suivants est le plus probable ?

Choix: ['Défaut dans la biosynthèse de la thyroxine (T4)', 'Maladie de Graves', 'Le goitre multinodulaire', 'Thyroïdite de Riedel']

Réponse: Le goitre multinodulaire"
"Un homme de 51 ans vient au bureau parce qu'il souffre depuis six mois d'une grosseur sur la langue qui l'empêche de parler et de manger; il a également perdu 6,8 kg au cours de cette période. Il a fumé un paquet de cigarettes par jour et bu six bouteilles de bière le week-end au cours des 30 dernières années. Ses signes vitaux sont normaux . L'examen physique montre une masse de 1,5 cm sur le sommet de la langue. Une évaluation plus approfondie de la masse confirme un carcinome épidermoïde. Lequel des ganglions lymphatiques suivants est le plus approprié pour évaluer d'abord la présence de métastases chez ce patient?",professional_medicine,"['Col profond inférieur de l'utérus', 'La parotide', 'Rétro-pharyngée', 'Le sous-mental']",3,"Question: Un homme de 51 ans vient au bureau parce qu'il souffre depuis six mois d'une grosseur sur la langue qui l'empêche de parler et de manger; il a également perdu 6,8 kg au cours de cette période. Il a fumé un paquet de cigarettes par jour et bu six bouteilles de bière le week-end au cours des 30 dernières années. Ses signes vitaux sont normaux . L'examen physique montre une masse de 1,5 cm sur le sommet de la langue. Une évaluation plus approfondie de la masse confirme un carcinome épidermoïde. Lequel des ganglions lymphatiques suivants est le plus approprié pour évaluer d'abord la présence de métastases chez ce patient?

Choix: ['Col profond inférieur de l'utérus', 'La parotide', 'Rétro-pharyngée', 'Le sous-mental']

Réponse: Le sous-mental"
Un homme de 42 ans vient chez le médecin pour un examen de suivi 1 semaine après avoir subi un calcul rénal L'analyse cristallographique par rayons X du calcul a montré que le calcium était le cation primaire. L'examen physique d'aujourd'hui ne révèle aucune anomalie. Une collecte d'urine de 24 heures montre une augmentation de l'excrétion de calcium Laquelle des méthodes suivantes est la pharmacothérapie la plus appropriée?,professional_medicine,"['Inhibiteur de l'anhydrase carbonique', 'Inhibiteur du symport Na+ Cl−', 'Inhibiteur du symport Na+ K + 2Cl−', 'Diurétique osmotique']",1,"Question: Un homme de 42 ans vient chez le médecin pour un examen de suivi 1 semaine après avoir subi un calcul rénal L'analyse cristallographique par rayons X du calcul a montré que le calcium était le cation primaire. L'examen physique d'aujourd'hui ne révèle aucune anomalie. Une collecte d'urine de 24 heures montre une augmentation de l'excrétion de calcium Laquelle des méthodes suivantes est la pharmacothérapie la plus appropriée?

Choix: ['Inhibiteur de l'anhydrase carbonique', 'Inhibiteur du symport Na+ Cl−', 'Inhibiteur du symport Na+ K + 2Cl−', 'Diurétique osmotique']

Réponse: Inhibiteur du symport Na+ Cl−"
